AUTHENTICATION_BETA_REGION,- Beta=0
UI/HotkeyPublishTitle,Aktywny profil został uaktualniony /// Active Profile Updated=6378
UI/HotkeyReference_Colon,Odniesienie: /// Reference:=6379
UI/HotkeySelectCommandHint,Kliknij komendę, aby zmienić skrót klawiszowy. /// Click on a command to edit its hotkeys.=6380
UI/HotkeySelectUnitHint,Kliknij jednostkę, aby zobaczyć jej komendy. /// Click on a unit to view its commands.=6381
UI/HotkeyUnbound,Skrót klawiszowy bez przypisania. /// Hotkey unbound.=6382
UI/HotkeyUniversal,Uniwersalne /// Universal=6383
UI/HotkeyUniversalWarning,Liczba jednostek, które współdzielą to polecenie: %count% /// %count% units share this command.=6384
UI/Hotkeys,SKRÓTY KLAWISZOWE=6385
UI/Hotkeys_Control,Skróty klawiszowe=6386
UI/HourAgo,Godzinę temu /// 1 hour ago=6387
UI/HoursAgo,%d godz. temu /// %d hours ago=6388
UI/IGRBenefit/Title,Przywileje dla kafejek internetowych=6389
UI/IGRBenefit/Tooltip/Description/AllHeroes,[PH] Wszyscy bohaterowie dostępni w meczach!*=6390
UI/IGRBenefit/Tooltip/Description/AllHeroes_Inactive,[PH] Wszyscy bohaterowie dostępni w meczach!*=6391
UI/IGRBenefit/Tooltip/Description/FreeHeroes,[PH] Bohaterowie za darmo!=6392
UI/IGRBenefit/Tooltip/Description/FreeMounts,[PH] Wierzchowce: Księżycowy Tygrys oraz Złoty Tygrys są dostępne.=6393
UI/IGRBenefit/Tooltip/Description/FreeMounts_Inactive,[PH] Otrzymujesz darmowe wierzchowce.=6394
UI/IGRBenefit/Tooltip/Description/GoldBonus,[PH] Otrzymujesz dodatkowe złoto w meczach.=6395
UI/IGRBenefit/Tooltip/Description/GoldBonus_Inactive,[PH] Otrzymujesz dodatkowe złoto w meczach.=6396
UI/IGRBenefit/Tooltip/Description/XPBonus,[PH] Otrzymujesz dodatkowe doświadczenie w meczach.=6397
UI/IGRBenefit/Tooltip/Description/XPBonus_Inactive,[PH] Otrzymujesz dodatkowe doświadczenie w meczach.=6398
UI/IGRBenefit/Tooltip/FreeIGRHeroDescription,* Darmowi bohaterowie nie są wliczani do puli 10 postaci wymaganych do udziału w grze rankingowej.=6399
UI/IGRBenefit/Tooltip/Name/AllCampaigns,Odblokowano trylogię kampanii=6400
UI/IGRBenefit/Tooltip/Name/AllCampaigns_Inactive,Odblokowano  trylogię kampanii=6401
UI/IGRBenefit/Tooltip/Name/AllHeroes,Wszyscy bohaterowie za darmo* /// All Heroes Free*=6402
UI/IGRBenefit/Tooltip/Name/AllHeroes_Inactive,Wszyscy bohaterowie za darmo*=6403
UI/IGRBenefit/Tooltip/Name/FreeCommanders,Dodatkowi darmowi dowódcy do trybu współpracy=6404
UI/IGRBenefit/Tooltip/Name/FreeCommanders_Inactive,Dodatkowi darmowi dowódcy do trybu współpracy=6405
UI/IGRBenefit/Tooltip/Name/FreeHeroes,<lang rule="plural">Bohater za darmo,Bohaterowie za darmo</lang>*: %count%=6406
UI/IGRBenefit/Tooltip/Name/FreeMounts,<lang rule="plural">Wierzchowiec za darmo,Wierzchowce za darmo</lang>: %count%=6407
UI/IGRBenefit/Tooltip/Name/FreeMounts_Inactive,Wierzchowce za darmo=6408
UI/IGRBenefit/Tooltip/Name/GoldBonus,Premia do złota za każdy rozegrany mecz: %bonus%%=6409
UI/IGRBenefit/Tooltip/Name/GoldBonus_Inactive,Premia do złota za każdy rozegrany mecz=6410
UI/IGRBenefit/Tooltip/Name/XPBonus_Inactive,Premia do doświadczenia=6411
UI/IGRBenefit/Tooltip/PaidIGRHeroDescription,* Darmowi bohaterowie są wliczani do puli 10 postaci wymaganych do udziału w grze rankingowej. /// * Free Heroes count towards the 10 hero requirement for Ranked play.=6412
UI/Ignore,Ignoruj /// Ignore=6413
UI/ImageUploadAttentionText,UWAGA!</N>Próbujesz przesłać obraz w usłudze Blizzarda. Publikowanie treści chronionych prawem, obraźliwych lub szkodliwych jest sprzeczne z Umową Użytkownika Końcowego StarCraft II oraz z Warunkami Użytkowania Blizzard i grozi nawet całkowitym pozbawieniem dostępu do usług Blizzarda. Upewnij się, że twój obraz jest zgodny z Umową oraz Warunkami, zanim go prześlesz.=6414
UI/ImageUploadHelp,<c val="ffffff">Wymogi techniczne obrazu:</c><n/><ul text="-"><li/>Obsługiwane typy plików graficznych: DDS, PNG, JPG oraz TGA<li/>Obraz musi mieć kształt kwadratu o wymiarach pomiędzy 2x2 a 256x256 pikseli.<li/>Całkowity rozmiar pliku nie może przekraczać 256 kB.</ul>=6415
UI/ImageUploadPanelDetailsImageWarning,Nieobsługiwane wymiary obrazu.<n/>Obraz musi mieć kształt kwadratu o wymiarach pomiędzy 2x2 a 256x256 pikseli.=6416
UI/ImageUploadSelectButton,WYBIERZ=6417
UI/ImageUploadTitle,Wybierz obraz=6418
UI/Immobile,Nieruchoma /// Immobile=6419
UI/InGameChannel,Pokaż kanały Blizzarda w grze=6420
UI/InGameChannelTooltip,<c val="ffffff">Pokaż kanały Blizzarda w grze:</c><n/>Włączenie tej opcji powoduje, że po wejściu do gry pozostaniesz na oficjalnych kanałach czatów Blizzarda. Wiadomości na tych kanałach będą wyświetlane w trakcie gry.=6421
UI/InGameCustomChannel,Pokaż kanały inne niż Blizzarda w grze=6422
UI/InGameCustomChannelTooltip,<c val="ffffff">Pokaż kanały inne niż Blizzarda w grze:</c><n/>Włączenie tej opcji powoduje, że po wejściu do gry pozostaniesz na kanałach czatów innych niż Blizzarda (np.: czat grupy lub klanu). Wiadomości na tych kanałach będą wyświetlane w trakcie gry.=6423
UI/InitializingMaps,Inicjowanie map /// Initializing Maps=6424
UI/Input,Wejście /// Input=6425
UI/InputDevice_Colon,Urządzenie wejściowe: /// Input Device:=6426
UI/InputOptions/CameraFollow,Włącz kamerę śledzącą=6427
UI/InputOptions/CameraSmartPan,Włącz inteligentne panoramowanie kamery /// Enable Smart Camera Pan=6428
UI/InputOptions/ReduceMouseLag,Zmniejsz opóźnienie myszy /// Reduce Mouse Lag=6429
UI/InputOptions/TargetingPanel/Header,Celowanie /// Targeting=6430
UI/InputOptionsTooltips,Aby użyć tej opcji musisz mieć włączoną dostępność. Zaznacz opcję „Dostępność urządzeń pomocniczych” w panelu Uniwersalnego Dostępu we Właściwościach Systemu. Czy chcesz teraz otworzyć Właściwości Systemu? /// In order to use this option accessibility needs to be in enabled. Please check the option "Enable access for assistive devices" in the Universal Access System Preferences panel.  Would you like to open the System Preferences now?=6431
UI/InputOptionsTooltips/AltTabDisable,<c val="ffffff">Wyłącz skrót Alt-Tab:</c><n/>Wyłącza kombinację klawiszy Alt-Tab. Zaznacz, jeśli nie chcesz przypadkowo zminimalizować gry. /// <c val="ffffff">Disable Alt-Tab Shortcut:</c><n/>Disables the Alt-Tab key combination. Use this if you don't want to accidentally minimize the game.=6432
UI/InputOptionsTooltips/CameraFollow,<c val="ffffff">Włącz kamerę śledzącą:</c><n/>Po włączeniu tej opcji, kamera będzie śledzić twojego bohatera w czasie poruszania się po mapie.=6433
UI/InputOptionsTooltips/CmdTabDisable,<c val="ffffff">Wyłącz kombinację Cmd-Tab:</c><n/>Wyłącza kombinację klawiszy Cmd-Tab. Zaznacz, jeśli nie chcesz przypadkowo zminimalizować gry. /// <c val="ffffff">Disable Cmd-Tab Shortcut:</c><n/>Disables the Cmd-Tab key combination. Use this if you don't want to accidentally minimize the game.=6434
UI/InputOptionsTooltips/ControlGroupMode,<c val="ffffff">Grupy kontrolne:</c><n/>Określa zachowanie przycisków grup kontrolnych.<n/><n/><c val="ffffff">Normalne:</c> Przyciski są widoczne i można kliknąć je myszką<n/><c val="ffffff">Ukryte:</c> Przyciski nie są widoczne<n/><c val="ffffff">Zablokowane:</c> Przyciski są widoczne, ale nie można ich kliknąć myszką /// <c val="ffffff">Control Groups:</c><n/>Determines the behavior of Control Group Buttons.<n/><n/><c val="ffffff">Normal:</c> Buttons are visible and can be clicked by the mouse.<n/><c val="ffffff">Hidden:</c> Buttons are not visible.<n/><c val="ffffff">Unclickable:</c> Buttons are visible but can not be clicked by the mouse.=6435
UI/InputOptionsTooltips/CursorConfine,<c val="ffffff">Ogranicz ruch kursora myszy:</c><n/>Określa, czy wskaźnik myszy może opuścić okno w trybach okienkowych. Ustawienie to nie ma wpływu na tryb pełnoekranowy, w którym wskaźnik myszy zawsze jest ograniczony do okna aplikacji.<n/><n/><c val="ffffff">Inteligentny:</c> Wskaźnik myszy jest ograniczony do obszaru okna podczas gry, w trybie okienkowym pełnoekranowym, ale nie jest ograniczony w oknach menu<n/><c val="ffffff">Wł.:</c> Wskaźnik myszy zawsze jest ograniczony do obszaru okna<n/><c val="ffffff">Wył.:</c> Wskaźnik myszy nigdy nie jest ograniczony do obszaru okna /// <c val="ffffff">Confine Mouse Cursor:</c><n/>Determines when the mouse cursor can leave the application window in either Windowed (Fullscreen) or Windowed Display Modes.  In the Fullscreen Display Mode this setting has no effect, the cursor is always confined.<n/><n/><c val="ffffff">Smart:</c> In Windowed Fullscreen, mouse cursor is confined during games, but unconfined in menu screens.  In windowed mode, this has no effect.<n/><c val="ffffff">On:</c> Mouse cursor is always confined.<n/><c val="ffffff">Off:</c> Mouse cursor is never confined.=6436
UI/InputOptionsTooltips/CursorSize,<c val="ffffff">Rozmiar kursora:</c><n/>Określa, jak duży jest kursor twojej myszy.<n/><n/>Funkcja nie jest obsługiwana w systemie Windows XP.=6437
UI/InputOptionsTooltips/DragScrollInverted,<c val="ffffff">Odwróć przewijanie przez przeciągnięcie:</c><n/>Zamienia kierunki przewijania mapy podczas przeciągania myszą. Może to być bardziej naturalne dla części graczy. /// <c val="ffffff">Invert Drag Scroll:</c><n/>Flips the direction the map scrolls while dragging the middle mouse button. This may feel more natural to some players.=6438
UI/InputOptionsTooltips/DragScrollSpeed,<c val="ffffff">Szybkość przewijania mapy przez przeciągnięcie:</c><n/>Określa szybkość, z jaką przewijana jest mapa podczas przeciągania myszą. /// <c val="ffffff">Drag Scroll Speed:</c><n/>Determines how fast to scroll the map while dragging the middle mouse button.=6439
UI/InputOptionsTooltips/EnableFunctionKeys,<c val="ffffff">Użyj standardowego zachowania klawiszy funkcyjnych</c><n/>Po wybraniu tej opcji, górny rząd klawiszy zachowuje się tak klawisze funkcyjne. Naciśnij Fn, aby użyć funkcji wydrukowanych na każdym z klawiszy. Po wyłączeniu opcji górny rząd będzie zachowywać się zgodnie z ustawieniami systemu operacyjnego.=6440
UI/InputOptionsTooltips/KeyboardScrollSpeed,<c val="ffffff">Szybkość przewijania mapy klawiaturą:</c><n/>Określa szybkość, z jaką przewijana jest mapa za pomocą strzałek na klawiaturze. /// <c val="ffffff">Keyboard Scroll Speed:</c><n/>Determines how fast to scroll the map when using the keyboard's arrow keys.=6441
UI/InputOptionsTooltips/MouseOverrideSensitivity,<c val="ffffff">Ustaw czułość myszy:</c><n/>Pozwala dostosować czułość myszy inaczej niż ustawia ją system operacyjny. /// <c val="ffffff">Enable Mouse Sensitivity:</c><n/>Enables setting a custom mouse sensitivity to override the setting from the operating system.=6442
UI/InputOptionsTooltips/MouseScrollEnabled,<c val="ffffff">Przewijanie mapy myszą:</c><n/>Włącza możliwość przewijania mapy poprzez zbliżenie kursora do krawędzi ekranu. /// <c val="ffffff">Enable Mouse Scroll:</c><n/>Enables the ability to scroll the map by placing the cursor at the edge of the screen.=6443
UI/InputOptionsTooltips/MouseScrollSpeed,<c val="ffffff">Szybkość przewijania myszą:</c><n/>Określa szybkość, z jaką przewijana jest mapa po zbliżeniu kursora myszy do krawędzi ekranu. /// <c val="ffffff">Mouse Scroll Speed:</c><n/>Determines how fast to scroll the map when the cursor is at the edge of the screen.=6444
UI/InputOptionsTooltips/MouseSensitivity,<c val="ffffff">Czułość myszy:</c><n/>Określa czułość twojej myszy. Wyższa oznacza, że kursor porusza się szybciej. /// <c val="ffffff">Mouse Sensitivity:</c><n/>Determines how sensitive your mouse is. Higher sensitivity will cause the mouse to move faster.=6445
UI/InputOptionsTooltips/MouseWheelZoom,<c val="ffffff">Włącz przybliżanie kółkiem myszy:</c><n/>Pozwala na przybliżanie i oddalanie widoku kółkiem myszy lub klawiszami Page Up i Page Down. /// <c val="ffffff">Enable Mouse Wheel Zoom:</c><n/>Allows the camera to zoom into or out of the map while using the mouse wheel.=6446
UI/InputOptionsTooltips/QuickCastMode,<c val="ffffff">Szybkie użycie:</c><n/>Określa sposób celowania atakami i zdolnościami.<n/><n/><c val="ffffff">Wył.:</c> Wciśnięcie skrótu klawiszowego włącza tryb wyboru celu, a następnie <k pre="(" val="TargetChoose" post=")"/> powoduje wykonanie polecenia<n/><c val="ffffff">Wł.:</c> Wciśnięcie skrótu klawiszowego powoduje błyskawiczne wykonanie polecenia w kierunku lub miejscu wskazanym przez kursor myszy<n/><c val="ffffff">Po puszczeniu:</c> Wciśnięcie i przytrzymanie skrótu klawiszowego włącza tryb wyboru celu, a jego puszczenie powoduje wykonanie polecenia w kierunku lub miejscu wskazanym przez kursor myszy /// <c val="ffffff">Quick Cast:</c><n/>Determines how attack and ability targeting behaves.<n/><n/><c val="ffffff">Off:</c> Pressing a hotkey to issue an order enters target mode and then <k pre="(" val="TargetChoose" post=")"/> issues the order.<n/><c val="ffffff">On:</c> Pressing a hotkey instantly issues the order in the direction or location of your mouse cursor.<n/><c val="ffffff">On Release:</c> Pressing a hotkey enters targeting mode and releasing the hotkey issues the order in the direction of your mouse cursor.=6447
UI/InputOptionsTooltips/ReduceMouseLag,<c val="ffffff">Zmniejsz opóźnienie myszy:</c><n/>Sprawi, że mysz będzie szybciej reagowała, ale może znacznie zmniejszyć liczbę klatek animacji. /// <c val="ffffff">Reduce Mouse Lag:</c><n/>Will make the mouse more responsive, but may drastically reduce frame rate.=6448
UI/InputOptionsTooltips/SelectAllConjoined,<c val="ffffff">Wybierz wszystkie larwy:</c><n/>Po włączeniu tej opcji wybór jednej larwy spowoduje wybranie wszystkich larw przypisanych do tej wylęgarni. /// <c val="ffffff">Select All Larvae:</c><n/>When enabled, selecting a single larva will select all larvae for that Hatchery.=6449
UI/InputOptionsTooltips/SelectUncontrollable,<c val="ffffff">Włącz wybieranie jednostek wroga:</c><n/>Po włączeniu tej opcji, możesz wybierać jednostki, których nie da się kontrolować, w tym neutralne i wrogie. /// <c val="ffffff">Enable Enemy Unit Selection:</c><n/>When enabled, you can select units that are not under your control including enemy and neutral units.=6450
UI/InputOptionsTooltips/ShowCurrentOrderModel,<c val="ffffff">Pokaż wskaźnik bieżącego rozkazu:</c><n/>Gdy funkcja jest aktywna, wydanie jednostce rozkazu powoduje, że w terenie pokazany zostaje znacznik. /// <c val="ffffff">Show Current Order Indicator:</c><n/>When enabled, issuing an order to your units will cause an indicator to be displayed on the terrain.=6451
UI/InputOptionsTooltips/ShowUnitPoints,<c val="ffffff">Pokaż punkty doświadczenia:</c><n/>Po włączeniu tej opcji, nad tworzonymi lub niszczonymi jednostkami i budowlami będą widoczne punkty doświadczenia. /// <c val="ffffff">Display Experience Points:</c><n/>When enabled, experience points will be displayed over units and structures when created or destroyed.=6452
UI/InputOptionsTooltips/SmartPan,<c val="ffffff">Włącz inteligentne panoramowanie kamery:</c><n/>Po włączeniu kamera będzie szybko panoramować (a nie przeskakiwać) do pobliskiej jednostki po kliknięciu jej portretu. Jeśli jednostki nie widać, kamera do niej przeskoczy.<n/><n/>Dwukrotne naciśnięcie skrótu klawiszowego grupy kontroli zawsze spowoduje przeskok kamery. /// <c val="ffffff">Enable Smart Camera Pan:</c><n/>When enabled, the camera will quickly scroll (instead of jump) to a nearby unit when you click the unit's portrait.  If the unit is not currently in view, it will jump to the location instead.<n/><n/>Double-tapping a control group hotkey will always cause the camera to jump.=6453
UI/InputOptionsTooltips/SwapCtrlCmd,<c val="ffffff">Zamiana funkcji klawiszy Control i Command:</c><n/>Zamienia funkcje klawiszy Control i Command. Zaznacz, jeśli chcesz używać klawisza Command zamiast Control do modyfikacji skrótów klawiszowych. /// <c val="ffffff"> Use Command instead of Control for hotkeys:</c><n/>Use this if you want to use the Command key modifier for the hotkey commands instead of the Control key.=6454
UI/InputOptionsTooltips/SystemUtilityKeysDisable,<c val="ffffff">Wyłącz systemowe skróty klawiszowe:</c><n/>Wyłącza systemowe skróty klawiszowe. Zaznacz jeśli nie chcesz przypadkowo uruchomić jakiejś funkcji systemu podczas gry. /// <c val="ffffff">Disable OS Keyboard Shortcuts:</c><n/>Disables the operating system keyboard shortcuts. Use this if you don't want to accidentally fire operating system shortcuts during the game.=6455
UI/InputOptionsTooltips/WinKeyDisable,<c val="ffffff">Wyłącz klawisz Windows:</c><n/>Wyłącza funkcję klawisza Windows. Zaznacz, jeśli nie chcesz przypadkowo zminimalizować gry. /// <c val="ffffff">Disable Windows Key:</c><n/>Disables the Windows key. Use this if you don't want to accidentally minimize the game.=6456
UI/InputOptions_OpenSystemPreferencesDialog,Aby skorzystać z tej opcji, dostępność musi być włączona. Kliknij opcję „Dodaj dostęp dla urządzeń pomocniczych” w panelu Właściwości Uniwersalnych Dostępu Do Systemu. Czy chcesz otworzyć teraz Właściwości Systemu? /// In order to use this option accessibility needs to be in enabled. Please check the option "Enable access for assistive devices" in the Universal Access System Preferences panel. Would you like to open the System Preferences now?=6457
UI/InputOptions_OpenSystemPreferencesDialog10.9,Aby skorzystać z tej opcji, musisz przyznać dostęp do funkcji „%game%” w ustawieniach ochrony i prywatności, które znajdziesz we Właściwościach Systemu. Czy chcesz teraz otworzyć okno Właściwości Systemu?=6458
UI/Input_Control,Mysz i klawiatura=6459
UI/Insane_Control,Ekspercki /// Expert=6460
UI/InvalidLocale/Cancel,Anuluj /// Cancel=6461
UI/InvalidLocale/Restart,Ponowne uruchomienie /// Restart=6462
UI/InvalidLocale/Unavailable_Language,Język niedostępny /// Unavailable ScLanguage=6463
UI/InvalidLocale/Unavailable_Language_Message,Wybrany język jest niedostępny dla tego konta. Wybierz nowy język dostępny dla tego konta. Po wybraniu nowego języka należy ponownie uruchomić grę, aby wszystkie zmiany zostały wprowadzone. /// The requested language is not available to this account.  Please select a new language below from the ones available to this account.  After selecting a new language, the game must restart for this language change to take effect.=6464
UI/Invite,Zaproś /// Invite=6465
UI/InviteUserAcceptInvite,ZAPROŚ /// INVITE=6466
UI/InviteUserAcceptSuggest,ZASUGERUJ=6467
UI/InviteUserDialogFriendsOfFriendAccept,DODAJ ZNAJOMEGO=6468
UI/InviteUserDialogFriendsOfFriendMessage,=6469
UI/InviteUserDialogFriendsOfFriendTitle,Znajomi użytkownika %userName%=6470
UI/InviteUserDialogMessage, <sp/>=6471
UI/InviteUserDialogSuggestMessage, <sp/>=6472
UI/InviteUserDialogSuggestTitle,Zaproponuj zaproszenie do drużyny=6473
UI/InviteUserDialogTitle,Zaproś do drużyny=6474
UI/InviteUserLobbyDialogMessage, <sp/>=6475
UI/InviteUserLobbyDialogSuggestMessage, <sp/>=6476
UI/InviteUserLobbyDialogSuggestTitle,Zaproponuj zaproszenie do poczekalni=6477
UI/InviteUserLobbyDialogTitle,Zaproś do poczekalni /// Invite to Lobby=6478
UI/JoinGame_Control,Dołącz do gry (<h/>J) /// <h/>Join Game=6479
UI/Keyboard,Klawiatura /// Keyboard=6480
UI/KeyboardScrollSpeed_Colon,Szybkość przewijania klawiaturą: /// Keyboard Scroll Speed:=6481
UI/KeyframeFrequency_Colon,Częstotliwość ramki kluczowej: /// Keyframe Frequency:=6482
UI/Killed,Zabity /// Killed=6483
UI/Ladder_Control,Drabinka (<h/>L) /// <h/>Ladder=6484
UI/ScLanguage,Język /// ScLanguage=6485
UI/LanguageOptions/PickGameServer,Wybierz serwer gry przy tworzeniu poczekalni=6486
UI/LanguageOptions/PreferredGameSite_Colon,Preferowany serwer gry:=6487
UI/LanguageOptions/RememberToon,Nie pokazuj więcej tej wiadomości=6488
UI/LanguageOptions/SpeechLocale_Colon,Język dialogów i sekwencji filmowych: /// Speech and Movie ScLanguage:=6489
UI/LanguageOptions/TextLocale_Colon,Język tekstu: /// Text ScLanguage:=6490
UI/LanguageOptionsHeaders/ScLanguage,Język /// ScLanguage=6491
UI/LanguageOptionsHeaders/Region,Region=6492
UI/LanguageOptionsHeaders/ToonSelect,Okno dialogowe wyboru postaci=6493
UI/LanguageOptionsTooltips/PickGameSiteForLobbies,<c val="ffffff">Wybierz lokalizacje sieciowe gry dla poczekalni:</c><n/>Określa preferowany serwer gry, który ma być używany w poczekalni gier dowolnych.=6494
UI/LanguageOptionsTooltips/PreferredGameSite,<c val="ffffff">Preferowany serwer gry:</c><n/>Ustawienie to określa preferowany serwer gry podczas wyszukiwania meczów. Zmień to ustawienie tylko w przypadku kłopotów z połączeniem z określonymi serwerami gry. Jeśli jesteś w drużynie i inni jej członkowie będą mieli rozbieżne ustawienia, zostanie wybrany serwer preferowany przez największą liczbę graczy.=6495
UI/LanguageOptionsTooltips/PreferredGameSiteInvalid,<c val="ffffff">Preferowany serwer gry:</c><n/>Ustawienie to określa preferowany serwer gry podczas wyszukiwania meczów. Zmień to ustawienie tylko w przypadku kłopotów z połączeniem z określonymi serwerami gry. Jeśli jesteś w drużynie i inni jej członkowie będą mieli rozbieżne ustawienia, zostanie wybrany serwer preferowany przez największą liczbę graczy.<n/><n/><c val="FF2222">W twoim bieżącym regionie istnieje tylko jeden serwer gry.</c>=6496
UI/LanguageOptionsTooltips/PreferredGameSiteOffline,<c val="ffffff">Preferowany serwer gry:</c><n/>Ustawienie to określa preferowany serwer gry podczas wyszukiwania meczów. Zmień to ustawienie tylko w przypadku kłopotów z połączeniem z określonymi serwerami gry. Jeśli jesteś w drużynie i inni jej członkowie będą mieli rozbieżne ustawienia, zostanie wybrany serwer preferowany przez największą liczbę graczy.<n/><n/><c val="FF2222">Musisz się zalogować, aby ustawić tę wartość.</c>=6497
UI/LanguageOptionsTooltips/ResetGameServerLatency,<c val="ffffff">Reset opóźnienia serwerów gry:</c><n/>Resetuje i testuje opóźnienie wszystkich serwerów gry.=6498
UI/LanguageOptionsTooltips/ResetGameServerLatencyOffline,<c val="ffffff">Reset opóźnienia serwerów gry:</c><n/>Resetuje i testuje opóźnienie wszystkich serwerów gry.<n/><n/><c val="FF2222">Aby wykonać test, musisz się zalogować.</c>=6499
UI/LanguageOptionsTooltips/SpeechLocale,<c val="ffffff">Język dialogów i sekwencji filmowych:</c><n/>Pozwala wybrać język dialogów i filmów.<n/><n/><c val="FF2222">Zmiana języka wymaga ponownego uruchomienia gry.</c> /// <c val="ffffff">Speech and Movie ScLanguage:</c><n/>Specifies the language of speech and movies in the game.<n/><n/><c val="FF2222">Changing this option requires a game restart to take effect.</c>=6500
UI/LanguageOptionsTooltips/TextLocale,<c val="ffffff">Język tekstu:</c><n/>Pozwala wybrać język tekstu w grze.<n/><n/><c val="FF2222">Zmiana języka wymaga ponownego uruchomienia gry.</c> /// <c val="ffffff">Text ScLanguage:</c><n/>Specifies the language of text in the game.<n/><n/><c val="FF2222">Changing this option requires a game restart to take effect.</c>=6501
UI/Language_Control,Język i region=6502
UI/Large,Duży /// Large=6503
UI/LatencyIndicator/Tooltip,Twoje łącze internetowe ma wysokie opóźnienia, co może powodować gorsze funkcjonowanie gry.<n/><n/>Taki stan rzeczy może być spowodowany między innymi:<n/><ul indent="2" text="•"><li>Problemami z konfiguracją sieci lokalnej lub połączenia internetowego.</li><li>Graniem z miejsca znacznie oddalonego od naszych serwerów.</li></ul>=6504
UI/LaunchLinkRegionMismatch,Poniższy odnośnik jest niedostępny w twoim regionie: <n/>%s /// The link below can't be viewed in your current region: <n/>%s=6505
UI/LaunchMission,Startowy=6506
UI/LeaderPaneAPM_Name,APM=6507
UI/LeaderPaneArmy_Name,Aktywne wojska /// Active Forces=6508
UI/LeaderPaneCPM_Name,EPM /// EPM=6509
UI/LeaderPaneIncome_Name,Dochód /// Income=6510
UI/LeaderPaneNone_Name,Nic=6511
UI/LeaderPaneProduction_Name,Produkcja /// Production=6512
UI/LeaderPaneResources_Name,Surowce /// Resources=6513
UI/LeaderPaneSpending_Name,Wydatki /// Spending=6514
UI/LeaderPaneStructures_Name,Budowle /// Structures=6515
UI/LeaderPaneUnitsLost_Name,Utracone jedn.=6516
UI/LeaderPaneUnits_Name,Jednostki /// Units=6517
UI/LeaderPaneUpgrades_Name,Ulepszenia /// Upgrades=6518
UI/LeavingPublishQuitDialog/Button,Wyjdź t<h/>eraz=6519
UI/LeavingPublishQuitDialog/Message,Nie zakończono jeszcze przesyłania twojego stanu gry do usług Blizzarda. Zaleca się poczekać na zakończenie tego procesu. Gdy twój stan gry z kampanii zostanie przesłany, nastąpi wyjście z gry. Naciśniecie przycisku „Wyjdź” teraz spowoduje anulowanie przesyłania i wyjście z gry.=6520
UI/LeavingPublishQuitDialog/Title,Przesyłanie stanu gry z kampanii=6521
UI/Light,Światło=6522
UI/Lighting_Colon,Jakość oświetlenia:=6523
UI/Listening,Słuchanie /// Listening=6524
UI/Load,Wczytaj=6525
UI/LoadGameDialogAccept_Control,WCZYTAJ /// LOAD=6526
UI/LoadGameDialogClose_Control,ZAMKNIJ /// CLOSE=6527
UI/LoadGameDialogTitle,WCZYTAJ GRĘ /// LOAD GAME=6528
UI/LoadReplay,POWTÓRKI /// REPLAYS=6529
UI/Load_Control,Wczytaj=6530
UI/Loading,Wczytywanie /// Loading=6531
UI/LoadingBarPercentSymbol,% /// %=6532
UI/LoadingFinished,Ładowanie zakończone /// Finished Loading=6533
UI/LoadingScreenVs,vs /// Vs.=6534
UI/Lobby/AddComputer,Dodaj komputer=6535
UI/Lobby/Closed,Otwarte=6536
UI/Lobby/EditLobbyName,Edytuj nazwę poczekalni=6537
UI/Lobby/InvitePlayer,Zaproś gracza: %playerName%=6538
UI/Lobby/MakeHost,Uczyń gospodarzem /// Make Host=6539
UI/Lobby/Move,Przemieść tutaj=6540
UI/Lobby/OccupiedComputer,Komputer: %difficulty%=6541
UI/Lobby/OccupiedObserver,%playerName% (%observerType%)=6542
UI/Lobby/OccupiedPlayer,%playerName%=6543
UI/Lobby/Open,Otwarte=6544
UI/Lobby/Pending,%playerName% (Oczekuje...)=6545
UI/Lobby/Remove,Usuń=6546
UI/Lobby/SetComputerDifficulty,Trudność: %difficulty% /// Set Difficulty: %difficulty%=6547
UI/Lobby/SetReferee,Przełącz na sędziego=6548
UI/Lobby/SetSpectator,Przełącz na widza=6549
UI/Lobby/Swap,Przenieś gracza tutaj: %playerName%=6550
UI/LobbyInvitePanel/RequestMessageNew,%userName% zaprasza cię do gry dowolnej.=6551
UI/LobbyInvitePanel/RequestMessageResume,%userName% zaprasza cię do gry poczekalni wznowienia powtórki.=6552
UI/LobbyInvitePanel/RequestMessageWatch,%userName% zaprasza cię do gry poczekalni powtórki w trybie wieloosobowym.=6553
UI/LobbyInvitePanel/SuggestMessageNew,%senderUserName% proponuje dodanie użytkownika %suggestedUserName% do gry=6554
UI/LobbyInvitePanel/SuggestMessageResume,%senderUserName% proponuje dodanie użytkownika %suggestedUserName% do poczekalni wznowienia powtórki=6555
UI/LobbyInvitePanel/SuggestMessageWatch,%senderUserName% proponuje dodanie użytkownika %suggestedUserName% do poczekalni powtórki w trybie wieloosobowym=6556
UI/LocalGameList,Lokalna lista gier /// Local Game List=6557
UI/Location_Colon,Miejsce: /// Location:=6558
UI/LockedTechTreeStructureName,Zablokowane=6559
UI/LockedTechTreeUnitName,Zablokowane=6560
UI/Log,Pień=6561
UI/LogMessagePanel/ClearButton/Tooltip,Wyczyść komunikaty o błędach=6562
UI/LogMessagePanel/ShowErrorsCheckbox/Tooltip,Pokaż wiadomości błędów /// Show Error Messages=6563
UI/LogMessagePanel/ShowNotificationsCheckbox/Tooltip,Pokaż wiadomości powiadomień /// Show Notification Messages=6564
