Actor/EditorSuffix/GuideVisualQuadSplat,(Deprecated)=0
Actor/Name/HellionAttackDamageSite,Hellion Attack Damage Site=2725
Actor/Name/HellionAttackDamageSiteOpForward,Hellion Attack Damage Site Op Forward=2726
Actor/Name/HellionTreeKiller,Hellion Tree Killer=2727
Actor/Name/HellionTurret,Hellion Turret=2728
Actor/Name/HellionUpgradedAttack,Hellion Upgraded Attack=2729
Actor/Name/HellionUpgradedAttackDamageReaction,Hellion Upgraded Attack Damage Reaction=2730
Actor/Name/HellionUpgradedAttackDamageReactionStructure,Hellion Upgraded Attack Damage Reaction Structure=2731
Actor/Name/HelperEmitterSelectionArrow,Helper Arrow=2732
Actor/Name/HerculesACGluescreenDummy,Hercules=2733
Actor/Name/HighTemplar,High Templar=2734
Actor/Name/HighTemplarACGluescreenDummy,High Templar=2735
Actor/Name/HighTemplarHallucination,High Templar Hallucination=2736
Actor/Name/HighTemplarPhaseShiftSound,High Templar Phase Shift Sound=2737
Actor/Name/HighTemplarPsiPStormImpactSound,High Templar Psi PStorm Impact Sound=2738
Actor/Name/HighTemplarPsiStormImpact,High Templar Psi Storm Impact=2739
Actor/Name/HighTemplarPsiStormLaunchSound,High Templar Psi Storm Launch Sound=2740
Actor/Name/HighTemplarPsiStormModel,High Templar Psi Storm Model=2741
Actor/Name/HighTemplarPsiStormShieldHitter,High Templar Psi Storm Shield Hitter=2742
Actor/Name/HighTemplarPsiStormSound,High Templar Psi Storm Sound=2743
Actor/Name/HighTemplarShadow,High Templar Shadow=2744
Actor/Name/HighTemplar_Death,HighTemplar_Death /// HighTemplar_Death=2745
Actor/Name/HighYieldActiveCrystals,High Yield Active Crystals=2746
Actor/Name/HighYieldConveyorBelt,High Yield Conveyor Belt=2747
Actor/Name/HighYieldMineralCart,High Yield Mineral Cart=2748
Actor/Name/HighYieldMineralField,High Yield Mineral Field=2749
Actor/Name/HighYieldMineralFieldSplat,High Yield Mineral Field Splat=2750
Actor/Name/HighYieldMineralFieldSplatSmall,High Yield Mineral Field Splat Small=2751
Actor/Name/HighYieldStorage,High Yield Storage=2752
Actor/Name/Hive,Hive=2753
Actor/Name/HoldingPenDoodad,Holding Pen=2754
Actor/Name/HomeLarge,Colonist Home Large=2755
Actor/Name/HomeLargeDoodad,Home Large=2756
Actor/Name/HomeSmall,Colonist Home Small=2757
Actor/Name/HomeSmallDoodad,Home Small=2758
Actor/Name/HunterSeekerAttack,Hunter Seeker Attack=2759
Actor/Name/HunterSeekerAttackMissile,Hunter Seeker Attack Missile=2760
Actor/Name/HunterSeekerFailDeath,Hunter Seeker Fail Death=2761
Actor/Name/HunterSeekerFailSound,Hunter Seeker Fail Sound=2762
Actor/Name/HunterSeekerHappySound,Hunter Seeker Happy Sound=2763
Actor/Name/HunterSeekerLaunchSound,Hunter Seeker Launch Sound=2764
Actor/Name/HunterSeekerRange,Hunter Seeker Range=2765
Actor/Name/HunterSeekerTrackingBeam,Hunter Seeker Tracking Beam=2766
Actor/Name/Hydralisk,Hydralisk=2767
Actor/Name/HydraliskACGluescreenDummy,Hydralisk=2768
Actor/Name/HydraliskAirAttack,Hydralisk Air Attack=2769
Actor/Name/HydraliskAirAttackMissile,Hydralisk Air Attack Missile=2770
Actor/Name/HydraliskAttack,Hydralisk Attack=2771
Actor/Name/HydraliskAttackImpactModel,Hydralisk Attack Impact Model=2772
Actor/Name/HydraliskAttackMissile,Hydralisk Attack Missile=2773
Actor/Name/HydraliskBurrowedSplat,Hydralisk Burrowed Splat=2774
Actor/Name/HydraliskDen,Hydralisk Den=2775
Actor/Name/HydraliskDenBuild,Hydralisk Den Build=2776
Actor/Name/HydraliskGroundAttack,Hydralisk Ground Attack=2777
Actor/Name/HydraliskGroundAttackMissile,Hydralisk Ground Attack Missile=2778
Actor/Name/HydraliskLurkerACGluescreenDummy,Hydralisk=2779
Actor/Name/HydraliskMeleeAttack,Hydralisk Melee Attack=2780
Actor/Name/HydraliskMeleeAttackLaunch,Hydralisk Melee Attack Launch=2781
Actor/Name/Hydralisk_Death,Hydralisk_Death /// Hydralisk_Death=2782
Actor/Name/Immortal,Immortal=2783
Actor/Name/ImmortalACGluescreenDummy,Immortal=2784
Actor/Name/ImmortalAttack,Immortal Attack=2785
Actor/Name/ImmortalTurret,Immortal Turret=2786
Actor/Name/Immortoid,Immortoid=2787
Actor/Name/InfestationPit,Infestation Pit=2788
Actor/Name/InfestationPitBuild,Infestation Pit Build=2789
Actor/Name/InfestedTerranAttackImpact,Infested Terran Attack Impact=2790
Actor/Name/InfestedTerranEggDeath,Infested Terran Egg Death=2791
Actor/Name/InfestedTerranHatch,Infested Terran Hatch=2792
Actor/Name/InfestedTerrans,Infested Swarm=2793
Actor/Name/InfestedTerransEgg,Infested Swarm Egg=2794
Actor/Name/InfestedTerransMissile,Infested Swarm Missile=2795
Actor/Name/InfestedTerransRange,Infested Terrans Range=2796
Actor/Name/Infestor,Infestor=2797
Actor/Name/InfestorBurrowedSplat,Infestor Burrowed Splat=2798
Actor/Name/InfestorTerran,Infestor Terran=2799
Actor/Name/InfestorTerranAttack,Infestor Terran Attack=2800
Actor/Name/InfestorTerranBurrowedSplat,Infestor Terran Burrowed Splat=2801
Actor/Name/Infestor_Death,Infestor_Death /// Infestor_Death=2802
Actor/Name/Interceptor,Interceptor=2803
Actor/Name/InterceptorAttack,Interceptor Attack=2804
Actor/Name/InterceptorAttackBeam,Interceptor Attack Beam=2805
Actor/Name/InterceptorAttackImpactModel,Interceptor Attack Impact Model=2806
Actor/Name/InvisibleCurtain,Curtain (LOS BLOCKER)=2807
Actor/Name/JoriumStockpileDoodad,Jorium Stockpile=2808
Actor/Name/JunkPileSpaceShips,Deadman's Port Spaceship Junk Pile=2809
Actor/Name/KarakFemale,Karak Female=2810
Actor/Name/KarakMale,Karak Male=2811
Actor/Name/KhaydarinMonolithACGluescreenDummy,Khaydarin Monolith=2812
Actor/Name/Killwall,Execution Wall=2813
Actor/Name/KillwallLarge,Execution Wall Large=2814
Actor/Name/KnockbackAnim,Knockback Anim=2815
Actor/Name/KorhalBridgeLongDestroyed,Korhal Bridge Long Destroyed=2816
Actor/Name/KorhalBuilding,Korhal Building=2817
Actor/Name/KorhalBuildingDebris,Korhal Building Debris=2818
Actor/Name/KorhalBuildingWrecked,Korhal Building Wrecked=2819
Actor/Name/KorhalBuildingWreckedSmall,Korhal Building Wrecked Small=2820
Actor/Name/KorhalCurtain,Curtain (LOS BLOCKER)=2821
Actor/Name/KorhalFlag,Korhal Flag=2822
Actor/Name/KorhalLoneMarineStatue,Korhal Lone Marine Statue=2823
Actor/Name/KorhalStoreFront,Store Front=2824
Actor/Name/KorhalWraithSquadronStatue,Korhal Wraith Squadron Statue=2825
Actor/Name/LabWeaponCase,Lab Weapon Case=2826
Actor/Name/Lair,Lair=2827
Actor/Name/LandingLights,Landing Lights=2828
Actor/Name/LandingTower,Landing Tower=2829
Actor/Name/LargeBurrowDownEffects,Large Burrow Down Effects=2830
Actor/Name/LargeBurrowUpEffects,Large Burrow Up Effects=2831
Actor/Name/Larva,Larva=2832
Actor/Name/LarvaEggBirth,Larva Egg Birth=2833
Actor/Name/LarvaRelease,Larva Release=2834
Actor/Name/LarvaReleaseMissile,Larva Release Missile=2835
Actor/Name/LarvaTrain,Larva Train=2836
Actor/Name/Larva_Death,Larva_Death /// Larva_Death=2837
Actor/Name/LavaFlare,Lava Flare=2838
Actor/Name/LavaSplash,Lava Splash=2839
Actor/Name/LavaSplashBig,Lava Splash Big=2840
Actor/Name/Lavafall,Lavafall=2841
Actor/Name/LeechModel,Leech Model=2842
Actor/Name/LeechRange,Leech Range=2843
Actor/Name/Logo_LeaguePrimary,Logo - League Primary=2844
Actor/Name/Logo_LeagueSecondary,Logo - League Secondary=2845
Actor/Name/Logo_PlayerPrimary,Logo - Player Primary=2846
Actor/Name/Logo_PlayerSecondary,Logo - Player Secondary=2847
Actor/Name/LurkerACGluescreenDummy,Lurker=2848
Actor/Name/Lyote,Lyote=2849
Actor/Name/LyoteDeath,Lyote Death=2850
Actor/Name/Lyote_Death,Lyote_Death /// Lyote_Death=2851
Actor/Name/MULE,MULE=2852
Actor/Name/MULEReadySound,MULE Ready Sound=2853
Actor/Name/MULERepairSound,MULE Repair Sound=2854
Actor/Name/MammothFossils,Mammoth Fossils=2855
Actor/Name/MarSaraBones,Bones=2856
Actor/Name/MarSaraBridge,Bridge=2857
Actor/Name/MarSaraBridgeBLUR,Mar Sara Bridge BLUR=2858
Actor/Name/MarSaraBridgeBRUL,Mar Sara Bridge BRUL=2859
Actor/Name/MarSaraBridgeDestroyed,Bridge (Destroyed)=2860
Actor/Name/MarSaraBridgeLong,Bridge Long=2861
Actor/Name/MarSaraBridgeLongDestroyed,Bridge Long (Destroyed)=2862
Actor/Name/MarSaraBush,Bush=2863
Actor/Name/MarSaraCactus,Cactus=2864
Actor/Name/MarSaraCliffDoodadLarge,Cave=2865
Actor/Name/MarSaraCliffDoodadLargeLow,Cliff Doodad (Large Low) =2866
Actor/Name/MarSaraConveyorBelt,Conveyor Belt=2867
Actor/Name/MarSaraCrack,Cracks=2868
Actor/Name/MarSaraCurtain,Curtain (LOS BLOCKER)=2869
Actor/Name/MarSaraDirtPileLarge,Dirt Pile Large=2870
Actor/Name/MarSaraDirtPileSmall,Dirt Pile Small=2871
Actor/Name/MarSaraFoliage,Foliage - Mar Sara=2872
Actor/Name/MarSaraGroundProps,Ground Props=2873
Actor/Name/MarSaraMineCart,Mine Cart=2874
Actor/Name/MarSaraSkeletonLarge,Skeleton Large=2875
Actor/Name/MarSaraSkeletonSmall,Skeleton Small=2876
Actor/Name/MarSaraTree,Tree=2877
Actor/Name/MarSaraTreeDead,Tree - Mar Sara=2878
Actor/Name/MarSaraTunnel,Tunnel=2879
Actor/Name/MarSaraVine,Vine=2880
Actor/Name/Marauder,Marauder=2881
Actor/Name/MarauderACGluescreenDummy,Marauder=2882
Actor/Name/MarauderAttack,Marauder Attack=2883
Actor/Name/MarauderAttackBase,Marauder Attack Base=2884
Actor/Name/MarauderAttackMissile,Marauder Attack Missile=2885
Actor/Name/MarauderUpgradedAttack,Marauder Upgraded Attack=2886
Actor/Name/Marauder_Stimpack,Marauder_Stimpack /// Marauder_Stimpack=2887
Actor/Name/Marine,Marine=2888
Actor/Name/MarineACGluescreenDummy,Marine=2889
Actor/Name/MarineAttack,Marine Attack=2890
Actor/Name/MarineCheerSquib,Marine Cheer Squib=2891
Actor/Name/MarineCheerSquibSound,Marine Cheer Squib Sound=2892
Actor/Name/Marine_Death,Marine_Death /// Marine_Death=2893
Actor/Name/Marine_Stimpack,Marine_Stimpack /// Marine_Stimpack=2894
Actor/Name/MassRecallCursorSplat,Mass Recall Cursor Splat=2895
Actor/Name/MedicACGluescreenDummy,Medic=2896
Actor/Name/MediumBurrowDownEffects,Medium Burrow Down Effects=2897
Actor/Name/MediumBurrowUpEffects,Medium Burrow Up Effects=2898
Actor/Name/Medivac,Medivac=2899
Actor/Name/MedivacHealBeam,Medivac Heal Beam=2900
Actor/Name/MedivacHealBeamImpactSite,Medivac Heal Beam Impact Site=2901
Actor/Name/MedivacHealBeamLaunchSite,Medivac Heal Beam Launch Site=2902
Actor/Name/MedivacHealBeamRev1,Medivac Heal Beam Rev1=2903
Actor/Name/MedivacHealModel,Medivac Heal Model=2904
Actor/Name/MedivacHealModelRev1,Medivac Heal Model Rev1=2905
Actor/Name/MedivacHealSound,Medivac Heal Sound=2906
Actor/Name/MedivacHealSoundRev1,Medivac Heal Sound Rev1=2907
Actor/Name/MedivacHealSoundStart,Medivac Heal Sound Start=2908
Actor/Name/MedivacHealSoundStop,Medivac Heal Sound Stop=2909
Actor/Name/MedivacTransportAnim,MedivacTransport Anim=2910
Actor/Name/MedivacTransportLoadSound,MedivacTransport Load Sound=2911
Actor/Name/MedivacTransportUnloadSound,MedivacTransport Unload Sound=2912
Actor/Name/MeinhoffCrater,Crater=2913
Actor/Name/MeinhoffCraterLarge,Crater Large=2914
Actor/Name/MeinhoffCraterSmall,Crater Small=2915
Actor/Name/MeinhoffCurtain,Meinhoff=2916
Actor/Name/MengskStatue,Mengsk Statue (Unit)=2917
Actor/Name/MengskStatueAlone,Mengsk Statue Alone (Unit)=2918
Actor/Name/MengskStatueAloneDoodad,Mengsk Statue Alone (Doodad)=2919
Actor/Name/MercDropModel,Merc Drop Model=2920
Actor/Name/MercDropSOpShadow,Merc Drop SOp Shadow=2921
Actor/Name/MetalGateDiagonal,Metal Gate Diagonal=2922
Actor/Name/MetalGateStraight,Metal Gate Straight=2923
Actor/Name/MetalWall,Metal Wall=2924
Actor/Name/MetalWallCorner,Metal Wall Corner=2925
Actor/Name/MetalWallDiagonal,Metal Wall Diagonal=2926
Actor/Name/MineralBase,Mineral Base=2927
Actor/Name/MineralCart,Mineral Cart=2928
Actor/Name/MineralField,Mineral Field=2929
Actor/Name/MineralFieldSplat,Mineral Field Splat=2930
Actor/Name/MineralFieldSplatBase,Mineral Field Splat Base=2931
Actor/Name/MineralFieldSplatSmall,Mineral Field Splat Small=2932
Actor/Name/MiningBot,Mining Bot=2933
Actor/Name/MiningBotWrecked,Mining Bot Wrecked=2934
Actor/Name/MissilePodsAnim,Missile Pods Anim=2935
Actor/Name/MissileTurret,Missile Turret=2936
Actor/Name/MissileTurretACGluescreenDummy,Missile Turret=2937
Actor/Name/MissileTurretAttack,Missile Turret Attack=2938
Actor/Name/MissileTurretAttackMissile,Missile Turret Attack Missile=2939
Actor/Name/MissileTurretBuild,Missile Turret Build=2940
Actor/Name/MissileTurretProtectRange,Missile Turret Protect Range=2941
Actor/Name/MissileTurretSplat,Mi Tu Splat=2942
Actor/Name/MissileTurretTurret,Mi Tu Turret=2943
Actor/Name/MonlythArchway,Monlyth Archway=2944
Actor/Name/MonlythArchwaySmall,Monlyth Archway Small=2945
Actor/Name/MonlythCrystals,Monlyth Crystals=2946
Actor/Name/MonlythCurtain,Monlyth=2947
Actor/Name/MonlythFoliage,Foliage Monlyth=2948
Actor/Name/MonlythHead,Monlyth Head=2949
Actor/Name/MonlythStonePieces,Monlyth Stone Pieces=2950
Actor/Name/MonlythTree,Tree=2951
Actor/Name/MonoCar,Monorail Car=2952
Actor/Name/MonoRailEngine,Monorail Engine=2953
Actor/Name/MonoTrackBend90,Monorail Track 90 degree bend (U-R)=2954
Actor/Name/MonoTrackBend90_180,Monorail Track 90 degree bend (B-L)=2955
Actor/Name/MonoTrackBend90_270,Monorail Track 90 degree bend (B-R)=2956
Actor/Name/MonoTrackBend90_90,Monorail Track 90 degree bend (U-L)=2957
Actor/Name/MonoTrackBendLeft45,Monorail Track slow bend (UL-B)=2958
Actor/Name/MonoTrackBendLeft45_180,Monorail Track slow bend (U-BR)=2959
Actor/Name/MonoTrackBendLeft45_270,Monorail Track slow bend (UR-L)=2960
Actor/Name/MonoTrackBendLeft45_90,Monorail Track slow bend (BL-R)=2961
Actor/Name/MonoTrackBendRight45,Monorail Track slow bend (UR-B)=2962
Actor/Name/MonoTrackBendRight45_180,Monorail Track slow bend (U-BL)=2963
Actor/Name/MonoTrackBendRight45_270,Monorail Track slow bend (BR-L)=2964
Actor/Name/MonoTrackBendRight45_90,Monorail Track slow bend (UL-R)=2965
Actor/Name/MonoTrackDestroyed0,Monorail Track destroyed (B)=2966
Actor/Name/MonoTrackDestroyed180,Monorail Track destroyed (U)=2967
Actor/Name/MonoTrackDestroyed270,Monorail Track destroyed (L)=2968
Actor/Name/MonoTrackDestroyed90,Monorail Track destroyed (R)=2969
Actor/Name/MonoTrackDiagonalULDR,Monorail Track straight diagonal (UL-BR)=2970
Actor/Name/MonoTrackDiagonalURDL,Monorail Track straight diagonal (UR-BL)=2971
Actor/Name/MonoTrackHorizontal,Monorail Track straight horizontal (L-R)=2972
Actor/Name/MonoTrackPost,Monorail Track Post=2973
Actor/Name/MonoTrackVertical,Monorail Track straight vertical (U-B)=2974
Actor/Name/MotherShipBeaconLight,Mother Ship Beacon Light=2975
Actor/Name/Mothership,Mothership=2976
Actor/Name/MothershipAttack,Mothership Attack=2977
Actor/Name/MothershipAttackBeam,Mothership Attack Beam=2978
Actor/Name/MothershipAttackImpact,Mothership Attack Impact=2979
Actor/Name/MothershipDeathModel,Mothership Death Model=2980
Actor/Name/MothershipRotateTurret,Mothership Rotate Turret=2981
Actor/Name/MothershipSecondaryAttack,Mothership Secondary Attack=2982
Actor/Name/MothershipSecondaryAttackBeam,Mothership Secondary Attack Beam=2983
Actor/Name/MothershipTeleportIn,Mothership Teleport In=2984
Actor/Name/MothershipTeleportOut,Mothership Teleport Out=2985
Actor/Name/Mothership_CloakFieldOff,Mothership_CloakFieldOff /// Mothership_CloakFieldOff=2986
Actor/Name/Mothership_CloakFieldOn,Mothership_CloakFieldOn /// Mothership_CloakFieldOn=2987
Actor/Name/MuleGatherMinerals,Mule Gather Minerals=2988
Actor/Name/MultiKillObject,Multi Kill Object=2989
Actor/Name/Mutalisk,Mutalisk=2990
Actor/Name/MutaliskACGluescreenDummy,Mutalisk=2991
Actor/Name/MutaliskAttackSegment1,Mutalisk Attack Segment 1=2992
Actor/Name/MutaliskAttackSegment1ImpactSite,Mutalisk Attack Segment 1 Impact Site=2993
Actor/Name/MutaliskAttackSegment1Missile,Mutalisk Attack Segment 1 Missile=2994
Actor/Name/MutaliskAttackSegment2,Mutalisk Attack Segment 2=2995
Actor/Name/MutaliskAttackSegment2ImpactSite,Mutalisk Attack Segment 2 Impact Site=2996
Actor/Name/MutaliskAttackSegment2Missile,Mutalisk Attack Segment 2 Missile=2997
Actor/Name/MutaliskAttackSegment3,Mutalisk Attack Segment 3=2998
Actor/Name/MutaliskAttackSegment3ImpactSite,Mutalisk Attack Segment 3 Impact Site=2999
Actor/Name/MutaliskAttackSegment3Missile,Mutalisk Attack Segment 3 Missile=3000
Actor/Name/MutaliskBroodlordACGluescreenDummy,Mutalisk=3001
Actor/Name/MutaliskEggBirth,Mutalisk Egg Birth=3002
Actor/Name/Mutalisk_Death,Mutalisk_Death /// Mutalisk_Death=3003
Actor/Name/NeuralParasite,Neural Parasite=3004
Actor/Name/NeuralParasiteBirthSound,NeuralParasiteBirthSound=3005
Actor/Name/NeuralParasiteMissile,Neural Parasite Missile=3006
Actor/Name/NeuralParasiteModel,Neural Parasite Model=3007
Actor/Name/NeuralParasiteRange,Neural Parasite Range=3008
Actor/Name/NeuralParasiteSound,Neural Parasite Sound=3009
Actor/Name/NeuralParasiteTentacle,Neural Parasite Tentacle=3010
Actor/Name/NeuralParasiteTentacleLaunchSite,Neural Parasite Tentacle Launch Site=3011
Actor/Name/NewFolsomCurtain,New Folsom=3012
Actor/Name/NewFolsomEquipment,New Folsom Equipment=3013
Actor/Name/NewFolsomFlameGeyser,Flame Geyser=3014
Actor/Name/NewFolsomLockers,New Folsom Lockers=3015
Actor/Name/NewFolsomMisc,New Folsom Misc=3016
Actor/Name/NewFolsomPrisonCell,New Folsom Prison Cell=3017
Actor/Name/NewFolsomPrisonTower,New Folsom Prison Tower=3018
Actor/Name/NewFolsomRockLarge,Rock Large=3019
Actor/Name/NewFolsomRockMedium,Rock Medium=3020
Actor/Name/NewFolsomRockSmall,Rock Small=3021
Actor/Name/NewFolsomSandbags,New Folsom Sandbags=3022
Actor/Name/Nexus,Nexus=3023
Actor/Name/NexusSplat,Nexus Splat=3024
Actor/Name/NuclearReactor,Nuclear Reactor=3025
Actor/Name/NuclearReactorSplat,Nuclear Reactor Splat=3026
Actor/Name/Nuke,Nuke=3027
Actor/Name/NukeTreeKiller,Nuke Tree Killer=3028
Actor/Name/NukedQuery,Nuked Query=3029
Actor/Name/NydusCanal,Nydus Canal=3030
Actor/Name/NydusCanalPlacement,Nydus Canal Placement=3031
Actor/Name/NydusCanalTransportLoadSound,Nydus Canal Transport Load Sound=3032
Actor/Name/NydusCanalTransportUnloadSound,Nydus Canal Transport Unload Sound=3033
Actor/Name/NydusNetwork,Nydus Network=3034
Actor/Name/NydusNetworkBuild,Nydus Network Build=3035
Actor/Name/NydusRumble,Nydus Rumble=3036
Actor/Name/NydusWormACGluescreenDummy,Nydus Network=3037
Actor/Name/NydusWorm_Birth,NydusWorm_Birth /// NydusWorm_Birth=3038
Actor/Name/NydusWorm_DeathCry,NydusWorm_DeathCry /// NydusWorm_DeathCry=3039
Actor/Name/Nydus_ConstructionFinish,Nydus_ConstructionFinish /// Nydus_ConstructionFinish=3040
Actor/Name/Nydus_ConstructionStart,Nydus_ConstructionStart /// Nydus_ConstructionStart=3041
Actor/Name/Nydus_Unburrow,Nydus_Unburrow /// Nydus_Unburrow=3042
Actor/Name/ObeliskEffect,Obelisk Effect=3043
Actor/Name/Observatory,Observatory=3044
Actor/Name/Observer,Observer=3045
Actor/Name/ObserverACGluescreenDummy,Observer=3046
Actor/Name/OilSplash,Oil Splash=3047
Actor/Name/OmegaNetworkACGluescreenDummy,Omega Network=3048
Actor/Name/OracleACGluescreenDummy,Oracle=3049
Actor/Name/OrbitDemo1,Orbit Demo1=3050
Actor/Name/OrbitDemo1Addition,Orbit Demo1 Addition=3051
Actor/Name/OrbitDemo2,Orbit Demo2=3052
Actor/Name/OrbitDemo2Addition_1,Orbit Demo2 Addition_1=3053
Actor/Name/OrbitDemo2Addition_2,Orbit Demo2 Addition_2=3054
Actor/Name/OrbitDemo3,Orbit Demo3=3055
Actor/Name/OrbitDemo3Addition_1,Orbit Demo3 Addition_1=3056
Actor/Name/OrbitDemo3Addition_2,Orbit Demo3 Addition_2=3057
Actor/Name/OrbitDemo3Addition_3,Orbit Demo3 Addition_3=3058
Actor/Name/OrbitDemo3Addition_4,Orbit Demo3 Addition_4=3059
Actor/Name/OrbitDemo4,Orbit Demo4=3060
Actor/Name/OrbitDemo4Addition_1,Orbit Demo4 Addition_1=3061
Actor/Name/OrbitDemo4Addition_2,Orbit Demo4 Addition_2=3062
Actor/Name/OrbitDemo4Addition_3,Orbit Demo4 Addition_3=3063
Actor/Name/OrbitDemo4Addition_4,Orbit Demo4 Addition_4=3064
Actor/Name/OrbitDemo4Addition_5,Orbit Demo4 Addition_5=3065
Actor/Name/OrbitDemo5,Orbit Demo5=3066
Actor/Name/OrbitDemo5Addition,Orbit Demo5 Addition=3067
Actor/Name/OrbitDemo6,Orbit Demo6=3068
Actor/Name/OrbitDemo6Addition,Orbit Demo6 Addition=3069
Actor/Name/OrbitDemo7,Orbit Demo7=3070
Actor/Name/OrbitDemo7Addition_1,Orbit Demo7 Addition_1=3071
Actor/Name/OrbitDemo7Addition_2,Orbit Demo7 Addition_2=3072
Actor/Name/OrbitDemo7Addition_3,Orbit Demo7 Addition_3=3073
Actor/Name/OrbitalCommand,Orbital Command=3074
Actor/Name/OrbitalCommandACGluescreenDummy,Orbital Command=3075
Actor/Name/OrbitalCommandLand,Orbital Command Land=3076
Actor/Name/OrbitalCommandSplat,Orbital Command Splat=3077
Actor/Name/OrbitalCommand_CalldownExtraSuppliesDrop,Calldown Extra Supplies Drop=3078
Actor/Name/OrbitalCommand_CalldownExtraSuppliesImpact,Calldown Extra Supplies Impact=3079
Actor/Name/OrbitalCommand_CalldownMuleDrop,Calldown Mule Drop=3080
Actor/Name/OrbitalCommand_CalldownMuleImpact,Calldown Mule Impact=3081
Actor/Name/Outhouse,Outhouse=3082
Actor/Name/Overlord,Overlord=3083
Actor/Name/OverlordCocoon,Overlord Cocoon=3084
Actor/Name/OverlordCocoonDeath,Overlord Cocoon Death=3085
Actor/Name/OverlordEggBirth,Overlord Egg Birth=3086
Actor/Name/OverlordEgg_Death,OverlordEgg_Death /// OverlordEgg_Death=3087
Actor/Name/OverlordGenerateCreepModel,Overlord Generate Creep Model=3088
Actor/Name/OverlordGenerateCreepSound,Overlord Generate Creep Sound=3089
Actor/Name/OverlordTransportLoadSound,Overlord Transport Load Sound=3090
Actor/Name/OverlordTransportUnloadSound,Overlord Transport Unload Sound=3091
Actor/Name/OverlordUnload,Overlord Unload=3092
Actor/Name/Overlord_Death,Overlord_Death /// Overlord_Death=3093
Actor/Name/Overseer,Overseer=3094
Actor/Name/OverseerACGluescreenDummy,Overseer=3095
Actor/Name/Overseer_Death,Overseer_Death /// Overseer_Death=3096
Actor/Name/PathingBlocker1x1,Pathing Blocker 1x1=3097
Actor/Name/PathingBlocker1x1Doodad,Pathing Blocker 1x1=3098
Actor/Name/PathingBlocker2x2,Pathing Blocker 2x2=3099
Actor/Name/PathingBlocker2x2Doodad,Pathing Blocker 2x2=3100
Actor/Name/PathingBlocker45DegreesDoodad,Pathing Blocker 45 Degrees=3101
Actor/Name/PathingandSightBlocker1x1Doodad,Pathing and Sight Blocker 1x1 Doodad=3102
Actor/Name/PathingandSightBlocker2x2Doodad,Pathing and Sight Blocker 2x2 Doodad=3103
Actor/Name/PerditionTurretACGluescreenDummy,Perdition Turret=3104
Actor/Name/PhaseShiftOpacity,Phase Shift Opacity=3105
Actor/Name/PhasingMode,Phasing Mode=3106
Actor/Name/Phoenix,Phoenix=3107
Actor/Name/PhoenixAirAttackLeft,Phoenix Air Attack Left=3108
Actor/Name/PhoenixAirAttackMissile,Phoenix Air Attack Missile=3109
Actor/Name/PhoenixAirAttackRight,Phoenix Air Attack Right=3110
Actor/Name/PhoenixAiurACGluescreenDummy,Phoenix=3111
Actor/Name/PhoenixPurifierACGluescreenDummy,Mirage=3112
Actor/Name/PhoenixWarpInStargate,Phoenix Warp In Stargate=3113
Actor/Name/PhotonCannon,Photon Cannon=3114
Actor/Name/PhotonCannonACGluescreenDummy,Photon Cannon=3115
Actor/Name/PhotonCannonAttack,Photon Cannon Attack=3116
Actor/Name/PhotonCannonAttackMissile,Photon Cannon Attack Missile=3117
Actor/Name/PhotonCannonProtectRange,Photon Cannon Protect Range=3118
Actor/Name/PhotonCannonSplat,Photon Cannon Splat=3119
Actor/Name/PhotonCannonTurret,Photon Cannon Turret=3120
Actor/Name/PickupTextDefault,Pickup Text Default=3121
Actor/Name/PickupTextMover,Pickup Text Mover=3122
Actor/Name/PingPanelBeaconAttack,Ping Panel Beacon Attack=3123
Actor/Name/PingPanelBeaconDefend,Ping Panel Beacon Defend=3124
Actor/Name/PingPanelBeaconOnMyWay,Ping Panel Beacon On My Way=3125
Actor/Name/PingPanelBeaconRetreat,Ping Panel Beacon Retreat=3126
Actor/Name/PipesCap,Pipes End Cap=3127
Actor/Name/PipesCorner,Pipes Corner=3128
Actor/Name/PipesCorner45,Pipes Corner 45=3129
Actor/Name/PipesLong,Pipes Long=3130
Actor/Name/PipesLong45,Pipes Long 45=3131
Actor/Name/PipesShort,Pipes Short=3132
Actor/Name/PipesShort45,Pipes Short 45=3133
Actor/Name/PipesStack,Pipes Stack=3134
Actor/Name/PlaceholderProt,Placeholder Prot=3135
Actor/Name/PlaceholderTerr,Placeholder Terr=3136
Actor/Name/PlaceholderZerg,Placeholder Zerg=3137
Actor/Name/PlanetaryFortress,Planetary Fortress=3138
Actor/Name/PlanetaryFortressAttack,Planetary Fortress Attack=3139
Actor/Name/PlanetaryFortressSplat,PlanetaryFortressSplat=3140
Actor/Name/PlanetaryFortressTurret,Planetary Fortress Turret=3141
Actor/Name/PlantsAlien,Plants, Alien=3142
Actor/Name/PlantsJungle,Plants, Jungle=3143
Actor/Name/PlantsWasteland,Plants, Wasteland=3144
Actor/Name/PlayerTrophyRotator,Player Trophy Rotator=3145
Actor/Name/PointDefenseBeamImpact,Point Defense Beam Impact=3146
Actor/Name/PointDefenseDrone,Point Defense Drone=3147
Actor/Name/PointDefenseDroneAttackBeam,Point Defense Drone Attack Beam=3148
Actor/Name/PointDefenseDroneAttackImpactSound,Point Defense Drone Attack Impact Sound=3149
