RequirementNode/Name/1,1=0
Effect/EditorPrefix/EnthrallerQuillsLMR,Cataract -=1803
Effect/EditorPrefix/Equipped,Tesla -=1804
Effect/EditorPrefix/EquippedRemove,Tesla -=1805
Effect/EditorPrefix/EroderEnervate,Eroder -=1806
Effect/EditorPrefix/EvisceratorSpines,Reviler -=1807
Effect/EditorPrefix/EvisceratorSpinesLM,Reviler -=1808
Effect/EditorPrefix/EvisceratorSpinesLMDummy,Reviler -=1809
Effect/EditorPrefix/ExplosiveGlobCP,Casnolisk -=1810
Effect/EditorPrefix/ExplosiveGlobDMG,Casnolisk -=1811
Effect/EditorPrefix/ExplosiveGlobImpactDummy,Casnolisk -=1812
Effect/EditorPrefix/ExplosiveGlobLM,Casnolisk -=1813
Effect/EditorPrefix/ExplosiveGlobSA,Casnolisk -=1814
Effect/EditorPrefix/ExplosiveGobImpactDummy,Casnolisk -=1815
Effect/EditorPrefix/ExplosiveGobImpactSet,Casnolisk -=1816
Effect/EditorPrefix/ExplosiveGobSA,Casnolisk -=1817
Effect/EditorPrefix/Extermination,Exterminator -=1818
Effect/EditorPrefix/FeedingPoolHealAura,Feeding Pool -=1819
Effect/EditorPrefix/FeedingPoolHealAuraCP,Feeding Pool -=1820
Effect/EditorPrefix/FeedingPoolHealAuraMU,Feeding Pool -=1821
Effect/EditorPrefix/FeedingPoolHealAuraSA,Feeding Pool -=1822
Effect/EditorPrefix/FeedingPoolHealingAura,Feeding Pool -=1823
Effect/EditorPrefix/FlashGrenade,Aquila -=1824
Effect/EditorPrefix/ForceBlast,Cataract -=1825
Effect/EditorPrefix/FrenzyInjection,Xayithoan -=1826
Effect/EditorPrefix/FrenzySink,Xayithoan -=1827
Effect/EditorPrefix/GamutOrb,Inducer -=1828
Effect/EditorPrefix/GamutOrb2,Inducer -=1829
Effect/EditorPrefix/GamutOrbLM,Inducer -=1830
Effect/EditorPrefix/GamutOrbLMImpact,Inducer -=1831
Effect/EditorPrefix/GamutOrbRM,Inducer -=1832
Effect/EditorPrefix/GamutOrbRMImpact,Inducer -=1833
Effect/EditorPrefix/GamutOrbRedirect,Inducer -=1834
Effect/EditorPrefix/HalationPlasma,Aurora -=1835
Effect/EditorPrefix/HalationPlasmaLM,Aurora -=1836
Effect/EditorPrefix/HalationPlasmaLMImpact,Aurora -=1837
Effect/EditorPrefix/HalifaxGrenadesDMG,Inciter -=1838
Effect/EditorPrefix/HalifaxGrenadesFDMG,Inciter -=1839
Effect/EditorPrefix/HalifaxGrenadesLM,Inciter -=1840
Effect/EditorPrefix/HalifaxGrenadesLMImpact,Inciter -=1841
Effect/EditorPrefix/HealAuraAB,Feeding Pool -=1842
Effect/EditorPrefix/HealAuraCP,Feeding Pool -=1843
Effect/EditorPrefix/HealAuraMU,Feeding Pool -=1844
Effect/EditorPrefix/HealAuraSA,Feeding Pool -=1845
Effect/EditorPrefix/HellraiserGunLM,Badger -=1846
Effect/EditorPrefix/HellraiserGuns,Badger -=1847
Effect/EditorPrefix/HellraiserGunsDMG,Badger -=1848
Effect/EditorPrefix/HellraiserGunsImpact,Badger -=1849
Effect/EditorPrefix/HeraldEnergyCannonsLM,Harbinger -=1850
Effect/EditorPrefix/HeraldEnergyCannonsLMImpact,Harbinger -=1851
Effect/EditorPrefix/HurricaneMissilesLM,Torrent -=1852
Effect/EditorPrefix/HurricaneMissilesLMImpact,Torrent -=1853
Effect/EditorPrefix/IBF7FamethrowerSet,Blaze -=1854
Effect/EditorPrefix/IBF7Flamethrower,Blaze -=1855
Effect/EditorPrefix/IBF7FlamethrowerDMG,Blaze -=1856
Effect/EditorPrefix/IgnitionBlastDMG,Boar -=1857
Effect/EditorPrefix/IgnitionBlastSA,Boar -=1858
Effect/EditorPrefix/IncendiaryGrenadesLM,Inciter -=1859
Effect/EditorPrefix/IncendiaryInfusionAA,Exterminator -=1860
Effect/EditorPrefix/IncendiaryInfusionAG,Exterminator -=1861
Effect/EditorPrefix/IncendiaryInfusionDMG,Exterminator -=1862
Effect/EditorPrefix/IncendiaryInfusionSAA,Exterminator -=1863
Effect/EditorPrefix/IncendiaryInfusionSAG,Exterminator -=1864
Effect/EditorPrefix/IncendiaryInfusionSwitch,Exterminator -=1865
Effect/EditorPrefix/InducerGamutOrb,Inducer -=1866
Effect/EditorPrefix/LancerAutogun,Badger -=1867
Effect/EditorPrefix/LancerAutogunDMG,Badger -=1868
Effect/EditorPrefix/LancerAutogunImpact,Badger -=1869
Effect/EditorPrefix/LancerAutogunsLMDMG,Badger -=1870
Effect/EditorPrefix/LaunchCloakCharge,Tesla -=1871
Effect/EditorPrefix/LaunchCloakChargeImpact,Tesla -=1872
Effect/EditorPrefix/LaunchCloakChargeLS,Tesla -=1873
Effect/EditorPrefix/LaunchShockCharge,Tesla -=1874
Effect/EditorPrefix/LaunchShockChargeImpact,Tesla -=1875
Effect/EditorPrefix/LaunchShockChargeImpact2,Tesla -=1876
Effect/EditorPrefix/LaunchShockChargeLS,Tesla -=1877
Effect/EditorPrefix/Lunge,Myriad -=1878
Effect/EditorPrefix/LynxCannon,Mole -=1879
Effect/EditorPrefix/LynxCannonImpact,Mole -=1880
Effect/EditorPrefix/LynxCannonLM,Mole -=1881
Effect/EditorPrefix/MassiveSporeAA,Massalisk -=1882
Effect/EditorPrefix/MassiveSporeAG,Massalisk -=1883
Effect/EditorPrefix/MediumOutputModeApply,Torrent -=1884
Effect/EditorPrefix/MediumOutputRemove,Torrent -=1885
Effect/EditorPrefix/Mend,Mendling -=1886
Effect/EditorPrefix/MendMU,Mendling -=1887
Effect/EditorPrefix/MiningPrioritySearchArea,Processing Core -=1888
Effect/EditorPrefix/NaniteGrenade,Aquila -=1889
Effect/EditorPrefix/NaniteGrenadeAB,Aquila -=1890
Effect/EditorPrefix/NaniteGrenadeGrenadeAB,Aquila -=1891
Effect/EditorPrefix/NaniteGrenadeImpact,Aquila -=1892
Effect/EditorPrefix/NaniteGrenadeLMImpact,Aquila -=1893
Effect/EditorPrefix/NemesisMissilesLM,Avenger -=1894
Effect/EditorPrefix/NemesisMissilesLMDMG,Avenger -=1895
Effect/EditorPrefix/NemesisMissilesLMImpact,Avenger -=1896
Effect/EditorPrefix/NeutralizerBeamLM,Interdictor -=1897
Effect/EditorPrefix/NeutralizerBeamLMImpact,Interdictor -=1898
Effect/EditorPrefix/NullifierMissilesDummy,Interdictor -=1899
Effect/EditorPrefix/ProcessingPower,Node -=1900
Effect/EditorPrefix/ProcessorActivated,Processing Core -=1901
Effect/EditorPrefix/ProcessorActive,Processor -=1902
Effect/EditorPrefix/ProcessorAnalyzeWeaknessSA,Processor -=1903
Effect/EditorPrefix/ProcessorFate,Processor -=1904
Effect/EditorPrefix/ProcessorFateSet,Processor -=1905
Effect/EditorPrefix/ProcessorSystemRechargeCH,Processor -=1906
Effect/EditorPrefix/ProjectionCP,Pariah -=1907
Effect/EditorPrefix/ProjectionIM,Pariah -=1908
Effect/EditorPrefix/ProjectionIME,Pariah -=1909
Effect/EditorPrefix/ProjectionIO,Pariah -=1910
Effect/EditorPrefix/ProtectiveCloud,Xayithoan -=1911
Effect/EditorPrefix/ProtectiveCloudAB,Xayithoan -=1912
Effect/EditorPrefix/ProtectiveCloudCP,Xayithoan -=1913
Effect/EditorPrefix/ProtectiveCloudSA,Xayithoan -=1914
Effect/EditorPrefix/ProtectiveCloudSet,Xayithoan -=1915
Effect/EditorPrefix/Psythe,Pariah -=1916
Effect/EditorPrefix/RemoveCloakCharge,Tesla -=1917
Effect/EditorPrefix/ResidualAcid,Prowler -=1918
Effect/EditorPrefix/ResidualAcidCP,Prowler -=1919
Effect/EditorPrefix/ResidualAcidDMG,Prowler -=1920
Effect/EditorPrefix/ResidualAcidSA,Prowler -=1921
Effect/EditorPrefix/ReverbCasterController,Echo -=1922
Effect/EditorPrefix/ReverbCasterTeleportController,Echo -=1923
Effect/EditorPrefix/ReverbDummyEffect,Echo -=1924
Effect/EditorPrefix/ReverbFateBounds,Echo -=1925
Effect/EditorPrefix/ReverbFateMU,Echo -=1926
Effect/EditorPrefix/ReverbFateSet,Echo -=1927
Effect/EditorPrefix/ReverbRB,Echo -=1928
Effect/EditorPrefix/ReverbRRB,Echo -=1929
Effect/EditorPrefix/ReverbTeleport,Echo -=1930
Effect/EditorPrefix/ReverbTeleportController,Echo -=1931
Effect/EditorPrefix/ReverberatorFlare,Echo -=1932
Effect/EditorPrefix/RiotGun,Spitfire -=1933
Effect/EditorPrefix/SacrificialMutationHealMU,Mendling -=1934
Effect/EditorPrefix/SacrificialMutationHealSA,Mendling -=1935
Effect/EditorPrefix/ScavengerClaws,Scavenger -=1936
Effect/EditorPrefix/ScavengerSpawnClaws,Scavenger Spawn -=1937
Effect/EditorPrefix/Scour,Roamer -=1938
Effect/EditorPrefix/ScourCP,Roamer -=1939
Effect/EditorPrefix/SearingSpores,Raptor -=1940
Effect/EditorPrefix/SearingSporesDMG,Raptor -=1941
Effect/EditorPrefix/ShadowCannon,Umbra -=1942
Effect/EditorPrefix/ShadowCannonDMG,Umbra -=1943
Effect/EditorPrefix/ShadowCannonImpact,Umbra -=1944
Effect/EditorPrefix/ShieldAura,Aegis -=1945
Effect/EditorPrefix/ShieldAuraAB,Aegis -=1946
Effect/EditorPrefix/ShieldAuraAF,Aegis -=1947
Effect/EditorPrefix/ShieldAuraCP,Aegis -=1948
Effect/EditorPrefix/ShockChargeAC,Tesla -=1949
Effect/EditorPrefix/ShockChargeRC,Tesla -=1950
Effect/EditorPrefix/SpeedCloak,Blaze -=1951
Effect/EditorPrefix/StagnaatingBileAB,Casnolisk -=1952
Effect/EditorPrefix/StagnatingBile,Casnolisk -=1953
Effect/EditorPrefix/StagnatingBileStun,Casnolisk -=1954
Effect/EditorPrefix/StingerDrill,Hornet -=1955
Effect/EditorPrefix/StingerDrillDMG,Hornet -=1956
Effect/EditorPrefix/StingerDrillImpact,Hornet -=1957
Effect/EditorPrefix/StingerDrillLM,Hornet -=1958
Effect/EditorPrefix/StingerDrillLMImpact,Hornet -=1959
Effect/EditorPrefix/StingerDrillSw,Hornet -=1960
Effect/EditorPrefix/StingerDrills,Hornet -=1961
Effect/EditorPrefix/SupplimentationBuff,Feeding Pool -=1962
Effect/EditorPrefix/SupplimentationOutputSA,Feeding Pool -=1963
Effect/EditorPrefix/SupportEffectsS,Feeding Pool -=1964
Effect/EditorPrefix/SuppressionCannonsDamage,Repulser -=1965
Effect/EditorPrefix/SuppressorCannonsDMG,Repulser -=1966
Effect/EditorPrefix/SupressorCannonsDummy,Repulsor -=1967
Effect/EditorPrefix/SystemOffloadAB,Processor -=1968
Effect/EditorPrefix/SystemOffloadSA,Processor -=1969
Effect/EditorPrefix/TeslaChargeRB,Tesla -=1970
Effect/EditorPrefix/TheGreatEqualizeImpact,Equalizer -=1971
Effect/EditorPrefix/ThrasherSpineDMG,Xayidling -=1972
Effect/EditorPrefix/TitanBlast,Elytron -=1973
Effect/EditorPrefix/TitanBlastDMG,Elytra -=1974
Effect/EditorPrefix/TitanBlastImpact,Elytron -=1975
Effect/EditorPrefix/TitanBlastS,Elytron -=1976
Effect/EditorPrefix/TuskMachineGuns,Boar -=1977
Effect/EditorPrefix/TuskMachineGunsDMG,Boar -=1978
Effect/EditorPrefix/TwinP1Dash0Guns,Torrent -=1979
Effect/EditorPrefix/UnitFacer,Pulsar -=1980
Effect/EditorPrefix/VengeanceMissileLM,Avenger -=1981
Effect/EditorPrefix/VengeanceMissileLMImpact,Avenger -=1982
Effect/EditorPrefix/VengeanceMissileMU,Avenger -=1983
Effect/EditorPrefix/VenomInjection,Scorpalisk -=1984
Effect/EditorPrefix/VenomousInjection,Scorpalisk -=1985
Effect/EditorPrefix/VenomousStrike,Scorpalisk -=1986
Effect/EditorPrefix/VenomousStrikeDMG,Scorpalisk -=1987
Effect/EditorPrefix/VirulentSpit,Roamer -=1988
Effect/EditorPrefix/VolatileDischarge,Kraken -=1989
Effect/EditorPrefix/VolatileDischargeAB,Kraken -=1990
Effect/EditorPrefix/VolatileDischargeCU,Kraken -=1991
Effect/EditorPrefix/VolatileDischargeDMG,Kraken -=1992
Effect/EditorPrefix/WalkAnimDummyBack,Pulsar -=1993
Effect/EditorPrefix/XayidlingDash,Xayidling -=1994
Effect/EditorSuffix/330mmStrikeCannon,(Damage)=1995
Effect/EditorSuffix/AAMLaser,(Damage)=1996
Effect/EditorSuffix/AcidNestAttacks,(Set)=1997
Effect/EditorSuffix/AcidNestDMG,(Primary Damage)=1998
Effect/EditorSuffix/AcidNestSDMG,(Splash Damage)=1999
Effect/EditorSuffix/AcidWorms,(Create Persistant)=2000
Effect/EditorSuffix/AcidWormsDMG,(Damage)=2001
Effect/EditorSuffix/AcidWormsLM,(Launch Missile)=2002
Effect/EditorSuffix/AdaptiveInjection,(Launch Missile)=2003
Effect/EditorSuffix/AdaptiveInjectionSet,(Set)=2004
Effect/EditorSuffix/AnalyzeWeakness,(Apply Behavior)=2005
Effect/EditorSuffix/ApplyChargeCC,(Cloak Charge)=2006
Effect/EditorSuffix/ApplyChargeSC,(Shock Charge)=2007
Effect/EditorSuffix/AuguryGuns,(Create Persistent)=2008
Effect/EditorSuffix/AuguryGunsLM,(Launch Missile)=2009
Effect/EditorSuffix/AuguryGunsLMImpact,(Damage)=2010
Effect/EditorSuffix/BattleFrenzy,(Apply Stack)=2011
Effect/EditorSuffix/BileGlob,(Launch AA Missile)=2012
Effect/EditorSuffix/BileGlobLAG,(Launch AG Missile)=2013
Effect/EditorSuffix/BilePitSustain,(Apply Behavior)=2014
Effect/EditorSuffix/BilePitSustainSA,(Search Area)=2015
Effect/EditorSuffix/BilePutSustainSA,(Search Area)=2016
Effect/EditorSuffix/BileSwarm,(Create Persistant)=2017
Effect/EditorSuffix/BileSwarmLM,(Launch Missile)=2018
Effect/EditorSuffix/BlindingBurst,(Search Area)=2019
Effect/EditorSuffix/BlindingBurstAB,(Apply Behavior)=2020
Effect/EditorSuffix/BlindingBurstDeath,(Death Set)=2021
Effect/EditorSuffix/BlindingBurstNotification,(Notification)=2022
Effect/EditorSuffix/BlindingBurstSet,(Set)=2023
Effect/EditorSuffix/BoreDrill1,(Apply Behavior) (1)=2024
Effect/EditorSuffix/BoreDrill2,(Apply Behavior) (2)=2025
Effect/EditorSuffix/BoreDrill3,(Apply Behavior) (3)=2026
Effect/EditorSuffix/BoreDrill4,(Apply Behavior) (4)=2027
Effect/EditorSuffix/BoreDrill5,(Apply Behavior) (5)=2028
Effect/EditorSuffix/BoreDrillBase,(Apply Behavior) (Base)=2029
Effect/EditorSuffix/BulwarkBlast,(Launch Missile)=2030
Effect/EditorSuffix/BulwarkBlastImpact,(Damage)=2031
Effect/EditorSuffix/CleavingSpores,(Damage)=2032
Effect/EditorSuffix/CleavingSporesCP,(Create Persistant)=2033
Effect/EditorSuffix/CloakChargeField,(Apply Behavior)=2034
Effect/EditorSuffix/CloakChargeFieldSA,(Search Area)=2035
Effect/EditorSuffix/CoveringSpray,(Launch Missile)=2036
Effect/EditorSuffix/CoveringSprayAB,(Apply Behavior)=2037
Effect/EditorSuffix/CreateReverb,(Init Set)=2038
Effect/EditorSuffix/CreateReverbCU,(Create Unit)=2039
Effect/EditorSuffix/CreateReverbTargetSet,(Target Set)=2040
Effect/EditorSuffix/D15Magnum,(Damage)=2041
Effect/EditorSuffix/D15MagnumSC,(Supercharge Damage)=2042
Effect/EditorSuffix/D15MagnumSCS,(Supercharge Set)=2043
Effect/EditorSuffix/DiscordZoneDebuff,(Apply Behavior)=2044
Effect/EditorSuffix/DiscordZoneDebuffMissile,(Apply Behavior Missile)=2045
Effect/EditorSuffix/DiscordZoneDebuffStructure,(Apply Behavior Structure)=2046
Effect/EditorSuffix/DiscordZoneSA,(Search Area)=2047
Effect/EditorSuffix/DiscordZoneSwitch,(Switch)=2048
Effect/EditorSuffix/DynamicCoatingDebuff,(Apply Behavior Debuff)=2049
Effect/EditorSuffix/EchoReverbFate,(Apply Behavior)=2050
Effect/EditorSuffix/ElectronBolt,(Set)=2051
Effect/EditorSuffix/ElectronBoltBDMG,(Damage)=2052
Effect/EditorSuffix/ElectronBoltBLM,(Launch Missile)=2053
Effect/EditorSuffix/ElectronBoltBounceSA,(Search Area)=2054
Effect/EditorSuffix/ElectronBoltD,(Dummy)=2055
Effect/EditorSuffix/ElectronBoltDMG,(Damage)=2056
Effect/EditorSuffix/ElectronBoltImpact,(Dummy)=2057
Effect/EditorSuffix/ElectronBoltLM,(Launch Missile)=2058
Effect/EditorSuffix/ElectronBoltLMImpact,(Impact Set)=2059
Effect/EditorSuffix/ElytronRelease,(Create Persistent)=2060
Effect/EditorSuffix/ElytronReleaseAM,(Use Magazine)=2061
Effect/EditorSuffix/ElytronReturn,(Return Magazine)=2062
Effect/EditorSuffix/Emanator,(Create Unit)=2063
Effect/EditorSuffix/EmanatorFate,(Apply Behavior)=2064
Effect/EditorSuffix/EmanatorFateDelay,(Apply Behavior)=2065
Effect/EditorSuffix/EmanatorLM,(Launch Missile)=2066
Effect/EditorSuffix/EmanatorS,(Set)=2067
Effect/EditorSuffix/EmissaryOrb,(Launch Missile)=2068
Effect/EditorSuffix/EmissiveOrbDMG,(Damage)=2069
Effect/EditorSuffix/EnergyRegenerationBuff,(Apply Behavior)=2070
Effect/EditorSuffix/EnervatorSpores,(Launch Missile)=2071
Effect/EditorSuffix/EnervatorSporesDMG,(Damage)=2072
Effect/EditorSuffix/EnthrallerQuills,(Create Persistent)=2073
Effect/EditorSuffix/EnthrallerQuillsDMG,(Damage)=2074
Effect/EditorSuffix/EnthrallerQuillsLM,(Launch Missile) (Left)=2075
Effect/EditorSuffix/EnthrallerQuillsLMImpact,(Damage)=2076
Effect/EditorSuffix/EnthrallerQuillsLML,(Launch Missile) (Left)=2077
Effect/EditorSuffix/EnthrallerQuillsLMR,(Launch Missile) (Right)=2078
Effect/EditorSuffix/EroderEnervate,(Apply Behavior)=2079
Effect/EditorSuffix/EvisceratorSpines,(Create Persistant)=2080
Effect/EditorSuffix/EvisceratorSpinesLM,(Launch Missile)=2081
Effect/EditorSuffix/EvisceratorSpinesLMDummy,(Dummy Missile)=2082
Effect/EditorSuffix/ExplosiveGlobCP,(Create Persistant)=2083
Effect/EditorSuffix/ExplosiveGlobDMG,(Damage)=2084
Effect/EditorSuffix/ExplosiveGlobImpactDummy,(Impact Dummy)=2085
Effect/EditorSuffix/ExplosiveGlobLM,(Launch Missile)=2086
Effect/EditorSuffix/ExplosiveGlobSA,(Search Target)=2087
Effect/EditorSuffix/ExplosiveGobImpactDummy,(Impact Dummy)=2088
Effect/EditorSuffix/ExplosiveGobImpactSet,(Impact Set)=2089
Effect/EditorSuffix/ExplosiveGobSA,(Search Target)=2090
Effect/EditorSuffix/Extermination,(Launch Missile)=2091
Effect/EditorSuffix/FeedingPoolHealAura,(Apply Behavior)=2092
Effect/EditorSuffix/FeedingPoolHealAuraCP,(Create Persistant)=2093
Effect/EditorSuffix/FeedingPoolHealAuraMU,(Heal Effect)=2094
Effect/EditorSuffix/FeedingPoolHealAuraSA,(Search Area)=2095
Effect/EditorSuffix/FeedingPoolHealingAura,(Apply Behavior)=2096
Effect/EditorSuffix/FlashGrenade,(Launch Missile)=2097
Effect/EditorSuffix/ForceBlast,(Damage)=2098
Effect/EditorSuffix/FrenzyInjection,(Frenzy Induction AB)=2099
Effect/EditorSuffix/FrenzySink,(Frenzy Sink AB)=2100
Effect/EditorSuffix/GamutOrb,(Create Persistent)=2101
Effect/EditorSuffix/GamutOrb2,(Set)=2102
Effect/EditorSuffix/GamutOrbLM,(Launch Missile)=2103
Effect/EditorSuffix/GamutOrbLMImpact,(Damage)=2104
Effect/EditorSuffix/GamutOrbRM,(Return Missile)=2105
Effect/EditorSuffix/GamutOrbRMImpact,(Apply Orb)=2106
Effect/EditorSuffix/GamutOrbRedirect,(Redirect)=2107
Effect/EditorSuffix/GlazeFire,(Incendiary Infusion)=2108
Effect/EditorSuffix/HalationPlasma,(Create Persistent)=2109
Effect/EditorSuffix/HalationPlasmaLM,(Launch Missile)=2110
Effect/EditorSuffix/HalationPlasmaLMImpact,(Damage)=2111
Effect/EditorSuffix/HalifaxGrenadesDMG,(Damage)=2112
Effect/EditorSuffix/HalifaxGrenadesFDMG,(Friendly Damage)=2113
Effect/EditorSuffix/HalifaxGrenadesLM,(Launch Missile)=2114
Effect/EditorSuffix/HalifaxGrenadesLMImpact,(Impact Set)=2115
Effect/EditorSuffix/HealAuraAB,(Apply Behavior)=2116
Effect/EditorSuffix/HealAuraCP,(Create Persistant)=2117
Effect/EditorSuffix/HealAuraMU,(Heal Effect)=2118
Effect/EditorSuffix/HealAuraSA,(Search Area)=2119
Effect/EditorSuffix/HellraiserGunLM,(Launch Missile Left)=2120
Effect/EditorSuffix/HellraiserGuns,(Launch Missile)=2121
Effect/EditorSuffix/HellraiserGunsDMG,(Damage)=2122
Effect/EditorSuffix/HellraiserGunsImpact,(Damage)=2123
Effect/EditorSuffix/HeraldEnergyCannonsLM,(Launch Missile)=2124
Effect/EditorSuffix/HeraldEnergyCannonsLMImpact,(Damage)=2125
Effect/EditorSuffix/HurricaneMissilesLM,(LM)=2126
Effect/EditorSuffix/HurricaneMissilesLMImpact,(Damage)=2127
Effect/EditorSuffix/IBF7FamethrowerSet,(Set)=2128
Effect/EditorSuffix/IBF7Flamethrower,(Search Area)=2129
Effect/EditorSuffix/IBF7FlamethrowerDMG,(Damage)=2130
Effect/EditorSuffix/IBF7FlamethrowerDMGT,(Dummy)=2131
Effect/EditorSuffix/IgnitionBlastDMG,(Damage)=2132
Effect/EditorSuffix/IgnitionBlastSA,(Search Area)=2133
Effect/EditorSuffix/IncendiaryGrenadesLM,(Launch Missile)=2134
Effect/EditorSuffix/IncendiaryInfusionAA,(Apply Behavior) (Air)=2135
Effect/EditorSuffix/IncendiaryInfusionAG,(Apply Behavior) (Ground)=2136
Effect/EditorSuffix/IncendiaryInfusionDMG,(Damage)=2137
Effect/EditorSuffix/IncendiaryInfusionSAA,(Search Area) (Air)=2138
Effect/EditorSuffix/IncendiaryInfusionSAG,(Search Area) (Ground)=2139
Effect/EditorSuffix/IncendiaryInfusionSwitch,(Switch)=2140
Effect/EditorSuffix/InducerGamutOrb,(Remove Orb)=2141
Effect/EditorSuffix/LancerAutogun,(Launch Missile)=2142
Effect/EditorSuffix/LancerAutogunDMG,(Damage)=2143
Effect/EditorSuffix/LancerAutogunImpact,(Damage)=2144
Effect/EditorSuffix/LancerAutogunsLMDMG,(Damage)=2145
Effect/EditorSuffix/LaunchCloakCharge,(Launch Missile)=2146
Effect/EditorSuffix/LaunchCloakChargeImpact,(Create Charge)=2147
Effect/EditorSuffix/LaunchCloakChargeLS,(Launch Set)=2148
Effect/EditorSuffix/LaunchShockCharge,(Launch Missile)=2149
Effect/EditorSuffix/LaunchShockChargeImpact,(Create Charge)=2150
Effect/EditorSuffix/LaunchShockChargeImpact2,(Create Charge)=2151
Effect/EditorSuffix/LaunchShockChargeLS,(Launch Set)=2152
Effect/EditorSuffix/Lunge,(Damage)=2153
Effect/EditorSuffix/LynxCannon,(Launch Missile)=2154
Effect/EditorSuffix/LynxCannonImpact,(Damage)=2155
Effect/EditorSuffix/LynxCannonLM,(Launch Missile)=2156
Effect/EditorSuffix/MassiveSporeAA,(Launch Missile) (Anti-Air)=2157
Effect/EditorSuffix/MassiveSporeAG,(Launch Missile) (Anti-Ground)=2158
Effect/EditorSuffix/Mend,(Set)=2159
Effect/EditorSuffix/MendMU,(Heal Effect)=2160
Effect/EditorSuffix/MiningPrioritySearchArea,(Search Area)=2161
Effect/EditorSuffix/NaniteGrenade,(Launch Missile)=2162
Effect/EditorSuffix/NaniteGrenadeAB,(Apply Behavior)=2163
Effect/EditorSuffix/NaniteGrenadeGrenadeAB,(Apply Behavior)=2164
Effect/EditorSuffix/NaniteGrenadeImpact,(Search Area)=2165
Effect/EditorSuffix/NaniteGrenadeLMImpact,(Apply Behavior)=2166
Effect/EditorSuffix/NemesisMissilesLM,(Launch Missile)=2167
Effect/EditorSuffix/NemesisMissilesLMDMG,(Damage)=2168
Effect/EditorSuffix/NemesisMissilesLMImpact,(Damage)=2169
Effect/EditorSuffix/NeutralizerBeamLM,(Launch Missile)=2170
Effect/EditorSuffix/NeutralizerBeamLMImpact,(Damage)=2171
Effect/EditorSuffix/ProcessingPower,(Search Area)=2172
Effect/EditorSuffix/ProcessorActivated,(Apply Behavior)=2173
Effect/EditorSuffix/ProcessorActive,(Apply Behavior)=2174
Effect/EditorSuffix/ProcessorAnalyzeWeaknessSA,(Search Area)=2175
Effect/EditorSuffix/ProcessorSystemRechargeCH,(Create Healer)=2176
Effect/EditorSuffix/ProjectionCP,(Create Persistent)=2177
Effect/EditorSuffix/ProjectionIM,(Issue Order Start)=2178
Effect/EditorSuffix/ProjectionIME,(Issue Order End)=2179
Effect/EditorSuffix/ProjectionIO,(Issue Order Move)=2180
Effect/EditorSuffix/ProtectiveCloud,(Create Persistant)=2181
Effect/EditorSuffix/ProtectiveCloudAB,(Apply Behavior)=2182
Effect/EditorSuffix/ProtectiveCloudCP,(Create Persistant)=2183
Effect/EditorSuffix/ProtectiveCloudSA,(Search Area)=2184
Effect/EditorSuffix/ProtectiveCloudSet,(Set)=2185
Effect/EditorSuffix/Psythe,(Damage)=2186
Effect/EditorSuffix/ResidualAcid,(Apply Behavior)=2187
Effect/EditorSuffix/ResidualAcidCP,(Create Persistent)=2188
Effect/EditorSuffix/ResidualAcidDMG,(Damage)=2189
Effect/EditorSuffix/ResidualAcidSA,(Search Area)=2190
Effect/EditorSuffix/RevenantBombImpactS,(Impact Set)=2191
Effect/EditorSuffix/ReverbCasterController,(Apply Behavior)=2192
Effect/EditorSuffix/ReverbFateBounds,(Set)=2193
Effect/EditorSuffix/ReverbFateMU,(Cooldown)=2194
Effect/EditorSuffix/ReverbFateSet,(Set)=2195
Effect/EditorSuffix/ReverbRB,(Remove Behavior)=2196
Effect/EditorSuffix/ReverbRRB,(Reverb Remove Behavior)=2197
Effect/EditorSuffix/ReverbTeleport,(Teleport)=2198
Effect/EditorSuffix/ReverbTeleportController,(Apply Behavior)=2199
Effect/EditorSuffix/RiotGun,(Damage)=2200
Effect/EditorSuffix/SacrificialMutationHealMU,(Modify Unit)=2201
Effect/EditorSuffix/SacrificialMutationHealSA,(Search Area)=2202
Effect/EditorSuffix/ScavengerClaws,(Damage)=2203
Effect/EditorSuffix/ScavengerSpawnClaws,(Damage)=2204
Effect/EditorSuffix/Scour,(Launch Missile)=2205
Effect/EditorSuffix/ScourCP,(Reveal)=2206
Effect/EditorSuffix/ShadowCannon,(Launch Missile)=2207
Effect/EditorSuffix/ShadowCannonDMG,(Damage)=2208
Effect/EditorSuffix/ShadowCannonImpact,(Damage)=2209
Effect/EditorSuffix/ShieldAura,(Search Area)=2210
Effect/EditorSuffix/ShieldAuraAF,(Apply Force)=2211
Effect/EditorSuffix/ShieldAuraCP,(Create Persistent)=2212
Effect/EditorSuffix/ShockChargeAC,(Apply Charge)=2213
Effect/EditorSuffix/ShockChargeRC,(Remove Charge)=2214
Effect/EditorSuffix/SpeedCloak,(Apply Behavior)=2215
Effect/EditorSuffix/StagnaatingBileAB,(Apply Behavior)=2216
Effect/EditorSuffix/StagnatingBile,(Launch Missile)=2217
Effect/EditorSuffix/StagnatingBileStun,(Apply Behavior)=2218
Effect/EditorSuffix/StingerDrill,(Create Persistent)=2219
Effect/EditorSuffix/StingerDrillDMG,(Damage)=2220
Effect/EditorSuffix/StingerDrillImpact,(Set)=2221
Effect/EditorSuffix/StingerDrillLM,(Launch Missile)=2222
Effect/EditorSuffix/StingerDrillLMImpact,(Set)=2223
