AUTHENTICATION_BETA_REGION,– бета=0
e_unitAttributeBonusAgainstMechanical,механическим целям=8534
e_unitAttributeBonusAgainstPsionic,псионикам /// Psionic=8535
e_unitAttributeBonusAgainstRobotic,роботам /// Robotic=8536
e_unitAttributeBonusAgainstStructure,строениям /// Structure=8537
e_unitAttributeBonusAgainstSummoned,вызванным целям=8538
e_unitAttributeHeroic,особ.=8539
e_unitAttributeHover,парящ. /// Hover=8540
e_unitAttributeLight,легк. /// Light=8541
e_unitAttributeMassive,крупн. /// Massive=8542
e_unitAttributeMechanical,механич. /// Mechanical=8543
e_unitAttributePsionic,псионик /// Psionic=8544
e_unitAttributeRobotic,робот /// Robotic=8545
e_unitAttributeStructure,строение /// Structure=8546
e_unitAttributeSummoned,вызванная ед. /// Summoned=8547
e_unitAttributeUser1,Объект карты=8548
AI/Name/Computer,Компьютер /// Computer=8549
Abil/Name/250mmStrikeCannons,250mm Strike Cannons=8550
Abil/Name/ArchonWarp,Archon Merge=8551
Abil/Name/ArmSiloWithNuke,Arm Magazine (Nuke)=8552
Abil/Name/ArmoryResearch,Research (Armory)=8553
Abil/Name/AssaultMode,Assault Mode=8554
Abil/Name/AttackRedirect,Attack Redirect=8555
Abil/Name/AttackWarpPrism,Attack (Warp Prism)=8556
Abil/Name/BanelingNestResearch,Research (Baneling Nest)=8557
Abil/Name/BansheeCloak,Cloaking Field=8558
Abil/Name/BarracksAddOns,AddOns=8559
Abil/Name/BarracksLand,Land=8560
Abil/Name/BarracksLiftOff,Lift Off=8561
Abil/Name/BarracksReactorMorph,Nuclear Reactor Morph (Barracks)=8562
Abil/Name/BarracksTechLabMorph,Tech Lab Morph (Barracks)=8563
Abil/Name/BarracksTechLabResearch,Tech Lab Research (Barracks)=8564
Abil/Name/BarracksTrain,Train=8565
Abil/Name/Blink,Blink=8566
Abil/Name/BroodLordHangar,Brood Lord Hangar=8567
Abil/Name/BroodLordQueue2,Brood Lord Queue2=8568
Abil/Name/BuildAutoTurret,Place Auto Turret=8569
Abil/Name/BuildInProgress,Build in Progress=8570
Abil/Name/BuildNydusCanal,Build Nydus Canal=8571
Abil/Name/BuildinProgressNydusCanal,Buildin Progress Nydus Canal=8572
Abil/Name/BunkerTransport,Load-Unload (Bunker)=8573
Abil/Name/BurrowBanelingDown,Burrow (Baneling)=8574
Abil/Name/BurrowBanelingUp,Unburrow (Baneling)=8575
Abil/Name/BurrowCreepTumorDown,Burrow=8576
Abil/Name/BurrowDroneDown,Burrow (Drone)=8577
Abil/Name/BurrowDroneUp,Unburrow (Drone)=8578
Abil/Name/BurrowHydraliskDown,Burrow (Hydralisk)=8579
Abil/Name/BurrowHydraliskUp,Unburrow (Hydralisk)=8580
Abil/Name/BurrowInfestorDown,Burrow (Infestor)=8581
Abil/Name/BurrowInfestorTerranDown,Burrow Infested Terran Down=8582
Abil/Name/BurrowInfestorTerranUp,Burrow Infested Terran Up=8583
Abil/Name/BurrowInfestorUp,Unburrow (Infestor)=8584
Abil/Name/BurrowQueenDown,Burrow=8585
Abil/Name/BurrowQueenUp,Unburrow=8586
Abil/Name/BurrowRoachDown,Burrow (Roach)=8587
Abil/Name/BurrowRoachUp,Unburrow (Roach)=8588
Abil/Name/BurrowUltraliskDown,Burrow (Ultralisk)=8589
Abil/Name/BurrowUltraliskUp,Unburrow (Ultralisk)=8590
Abil/Name/BurrowZerglingDown,Burrow (Zergling)=8591
Abil/Name/BurrowZerglingUp,Unburrow (Zergling)=8592
Abil/Name/CalldownMULE,Calldown MULE=8593
Abil/Name/CarrierHangar,Hangar=8594
Abil/Name/Charge,Charge=8595
Abil/Name/CommandCenterLand,Land (Command Center)=8596
Abil/Name/CommandCenterLiftOff,Lift Off (Command Center)=8597
Abil/Name/CommandCenterTrain,Train (Command Center)=8598
Abil/Name/CommandCenterTransport,Load-Unload (Command Center)=8599
Abil/Name/Contaminate,Contaminate=8600
Abil/Name/Corruption,Corruption=8601
Abil/Name/CreepTumorBuild,Build=8602
Abil/Name/CyberneticsCoreResearch,Research=8603
Abil/Name/DisguiseAsMarineWithShield,Disguise As Marine With Shield=8604
Abil/Name/DisguiseAsMarineWithoutShield,Disguise As Marine Without Shield=8605
Abil/Name/DisguiseAsZealot,Disguise As Zealot=8606
Abil/Name/DisguiseAsZerglingWithWings,Disguise As Zergling With Wings=8607
Abil/Name/DisguiseAsZerglingWithoutWings,Disguise As Zergling Without Wings=8608
Abil/Name/DisguiseChangeling,Disguise Changeling=8609
Abil/Name/DroneHarvest,Gather (Drone)=8610
Abil/Name/EMP,EMP=8611
Abil/Name/EngineeringBayResearch,Research (Engineering Bay)=8612
Abil/Name/Explode,Explode=8613
Abil/Name/FactoryAddOns,AddOns=8614
Abil/Name/FactoryLand,Land=8615
Abil/Name/FactoryLiftOff,Lift Off=8616
Abil/Name/FactoryReactorMorph,Nuclear Reactor Morph (Factory)=8617
Abil/Name/FactoryTechLabMorph,Tech Lab Morph (Factory)=8618
Abil/Name/FactoryTechLabResearch,Tech Lab Research (Factory)=8619
Abil/Name/FactoryTrain,Train (Factory)=8620
Abil/Name/Feedback,Feedback=8621
Abil/Name/FighterMode,Fighter Mode=8622
Abil/Name/FleetBeaconResearch,Research=8623
Abil/Name/ForceField,Force Field=8624
Abil/Name/ForgeResearch,Research (Forge)=8625
Abil/Name/Frenzy,Frenzy=8626
Abil/Name/FungalGrowth,Fungal Growth=8627
Abil/Name/FusionCoreResearch,Research=8628
Abil/Name/GatewayTrain,Train (Gateway)=8629
Abil/Name/GenerateCreep,Generate Creep=8630
Abil/Name/GhostAcademyResearch,Research=8631
Abil/Name/GhostCloak,Personal Cloaking=8632
Abil/Name/GhostHoldFire,Hold Fire=8633
Abil/Name/GhostWeaponsFree,Weapons Free=8634
Abil/Name/GravitonBeam,Graviton Beam=8635
Abil/Name/GuardianShield,Guardian Shield=8636
Abil/Name/HallucinationArchon,Hallucination (Archon)=8637
Abil/Name/HallucinationColossus,Hallucination (Colossus)=8638
Abil/Name/HallucinationHighTemplar,Hallucination (High Templar)=8639
Abil/Name/HallucinationImmortal,Hallucination (Immortal)=8640
Abil/Name/HallucinationPhoenix,Hallucination (Phoenix)=8641
Abil/Name/HallucinationProbe,Hallucination (Probe)=8642
Abil/Name/HallucinationStalker,Hallucination (Stalker)=8643
Abil/Name/HallucinationVoidRay,Hallucination (Void Ray)=8644
Abil/Name/HallucinationWarpPrism,Hallucination (Warp Prism)=8645
Abil/Name/HallucinationZealot,Hallucination (Zealot)=8646
Abil/Name/HangarQueue5,Queue (5) (Hangar)=8647
Abil/Name/HerdInteract,Herd Interact=8648
Abil/Name/HydraliskDenResearch,Research (Hydralisk Den)=8649
Abil/Name/InfestationPitResearch,Infestation Pit Research=8650
Abil/Name/InfestedTerrans,Infested Terrans=8651
Abil/Name/InfestedTerransLayEgg,Infested Terrans Lay Egg=8652
Abil/Name/LairResearch,Research (LairHive)=8653
Abil/Name/LarvaTrain,Morph Unit (Larva -> Basic)=8654
Abil/Name/Leech,Leech=8655
Abil/Name/LoadOutSpray,=8656
Abil/Name/MULEGather,Gather=8657
Abil/Name/MULERepair,Repair=8658
Abil/Name/MassRecall,Mass Recall=8659
Abil/Name/MedivacHeal,Heal=8660
Abil/Name/MedivacTransport,Load-Unload (Medivac)=8661
Abil/Name/MercCompoundResearch,Research=8662
Abil/Name/Mergeable,Mergeable=8663
Abil/Name/MetalGateDefaultLower,Metal Gate Default Lower=8664
Abil/Name/MetalGateDefaultRaise,Metal Gate Default Raise=8665
Abil/Name/MorphBackToGateway,Back To Gateway=8666
Abil/Name/MorphToBroodLord,Morph (Corruptor - > Brood Lord)=8667
Abil/Name/MorphToInfestedTerran,Morph To Infested Terran=8668
Abil/Name/MorphToOverseer,Overlord Morph to Overseer=8669
Abil/Name/MorphZerglingToBaneling,Morph (Zergling -> Baneling)=8670
Abil/Name/NeuralParasite,Neural Parasite=8671
Abil/Name/NexusTrain,Train (Nexus)=8672
Abil/Name/NexusTrainMothership,Train Mothership=8673
Abil/Name/NydusCanalTransport,Nydus Canal Transport=8674
Abil/Name/OrbitalCommandLand,Land (Orbital Command)=8675
Abil/Name/OrbitalLiftOff,Lift Off (Orbital Command)=8676
Abil/Name/OverlordTransport,Load-Unload (Overlord)=8677
Abil/Name/PhaseShift,Phase Shift=8678
Abil/Name/PhasingMode,Phasing Mode=8679
Abil/Name/PlacePointDefenseDrone,Place Point Defense Drone=8680
Abil/Name/ProbeHarvest,Gather (Probe)=8681
Abil/Name/ProgressRally,Progress Rally=8682
Abil/Name/ProtossBuild,Build (Probe)=8683
Abil/Name/PsiStorm,Psi Storm=8684
Abil/Name/QueenBuild,Build=8685
Abil/Name/Rally,Rally=8686
Abil/Name/RallyCommand,Command Center - Rally=8687
Abil/Name/RallyHatchery,Hatchery - Rally=8688
Abil/Name/RallyNexus,Nexus - Rally=8689
Abil/Name/RavenBuild,Build=8690
Abil/Name/ReactorMorph,Nuclear Reactor Morph=8691
Abil/Name/RedstoneLavaCritterBurrow,Redstone Lava Critter Burrow=8692
Abil/Name/RedstoneLavaCritterInjuredBurrow,Redstone Lava Critter Injured Burrow=8693
Abil/Name/RedstoneLavaCritterInjuredUnburrow,Redstone Lava Critter Injured Unburrow=8694
Abil/Name/RedstoneLavaCritterUnburrow,Redstone Lava Critter Unburrow=8695
Abil/Name/Refund,Refund=8696
Abil/Name/Repair,Repair=8697
Abil/Name/RoachWarrenResearch,Research (Roach Warren)=8698
Abil/Name/RoboticsBayResearch,Research (Robotics Bay)=8699
Abil/Name/RoboticsFacilityTrain,Train (Robotics Facility)=8700
Abil/Name/SCVHarvest,Gather (SCV)=8701
Abil/Name/Salvage,Salvage=8702
Abil/Name/SalvageBunker,Bunker=8703
Abil/Name/SalvageBunkerRefund,Bunker=8704
Abil/Name/SapStructure,Sap Structure=8705
Abil/Name/ScannerSweep,Scanner Sweep=8706
Abil/Name/SeekerMissile,Seeker Missile=8707
Abil/Name/Shatter,Shatter=8708
Abil/Name/SiegeMode,Siege=8709
Abil/Name/Siphon,Siphon Life=8710
Abil/Name/Snipe,Sniper=8711
Abil/Name/SpawnChangeling,Spawn Changeling=8712
Abil/Name/SpawnLarva,Larva Swarm=8713
Abil/Name/SpawningPoolResearch,Research (Spawning Pool)=8714
Abil/Name/SpineCrawlerRoot,Root=8715
Abil/Name/SpineCrawlerUproot,Uproot=8716
Abil/Name/SpireResearch,Research (Spire & GreaterSpire)=8717
Abil/Name/SporeCrawlerRoot,Root=8718
Abil/Name/SporeCrawlerUproot,Uproot=8719
Abil/Name/Spray,Spray=8720
Abil/Name/StargateTrain,Train (Stargate)=8721
Abil/Name/StarportAddOns,AddOns=8722
Abil/Name/StarportLand,Land=8723
Abil/Name/StarportLiftOff,Lift Off=8724
Abil/Name/StarportReactorMorph,Nuclear Reactor Morph (Starport)=8725
Abil/Name/StarportTechLabMorph,Tech Lab Morph (Starport)=8726
Abil/Name/StarportTechLabResearch,Tech Lab Research (Starport)=8727
Abil/Name/StarportTrain,Train=8728
Abil/Name/Stimpack,Stimpack=8729
Abil/Name/StimpackMarauder,StimpackMara=8730
Abil/Name/StimpackMarauderRedirect,Stimpack Marauder Redirect=8731
Abil/Name/StimpackRedirect,Stimpack Redirect=8732
Abil/Name/StopRedirect,Stop Redirect=8733
Abil/Name/SupplyDepotLower,Lower=8734
Abil/Name/SupplyDepotRaise,Raise=8735
Abil/Name/SupplyDrop,Supply Drop=8736
Abil/Name/TacNukeStrike,Nuclear Strike=8737
Abil/Name/TechLabMorph,Tech Lab Morph (Detached)=8738
Abil/Name/TemplarArchivesResearch,Research (Templar Archives)=8739
Abil/Name/TemporalRift,Temporal Rift=8740
Abil/Name/TerranAddOns,Terran AddOns=8741
Abil/Name/TerranBuild,Build (SCV)=8742
Abil/Name/TerranBuildingLand,Terran Building Land=8743
Abil/Name/TerranBuildingLiftOff,Terran Building Lift Off=8744
Abil/Name/TimeWarp,Chrono Boost=8745
Abil/Name/TowerCapture,Tower Capture=8746
Abil/Name/TrainQueen,Train Queen=8747
Abil/Name/Transfusion,Transfusion=8748
Abil/Name/TransportMode,Transport Mode=8749
Abil/Name/TwilightCouncilResearch,Research=8750
Abil/Name/UltraliskCavernResearch,Research=8751
Abil/Name/Unsiege,Unsiege=8752
Abil/Name/UpgradeToGreaterSpire,Morph Building (Spire -> Greater Spire)=8753
Abil/Name/UpgradeToHive,Morph Building (Lair -> Hive)=8754
Abil/Name/UpgradeToLair,Morph Building (Hatchery -> Lair)=8755
Abil/Name/UpgradeToOrbital,Morph Building (COCE -> Orbital Command)=8756
Abil/Name/UpgradeToPlanetaryFortress,Morph Building (COCE -> Planetary Fortress)=8757
Abil/Name/UpgradeToPlanetaryFortressFast,Upgrade To Planetary Fortress Fast=8758
Abil/Name/UpgradeToWarpGate,Morph Building (Gateway -> Warp Gate)=8759
Abil/Name/Vortex,Vortex=8760
Abil/Name/WarpGateTrain,Производство (врата искривления)=8761
Abil/Name/WarpPrismTransport,Load-Unload (Shuttle)=8762
Abil/Name/Warpable,Warpable=8763
Abil/Name/WiiSimpleSkillshot,Wizard Simple Skillshot=8764
Abil/Name/WizSimpleSkillshot,Wizard Simple Skillshot=8765
Abil/Name/WormholeTransit,Wormhole Transit=8766
Abil/Name/Yamato,Yamato Gun=8767
Abil/Name/ZergBuild,Morph Unit (Drone -> Zerg Buildings)=8768
Abil/Name/attack,Attack=8769
Abil/Name/burrowedStop,Stop=8770
Abil/Name/evolutionchamberresearch,Research (Evolution Chamber)=8771
Abil/Name/que1,Queue (1)=8772
Abil/Name/que5,Queue (5)=8773
Abil/Name/que5Addon,Queue=8774
Abil/Name/que5CancelToSelection,Queue (5) (Cancel To Selection)=8775
Abil/Name/que5LongBlend,Queue (5) Long Blend=8776
Abil/Name/que5Passive,Queue (5) Passive=8777
Abil/Name/que5PassiveCancelToSelection,Queue (5) Passive (Cancel to Selection)=8778
Abil/TargetMessage/AreaTargetMessage,<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – выбрать область<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – Отмена=8779
Abil/TargetMessage/AttackWarpPrism,<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>  – чтобы атаковать<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – отмена=8780
Abil/TargetMessage/CreepTumorBuild,<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – разместить опухоль<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – Отмена=8781
Abil/TargetMessage/DefaultTargetMessage,<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – выбрать цель<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>  – Отмена=8782
Abil/TargetMessage/HealTargetMessage,<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>  – восстановить здоровье цели<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – отмена=8783
Abil/TargetMessage/attack,<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> (по земле) – автоатака<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – отмена=8784
Achievement/Category/AlliedCommanders,Совместные задания=8785
Achievement/Category/CustomModMaps,Игротека /// Arcade=8786
Achievement/Category/Exploration/Challenge,Испытания /// Challenges=8787
Achievement/Category/Exploration/GuideOne,Первый советчик /// Guide One=8788
Achievement/Category/Exploration/GuideThree,Третий советчик /// Guide Three=8789
Achievement/Category/Exploration/GuideTwo,Второй советчик /// Guide Two=8790
Achievement/Category/FeatOfStrength,Великие подвиги /// Feats of Strength=8791
Achievement/Category/Matchmaking/Competitive,Соревнование /// Competitive=8792
Achievement/Category/Matchmaking/Economy,Экономика /// Economy=8793
Achievement/Category/Matchmaking/MeleeCombat,Схватка /// Melee Combat=8794
Achievement/Category/Matchmaking/UnrankedRanked,Сетевые матчи /// Unranked/Ranked=8795
Achievement/Category/Multiplayer,Сетевая игра=8796
Achievement/Category/Multiplayer/Competitive,Соревнование=8797
Achievement/Category/Multiplayer/Economy,Экономика=8798
Achievement/Category/Multiplayer/MeleeCombat,Схватка=8799
Achievement/Category/Multiplayer/UnrankedRanked,Сетевые матчи=8800
Achievement/Category/VoidCampaign,Кампания Void=8801
Achievement/Category/VoidCampaign/Prologue,Задания пролога=8802
Achievement/Category/VoidCampaign/SC2Epilogue,Задания эпилога=8803
Achievement/Description/Challenge_AdvancedCommand_Basic,Получите бронзовую медаль за испытание «Вестник смерти». /// Score the rank of Bronze in the "Harbinger of Death" challenge mission.=8804
Achievement/Description/Challenge_AdvancedCommand_Dominance,Получите золотую медаль за испытание «Вестник смерти». /// Score the rank of Gold in the "Harbinger of Death" challenge mission.=8805
Achievement/Description/Challenge_AdvancedCommand_Mastery,Получите серебряную медаль за испытание «Вестник смерти». /// Score the rank of Silver in the "Harbinger of Death" challenge mission.=8806
Achievement/Description/Challenge_Economy_Basic,Получите бронзовую медаль за испытание «Первый ход». /// Score the rank of Bronze in the "Opening Gambit" challenge mission.=8807
Achievement/Description/Challenge_Economy_Dominance,Получите золотую медаль за испытание «Первый ход». /// Score the rank of Gold in the "Opening Gambit" challenge mission.=8808
Achievement/Description/Challenge_Economy_Mastery,Получите серебряную медаль за испытание «Первый ход». /// Score the rank of Silver in the "Opening Gambit" challenge mission.=8809
Achievement/Description/Challenge_MasterAchievement_Basic,Пройдите 3 испытания, получив минимум бронзовую медаль. /// Complete 3 challenge missions with a Bronze rating or higher.=8810
Achievement/Description/Challenge_MasterAchievement_Dominance,Пройдите все испытания, получив минимум бронзовую медаль. /// Complete all the challenge missions with a Bronze rating or higher.=8811
Achievement/Description/Challenge_MasterAchievement_Mastery,Пройдите 6 испытаний, получив минимум бронзовую медаль. /// Complete 6 challenge missions with a Bronze rating or higher.=8812
Achievement/Description/Challenge_Meta_GoldCollection,Пройдите все испытания, получив золотую медаль. /// Score the rank of Gold in all the challenge missions.=8813
Achievement/Description/Challenge_ProtossCombat_Basic,Получите бронзовую медаль за испытание «Путь к совершенству». /// Score the rank of Bronze in the "Path of Ascension" challenge mission.=8814
Achievement/Description/Challenge_ProtossCombat_Dominance,Получите золотую медаль за испытание «Путь к совершенству». /// Score the rank of Gold in the "Path of Ascension" challenge mission.=8815
Achievement/Description/Challenge_ProtossCombat_Mastery,Получите серебряную медаль за испытание «Путь к совершенству». /// Score the rank of Silver in the "Path of Ascension" challenge mission.=8816
Achievement/Description/Challenge_ProtossPsionics_Basic,Получите бронзовую медаль за испытание «Псионная атака». /// Score the rank of Bronze in the "Psionic Assault" challenge mission.=8817
Achievement/Description/Challenge_ProtossPsionics_Dominance,Получите золотую медаль за испытание «Псионная атака». /// Score the rank of Gold in the "Psionic Assault" challenge mission.=8818
Achievement/Description/Challenge_ProtossPsionics_Mastery,Получите серебряную медаль за испытание «Псионная атака». /// Score the rank of Silver in the "Psionic Assault" challenge mission.=8819
Achievement/Description/Challenge_RushDefense_Basic,Получите бронзовую медаль за испытание «Ранняя оборона». /// Score the rank of Bronze in the "Rush Defense" challenge mission.=8820
Achievement/Description/Challenge_RushDefense_Dominance,Получите золотую медаль за испытание «Ранняя оборона». /// Score the rank of Gold in the "Rush Defense" challenge mission.=8821
Achievement/Description/Challenge_RushDefense_Mastery,Получите серебряную медаль за испытание «Ранняя оборона». /// Score the rank of Silver in the "Rush Defense" challenge mission.=8822
Achievement/Description/Challenge_TerranCombat_Basic,Получите бронзовую медаль за испытание «Тактика и стратегия». /// Score the rank of Bronze in the "Tactical Command" challenge mission.=8823
Achievement/Description/Challenge_TerranCombat_Dominance,Получите золотую медаль за испытание «Тактика и стратегия». /// Score the rank of Gold in the "Tactical Command" challenge mission.=8824
Achievement/Description/Challenge_TerranCombat_Mastery,Получите серебряную медаль за испытание «Тактика и стратегия». /// Score the rank of Silver in the "Tactical Command" challenge mission.=8825
Achievement/Description/Challenge_TerranCovertOps_Basic,Получите бронзовую медаль за испытание «Секретная операция». /// Score the rank of Bronze in the "Covert Ops" challenge mission.=8826
Achievement/Description/Challenge_TerranCovertOps_Dominance,Получите золотую медаль за испытание «Секретная операция». /// Score the rank of Gold in the "Covert Ops" challenge mission.=8827
Achievement/Description/Challenge_TerranCovertOps_Mastery,Получите серебряную медаль за испытание «Секретная операция». /// Score the rank of Silver in the "Covert Ops" challenge mission.=8828
Achievement/Description/Challenge_ZergCombat_Basic,Получите бронзовую медаль за испытание «Во славу Роя». /// Score the rank of Bronze in the "For the Swarm" challenge mission.=8829
Achievement/Description/Challenge_ZergCombat_Dominance,Получите золотую медаль за испытание «Во славу Роя». /// Score the rank of Gold in the "For the Swarm" challenge mission.=8830
Achievement/Description/Challenge_ZergCombat_Mastery,Получите серебряную медаль за испытание «Во славу Роя». /// Score the rank of Silver in the "For the Swarm" challenge mission. =8831
Achievement/Description/Challenge_ZergInfestation_Basic,Получите бронзовую медаль за испытание «Заражение». /// Score the rank of Bronze in the "Infestation" challenge mission.=8832
Achievement/Description/Challenge_ZergInfestation_Dominance,Получите золотую медаль за испытание «Заражение». /// Score the rank of Gold in the "Infestation" challenge mission.=8833
Achievement/Description/Challenge_ZergInfestation_Mastery,Получите серебряную медаль за испытание «Заражение». /// Score the rank of Silver in the "Infestation" challenge mission.=8834
Achievement/Description/Combat_BasicTraining_Marines,Обучите 10 морпехов за первые 320 секунд схватки. /// Train 10 Marines during the first 320 seconds of a single Melee game.=8835
Achievement/Description/Combat_BasicTraining_Zealots,Вызовите 5 зилотов за первые 250 секунд схватки. /// Warp in 5 Zealots during the first 250 seconds of a single Melee game.=8836
Achievement/Description/Combat_BasicTraining_Zerglings,Породите 20 зерглингов за первые 255 секунд схватки. /// Morph 20 Zerglings during the first 255 seconds of a single Melee game.=8837
Achievement/Description/Combat_DodgeSeeker,Уклонитесь от ракеты «Гончая» в режиме схватки. /// Dodge a Raven Seeker Missile in a Melee game.=8838
Achievement/Description/Combat_Economy_CancelConstructionUnderFire,Отмените постройку атакуемого врагом здания в режиме схватки. /// Cancel construction of a structure that is being destroyed by an opponent in a Melee game.=8839
Achievement/Description/Combat_Exploration_FreeForAllCrusher,Уничтожьте 100 вражеских боевых единиц в быстрых матчах «Каждый за себя» (FFA). /// Destroy a total of 100 enemy units in Free-for-All Quick Match games.=8840
Achievement/Description/Combat_FastExpand,Постройте дополнительную базу в течение первых 225 секунд схватки. /// Expand during the first 225 seconds of a Melee game.=8841
Achievement/Description/Combat_FastTier2_Factory,Постройте завод в течение первых 270 секунд схватки. /// Build a Factory during the first 270 seconds of a Melee game.=8842
Achievement/Description/Combat_FastTier2_Lair,Создайте логово в течение первых 285 секунд схватки. /// Mutate a Lair during the first 285 seconds of a Melee game.=8843
Achievement/Description/Combat_FastTier2_TwilightCouncil,Вызовите Сумеречный совет в течение первых 275 секунд схватки.=8844
Achievement/Description/Combat_Infrastructure_Protoss,9 протосских боевых единиц должны вызываться одновременно в матче с рейтингом или без. /// Have 9 Protoss units warping in simultaneously in an Unranked or Ranked game.=8845
Achievement/Description/Combat_Infrastructure_Terran,9 терранских боевых единиц должны обучаться одновременно в матче с рейтингом или без. /// Have 9 Terran units training simultaneously in an Unranked or Ranked game.=8846
Achievement/Description/Combat_Infrastructure_Zerg,21 личинка должна мутировать одновременно в матче с рейтингом или без. /// Have 21 Zerg units morphing simultaneously in an Unranked or Ranked game.=8847
Achievement/Description/Combat_MapControl_DestroyConstructingTownHall,Уничтожьте вражеский командный центр, инкубатор или нексус, пока они строятся, в матче с рейтингом или без . /// Destroy an enemy Command Center, Hatchery, or Nexus while it is under construction in an Unranked or Ranked game.=8848
Achievement/Description/Combat_Meatgrinder,За 15 секунд уничтожьте врагов на 50 ед. припасов в режиме схватки. /// Kill 50 supply worth of units within 15 seconds in a Melee game.=8849
Achievement/Description/Combat_Mechanic_Detection,Уничтожьте 10 замаскированных или закопанных боевых единиц в одной схватке. /// Destroy 10 cloaked or burrowed units in a single Melee game.=8850
Achievement/Description/Combat_Mechanic_HighYield,Выработайте 10 друз на богатых минеральных месторождениях в одной схватке. /// Deplete 10 Rich Mineral Fields in a single Melee game.=8851
Achievement/Description/Combat_Mechanic_KillTransport,Уничтожьте полностью груженый транспорт в матче с рейтингом или без. /// Destroy a fully loaded transport in an Unranked or Ranked game.=8852
Achievement/Description/Combat_Mechanic_Repair,Отремонтируйте 8 горящих терранских строений в одной схватке. /// Save 8 burning Terran structures in a single Melee game.=8853
Achievement/Description/Combat_Mechanic_RoachRegen,Один таракан должен восстановить 500 ед. здоровья, не получая урона от своих, в матче с рейтингом или без. /// Regenerate 500 life on a single Roach without taking friendly fire in an Unranked or Ranked game.=8854
Achievement/Description/Combat_Mechanic_Shields,Одна боевая единица должна восстановить 500 ед. энергии щита, не получая урона от своих, в матче с рейтингом или без. /// Regenerate 500 shield energy on a single unit without taking friendly fire in an Unranked or Ranked game.=8855
Achievement/Description/Combat_Mechanic_WarpIn,Вызовите 100 боевых единиц с помощью врат искривления в одном матче с рейтингом или без. /// Warp in 100 units with Warp Gates in an Unranked or Ranked game.=8856
Achievement/Description/Combat_Mechanic_WatchTower,Удерживайте башню зел-нага 5 минут подряд в матче с рейтингом или без. /// Hold a Xel'Naga Tower for 5 consecutive minutes in an Unranked or Ranked game.=8857
Achievement/Description/Combat_Meta_Economy,Заработайте все достижения в категории «Экономика». /// Complete all the Economy achievements.=8858
Achievement/Description/Combat_Meta_LeagueCombat,Заработайте все достижения в категориях «Сетевые матчи».=8859
Achievement/Description/Combat_Meta_MeleeCombat,Заработайте все достижения в категории «Схватка». /// Complete all the Melee Combat achievements.=8860
Achievement/Description/Combat_Micro_HotPickup,Загрузите в транспорт атакуемую боевую единицу в матче с рейтингом или без. /// Load a Dropship with a unit that is under attack in an Unranked or Ranked game.=8861
Achievement/Description/Combat_Micro_Unit20Kills,Уничтожьте 40 врагов одной боевой единицей в матче с рейтингом или без. /// Destroy 40 units with a single unit in an Unranked or Ranked game.=8862
Achievement/Description/Combat_NoCounterAttacks,Атакуйте врага в течение 20 сек., не позволяя ему контратаковать, в матче с рейтингом или без. /// Attack for 20 seconds with no counterattacks in an Unranked or Ranked game.=8863
Achievement/Description/Combat_Spells_AutoTurretSCVKills,Уничтожьте 20 рабочих единиц с помощью автотурелей в одном матче в режиме «Схватка».=8864
Achievement/Description/Combat_Spells_Blink,Спасите сталкера с помощью способности «Скачок» в режиме схватки. /// Use Blink to save a Stalker in a Melee game.=8865
Achievement/Description/Combat_Spells_Changeling,Убейте 5 мимикридов в одном матче с рейтингом или без. /// Kill 5 Changelings in an Unranked or Ranked game.=8866
Achievement/Description/Combat_Spells_HallucinationAbsorb,Иллюзии должны получить 1000 ед. урона в одном матче с рейтингом или без. /// Absorb 1,000 damage with hallucinations in an Unranked or Ranked game.=8867
Achievement/Description/Combat_Spells_HallucinationCount,В режиме схватки под вашим контролем должны находиться 15 иллюзий одновременно. /// Control 15 hallucinations at once in a Melee game.=8868
Achievement/Description/Combat_Spells_Heal,Восстановите 5000 ед. здоровья с помощью медэваков в матче с рейтингом или без. /// Heal 5,000 life with Medivacs in an Unranked or Ranked game.=8869
Achievement/Description/Combat_Spells_HealShield,С помощью батарей щитов восстановите 3000 ед. щитов в матче с рейтингом или без.=8870
Achievement/Description/Combat_Spells_HighTemplarKills,Уничтожьте 20 врагов одним высшим тамплиером в режиме схватки. /// Destroy 20 units with a single High Templar in a Melee game.=8871
