AUTHENTICATION_BETA_REGION,Beta=0
UI/SoundOptionsTooltips/EffectsVolume,<c val="ffffff">Volumen de los efectos de sonido:</c><n/>Determina el volumen de los efectos de sonido estándar de la partida. /// <c val="ffffff">Sound Effects Volume:</c><n/>Determines the volume of standard gameplay sound effects.=7656
UI/SoundOptionsTooltips/Errors,<c val="ffffff">Habilitar sonidos de error:</c><n/>Determina si se reproduce algún sonido en respuesta a un comando no válido. /// <c val="ffffff">Enable Error Sounds:</c><n/>Enables sounds that are played in response to an invalid command.=7657
UI/SoundOptionsTooltips/Global,<c val="ffffff">Sonido en segundo plano:</c><n/>Permite que el juego continúe reproduciendo sonidos cuando la ventana no esté en primer plano. /// <c val="ffffff">Play in Background:</c><n/>Allows the game to continue playing sound when it is not the focus window.=7658
UI/SoundOptionsTooltips/HeadphoneMode,<c val="ffffff">Modo auriculares:</c><n/>Habilita la emulación de software de sonido envolvente para los auriculares.=7659
UI/SoundOptionsTooltips/Herds,<c val="ffffff">Habilitar sonidos de grupo:</c><n/>Reproduce sonidos extras para los grupos de unidades que realizan la misma actividad. /// <c val="ffffff">Enable Group Sounds:</c><n/>Enables additional sounds for groups of units performing the same activity.=7660
UI/SoundOptionsTooltips/MasterVolume,<c val="ffffff">Volumen general:</c><n/>Controla el volumen de todos los sonidos del juego. /// <c val="ffffff">Master Volume:</c><n/>This controls the volume of all sounds in the game.=7661
UI/SoundOptionsTooltips/Movement,<c val="ffffff">Habilitar sonidos de movimiento:</c><n/>Habilita los sonidos relacionados con el movimiento de las unidades, como los pasos o los motores. /// <c val="ffffff">Enable Movement Sounds:</c><n/>Enables sounds related to units moving, such as footsteps or engines.=7662
UI/SoundOptionsTooltips/Music,<c val="ffffff">Habilitar música:</c><n/>Habilita la música de fondo. /// <c val="ffffff">Enable Music:</c><n/>Enables background music.=7663
UI/SoundOptionsTooltips/MusicContinuous,<c val="ffffff">Habilitar música continua:</c><n/>La música de fondo se reproduce sin interrupción. /// <c val="ffffff">Enable Continuous Music:</c><n/>Enables uninterrupted background music.=7664
UI/SoundOptionsTooltips/MusicVolume,<c val="ffffff">Volumen de la música:</c><n/>Determina el volumen de la música de fondo. /// <c val="ffffff">Music Volume:</c><n/>Determines the volume of background music.=7665
UI/SoundOptionsTooltips/OutputDevice,<c val="ffffff">Periférico de salida:</c><n/>El periférico de salida es donde se reproducirá tu sonido. Por defecto, se corresponderá con el periférico de salida de tu sistema. Cámbialo si quieres utilizar auriculares o un conjunto de altavoces diferente. /// <c val="ffffff">Output Device:</c><n/>The output device is where your sound will play. Default will match your system's output device. Use this if you want the game to play through headphones or a different set of speakers.=7666
UI/SoundOptionsTooltips/Quality,<c val="ffffff">Calidad del sonido:</c><n/>Determina la fidelidad del audio. Una configuración superior tendrá como resultado un mejor sonido, pero puede ralentizar la partida. /// <c val="ffffff">Sound Quality:</c><n/>Determines the audio fidelity. Higher quality settings will sound better but may slow down the game.=7667
UI/SoundOptionsTooltips/Ready,<c val="ffffff">Habilitar comentarista:</c><n/>Te permite oír frases del comentarista del mapa, entre las que se incluyen la cuenta atrás, las notificaciones de objetivos del mapa y las notificaciones de muerte. /// <c val="ffffff">Enable Announcer:</c><n/>Allows you to hear phrases from the map announcer including: countdowns, map objective notifications, and death notifications.=7668
UI/SoundOptionsTooltips/ReadyVolume,<c val="ffffff">Volumen del comentarista:</c><n/>Determina el volumen de los comentaristas. /// <c val="ffffff">Announcer Volume:</c><n/>Determines the volume of announcers.=7669
UI/SoundOptionsTooltips/Responses,<c val="ffffff">Habilitar sonidos de respuesta:</c><n/>Habilita los sonidos de respuesta cuando das órdenes o seleccionas unidades. /// <c val="ffffff">Enable Response Sounds:</c><n/>Enables response sounds for when you order or select units.=7670
UI/SoundOptionsTooltips/Reverb,<c val="ffffff">Habilitar reverberación:</c><n/>La reverberación es un ligero eco que se añade a todos los efectos de sonido. Aumenta el realismo del sonido, pero desactivarla puede mejorar el rendimiento. /// <c val="ffffff">Enable Reverb:</c><n/>Reverb is a slight echo added to all sound effects. It increases sound realism, but disabling this may improve performance.=7671
UI/SoundOptionsTooltips/Sound,<c val="ffffff">Habilitar sonido:</c><n/>Habilita todos los sonidos durante la partida. /// <c val="ffffff">Enable Sound:</c><n/>Enables all sound during gameplay.=7672
UI/SoundOptionsTooltips/SpeakerMode,<c val="ffffff">Configuración de altavoces:</c><n/>Ajústala para que coincida con la configuración de tus altavoces. Selecciona estéreo para configuraciones de auriculares o de dos altavoces estándar. /// <c val="ffffff">Speaker Setup:</c><n/>Set this to match your speaker setup. Choose Stereo for headphones or standard two-speaker setups.=7673
UI/SoundOptionsTooltips/SpeakerMode_Windows,<c val="ffffff">Configuración de altavoces:</c><n/>Windows solo permite cambiar la configuración de los altavoces a través de la sección Sonido del Panel de control. Esta es la configuración seleccionada actualmente por el Panel de control.=7674
UI/SoundOptionsTooltips/Subtitles,<c val="ffffff">Mostrar subtítulos:</c><n/>Muestra subtítulos durante las escenas intermedias. /// <c val="ffffff">Display Subtitles:</c><n/>Displays subtitles during cutscenes.=7675
UI/SoundOptionsTooltips/UI,<c val="ffffff">Habilitar sonidos de la interfaz:</c><n/>Habilita los efectos de sonido en la interfaz de usuario, como en botones y menús. /// <c val="ffffff">Enable Interface Sounds:</c><n/>Enables sound effects on the user interface, such as buttons and menus.=7676
UI/SoundOptionsTooltips/UIVolume,<c val="ffffff">Volumen de sonidos de la interfaz:</c><n/>Determina el volumen de los sonidos de la interfaz de usuario, como en botones y menús. /// <c val="ffffff">Interface Sounds Volume:</c><n/>Determines the volume of user interface sounds, such as buttons and menus.=7677
UI/SoundOptionsTooltips/Voices,<c val="ffffff">Habilitar voces:</c><n/>Activa el sonido de los diálogos y de las respuestas. /// <c val="ffffff">Enable Voices:</c><n/>Enables voiced dialogue and responses.=7678
UI/SoundOptionsTooltips/VoicesVolume,<c val="ffffff">Volumen de las voces:</c><n/>Determina el volumen de los diálogos y las respuestas. /// <c val="ffffff">Voices Volume:</c><n/>Determines the volume of dialogue and responses.=7679
UI/SoundOptions_RestartDialog,Algunas de tus opciones de sonido necesitan que se reinicie el juego para surtir efecto. ¿Quieres reiniciar ahora? /// Some of your sound options require a game restart to take effect. Would you like to restart now?=7680
UI/SoundOptions_RestartWarnDialog,Se han guardado tus opciones de sonido, pero algunos cambios no tendrán efecto hasta que reinicies StarCraft II.=7681
UI/SoundOutputDevice_Colon,Periférico de salida: /// Output Device:=7682
UI/SoundQuality_Colon,Calidad del sonido: /// Sound Quality:=7683
UI/SoundResponses_Colon,Sonidos de respuesta /// Response Sounds=7684
UI/SoundUI_Colon,Sonidos de la interfaz /// Interface Sounds=7685
UI/SoundVoices_Colon,Voces /// Voices=7686
UI/Sound_Colon,Sonido: /// Sound:=7687
UI/Sound_Control,Sonido /// Sound=7688
UI/SpeakerMode_Colon,Configuración de altavoces: /// Speaker Setup:=7689
UI/Specializing,Especializando /// Specializing=7690
UI/Specifications,Especificaciones /// Specifications=7691
UI/Speed_Colon,Velocidad:<sp/> /// Speed:=7692
UI/Spell,Hechizo /// Spell=7693
UI/Spend,Gastar /// Spend=7694
UI/Spent,Gastado /// Spent=7695
UI/StandardDialog_Cancel_Control,CANCELAR /// CANCEL=7696
UI/StandardDialog_No_Control,NO /// NO=7697
UI/StandardDialog_Ok_Control,ACEPTAR /// OK=7698
UI/StandardDialog_Yes_Control,SÍ /// YES=7699
UI/StarCraftII,StarCraft II /// StarCraft II=7700
UI/StartGame_Control,<h/>Iniciar partida /// <h/>Start Game=7701
UI/StatPanelName,Atajos de observador /// Observer Shortcuts=7702
UI/Status,Estado /// Status=7703
UI/StereoscopicConvergenceHigh,Alta /// High=7704
UI/StereoscopicConvergenceLow,Baja /// Low=7705
UI/StereoscopicConvergence_Colon,Cantidad de convergencia: /// Convergence Amount:=7706
UI/StereoscopicConvergence_Tooltip,La convergencia estereoscópica controla la profundidad del punto de convergencia donde no se da paralaje. Aumenta la convergencia para hacer que los objetos sobresalgan más de la pantalla. Una convergencia excesiva puede resultar incómoda si tus ojos no están acostumbrados a la visión estereoscópica. /// Stereo convergence controls the depth of the point of convergence where no parallax occurs. Increase convergence to push objects further out of the screen. Too much convergence can be uncomfortable if your eyes are not adjusted to stereo.=7707
UI/StereoscopicEnable_Colon,Habilitar 3D estereoscópica /// Enable Stereoscopic 3D=7708
UI/StereoscopicEnable_Tooltip,Habilita la compatibilidad estereoscópica. El juego debe estar en modo pantalla completa para activar el efecto.=7709
UI/StereoscopicOptionsPanelDescription,Estas opciones te permiten cambiar los detalles relacionados con la vista estereoscópica (3D). /// These options allow you to change details having to do with stereoscopic (3D) viewing.=7710
UI/StereoscopicOptionsPanelTitle,3D estereoscópica /// Stereoscopic 3D=7711
UI/StereoscopicSeparationHigh,Alta /// High=7712
UI/StereoscopicSeparationLow,Baja /// Low=7713
UI/StereoscopicSeparation_Colon,Cantidad de separación /// Separation Amount:=7714
UI/StereoscopicSeparation_Tooltip,La separación estereoscópica se refiere a la diferencia de posición horizontal entre las imágenes derecha e izquierda. Cuando mayor sea la separación estereoscópica, mayor será el efecto estereoscópico. Una separación excesiva puede resultar incómoda si tus ojos no están acostumbrados a la visión estereoscópica. /// Stereo separation refers to the difference in horizontal position between the right and left images. The greater the stereo separation, the greater the stereo effect. Too much separation, can be uncomfortable if your eyes are not adjusted to stereo.=7715
UI/Stereoscopic_Control,3D estereoscópica /// Stereoscopic 3D=7716
UI/StopMovie,DETENER PELÍCULA /// STOP MOVIE=7717
UI/Store/AlreadyPurchased,Este producto ya se ha adquirido. /// This has already been purchased.=7718
UI/Store/ArtifactSlotLocked,No tienes acceso a la ranura de este artefacto.=7719
UI/Store/ArtifactsLocked,Sube más niveles de jugador para acceder a los artefactos.=7720
UI/Store/CurrentGoldTooltip,Oro disponible para compras.=7721
UI/Store/DescriptionFormat,%new%%productType%%owned%%saleAmount% /// %new%%productType%%owned%%saleAmount%=7722
UI/Store/DescriptionFormat/DiscountOff,Desactivada=7723
UI/Store/DescriptionFormat/New,Novedad:  /// New=7724
UI/Store/DescriptionFormat/Owned, (adquirido) ///  Owned=7725
UI/Store/DescriptionFormat/SaleAmount,%amount%%=7726
UI/Store/DiscountTag,-%amount%%=7727
UI/Store/NoValidProduct,El producto no es válido.=7728
UI/Store/NotEnoughGems,Oro insuficiente.<n/>Tu oro: %gold% /// Not enough gold.<n/>My Gold: %gold%=7729
UI/Store/NotPurchasable,El producto no se puede comprar.=7730
UI/Store/OwnedTooltipFormat,%productType% (producto ya adquirido) /// You own this %productType%.=7731
UI/Store/PurchasePending,No disponible mientras hay una compra en curso.=7732
UI/Store/PurchasingDisabledOnPTR,Las compras están deshabilitadas en el Reino Público de Pruebas.=7733
UI/Store/RealMoneyDisabled,Las transacciones con dinero real se han deshabilitado temporalmente. Inténtalo más tarde.=7734
UI/Store/SkinFeature/Name/AlteredVO,Voz alterada /// Altered Voiceover=7735
UI/Store/SkinFeature/Name/Progression,Progreso /// Progression=7736
UI/Store/SkinFeature/Name/ReplacedVO,Nueva voz /// Replaced Voiceover=7737
UI/Store/SkinFeature/Name/ThemedAbilities,Habilidades temáticas /// Themed Abilities=7738
UI/Store/SkinFeature/Name/ThemedAnimations,Animación temática /// Themed Animations=7739
UI/Store/SkinFeature/Name/ThemedMount,Monturas temáticas=7740
UI/Store/SkinFeature/Tooltip/AlteredVO,=7741
UI/Store/SkinFeature/Tooltip/Progression,=7742
UI/Store/SkinFeature/Tooltip/ReplacedVO,=7743
UI/Store/SkinFeature/Tooltip/ThemedAbilities,=7744
UI/Store/SkinFeature/Tooltip/ThemedAnimations,=7745
UI/Store/SkinFeature/Tooltip/ThemedMount,=7746
UI/Store/StoreNotAvailable,La tienda no está disponible en estos momentos. Inténtalo más tarde. /// The store is not currently available. Please try again later.=7747
UI/Store/TryDialogMessage,Sin implementar: haz como que pruebas este héroe en un mapa para un jugador.=7748
UI/Store/TryDialogTitle,Prueba de héroe=7749
UI/Store/UltimateSkinLocked,¡Alcanza el nivel 10 de héroe para desbloquearlo! /// Achieve Hero Level 10 to unlock the Master Skin!=7750
UI/Store/Unlock,Desbloquear a %name%=7751
UI/StoreTypeName/Boost,¡Bonificación de oro y EXP!=7752
UI/StoreTypeName/Bundle,Pack=7753
UI/StoreTypeName/Campaign,Campaña=7754
UI/StoreTypeName/Commander,Comandante=7755
UI/StoreTypeName/CommanderFemale,Comandante=7756
UI/StoreTypeName/CommanderMale,Comandante=7757
UI/StoreTypeName/CompleteCollectionDeluxe,Battle Chest Deluxe Edition=7758
UI/StoreTypeName/CompleteCollectionStandard,Battle Chest Standard Edition=7759
UI/StoreTypeName/ConsoleSkin,Consola=7760
UI/StoreTypeName/DecalPack,Pack de insignias=7761
UI/StoreTypeName/DigitalDeluxeLicense,Obsequios de la Digital Deluxe=7762
UI/StoreTypeName/DynamicBundle,Pack dinámico=7763
UI/StoreTypeName/EmoticonPack,Pack de emoticonos=7764
UI/StoreTypeName/MissionBundle,Conjunto de misiones=7765
UI/StoreTypeName/MissionPack,Pack de misiones=7766
UI/StoreTypeName/PortraitPack,Pack de retratos=7767
UI/StoreTypeName/RaceBannerPack,Pack de emblemas=7768
UI/StoreTypeName/SkinPack,Diseño=7769
UI/StoreTypeName/SprayPack,Pack de grafitis=7770
UI/StoreTypeName/Stimpack,Estimulantes para cooperativa=7771
UI/StoreTypeName/VoicePack,Comentarista=7772
UI/StoreTypeName/WarChest,Botín de Guerra=7773
UI/StoreUtil/GoldAndRealCurrency,%gold% o %real%=7774
UI/StoreUtil/WalletBattleNetBalance,Saldo de Blizzard=7775
UI/StoreUtil/WalletCreditCard,Tarjeta de crédito=7776
UI/StoreUtil/WalletDirectDebit,Débito directo=7777
UI/StoreUtil/WalletPaypal,Paypal=7778
UI/StoreUtil/WalletPrimary, (Principal)=7779
UI/StoreUtil/WalletUnknown,Desconocido=7780
UI/StreamingIndicator,Los datos de la partida se están descargando en estos momentos. /// Game Data is currently being downloaded.=7781
UI/StrongAgainst_Colon,Fuerte contra: /// Strong Against:=7782
UI/Structures,Estructuras /// Structures=7783
UI/Structures_Colon,Estructuras: /// Structures:=7784
UI/Structures_Control,E<h/>structuras /// <h/>Structures=7785
UI/SubtitlePanelEntry,<c val="255, 204, 0">%speakerText%: </c>%subtitleText% /// <c val="255, 204, 0">%speakerText%: </c>%subtitleText%=7786
UI/SubtitleTransmissionEntry,<c val="255, 204, 0">%speakerText%: </c>%subtitleText% /// <c val="255, 204, 0">%speakerText%: </c>%subtitleText%=7787
UI/SubtitleTransmissionEntry_Zerg,<c val="230, 95, 5">%speakerText%: </c>%subtitleText% /// <c val="230, 95, 5">%speakerText%: </c>%subtitleText%=7788
UI/Super,Súper /// Super=7789
UI/SwapCtrlCmd,Utilizar Comando en vez de Control en los atajos /// Use Command instead of Control for hotkeys=7790
UI/SwarmNavButtonQuit_Control,<h/>SALIR /// <h/>QUIT=7791
UI/SystemAlert/AutoSaveStarted,Punto de control alcanzado. /// Checkpoint Reached.=7792
UI/SystemAlert/FileCorruptionDetected,Un archivo dañado puede estar causando errores gráficos o de sonido.<n/>Los archivos pueden repararse saliendo de StarCraft II.=7793
UI/SystemAlert/HotkeyConflict,Tu perfil de atajos contiene un conflicto que puede impedirte dar algunas órdenes mediante atajos.<n/>Pulsa el botón Menú, selecciona Opciones y luego pulsa el botón Atajos para resolver el conflicto. /// Your hotkey profile has a conflict and may prevent you from issuing some commands with hotkeys.<n/>Press the Menu button then select Options and the Hotkeys button to resolve the conflict.=7794
UI/SystemAlert/LowBatteryCharge,Tu nivel de batería es bajo. /// Your battery charge is low.=7795
UI/SystemAlert/PagedPoolModeDefensive,Tu ordenador se está quedando sin memoria virtual paginada. La calidad de los gráficos podría empeorar. Algunos de tus ajustes gráficos se han modificado automáticamente para mejorar el rendimiento. Es posible que también sea de ayuda disminuir los ajustes gráficos manualmente y reiniciar StarCraft II, o cerrar otras aplicaciones.=7796
UI/SystemAlert/PagedPoolModeEmergency,Tu ordenador se ha quedado sin memoria virtual paginada. La calidad de los gráficos podría empeorar. Se han disminuido los ajustes gráficos, pero el rendimiento puede seguir siendo pobre. /// Your computer has run out of paged pool memory. Visual quality may degrade. Your graphics settings have been lowered to help, but performance may still be poor.=7797
UI/SystemAlert/ResetToWindowed,Se ha producido un error al establecer el juego en pantalla completa.<n/>En su lugar se ha seleccionado el modo ventana a pantalla completa.<n/><n/>Es posible que tengas que reiniciar el juego o tu ordenador para volver a seleccionar el modo pantalla completa. /// There was a problem setting the game to fullscreen mode.<n/>Windowed fullscreen has been selected instead.<n/><n/>You may have to restart the game or restart your computer to be able to select fullscreen again.=7798
UI/SystemAlert/SaveFailed,Fallo de guardado. /// Save Failed.=7799
UI/SystemAlert/SaveSuccessful,Guardado con éxito. /// Save Successful.=7800
UI/SystemInfo/Battery,Batería: %charge%% /// Battery: %charge%%=7801
UI/SystemInfo/BatteryCharging,Cargando... /// Charging...=7802
UI/SystemInfo/BatteryDescription,Muestra el nivel de batería de tu ordenador. /// Denotes how much of a charge is contained within your computer's battery.=7803
UI/SystemInfo/Framerate,Imágenes por segundo: %framerate% fps /// Framerate: %framerate% fps=7804
UI/SystemInfo/FramerateDescription,Indica la suavidad con la que se anima el juego. Una tasa de imágenes por segundo baja se puede mejorar cambiando las opciones gráficas. /// Indicates how smoothly the game animates. Low framerate can be improved by changing your graphics options.=7805
UI/SystemInfo/LocalTime,Hora local: %time% /// Local Time: %time%=7806
UI/SystemInfo/ResourceStall,%count% recursos estancados durante %time%ms en el último minuto. /// %count% resource stalls for %time%ms in the last minute.=7807
UI/SystemInfo/ShaderStall,El sombreador de %count% se para durante %time% ms en el último minuto.=7808
UI/SystemInfo/WifiSignalStrength,Señal inalámbrica: %signalStrength% /// Wireless Signal: %signalStrength%=7809
UI/SystemInfo/WifiSignalStrengthDescription,Describe la calidad de la conexión entre tu ordenador y tu dispositivo de red inalámbrica. /// Describes the quality of the connection between your computer and your wireless network device.=7810
UI/SystemInfo/WifiSignalStrength_Excellent,Excelente /// Excellent=7811
UI/SystemInfo/WifiSignalStrength_Fair,Media /// Fair=7812
UI/SystemInfo/WifiSignalStrength_Good,Buena /// Good=7813
UI/SystemInfo/WifiSignalStrength_Poor,Pobre /// Poor=7814
UI/SystemInfo/WifiSignalStrength_VeryGood,Muy buena /// Very Good=7815
UI/SystemUtilityKeysDisable,Deshabilitar atajos de teclado del SO /// Disable OS Keyboard Shortcuts=7816
UI/Table_Control,<h/>Tabla /// <h/>Table=7817
UI/Talking,Entrada /// Talking=7818
UI/TandemPlayerName,Arconte %colorName%=7819
UI/TargetMessage,Seleccionar objetivo /// Select Target=7820
UI/TeamColor00,Blanco /// White=7821
UI/TeamColor01,Rojo /// Red=7822
UI/TeamColor02,Azul /// Blue=7823
UI/TeamColor03,Azul claro /// Teal=7824
UI/TeamColor04,Morado /// Purple=7825
UI/TeamColor05,Amarillo /// Yellow=7826
UI/TeamColor06,Naranja /// Orange=7827
UI/TeamColor07,Verde /// Green=7828
UI/TeamColor08,Rosa claro /// Light Pink=7829
UI/TeamColor09,Violeta /// Violet=7830
UI/TeamColor10,Gris claro /// Light Grey=7831
UI/TeamColor11,Verde oscuro /// Dark Green=7832
UI/TeamColor12,Marrón /// Brown=7833
UI/TeamColor13,Verde claro /// Light Green=7834
UI/TeamColor14,Gris oscuro /// Dark Grey=7835
UI/TeamColor15,Rosa /// Pink=7836
UI/TeamColorIntensity_Colon,Intensidad del color de equipo:=7837
UI/TeamColoredLifeStatus_Colon,Mostrar barra de vida con color de equipo=7838
UI/TeamHeroLevelFrame/Level,Nivel %level%=7839
UI/TeamNameFormat,Equipo %teamNumber% /// Team %teamNumber%=7840
UI/TeamRankFrame/NotYetPlayed,Aún no se ha jugado /// Not Yet Played=7841
UI/TeamResourceRequest,Pedir: /// Ask for:=7842
UI/TechGlossary,Unidades /// Units=7843
UI/TechTree,Tecnología /// Tech Tree=7844
UI/TechTreeMergedFromTemplar,Fusión de dos templarios /// Merged from two Templar=7845
UI/TechTreeMergedUnits,Otras unidades /// Other Units=7846
UI/TechTreeMorphedFromCorruptor,Mutación del envilecedor /// Morphed from the Corruptor=7847
UI/TechTreeMorphedFromHydralisk,Mutación del hidralisco=7848
UI/TechTreeMorphedFromOverlord,Mutación del superamo /// Morphed from the Overlord=7849
UI/TechTreeMorphedFromRoach,Mutación de la cucaracha=7850
UI/TechTreeMorphedFromZergling,Mutación del zergling /// Morphed from the Zergling=7851
UI/TechTreeMorphedUnits,Unidades mutadas /// Morphed Units=7852
UI/TechTreeNYI,Sin implementar /// Not Yet Implemented=7853
UI/TechTreeTransformedFromCore,Desde el núcleo de nave nodriza /// Transformed from Mothership Core=7854
UI/Technology,Tecnología /// Technology=7855
UI/TechnologyTitle_Colon,Nueva tecnología:<sp/> /// New Technology:=7856
UI/Terrain_Colon,Terreno: /// Terrain:=7857
UI/TestMicrophone,Prueba de micrófono /// Test Microphone=7858
UI/TestMicrophoneStop,Detener prueba de micrófono /// Stop Microphone Test=7859
UI/Text/Defeat,¡DERROTA! /// DEFEAT!=7860
UI/Text/GameOver_Desync,¡Desincronizado! /// Desync!=7861
UI/Text/GameOver_Dropped,¡Te has caído! /// You were dropped!=7862
UI/Text/GameOver_ReplayDesync,¡Repetición no sincronizada! /// Replay Desync!=7863
UI/Text/GameOver_Timeout,¡Se ha acabado el tiempo! /// Timeout!=7864
UI/Text/Tie,¡Empate! /// TIED!=7865
UI/Text/Undecided,¡FIN DE LA PARTIDA! /// GAME OVER!=7866
UI/Text/Victory,¡VICTORIA! /// VICTORY!=7867
UI/TextError/CannotLoadDescFile,No se puede cargar el archivo de desc [%1]. /// Cannot load Desc File [%1].=7868
UI/TextError/CannotLoadFont,No se puede cargar la fuente [%1] del estilo [%2]. /// Cannot load font [%1] for style [%2].=7869
UI/TextError/CannotLoadFontFile,No se puede cargar el archivo de fuente [%1].=7870
UI/TextError/CannotLoadFontFileSize,El archivo de fuente, [%1], es demasiado grande para poder cargarlo.=7871
UI/TextError/CannotReloadDescFile,No se puede volver a cargar el archivo de desc [%1]. /// Cannot reload Desc File [%1].=7872
UI/TextError/ConstantAlreadyExists,La constante [%1] ya existe. /// Constant [%1] already exists.=7873
UI/TextError/DocumentError,Error en documento al parsear [%1]: [%2]. /// Document error parsing [%1]: [%2].=7874
UI/TextError/FontAlreadyExists,La fuente [%1] ya existe.=7875
UI/TextError/InlineStyleNotFound,No se ha encontrado el estilo de fuente [%1].=7876
UI/TextError/InvalidStyleAttribute,El estilo [%1] contiene el atributo no válido [%2]. /// Style [%1] contains invalid attribute [%2].=7877
UI/TextError/InvalidStyleAttributeValue,El estilo [%1] contiene un valor no válido [%3] para el atributo [%2]. Alcance: %4=7878
UI/TextError/InvalidStyleFlag,El estilo [%1] contiene la etiqueta de estilo no válida [%2]. /// Style [%1] contains invalid style flag [%2].=7879
UI/TextError/InvalidStyleFontFlag,El estilo [%1] contiene la etiqueta de fuente no válida [%2]. /// Style [%1] contains invalid font flag [%2].=7880
UI/TextError/LanguageError/FileLineReadError,Error al parsear el archivo de localización [%1] en la línea [%2] - ruta: %3.=7881
UI/TextError/LanguageError/IncorrectTokenCount,Número incorrecto de variables en el archivo de localización. Hay %1 variables en lugar de %2=7882
UI/TextError/LanguageError/UnknownGenderCode,Código de género [%1] para terminación [%2] desconocido.=7883
UI/TextError/MissingConstantName,La constante no ha encontrado atributo de nombre en [%1]. /// Constant encountered with no Name attribute in [%1].=7884
UI/TextError/MissingConstantValue,La constante [%1] no ha encontrado atributo de valor en [%2]. /// Constant [%1] encountered with no Value attribute in [%2].=7885
UI/TextError/MissingFontFile,Se ha encontrado una fuente sin atributo de archivo en [%1].=7886
UI/TextError/MissingFontGroupName,Se ha encontrado un grupo de fuentes sin atributo de nombre en [%1].=7887
UI/TextError/MissingStyleName,Se ha encontrado un estilo sin atributo de nombre en [%1].=7888
UI/TextError/NoFontSet,No se ha establecido una fuente para el estilo [%1]. /// No font set for style [%1].=7889
UI/TextError/StyleAlreadyExists,El estilo [%1] ya existe. /// Style [%1] already exists.=7890
UI/TextError/StyleInfiniteRecursion,El estilo [%1] contiene una recurrencia de atributos infinita y no se puede resolver. /// Style [%1] contains infinite attribute recursion and cannot be resolved.=7891
UI/TextError/StyleNameTooLong,El estilo [%1] en el archivo [%2] tiene un nombre demasiado largo. Longitud máxima: %3=7892
UI/TextError/TexturePagesFull,Se han llenado todas las páginas de caché de texturas. Limpiando la caché.=7893
UI/TextError/TexturePagesNeedsClear,Marcando que se requiere una limpieza de caché de texturas.=7894
UI/TextError/TooTallImage,La imagen [%1] del texto es demasiado alta para una sola línea. Sobresale por: [%2]=7895
UI/TextError/TooTallText,El texto [%1] es demasiado alto para una sola línea: Sobresale por: [%2].=7896
UI/TextError/UnknownStartTag,Etiqueta inicial desconocida [%1] en el archivo [%2]. /// Unknown Start Tag [%1] in file [%2].=7897
UI/TextError/UnknownStyleAttribute,El estilo [%1] contiene el atributo desconocido [%2] en [%3]. /// Style [%1] contains unknown attribute [%2] in [%3].=7898
UI/TextureQuality_Colon,Calidad de las texturas: /// Texture Quality:=7899
UI/Textures,Texturas /// Textures=7900
UI/ThrottlingIndicator,Alerta: Se ha detectado una reducción de potencia en la CPU, por lo que el rendimiento del juego podría verse afectado. Comprueba la corriente y la temperatura del ordenador.=7901
UI/Tile_Colon,Conjunto de teselas: /// Tileset:=7902
UI/Time/12HourClockAM,%hour%:%minute% a. m.=7903
UI/Time/12HourClockPM,%hour%:%minute% p. m.=7904
UI/Time/24HourClock,%hour%:%minute%=7905
UI/TimeOfDayString,<d time="TimeOfDay"/>=7906
UI/TimeRemaining_Colon,Tiempo restante: /// Time Remaining:=7907
UI/TimeUnit/AboutAMinute,1 min aprox.=7908
UI/TimeUnit/AboutAMinuteShort,1 min.=7909
UI/TimeUnit/And, y=7910
UI/TimeUnit/AndShort,=7911
UI/TimeUnit/Days,%val% <lang rule="plural" val="%val%">día,días</lang>=7912
UI/TimeUnit/DaysShort,%val% d.=7913
UI/TimeUnit/Hours,%val% <lang rule="plural" val="%val%">hora,horas</lang>=7914
UI/TimeUnit/HoursShort,%val% h=7915
UI/TimeUnit/LessMinutes,&lt; 1 minuto /// &lt; 1 minute=7916
UI/TimeUnit/LessMinutesShort,&lt; 1 min.=7917
UI/TimeUnit/LessThanAMinute,Menos de 1 min=7918
UI/TimeUnit/LessThanAMinuteShort,&lt; 1 min.=7919
UI/TimeUnit/Minutes,%val% <lang rule="plural" val="%val%">minuto,minutos</lang>=7920
UI/TimeUnit/MinutesShort,%val% min.=7921
UI/TimeUnit/Months,%val% <lang rule="plural" val="%val%">mes,meses</lang>=7922
UI/TimeUnit/MonthsShort,%val% mes.=7923
UI/TimeUnit/Seconds,%val% <lang rule="plural" val="%val%">segundo,segundos</lang>=7924
UI/TimeUnit/SecondsShort,%val% s=7925
UI/TimeUnit/Weeks,%val% <lang rule="plural" val="%val%">semana,semanas</lang>=7926
UI/TimeUnit/WeeksShort,%val% sem.=7927
UI/TimeUnit/Years,%val% <lang rule="plural" val="%val%">año,años</lang>=7928
UI/TimeUnit/YearsShort,%val% a.=7929
UI/Time_Colon,Tiempo:<sp/> /// Time:=7930
UI/TipAlertToolTip,Haz clic izquierdo para ver un consejo.<n/>Haz clic derecho para ocultar el consejo. /// Left-click to view tip.<n/>Right-click to remove tip.=7931
UI/Tips,Consejos /// Tips=7932
UI/ToastFadeTooltip,<c val="ffffff">Fundido de las notificaciones:</c><n/>Duración en segundos durante la que permanecerán visibles las notificaciones. /// <c val="ffffff">Toast Fade:</c><n/>Duration in seconds that toasts will remain visible.=7933
UI/ToastFade_Colon,Duración de las notificaciones: /// Toast Notification Duration:=7934
