AUTHENTICATION_BETA_REGION,Bêta=0
UI/LaunchMission,Commencer /// Launch=6506
UI/LeaderPaneAPM_Name,APM /// APM=6507
UI/LeaderPaneArmy_Name,Troupes actives /// Active Forces=6508
UI/LeaderPaneCPM_Name,EPM /// EPM=6509
UI/LeaderPaneIncome_Name,Revenu /// Income=6510
UI/LeaderPaneNone_Name,Aucun /// None=6511
UI/LeaderPaneProduction_Name,Production /// Production=6512
UI/LeaderPaneResources_Name,Ressources /// Resources=6513
UI/LeaderPaneSpending_Name,Dépenses /// Spending=6514
UI/LeaderPaneStructures_Name,Bâtiments /// Structures=6515
UI/LeaderPaneUnitsLost_Name,Unités perdues /// Units Lost=6516
UI/LeaderPaneUnits_Name,Unités /// Units=6517
UI/LeaderPaneUpgrades_Name,Améliorations /// Upgrades=6518
UI/LeavingPublishQuitDialog/Button,Quitt<h/>er maintenant=6519
UI/LeavingPublishQuitDialog/Message,Le chargement de votre sauvegarde sur le service Blizzard n’est pas encore terminé. Il est recommandé d’attendre son terme. Une fois le chargement terminé, le jeu se fermera. Appuyer sur Quitter maintenant annulera le chargement et vous fera quitter le jeu.=6520
UI/LeavingPublishQuitDialog/Title,Chargement de la sauvegarde=6521
UI/Light,Lumière /// Light=6522
UI/Lighting_Colon,Éclairage : /// Lighting:=6523
UI/Listening,Écoute /// Listening=6524
UI/Load,Charger /// Load=6525
UI/LoadGameDialogAccept_Control,CHARGER /// LOAD=6526
UI/LoadGameDialogClose_Control,FERMER /// CLOSE=6527
UI/LoadGameDialogTitle,CHARGER UNE PARTIE /// LOAD GAME=6528
UI/LoadReplay,PARTIES ENREGISTRÉES /// REPLAYS=6529
UI/Load_Control,Charger=6530
UI/Loading,Chargement /// Loading=6531
UI/LoadingBarPercentSymbol,% /// %=6532
UI/LoadingFinished,Chargement terminé /// Finished Loading=6533
UI/LoadingScreenVs,contre /// Vs.=6534
UI/Lobby/AddComputer,Ajouter un ordinateur=6535
UI/Lobby/Closed,Ouvert /// Open=6536
UI/Lobby/EditLobbyName,Changer le nom du salon=6537
UI/Lobby/InvitePlayer,Inviter le joueur : %playerName%=6538
UI/Lobby/MakeHost,Désigner hôte=6539
UI/Lobby/Move,Aller ici=6540
UI/Lobby/OccupiedComputer,Ordinateur (%difficulty%)=6541
UI/Lobby/OccupiedObserver,%playerName% (%observerType%)=6542
UI/Lobby/OccupiedPlayer,%playerName%=6543
UI/Lobby/Open,Ouvert=6544
UI/Lobby/Pending,%playerName% (en attente...)=6545
UI/Lobby/Remove,Enlever=6546
UI/Lobby/SetComputerDifficulty,Difficulté : %difficulty%=6547
UI/Lobby/SetReferee,Passer en mode arbitre=6548
UI/Lobby/SetSpectator,Passer en mode spectateur=6549
UI/Lobby/Swap,Échanger le joueur ici : %playerName%=6550
UI/LobbyInvitePanel/RequestMessageNew,%userName% vous a invité dans une partie personnalisée.=6551
UI/LobbyInvitePanel/RequestMessageResume,%userName% vous a invité dans un salon de partie enregistrée.=6552
UI/LobbyInvitePanel/RequestMessageWatch,%userName% vous a invité dans un salon de partie enregistrée en multijoueur.=6553
UI/LobbyInvitePanel/SuggestMessageNew,%senderUserName% suggère %suggestedUserName% pour la partie=6554
UI/LobbyInvitePanel/SuggestMessageResume,%senderUserName% a suggéré %suggestedUserName% pour le salon de partie enregistrée.=6555
UI/LobbyInvitePanel/SuggestMessageWatch,%senderUserName% a suggéré %suggestedUserName% pour le salon de partie enregistrée en multijoueur.=6556
UI/LocalGameList,Liste de parties locales /// Local Game List=6557
UI/Location_Colon,Lieu : /// Location:=6558
UI/LockedTechTreeStructureName,Verrouillé /// Locked=6559
UI/LockedTechTreeUnitName,Verrouillé /// Locked=6560
UI/Log,Journal /// Log=6561
UI/LogMessagePanel/ClearButton/Tooltip,Effacer les messages d’erreur=6562
UI/LogMessagePanel/ShowErrorsCheckbox/Tooltip,Afficher les messages d’erreur /// Show Error Messages=6563
UI/LogMessagePanel/ShowNotificationsCheckbox/Tooltip,Afficher les messages de notification /// Show Notification Messages=6564
UI/LogMessagePanel/ShowWarningsCheckbox/Tooltip,Afficher les messages d’avertissement /// Show Warning Messages=6565
UI/LoginDialogMessage,Connexion... /// Connecting...=6566
UI/LoginDialogTitle,Authentification /// Authentication=6567
UI/Login_Control,<h/>Se connecter /// <h/>Login=6568
UI/Long,Long /// Long=6569
UI/LookingForParty/GoodMatchParty,Les joueurs de ce groupe sont d’un niveau de compétence proche du vôtre.=6570
UI/LookingForParty/GoodMatchSolo,Le niveau de compétence de ce joueur est proche du vôtre.=6571
UI/LookingForParty/InviteToPartyButton,Inviter dans le groupe /// Invite to Party=6572
UI/LookingForParty/JoinPartyButton,Demande d’invitation /// Request to Join=6573
UI/LookingForParty/NoParties,Aucun joueur en recherche de groupe trouvé.<n/><n/>Cochez la case ci-dessus pour indiquer aux autres joueurs que vous cherchez un groupe. /// No players who are looking for a party were found.<n/><n/>Click the box above to let other players know you are looking for a party.=6574
UI/LookingForParty/PartyFull,Votre groupe est complet.=6575
UI/LookingForParty/Title,Recherche de groupe /// Looking For Party=6576
UI/Lost,Perdues /// Lost=6577
UI/LowSensitivity,Sensibilité faible /// Low Sensitivity=6578
UI/Ludicrous,Absurde /// Ludicrous=6579
UI/Mail_Control,<h/>Courrier /// <h/>Mail=6580
UI/MainMenu,Menu principal=6581
UI/MapList,Liste des cartes /// Map List=6582
UI/MapSize00,Minuscule /// Tiny=6583
UI/MapSize01,Petite /// Small=6584
UI/MapSize02,Moyenne /// Medium=6585
UI/MapSize03,Grande /// Large=6586
UI/MapSize04,Énorme /// Huge=6587
UI/MapSize05,Épique /// Epic=6588
UI/MasterVolume_Colon,Volume principal : /// Master Volume:=6589
UI/MatchHistory/ResultPointsFormat,%result% (%points%)=6590
UI/MatchHistory/TimeFormat,Il y a %duration% /// %duration% ago=6591
UI/MatchmakingPanel/CooperativeText,Coopérez avec d’autres joueurs contre l’IA /// Match with other players against the A.I.=6592
UI/MatchmakingPanel/CooperativeTitle,Coopération /// Cooperative=6593
UI/MatchmakingPanel/CustomGamesText,Créez une partie privée avec des amis. /// Create a private game with friends.=6594
UI/MatchmakingPanel/CustomGamesTitle,Personnalisé /// Custom=6595
UI/MatchmakingPanel/HeroLeagueText,Affrontez d’autres joueurs pour le classement. Jouez en solo ou en groupe de n’importe quelle taille. /// Compete against others for rank. Play solo or in a party of any size.=6596
UI/MatchmakingPanel/HeroLeagueTitle,Ligue héroïque /// Hero League=6597
UI/MatchmakingPanel/PracticeText,Jouez avec des alliés et des adversaires contrôlés par l’ordinateur. /// Play with A.I. allies and opponents.=6598
UI/MatchmakingPanel/PracticeTitle,Entraînement /// Practice=6599
UI/MatchmakingPanel/TeamLeagueText,Constituez votre équipe et battez-vous dans le Nexus pour la gloire suprême. /// Form a team and compete for ultimate glory in the Nexus.=6600
UI/MatchmakingPanel/TeamLeagueTitle,Ligue par équipes /// Team League=6601
UI/MatchmakingPanel/VersusText,Combattez d’autres joueurs de niveau équivalent. /// Battle against other players of similar skill.=6602
UI/MatchmakingPanel/VersusTitle,Partie rapide /// Quick Match=6603
UI/MatchmakingQueueDisabled,Ce mode de jeu est actuellement désactivé.=6604
UI/MatchmakingQueueUnavailble,Récupération des informations de la file d’attente…=6605
UI/MatchmakingQueueUnavailblePartyRequirements,Des membres du groupe ne sont pas autorisés à jouer :=6606
UI/MatchmakingQueueUnavailblePartySize,Votre groupe contient trop de joueurs pour ce mode de jeu.=6607
UI/MatureLanguageFilter,Filtre à obscénités /// Enable Mature ScLanguage Filter=6608
UI/MatureLanguageFilterTooltip,<c val="ffffff">Activer le filtre à obscénités :</c><n/>Déclenche le filtrage interne du jeu pour les termes grossiers. /// <c val="ffffff">Enable Mature ScLanguage Filter:</c><n/>Toggles the game's internal filtration of all mature language.=6609
UI/Mega,Méga /// Mega=6610
UI/Melee,Mêlée /// Melee=6611
UI/Menu,Menu /// Menu=6612
UI/MenuPanelClose,Retour au jeu=6613
UI/MenuPanelCredits,Générique=6614
UI/MenuPanelCurrentRegion,%regionName% (région actuelle)=6615
UI/MenuPanelHelp,Aide=6616
UI/MenuPanelLogin,Connexion=6617
UI/MenuPanelLogout,Se déconnecter /// Logout=6618
UI/MenuPanelOptions,Options /// Options=6619
UI/MenuPanelQuit,Quitter le jeu /// Exit Game=6620
UI/MenuPanelSwitchRegion,Cliquez pour sélectionner une autre région.=6621
UI/MenuPanelTutorial,Didacticiel=6622
UI/MenuPanelTutorials,Didacticiels=6623
UI/MercenaryFrameHired,ENGAGÉS /// HIRED=6624
UI/MercenaryPanelAlreadyHired,Engagés /// Hired=6625
UI/MercenaryPanelClose_Control,<h/>FERMER /// <h/>CLOSE=6626
UI/MercenaryPanelCostHeading,Coût : /// Cost:=6627
UI/MercenaryPanelCreditsHeading,Crédits disponibles : /// Credits Available:=6628
UI/MercenaryPanelHire,ENGAGER /// HIRE=6629
UI/MercenaryPanelSelectHeading,SÉLECTIONNER UN MERCENAIRE /// SELECT A MERCENARY=6630
UI/MercenaryPanelTitle,MERCENAIRES /// MERCENARIES=6631
UI/Merging,Fusion /// Merging=6632
UI/MessageLog,Messages reçus /// Message Log=6633
UI/MessageLogDialogTitle,MESSAGES REÇUS /// MESSAGE LOG=6634
UI/MicrophoneBoost,Amplification du micro /// Microphone Boost=6635
UI/MicrophoneDisable,Activer le mode sourdine /// Mute OS Microphone=6636
UI/MicrophoneEnable,Désactiver le mode sourdine /// Unmute OS Microphone=6637
UI/MicrophoneTest_Colon,Test de micro : /// Microphone Test:=6638
UI/MicrophoneVolume_Colon,Volume du micro : /// Microphone Volume:=6639
UI/MicrophoneWarningMissing,Le système d’exploitation ne détecte aucun microphone connecté. /// The operating system does not report any connected microphone.=6640
UI/MicrophoneWarningMuted,Le système d’exploitation a mis votre microphone en mode sourdine.<n/>Appuyez sur le bouton <c val="ffff00">Désactiver le mode sourdine du micro du SE</c> pour désactiver la sourdine. /// Your microphone is currently muted by the operating system.<n/>Press the <c val="ffff00">Unmute OS Microphone</c> button to unmute the microphone.=6641
UI/Minerals,Minerai /// Minerals=6642
UI/MineralsCollected,Minerai récolté /// Minerals Collected=6643
UI/MineralsSpent,Minerai utilisé /// Minerals Spent=6644
UI/MinuteAgo,Il y a 1 minute /// 1 minute ago=6645
UI/MinutesAgo,Il y a %d minutes /// %d minutes ago=6646
UI/Mission,Mission /// Mission=6647
UI/MissionObjectives,Objectifs de mission /// Mission Objectives=6648
UI/MissionSelectBonusTitle,<sp/>=6649
UI/MissionSelectNewUnit,Nouvelle unité /// New Unit=6650
UI/MissionSelectObjectiveTitle,OBJECTIF : /// OBJECTIVE:=6651
UI/MissionSelectRewardTitle,BONUS POTENTIEL : /// BONUS OPPORTUNITIES:=6652
UI/MissionTimeTooltip,Affiche le temps écoulé depuis le début de la partie. /// Shows the time that has elapsed since the beginning of the game.=6653
UI/MissionTitle_Colon,Mission : /// Mission:=6654
UI/Mod_Colon,Mod : /// Mod:=6655
UI/Models_Colon,Modèles : /// Models:=6656
UI/MonthAgo,Il y a 1 mois /// 1 month ago=6657
UI/MonthsAgo,Il y a %d mois /// %d months ago=6658
UI/Morphing,Transformation /// Morphing=6659
UI/Mouse,Souris /// Mouse=6660
UI/MouseOverrideSensitivity,Activer la sensibilité de la souris /// Enable Mouse Sensitivity=6661
UI/MouseScrollEnabled,Autoriser le défilement à la souris /// Enable Mouse Scroll=6662
UI/MouseScrollSpeed_Colon,Vitesse de défilement à la souris : /// Mouse Scroll Speed:=6663
UI/MouseSensitivity_Colon,Sensibilité de la souris : /// Mouse Sensitivity:=6664
UI/MouseWheelZoom_Colon,Activer le zoom à la molette de la souris /// Enable Mouse Wheel Zoom=6665
UI/Move,Déplacer /// Move=6666
UI/MoveAndTurn,Déplacer & tourner /// Move & Turn=6667
UI/MoveSpeed_Colon,Vitesse de déplacement : /// Move Speed:=6668
UI/Movies_Colon,Vidéos : /// Movies:=6669
UI/MsFormat,%VAL ms /// %VAL ms=6670
UI/Multiplayer,Multijoueur /// Multiplayer=6671
UI/MultiplayerLoading,Chargement /// Loading=6672
UI/MultiplayerLoadingComplete,Terminé /// Complete=6673
UI/MultiplayerLoadingPanelEven,Match équilibré /// Teams Even=6674
UI/MultiplayerLoadingPanelFavored,Favori /// Favored=6675
UI/MultiplayerLoadingPanelSlightlyFavored,Légèrement favori /// Slightly Favored=6676
UI/Multiplayer_Control,<h/>Multijoueur /// <h/>Multiplayer=6677
UI/Music,Musique /// Music=6678
UI/MusicDisabled,Musique désactivée /// Music Disabled=6679
UI/MusicEnabled,Musique activée /// Music Enabled=6680
UI/Music_Colon,Musique : /// Music:=6681
UI/Mute,Couper le son /// Mute=6682
UI/Name,Nom /// Name=6683
UI/Name_Colon,Nom : /// Name:=6684
UI/NewOptions,Nouvelles options /// New Options=6685
UI/NewPassword_Colon,Nouveau mot de passe : /// New Password:=6686
UI/NewUserPopup/ConfirmSkipMap2Title,PASSER LE DIDACTICIEL ?=6687
UI/NewUserPopup/ConfirmSkipMap3Title,PASSER L’ENTRAÎNEMENT ?=6688
UI/NewUserPopup/DirectToShopTitle,FÉLICITATIONS !=6689
UI/NewUserPopup/ExplainHeroSelectTitle,CHOISIR VOTRE HÉROS=6690
UI/NewUserPopup/GoToPlayButtonTitle,ASCENSION !=6691
UI/NewUserPopup/PlayPracticeGameTitle,ENTRAÎNEMENT !=6692
UI/NewUserPopup/PlaySecondTutorialButtonAccept,JOUER LE DIDACTICIEL /// PLAY TUTORIAL=6693
UI/NewUserPopup/PlaySecondTutorialButtonCancel,PASSER LE DIDACTICIEL=6694
UI/NewUserPopup/PlaySecondTutorialTitle,MISSION ACCOMPLIE=6695
UI/NewUserPopup/PlayThirdTutorialButtonAccept,PASSER À L’ENTRAÎNEMENT=6696
UI/NewUserPopup/PlayThirdTutorialButtonCancel,PASSER L’ENTRAÎNEMENT=6697
UI/NewUserPopup/PlayThirdTutorialTitle,ENTRAÎNEMENT DES TALENTS ?=6698
UI/NewUserPopup/SkipSecondTutorialButtonAccept,PASSER=6699
UI/NewUserPopup/SkipSecondTutorialButtonCancel,RETOUR=6700
UI/NewUserPopup/SkipThirdTutorialButtonAccept,PASSER /// SKIP FOR NOW=6701
UI/NewUserPopup/SkipThirdTutorialButtonCancel,RETOUR /// GO BACK=6702
UI/New_Control,Nouveau=6703
UI/New_Objective_Parenthesis,(Nouveau) /// (New)=6704
UI/News_Control,Informatio<h/>ns /// <h/>News=6705
UI/No,Non /// No=6706
UI/NoMessages,Aucun message à afficher /// No Messages To Display=6707
UI/NoResolutionFound,Aucune résolution valide trouvée /// No Valid Resolutions Found=6708
UI/NoTips,Aucune astuce à afficher /// No Tips To Display=6709
UI/NoTutorials,Aucun didacticiel à afficher /// No Tutorials To Display=6710
UI/NoValidLocales,Votre version du jeu que vous utilisez ne peut pas fonctionner dans la région sélectionnée. /// The client you are using cannot be used in the region you have chosen.=6711
UI/NoiseSensitivity_Colon,Sensibilité sonore : /// Noise Sensitivity:=6712
UI/None,Aucun /// None=6713
UI/Normal,Normale /// Normal=6714
UI/NormalMaps_Colon,Cartes normales : /// Normal Maps:=6715
UI/Normal_Control,Normal /// Normal=6716
UI/Notifications,Listes bloquées=6717
UI/Objectives,Objectifs /// Objectives=6718
UI/Observer,Observateur /// Observer=6719
UI/ObserverAllPlayers,Tout le monde /// Everyone=6720
UI/ObserverCameraButtonTip,Caméra joueur /// Player Camera=6721
UI/ObserverCommentator,Commentateur /// Commentator=6722
UI/ObserverOptions/ObserverInterfaceLabel,Interface Observateur=6723
UI/ObserverOptions/ObserverInterfaceNone,Par défaut=6724
UI/ObserverOptions/ReplayInterfaceLabel,Interface de partie enregistrée=6725
UI/ObserverOptions/ReplayInterfaceNone,Défaut=6726
UI/ObserverOptionsTooltips/GameTooltips,<c val="ffffff">Infobulles du jeu :</c><n/>Active l’affichage des infobulles pendant que vous observez une partie.<n/><n/>Si les infobulles du jeu sont désactivées, maintenez la touche<k val="GameTooltipsOn"/> enfoncée pour les activer temporairement.=6727
UI/ObserverOptionsTooltips/ObserverInterfaceLabelText,<c val="ffffff">Interface observateur :</c><n/>Détermine quelle interface personnalisée sera chargée lorsque vous participez à une partie en observateur.=6728
UI/ObserverOptionsTooltips/ReplayInterfaceLabelText,<c val="ffffff">Interface de partie enregistrée :</c><n/>Détermine quel fichier d’interface personnalisée sera chargé lorsque vous regarderez une partie enregistrée.=6729
UI/ObserverOptionsTooltips/ReplayTime,<c val="ffffff">Afficher les infos de durée des parties enregistrées :</c><n/>Active/désactive l’affichage du chrono pour les parties enregistrées dans l’écran de présentation et dans les panneaux en jeu.=6730
UI/ObserverStatusBarsButtonTip,Barres de points de vie /// Hit Point Bars=6731
UI/ObserverViewMenuTip,Point de vue de : /// View Perspective=6732
UI/ObserverVision,VISION /// VISION=6733
UI/Observer_Control,Parties enregistrées et mode observateur=6734
UI/Observers,Observateurs /// Observers=6735
UI/Off,Désactivé /// Off=6736
UI/OfflineDisabledTooltip,Désactivé en mode hors ligne=6737
UI/Ok,OK /// Ok=6738
UI/Ok_Control,<h/>OK /// <h/>OK=6739
UI/OldPassword_Colon,Ancien mot de passe :<sp/> /// Old Password:=6740
UI/On,Activé /// On=6741
UI/Options,OPTIONS /// OPTIONS=6742
UI/OptionsDialog/Hotkeys_Control,Raccourcis /// Hotkeys=6743
UI/OptionsDialogCancel_Control,Annuler=6744
UI/OptionsDialogOk_Control,Accepter=6745
UI/Options_Control,Options=6746
UI/Options_Control_Caps,OPTIONS /// OPTIONS=6747
UI/Options_RestartDialog,Certaines de vos options ne prendront effet que si vous redémarrez le jeu. Voulez-vous redémarrer maintenant ?=6748
UI/Options_RestartWarnDialog,Vos options ont été sauvegardées, mais certains changements ne prendront effet que si vous redémarrez le jeu.=6749
UI/Output,Sortie /// Output=6750
UI/OutputDevice_Colon,Périphérique de sortie : /// Output Device:=6751
UI/Overview_Control,<h/>Vue d’ensemble /// <h/>Overview=6752
UI/OverwriteFile_Dialog,Le fichier <w>"%fileName%"</w> existe déjà. Êtes-vous sûr de vouloir l’écraser ?=6753
UI/PartyInviteButton/Invited,Invitation en attente=6754
UI/PartyInviteButton/IsMember,Dans votre groupe=6755
UI/PartyInvitePanel/RequestMessage,%userName% vous a invité dans un groupe /// %userName% invited you to a party=6756
UI/PartyInvitePanel/RequestToJoinMessage,%suggestedUserName% a demandé à rejoindre le groupe.=6757
UI/PartyInvitePanel/RequestToJoinSenderMessage,%suggestedUserName% a demandé à rejoindre le groupe par l’intermédiaire de %senderUserName%=6758
UI/PartyInvitePanel/SuggestMessage,%senderUserName% suggère d’inviter %suggestedUserName% dans le groupe /// %senderUserName% suggests %suggestedUserName% to the party=6759
UI/PartyPanel/BonusAddend,+%amount%=6760
UI/PartyPanel/BonusExperience,EXP=6761
UI/PartyPanel/BonusMultiplier,%amount%%=6762
UI/PartyPanel/BoostBonusActive,<s val="StandardTooltipHeader">Turbo actif</s></n>%bonusXp%% d’expérience supplémentaire par partie</n>%bonusGold%% d’or supplémentaire par partie</n></n>Temps restant : %duration%=6763
UI/PartyPanel/Description,Jouez avec des amis pour obtenir plus d’expérience ! Pour créer un groupe, cliquez sur le bouton « Inviter » ci-dessous.=6764
UI/PartyPanel/FriendBonusActive,<s val="StandardTooltipHeader">Bonus Amis activé</s></n>%bonus% points d’expérience=6765
UI/PartyPanel/FriendBonusNotActive,<s val="StandardTooltipHeader">Bonus Amis désactivé</s></n>Jouez dans un groupe avec un ami pour recevoir %bonus% de points d’expérience supplémentaires.</n></n>Remarque : vous devez être ami avec les joueurs dans votre groupe pour obtenir ce bonus.=6766
UI/PartyPanel/GoldTooltip,L’or vous permet de faire des achats dans la boutique. Pour en obtenir, vous pouvez accomplir des quêtes, gagner des niveaux ou simplement jouer des parties. /// Gold is used to purchase things in the Shop. You can acquire Gold by completing quests, leveling, and by playing matches.=6767
UI/PartyPanel/HeroRole,%role% %roleType%=6768
UI/PartyPanel/IGRTooltip,=6769
UI/PartyPanel/Invite,Inviter /// Invite=6770
UI/PartyPanel/Kick,Exclure=6771
UI/PartyPanel/Leave,Quitter le groupe /// Leave Party=6772
UI/PartyPanel/PaidIGRTooltip,=6773
UI/PartyPanel/Promote,Promouvoir /// Promote=6774
UI/PartyPanel/StatusInGame,Dans une partie=6775
UI/PartyPanel/StatusInvited,Invitation en attente=6776
UI/PartyPanel/StatusOffline,Déconnecté=6777
UI/PartyPanel/StatusOnline,Groupe=6778
UI/PartyPanel/StimpackTooltipOff,<s val="StandardTooltipHeader">Turbo inactif</s></n>Les turbos augmentent les quantités d’or et de points d’expérience que vous remportez après chaque partie. Visitez la boutique si vous désirez en savoir plus.=6779
UI/PartyPanel/Suggest,Suggérer=6780
UI/PartyReadyPanel/CustomGameMessage,Vous êtes invité à faire une partie personnalisée /// You're invited to play a custom game=6781
UI/PartyReadyPanel/FunOrNotMessage,Vous êtes invité à faire une partie Sympa… ou pas=6782
UI/PartyReadyPanel/MatchmakingMessage,Vous êtes invité à faire une partie %queueName% /// You're invited to play a %queueName% game=6783
UI/PartyReadyPanel/Ready,Prêt /// Ready=6784
UI/PartyReadyPanel/ReadyCount,%readyMembers% / %totalMembers%=6785
UI/PartyReadyPanel/ReadyMessage,En attente des membres du groupe /// Waiting for party members=6786
UI/PartyReadyPanel/Remaining,Restant=6787
UI/PartyReadyPanel/ReplayMessage,Vous êtes invité à regarder une partie enregistrée=6788
UI/PartyReadyPanel/ReplayTitle,Revoir=6789
UI/Password_Colon,Mot de passe : /// Password:=6790
UI/PatchRequiredDialogCancel,<h/>Annuler /// <h/>Cancel=6791
UI/PatchRequiredDialogMessage,Une nouvelle mise à jour est requise pour cette région.<n/><n/>Redémarrez StarCraft II pour installer automatiquement la mise à jour, ou cliquez sur Annuler pour changer de région. /// A new patch is required to connect to this region.<n/><n/>Restart StarCraft II to automatically install the patch or click Cancel to change regions.=6792
UI/PatchRequiredDialogRestart,<h/>Redémarrer /// <h/>Restart=6793
UI/PatchRequiredDialogTitle,Mise à jour requise /// Patch Required=6794
UI/Peak,Maximum /// Peak=6795
UI/Physics_Colon,Physiques : /// Physics:=6796
UI/PingTargetName,Épingler sur la minicarte /// Ping Minimap=6797
UI/PingTargetPrompt,<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Position de l’épingle<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Annuler=6798
UI/PingTip,Vous permet d’épingler un point sur la minicarte ou le monde du jeu, que seuls vos alliés peuvent voir.<n/><k val="MinimapPing"/>=6799
UI/PingTipObserver,Vous permet d’épingler un point sur la minicarte ou le monde du jeu, que seuls les autres observateurs peuvent voir.<n/><k val="MinimapPing"/>=6800
UI/PlanetPanelBonusObjectiveTitle,OBJECTIF BONUS : /// BONUS OBJECTIVE:=6801
UI/PlanetPanelBonusTitle,BONUS POTENTIEL : /// BONUS OPPORTUNITIES:=6802
UI/PlanetPanelContactPlay,LIRE /// PLAY=6803
UI/PlanetPanelContactStop,ARRÊTER /// STOP=6804
UI/PlanetPanelContactTitle,CONTACT DE LA MISSION /// MISSION CONTACT=6805
UI/PlanetPanelCreditsHeading,Crédits actuels : %credits% /// Current Credits: %credits%=6806
UI/PlanetPanelDifficulty,Mode de difficulté /// Select your difficulty=6807
UI/PlanetPanelLaunch,<h/>COMMENCER /// <h/>LAUNCH=6808
UI/PlanetPanelMissionTitle,MISSION : /// MISSION:=6809
UI/PlanetPanelNoSelection,Sélectionnez une planète. /// Select a planet.=6810
UI/PlanetPanelObjectiveTitle,OBJECTIF DE LA MISSION : /// MISSION OBJECTIVE:=6811
UI/PlanetPanelPlay,<h/>JOUER /// <h/>PLAY=6812
UI/PlanetPanelResearchTitle,PERSPECTIVES DE RECHERCHE : /// RESEARCH OPPORTUNITIES:=6813
UI/PlanetPanelRewardTitle,RÉCOMPENSE : /// REWARD:=6814
UI/PlanetPanelTechnologyTitle,TECHNOLOGIE DISPONIBLE /// AVAILABLE TECHNOLOGY=6815
UI/PlanetPanelTitle,SÉLECTION DE LA MISSION /// MISSION SELECTION=6816
UI/PlanetPanelTravel,<h/>MIGRATION /// <h/>TRAVEL=6817
UI/PlanetPanelUnitUnlocked,UNITÉ DÉVERROUILLÉE /// UNIT UNLOCKED=6818
UI/Play,Jouer /// Play=6819
UI/PlayAgain,Rejouer /// Play Again=6820
UI/PlayChallenge_Control,<h/>Jouer /// <h/>Play=6821
UI/PlayFromHerePanel/Description,Choisir un emplacement pour chaque joueur /// Select the slot each player should replace=6822
UI/PlayFromHerePanel/InvalidUser,Aucun /// None=6823
UI/PlayFromHerePanel/StartButton/Text,LANCER LA PARTIE /// START GAME=6824
UI/PlayFromHerePanel/StartButton/Tooltip/AutomaticVictory,La partie va se terminer immédiatement si elle est lancée avec les joueurs actuels. /// The game will end immediately if started with the current players.=6825
UI/PlayFromHerePanel/StartButton/Tooltip/CustomInterface,Vous ne pouvez pas prendre les commandes de cette partie enregistrée tant que %user% est assigné à un emplacement et utilise une interface de partie enregistrée personnalisée.=6826
UI/PlayFromHerePanel/StartButton/Tooltip/DuplicateUser,Vous ne pouvez pas prendre les commandes de cette partie enregistrée tant que %user% est assigné à plusieurs emplacements. /// You cannot take command of this replay while %user% is assigned to multiple player slots.=6827
UI/PlayFromHerePanel/StartButton/Tooltip/GameComplete,Vous ne pouvez pas prendre les commandes d’une partie enregistrée qui est terminée. /// You cannot take command of a replay that has ended.=6828
UI/PlayFromHerePanel/StartButton/Tooltip/NoLicense,Vous ne pouvez pas prendre les commandes de cette partie enregistrée car %user% ne dispose pas de ce niveau d’extension. /// You cannot take command of this replay because %user% does not own this expansion level.=6829
UI/PlayFromHerePanel/StartButton/Tooltip/NoLicenseForRace,Vous ne pouvez pas prendre les commandes de cette partie enregistrée car %user% ne dispose pas de la license nécessaire pour jouer %race%.=6830
UI/PlayFromHerePanel/StartButton/Tooltip/NoUsersAssigned,Vous ne pouvez pas prendre les commandes de cette partie enregistrée sans affecter des joueurs aux emplacements. /// You cannot take command of this replay without assigning player slots.=6831
UI/PlayFromHerePanel/StartButton/Tooltip/NotHost,Seul l’hôte peut prendre les commandes d’une partie enregistrée. /// Only the host can take command of a replay.=6832
UI/PlayFromHerePanel/Title,PRENDRE LES COMMANDES /// TAKE COMMAND=6833
UI/PlayGame_Control,Lancer une <h/>partie /// <h/>Play Game=6834
UI/Play_Control,<h/>Jouer /// <h/>Play=6835
UI/Player,Joueur /// Player=6836
UI/PlayerBlockFrame/Blocked,<c val="#ColorWhite">Communications bloquées</c><n/>Cliquez sur l’icône pour débloquer les communications.=6837
UI/PlayerBlockFrame/Mute,Désactiver la discussion alliée=6838
UI/PlayerBlockFrame/Unmute,Activer la discussion alliée=6839
UI/PlayerExperienceTooltip,%currentXP% / %totalXP% EXP /// %currentXP% / %totalXP% XP=6840
UI/PlayerExperienceTooltip/MaxLevel,Niveau de joueur maximum atteint=6841
UI/PlayerHeroLevelFrame/Level,Niveau %level%=6842
UI/PlayerMessage/BecameHost,%player% est désormais l’hôte. /// %player% is now the host.=6843
UI/PlayerMessage/CantReconnect,%player% n’a pas réussi à se reconnecter.=6844
UI/PlayerMessage/HasDisconnected,%player% a perdu sa connexion.=6845
UI/PlayerMessage/HasJoinedTheGame,%player% a rejoint la partie ! /// %player% has joined the game!=6846
UI/PlayerMessage/HasLeftTheGame,%player% a quitté la partie ! /// %player% has left the game!=6847
UI/PlayerMessage/HasReconnected,%player% tente de rejoindre la partie.=6848
UI/PlayerMessage/IsBeingRevealed,%player% n’a pas reconstruit sa base et est découvert ! /// %player% has not rebuilt their base and is being revealed!=6849
