AUTHENTICATION_BETA_REGION,Beta /// Beta=0
UI/CREDITS/ROLE_6937,Ingenieros de automatización /// Automation Engineers=3196
UI/CREDITS/ROLE_6941,Director, ingeniería /// Director, Engineering=3197
UI/CREDITS/ROLE_6942,Director, gestión de proyectos /// Director, Program Management=3198
UI/CREDITS/ROLE_6943,Liderazgo grupal /// Group Leadership=3199
UI/CREDITS/ROLE_6944,Liderazgo de equipo /// Team Leadership=3200
UI/CREDITS/ROLE_6945,Ingeniería de Battle.net /// Battle.net Engineering=3201
UI/CREDITS/ROLE_6946,Diseño de Battle.net /// Battle.net Design=3202
UI/CREDITS/ROLE_6947,Asistencia de Battle.net /// Battle.net Support=3203
UI/CREDITS/ROLE_6948,Gestión de conocimientos de Battle.net /// Battle.net Knowledge Management=3204
UI/CREDITS/ROLE_6949,Gestión de proyectos de Battle.net /// Battle.net Program Management=3205
UI/CREDITS/ROLE_6951,Escritura técnica de Battle.net /// Battle.net Technical Writing=3206
UI/CREDITS/ROLE_6953,Gestión de inteligencia empresarial /// Business Intelligence Management=3207
UI/CREDITS/ROLE_6954,Gestión del equipo de riesgos /// Risk Team Management=3208
UI/CREDITS/ROLE_6955,Vicepresidente, marketing integral global /// Vice President, Global Integrated Marketing=3209
UI/CREDITS/ROLE_6956,Vicepresidente, ventas globales /// Vice President, Global Sales=3210
UI/CREDITS/ROLE_6957,Vicepresidente, comunicaciones globales /// Vice President, Global Communications=3211
UI/CREDITS/ROLE_6958,Vicepresidente ejecutivo, marketing global /// Executive Vice President, Global Marketing=3212
UI/CREDITS/ROLE_6959,Gestión de relaciones públicas /// Public Relations Management=3213
UI/CREDITS/ROLE_6960,Equipo de relaciones públicas /// Public Relations Team=3214
UI/CREDITS/ROLE_6961,Gestión de la comunidad /// Community Management=3215
UI/CREDITS/ROLE_6962,Equipo de la comunidad /// Community Team=3216
UI/CREDITS/ROLE_6963,Gestión de marketing /// Marketing Management=3217
UI/CREDITS/ROLE_6964,Equipo de marketing /// Marketing Team=3218
UI/CREDITS/ROLE_6965,Directores de relaciones públicas /// Public Relations Directors=3219
UI/CREDITS/ROLE_6966,Directores creativos /// Creative Directors=3220
UI/CREDITS/ROLE_6967,Directores de marketing /// Marketing Directors=3221
UI/CREDITS/ROLE_6968,Directores de la comunidad /// Community Directors=3222
UI/CREDITS/ROLE_6969,Director de planificación y estrategia comercial /// Business Strategy & Planning Director=3223
UI/CREDITS/ROLE_6971,Administradores de TI /// IT Administrators=3224
UI/CREDITS/ROLE_6972,Gestión de TI /// IT Management=3225
UI/CREDITS/ROLE_6973,Técnicos de TI /// IT Technicians=3226
UI/CREDITS/ROLE_6974,Ingenieros de TI /// IT Engineers=3227
UI/CREDITS/ROLE_6975,Oficina de gestión de proyectos de TI /// IT PMO=3228
UI/CREDITS/ROLE_6976,Vicepresidente, TI global /// Vice President, Global IT=3229
UI/CREDITS/ROLE_6977,Vicepresidente senior, operaciones de tecnología globales /// Senior Vice President, Global Technology Operations=3230
UI/CREDITS/ROLE_6978,Directores de TI /// IT Directors=3231
UI/CREDITS/ROLE_6979,Seguridad de TI /// IT Security=3232
UI/CREDITS/ROLE_6980,Analistas de TI /// IT Analysts=3233
UI/CREDITS/ROLE_6981,Jefe de pruebas /// Test Lead=3234
UI/CREDITS/ROLE_6982,Diseñador de doblaje /// Voice Over Designer=3235
UI/CREDITS/ROLE_6983,Productor de doblaje /// Voice Over Producer=3236
UI/CREDITS/ROLE_6986,Gerente de relaciones públicas /// Public Relations Manager=3237
UI/CREDITS/ROLE_6987,Director de marketing /// Marketing Director=3238
UI/CREDITS/ROLE_6988,Director de desarrollo del juego /// Game Design Lead=3239
UI/CREDITS/ROLE_6989,Subdirector artístico /// Assistant Art Director=3240
UI/CREDITS/ROLE_6990,Gerente del equipo de la comunidad /// Community Team Manager=3241
UI/CREDITS/ROLE_6991,Equipo de la comunidad /// Community Team=3242
UI/CREDITS/ROLE_6992,Gerentes de eSports universitario y amateur /// Collegiate and Amateur eSports Managers=3243
UI/CREDITS/ROLE_6993,Equipo de eSports universitario y amateur /// Collegiate and Amateur eSports Team=3244
UI/CREDITS/ROLE_7002,Liderazgo de animación Blizzard /// Blizzard Animation Leadership=3245
UI/CREDITS/ROLE_7003,Artistas de animación Blizzard /// Blizzard Animation Artists=3246
UI/CREDITS/ROLE_7004,Tecnología de animación Blizzard /// Blizzard Animation Technology=3247
UI/CREDITS/ROLE_7005,Director de operaciones /// Director of Operations=3248
UI/CREDITS/ROLE_7011,Vicepresidente, desarrollo artístico y de cinemáticas /// Vice President, Art and Cinematic Development=3249
UI/CREDITS/ROLE_7012,Artistas de desarrollo creativo /// Creative Development Artists=3250
UI/CREDITS/ROLE_7013,Escritores de desarrollo creativo /// Creative Development Writers=3251
UI/CREDITS/ROLE_7014,Producción de desarrollo creativo /// Creative Development Production=3252
UI/CREDITS/ROLE_7018,Director, planificación de producto y operaciones /// Director, Operations and Product Planning=3253
UI/CREDITS/ROLE_7019,Liderazgo de productos para el consumidor /// Consumer Products Leadership=3254
UI/CREDITS/ROLE_7020,Diseño /// Design=3255
UI/CREDITS/ROLE_7021,Producción /// Production=3256
UI/CREDITS/ROLE_7022,Editorial /// Editorial=3257
UI/CREDITS/ROLE_7023,Ingenieros /// Engineers=3258
UI/CREDITS/ROLE_7024,Producción de animación Blizzard /// Blizzard Animation Production=3259
UI/CREDITS/ROLE_7025,Supervisor de efectos especiales de voz /// VFX Supervisor=3260
UI/CREDITS/ROLE_7026,Director de tecnología /// Director of Technology=3261
UI/CREDITS/ROLE_7027,Diseño de audio /// Audio Design=3262
UI/CREDITS/ROLE_7028,Liderazgo de eventos /// Show Leadership=3263
UI/CREDITS/ROLE_7029,Ingenieros /// Engineers=3264
UI/CREDITS/ROLE_7030,Analistas /// Analysts=3265
UI/CREDITS/ROLE_7031,Gestión de programas /// Program Management=3266
UI/CREDITS/ROLE_7032,Supervisor de sonido y cinemáticas /// Sound Supervisor, Cinematics=3267
UI/CREDITS/ROLE_7033,Productor de audio de cinemáticas /// Cinematic Sound Producer=3268
UI/CREDITS/ROLE_7034,Gerentes de grupos /// Group Managers=3269
UI/CREDITS/ROLE_7035,Diseño de sonido /// Sound Design=3270
UI/CREDITS/ROLE_7037,Coordinador /// Coordinator=3271
UI/CREDITS/ROLE_7038,Artistas adicionales, tecnología y producción /// Additional Artists, Technology, & Production=3272
UI/CREDITS/ROLE_7039,Video y posproducción, filmaciones y captura de imágenes /// Video & Post Production, Filming & Capture=3273
UI/CREDITS/ROLE_7040,Video y posproducción, transmisión en vivo /// Video & Post Production, Live Broadcast=3274
UI/CREDITS/ROLE_7041,Video y posproducción, editorial /// Video & Post Production, Editorial=3275
UI/CREDITS/ROLE_7042,Escritura técnica de TI /// IT Technical Writing=3276
UI/CREDITS/ROLE_7043,Diseño de TI /// IT Design=3277
UI/CREDITS/ROLE_7044,Producción de la bóveda /// Vault Production=3278
UI/CREDITS/ROLE_7046,Vicepresidente, marketing de Asia /// Vice President, Asia Marketing=3279
UI/CREDITS/ROLE_7047,Jefe de producto /// Product Lead=3280
UI/CREDITS/ROLE_7048,Vicepresidente senior, operaciones de tecnología globales /// Senior Vice President, Global Technology Operations=3281
UI/CREDITS/ROLE_7049,Director, ingeniería de servicios /// Director, Service Engineering=3282
UI/CREDITS/ROLE_7050,Director, seguridad global /// Director, Global Security=3283
UI/CREDITS/ROLE_7051,Director de inteligencia de servicios /// Director, Service Intelligence=3284
UI/CREDITS/ROLE_7052,Gerente senior, estrategia y planificación /// Senior Manager, Strategy & Planning=3285
UI/CREDITS/ROLE_7053,Escritura técnica /// Technical Writing=3286
UI/CREDITS/ROLE_7054,Analistas estratégicos y de planificación /// Strategy & Planning Analysts=3287
UI/CREDITS/ROLE_7055,Ingeniería de seguridad /// Security Engineering=3288
UI/CREDITS/ROLE_7056,Gestión de seguridad /// Security Management=3289
UI/CREDITS/ROLE_7057,Diseño de aplicaciones corporativas /// Corporate Applications Design=3290
UI/CREDITS/ROLE_7058,Ingeniería de aplicaciones corporativas /// Corporate Applications Engineering=3291
UI/CREDITS/ROLE_7059,Director, aplicaciones corporativas /// Director, Corporate Applications=3292
UI/CREDITS/ROLE_7061,Producción de aplicaciones corporativas /// Corporate Applications Production=3293
UI/CREDITS/ROLE_7062,Gestión de aplicaciones corporativas /// Corporate Applications Management=3294
UI/CREDITS/ROLE_7063,Analistas de aplicaciones corporativas /// Corporate Applications Analysts=3295
UI/CREDITS/ROLE_7064,Ingeniería de base de datos /// Database Engineering=3296
UI/CREDITS/ROLE_7065,Administradores de base de datos /// Database Administrators=3297
UI/CREDITS/ROLE_7066,Miembros del equipo adicionales /// Additional Team Members=3298
UI/CREDITS/ROLE_7067,Gestión de administración de base de datos /// Database Administration Management=3299
UI/CREDITS/ROLE_7068,Técnicos /// Technicians=3300
UI/CREDITS/ROLE_7069,Director, administración de base de datos /// Director, Database Administration=3301
UI/CREDITS/ROLE_7070,Ingeniería de sistemas informáticos /// Information Systems Engineering=3302
UI/CREDITS/ROLE_7071,Técnicos de sistemas informáticos /// Information Systems Technicians=3303
UI/CREDITS/ROLE_7072,Gestión de sistemas informáticos /// Information Systems Management=3304
UI/CREDITS/ROLE_7073,Miembros del equipo adicionales /// Additional Team Members=3305
UI/CREDITS/ROLE_7074,Administración de sistemas informáticos /// Information Systems Administration=3306
UI/CREDITS/ROLE_7075,Gerente senior, sistemas informáticos /// Senior Manager, Information Systems=3307
UI/CREDITS/ROLE_7076,Gerente senior de centro de operaciones /// Senior Manager, Operations Center=3308
UI/CREDITS/ROLE_7077,Administración de procesos /// Process Administration=3309
UI/CREDITS/ROLE_7078,Técnicos de operaciones /// Operations Technicians=3310
UI/CREDITS/ROLE_7079,Director de gestión de proyectos /// Director, Program Management=3311
UI/CREDITS/ROLE_7080,Gestión de programas /// Program Management=3312
UI/CREDITS/ROLE_7081,Gestión del proyecto /// Project Management=3313
UI/CREDITS/ROLE_7082,Análisis del proyecto /// Project Analysis=3314
UI/CREDITS/ROLE_7083,Analistas de seguridad /// Security Analysts=3315
UI/CREDITS/ROLE_7084,Administración de seguridad /// Security Administration=3316
UI/CREDITS/ROLE_7085,Especialistas de seguridad /// Security Specialists=3317
UI/CREDITS/ROLE_7086,Ingeniería de software /// Software Engineering=3318
UI/CREDITS/ROLE_7087,Administración de sistemas /// System Administration=3319
UI/CREDITS/ROLE_7088,Gestión de aplicaciones corporativas /// Operations Center Management=3320
UI/CREDITS/ROLE_7089,Vicepresidente de TI global /// Vice President, Global IT=3321
UI/CREDITS/ROLE_7090,Ingenieros de servicios /// Service Engineers=3322
UI/CREDITS/ROLE_7092,Director de ingeniería de infraestructura /// Director, Infrastructure Engineering=3323
UI/CREDITS/ROLE_7093,Gestión de centro de datos /// Data Center Management=3324
UI/CREDITS/ROLE_7094,Ingeniería de infraestructura /// Infrastructure Engineering=3325
UI/CREDITS/ROLE_7095,Gerente de servicios /// Service Manager=3326
UI/CREDITS/ROLE_7097,Gestión de ingeniería de infraestructura /// Infrastructure Engineering Management=3327
UI/CREDITS/ROLE_7098,Administración de infraestructura /// Infrastructure Administration=3328
UI/CREDITS/ROLE_7099,Técnicos de infraestructura /// Infrastructure Technicians=3329
UI/CREDITS/ROLE_7100,Gestión del departamento de tecnología de la información /// Information Technology Department Management=3330
UI/CREDITS/ROLE_7108,Analista del proyecto /// Project Analyst=3331
UI/CREDITS/ROLE_7109,Gerente senior de sistemas informáticos /// Senior Manager, Information Systems=3332
UI/CREDITS/ROLE_7110,Asistencia administrativa /// Administrative Support=3333
UI/CREDITS/ROLE_7111,Productores de automatización /// Automation Producers=3334
UI/CREDITS/ROLE_8041,Artista de la interfaz de usuario /// User Interface Artist=3335
UI/CREDITS/ROLE_8042,Artista principal de la interfaz de usuario /// Lead User Interface Artist=3336
UI/CREDITS/ROLE_8043,Artistas técnicos /// Technical Artists=3337
UI/CREDITS/ROLE_8044,Artista técnico principal /// Lead Technical Artist=3338
UI/CREDITS/ROLE_8045,Artistas principales /// Lead Artists=3339
UI/CREDITS/ROLE_8046,Gerente artístico /// Art Manager=3340
UI/CREDITS/ROLE_8048,Artistas adicionales /// Additional Artists=3341
UI/CREDITS/ROLE_8049,Artistas de la campaña /// Campaign Artists=3342
UI/CREDITS/ROLE_8050,Artistas de la historia /// Story Artists=3343
UI/CREDITS/ROLE_8051,Director técnico /// Technical Director=3344
UI/CREDITS/ROLE_8052,Director del juego /// Game Director=3345
UI/CREDITS/ROLE_8053,Director comercial /// Business Director=3346
UI/CREDITS/ROLE_8054,Director artístico /// Art Director=3347
UI/CREDITS/ROLE_8055,Productor ejecutivo /// Executive Producer=3348
UI/CREDITS/ROLE_8056,Jefe de producción /// Production Lead=3349
UI/CREDITS/ROLE_8057,Directores de la historia /// Story Directors=3350
UI/CREDITS/ROLE_8059,Director de desarrollo del juego /// Game Design Lead=3351
UI/CREDITS/ROLE_8060,Subdirector artístico /// Assistant Art Director=3352
UI/CREDITS/ROLE_8062,Operaciones comerciales /// Business Operations=3353
UI/CREDITS/ROLE_8063,Escritores /// Writers=3354
UI/CREDITS/ROLE_8064,Diseñadores técnicos /// Technical Designers=3355
UI/CREDITS/ROLE_8065,Diseñadores de niveles /// Level Designers=3356
UI/CREDITS/ROLE_8066,Diseñador principal de niveles /// Lead Level Designer=3357
UI/CREDITS/ROLE_8067,Diseñadores del juego /// Game Designers=3358
UI/CREDITS/ROLE_8069,Gerentes de diseño /// Design Managers=3359
UI/CREDITS/ROLE_8070,Diseñadores adicionales /// Additional Designers=3360
UI/CREDITS/ROLE_8071,Diseñador principal del multijugador /// Lead Multiplayer Designer=3361
UI/CREDITS/ROLE_8072,Diseñadores de la interfaz de usuario /// User Interface Designers=3362
UI/CREDITS/ROLE_8074,Diseñador de doblaje /// Voice Over Designer=3363
UI/CREDITS/ROLE_8075,Ingenieros del motor /// Engine Engineers=3364
UI/CREDITS/ROLE_8076,Ingenieros de herramientas /// Tools Engineers=3365
UI/CREDITS/ROLE_8077,Ingeniero de herramientas principal /// Lead Tools Engineer=3366
UI/CREDITS/ROLE_8078,Ingenieros de Mac /// Mac Engineers=3367
UI/CREDITS/ROLE_8079,Ingeniero principal de Mac /// Lead Mac Engineer=3368
UI/CREDITS/ROLE_8080,Ingenieros en línea /// Online Engineers=3369
UI/CREDITS/ROLE_8081,Gerentes de ingeniería /// Engineering Managers=3370
UI/CREDITS/ROLE_8082,Ingenieros adicionales /// Additional Engineers=3371
UI/CREDITS/ROLE_8083,Ingenieros de sistemas de juego /// Game Systems Engineers=3372
UI/CREDITS/ROLE_8084,Ingenieros de interfaz de usuario /// User Interface Engineers=3373
UI/CREDITS/ROLE_8085,Ingeniero principal de sistemas de juego /// Lead Game Systems Engineer=3374
UI/CREDITS/ROLE_8086,Ingeniero principal del motor /// Lead Engine Engineer=3375
UI/CREDITS/ROLE_8087,Ingeniero principal en línea /// Lead Online Engineer=3376
UI/CREDITS/ROLE_8088,Ingeniero principal de plataforma en línea /// Lead Online Platform Engineer=3377
UI/CREDITS/ROLE_8089,Ingeniero de plataforma en línea /// Online Platform Engineers=3378
UI/CREDITS/ROLE_8090,Liderazgo de ingeniería adicional /// Additional Engineering Leadership=3379
UI/CREDITS/ROLE_8091,Ingenieros de automatización principales /// Lead Automation Engineers=3380
UI/CREDITS/ROLE_8092,Ingenieros de automatización /// Automation Engineers=3381
UI/CREDITS/ROLE_8093,Productor de Mac /// Mac Producer=3382
UI/CREDITS/ROLE_8094,Productores del juego /// Game Producers=3383
UI/CREDITS/ROLE_8095,Producción adicional /// Additional Production=3384
UI/CREDITS/ROLE_8096,Productores de localización /// Localization Producers=3385
UI/CREDITS/ROLE_8097,Productores de sonido /// Sound Producers=3386
UI/CREDITS/ROLE_8098,Productor de doblaje /// Voice Over Producer=3387
UI/CREDITS/ROLE_8099,Productores de automatización /// Automation Producers=3388
UI/CREDITS/ROLE_8100,Equipo de asalto /// Strike Team=3389
UI/CREDITS/ROLE_8101,Jefe del equipo de asalto /// Strike Team Lead=3390
UI/CREDITS/ROLE_8102,Administración /// Administration=3391
UI/CREDITS/ROLE_8103,Gerente de recursos humanos /// Human Resources Manager=3392
UI/CREDITS/ROLE_8104,Gerente de relaciones públicas /// Public Relations Manager=3393
UI/CREDITS/ROLE_8105,Director de marketing /// Marketing Director=3394
UI/CREDITS/ROLE_8106,Gerente del equipo de la comunidad /// Community Team Manager=3395
UI/CREDITS/ROLE_8107,Equipo de la comunidad /// Community Team=3396
UI/CREDITS/ROLE_8108,Liderazgo de pruebas /// Test Leadership=3397
UI/CREDITS/ROLE_8109,Analistas de pruebas /// Test Analysts=3398
UI/CREDITS/ROLE_8110,Jefe de pruebas /// Test Lead=3399
UI/CREDITS/ROLE_8111,Desarrollo adicional /// Additional Development=3400
UI/CREDITS/ROLE_8112,Supervisor de sonido /// Sound Supervisor=3401
UI/CREDITS/ROLE_8113,Compositor principal /// Lead Composer=3402
UI/CREDITS/ROLE_8114,Edición e implementación de música adicional /// Additional Music Editing and Implementation=3403
UI/CREDITS/ROLE_8115,Director de reparto y doblaje /// Casting & Voice Director=3404
UI/CREDITS/ROLE_8116,Supervisor de sonido y cinemáticas /// Sound Supervisor, Cinematics=3405
UI/CREDITS/ROLE_8117,Productor de audio de cinemáticas /// Cinematic Sound Producer=3406
UI/CREDITS/ROLE_8118,Diseño de sonido /// Sound Design=3407
UI/CREDITS/ROLE_8119,Video y posproducción, productores /// Video & Post Production, Producers=3408
UI/CREDITS/ROLE_8120,Vicepresidente senior de operaciones de desarrollo de historia y franquicia /// Senior Vice President, Story & Franchise Development Operations=3409
UI/CREDITS/ROLE_8121,Equipo de audio /// Audio Team=3410
UI/CREDITS/ROLE_8122,Equipo de productos para el consumidor /// Consumer Products Team=3411
UI/CREDITS/ROLE_8123,Director de video y posproducción /// Director, Video & Post Production=3412
UI/CREDITS/ROLE_8124,Director de producción, audio /// Production Director, Audio=3413
UI/CREDITS/ROLE_8125,Director senior, audio /// Senior Director, Audio=3414
UI/CREDITS/ROLE_8126,Vicepresidente de productos para el consumidor globales /// Vice President, Global Consumer Products=3415
UI/CREDITS/ROLE_8127,Director de producción, desarrollo creativo y animación de Blizzard /// Director of Production, Blizzard Animation & Creative Development=3416
UI/CREDITS/ROLE_8128,Animación de Blizzard, liderazgo /// Blizzard Animation, Leadership=3417
UI/CREDITS/ROLE_8129,Animación de Blizzard, artistas /// Blizzard Animation, Artists=3418
UI/CREDITS/ROLE_8130,Animación de Blizzard, tecnología /// Blizzard Animation, Technology=3419
UI/CREDITS/ROLE_8131,Director de operaciones, Desarrollo de historia y franquicia /// Director of Operations, Story & Franchise Development=3420
UI/CREDITS/ROLE_8132,Vicepresidente de desarrollo artístico y de cinemáticas /// Vice President, Art and Cinematic Development=3421
UI/CREDITS/ROLE_8133,Desarrollo creativo, artistas /// Creative Development, Artists=3422
UI/CREDITS/ROLE_8134,Desarrollo creativo, escritores /// Creative Development, Writers=3423
UI/CREDITS/ROLE_8135,Desarrollo creativo, producción /// Creative Development, Production=3424
UI/CREDITS/ROLE_8136,Director de planificación de producto y operaciones /// Director, Operations and Product Planning=3425
UI/CREDITS/ROLE_8137,Productos para el consumidor, liderazgo /// Consumer Products, Leadership=3426
UI/CREDITS/ROLE_8138,Animación de Blizzard, producción /// Blizzard Animation, Production=3427
UI/CREDITS/ROLE_8139,Supervisor de efectos especiales de voz /// VFX Supervisor=3428
UI/CREDITS/ROLE_8140,Director de tecnología /// Director of Technology=3429
UI/CREDITS/ROLE_8141,Diseño de audio /// Audio Design=3430
UI/CREDITS/ROLE_8142,Liderazgo de eventos /// Show Leadership=3431
UI/CREDITS/ROLE_8143,Artistas adicionales, tecnología y producción /// Additional Artists, Technology, and Production=3432
UI/CREDITS/ROLE_8144,Video y posproducción, filmaciones y captura de imágenes /// Video & Post Production, Filming & Capture=3433
UI/CREDITS/ROLE_8145,Video y posproducción, transmisión en vivo /// Video & Post Production, Live Broadcast=3434
UI/CREDITS/ROLE_8146,Video y posproducción, editorial /// Video & Post Production, Editorial=3435
UI/CREDITS/ROLE_8147,Vicepresidente senior de atención al cliente global y tecnologías de asistencia /// Senior Vice President, Global Customer Service & Service Technologies=3436
UI/CREDITS/ROLE_8148,Director senior, asistencia al cliente de las Américas /// Senior Director, Customer Service Americas=3437
UI/CREDITS/ROLE_8149,Gerente senior regional de planificación y servicios de asistencia, atención al cliente de las Américas /// Senior Manager Regional Planning and Support Services, Customer Service Americas=3438
UI/CREDITS/ROLE_8150,Gerente de aprendizaje y desarrollo, atención al cliente de las Américas /// Learning and Development Manager, Customer Service Americas=3439
UI/CREDITS/ROLE_8151,Director regional senior, atención al cliente de Europa /// Senior Regional Director, Customer Service Europe=3440
UI/CREDITS/ROLE_8152,Director de atención al cliente de Irlanda, atención al cliente de Europa /// Customer Service Director Ireland, Customer Services Europe=3441
UI/CREDITS/ROLE_8153,Gerente senior de aprendizaje y desarrollo, asistencia al cliente de Europa /// Senior Learning and Development Manager, Customer Support Europe=3442
UI/CREDITS/ROLE_8154,Director regional, atención al cliente de Asia /// Regional Director, Customer Service Asia=3443
UI/CREDITS/ROLE_8155,Asistencia al cliente de las Américas /// Customer Support Americas=3444
UI/CREDITS/ROLE_8156,Asistencia al cliente de Corea /// Customer Support Korea=3445
UI/CREDITS/ROLE_8157,Gestión grupal de atención al cliente de las Américas /// Group Management, Customer Support Americas=3446
UI/CREDITS/ROLE_8158,Asistencia al cliente de Europa /// Customer Support Europe=3447
UI/CREDITS/ROLE_8159,Gestión de planificación regional y servicios de asistencia, atención al cliente de las Américas /// Regional Planning and Support Services Management, Customer Service Americas=3448
UI/CREDITS/ROLE_8160,Equipo de planificación regional y servicios de asistencia, asistencia al cliente de las Américas /// Regional Planning and Support Services Team, Customer Support Americas=3449
UI/CREDITS/ROLE_8161,Equipo de aprendizaje y desarrollo, asistencia al cliente de las Américas /// Learning and Development Team, Customer Support Americas=3450
UI/CREDITS/ROLE_8162,Gestión grupal de asistencia al cliente de Europa /// Group Management, Customer Support Europe=3451
UI/CREDITS/ROLE_8163,Gestión de planificación regional y servicios de asistencia, asistencia al cliente de Europa /// Regional Planning and Support Services Management, Customer Support Europe=3452
UI/CREDITS/ROLE_8164,Equipo de planificación regional y servicios de asistencia, asistencia al cliente de Europa /// Regional Planning and Support Services Team, Customer Support Europe=3453
UI/CREDITS/ROLE_8165,Equipo de aprendizaje y desarrollo, asistencia al cliente de Europa /// Learning and Development Team, Customer Support Europe=3454
UI/CREDITS/ROLE_8166,Gestión grupal de asistencia al cliente de Corea /// Group Management, Customer Support Korea=3455
UI/CREDITS/ROLE_8167,Gerente de planificación regional y servicios de asistencia, asistencia al cliente de Corea /// Regional Planning and Support Services Manager, Customer Support Korea=3456
UI/CREDITS/ROLE_8168,Equipo de planificación regional y servicios de asistencia, asistencia al cliente de Corea /// Regional Planning and Support Services Team, Customer Support Korea=3457
UI/CREDITS/ROLE_8169,Equipo de aprendizaje y desarrollo, asistencia al cliente de Corea /// Learning and Development Team, Customer Support Korea=3458
UI/CREDITS/ROLE_8170,Gerente de atención al cliente, asistencia al cliente de Taiwán /// Customer Service Manager, Customer Support Taiwan=3459
UI/CREDITS/ROLE_8171,Equipo de Información de asistencia, asistencia al cliente de Taiwán /// Support Information Team, Customer Support Taiwan=3460
UI/CREDITS/ROLE_8172,Gerente de atención al cliente, asistencia al cliente de China /// Customer Service Manager, Customer Support China=3461
UI/CREDITS/ROLE_8173,Equipo de operaciones de atención al cliente, asistencia al cliente de China /// Customer Service Operations Team, Customer Support China=3462
UI/CREDITS/ROLE_8174,Director de operaciones de atención al cliente global /// Director, Global Customer Service Operations=3463
UI/CREDITS/ROLE_8175,Gestión de operaciones de atención al cliente global /// Global Customer Service Operations Management=3464
UI/CREDITS/ROLE_8176,Equipo de operaciones de atención al cliente global /// Global Customer Service Operations Team=3465
UI/CREDITS/ROLE_8178,Director de tecnologías de asistencia /// Director, Service Technologies=3466
UI/CREDITS/ROLE_8179,Equipo de tecnologías de asistencia /// Service Technologies Team=3467
UI/CREDITS/ROLE_8180,Liderazgo de tecnologías de asistencia /// Service Technologies Leadership=3468
UI/CREDITS/ROLE_8181, Gestión de tecnologías de asistencia ///  Service Technologies Management=3469
UI/CREDITS/ROLE_8182,Equipo de finanzas, contabilidad y administración /// Finance, Accounting, & Administration Team=3470
UI/CREDITS/ROLE_8183,Vicepresidente de finanzas globales /// Vice President, Global Finance=3471
UI/CREDITS/ROLE_8184,Directores de finanzas /// Finance Directors=3472
UI/CREDITS/ROLE_8185,Equipo de comunicaciones internas /// Internal Communications Team=3473
UI/CREDITS/ROLE_8186,Vicepresidente de recursos humanos y comunicaciones internas globales  /// Vice President, Global Human Resources & Internal Communications=3474
UI/CREDITS/ROLE_8187,Equipo de recursos humanos /// Human Resources Team=3475
UI/CREDITS/ROLE_8188,Vicepresidente de recursos humanos /// Vice President, Human Resources=3476
UI/CREDITS/ROLE_8189,Director de recursos humanos senior, desarrollo de producto /// Senior Human Resources Director, Product Development=3477
UI/CREDITS/ROLE_8190,Director senior de talentos y desarrollo organizacional /// Senior Director, Talent & Organizational Development=3478
UI/CREDITS/ROLE_8191,Director de recompensas globales /// Director, Global Rewards=3479
UI/CREDITS/ROLE_8192,Director de adquisición de talentos global /// Director, Global Talent Acquisition=3480
UI/CREDITS/ROLE_8193,Directores de recursos humanos /// Human Resources Directors=3481
UI/CREDITS/ROLE_8194,Equipo de recompensas globales /// Global Rewards Team=3482
UI/CREDITS/ROLE_8195,Equipo de adquisición de talentos /// Talent Acquisition Team=3483
UI/CREDITS/ROLE_8196,Equipo de desarrollo de talentos y organización /// Talent & Organizational Development Team=3484
UI/CREDITS/ROLE_8197,Director de comunicaciones internas globales /// Director, Global Internal Communications=3485
UI/CREDITS/ROLE_8198,Equipo legal /// Legal Team=3486
UI/CREDITS/ROLE_8199,Vicepresidente y consejo general /// Vice President & General Counsel=3487
UI/CREDITS/ROLE_8200,Jefe de producto /// Product Lead=3488
UI/CREDITS/ROLE_8201,Vicepresidente de localización y control de calidad globales  /// Vice President, Global Quality Assurance & Localization=3489
UI/CREDITS/ROLE_8202,Director de operaciones /// Director, Operations=3490
UI/CREDITS/ROLE_8203,Gerente comercial /// Business Manager=3491
UI/CREDITS/ROLE_8204,Director global de localización /// Director, Global Localization=3492
UI/CREDITS/ROLE_8205,Gestión de localización /// Localization Management=3493
UI/CREDITS/ROLE_8206,Gestión de control de calidad /// Quality Assurance Management=3494
UI/CREDITS/ROLE_8207,Gestión de cumplimiento /// Compliance Management=3495
UI/CREDITS/ROLE_8208,Gestión de compatibilidad /// Compatibility Management=3496
UI/CREDITS/ROLE_8209,Equipo de operaciones /// Operations Team=3497
UI/CREDITS/ROLE_8210,Gerente senior de control de calidad /// Senior Manager, Quality Assurance=3498
UI/CREDITS/ROLE_8211,Equipo de localización /// Localization Team=3499
UI/CREDITS/ROLE_8213,Equipo de control de calidad /// Quality Assurance Team=3500
UI/CREDITS/ROLE_8214,Gestión del departamento de localización /// Localization Department Management=3501
UI/CREDITS/ROLE_8215,Director de localización de Europa /// Director of Localization, Europe=3502
UI/CREDITS/ROLE_8216,Vicepresidente de desarrollo empresarial y alianzas corporativas globales /// Vice President, Global Business Development & Corporate Alliances=3503
UI/CREDITS/ROLE_8217,Director de sociedades y promociones /// Director, Partnerships and Promotions=3504
UI/CREDITS/ROLE_8218,Gerente de alianzas corporativas /// Manager, Corporate Alliances=3505
UI/CREDITS/ROLE_8219,Gerente senior de desarrollo empresarial /// Senior Manager, Business Development=3506
UI/CREDITS/ROLE_8220,Gerente de desarrollo empresarial /// Business Development Manager=3507
UI/CREDITS/ROLE_8222,Coordinador /// Coordinator=3508
