AUTHENTICATION_BETA_REGION,内测或公测 /// Beta=0
UI/CREDITS/ROLE_8066,Lead Level Designer /// Lead Level Designer=3357
UI/CREDITS/ROLE_8067,Game Designers /// Game Designers=3358
UI/CREDITS/ROLE_8069,Design Managers /// Design Managers=3359
UI/CREDITS/ROLE_8070,Additional Designers /// Additional Designers=3360
UI/CREDITS/ROLE_8071,Lead Multiplayer Designer /// Lead Multiplayer Designer=3361
UI/CREDITS/ROLE_8072,User Interface Designers /// User Interface Designers=3362
UI/CREDITS/ROLE_8074,Voice Over Designer /// Voice Over Designer=3363
UI/CREDITS/ROLE_8075,Engine Engineers /// Engine Engineers=3364
UI/CREDITS/ROLE_8076,Tools Engineers /// Tools Engineers=3365
UI/CREDITS/ROLE_8077,Lead Tools Engineer /// Lead Tools Engineer=3366
UI/CREDITS/ROLE_8078,Mac Engineers /// Mac Engineers=3367
UI/CREDITS/ROLE_8079,Lead Mac Engineer /// Lead Mac Engineer=3368
UI/CREDITS/ROLE_8080,Online Engineers /// Online Engineers=3369
UI/CREDITS/ROLE_8081,Engineering Managers /// Engineering Managers=3370
UI/CREDITS/ROLE_8082,Additional Engineers /// Additional Engineers=3371
UI/CREDITS/ROLE_8083,Game Systems Engineers /// Game Systems Engineers=3372
UI/CREDITS/ROLE_8084,User Interface Engineers /// User Interface Engineers=3373
UI/CREDITS/ROLE_8085,Lead Game Systems Engineer /// Lead Game Systems Engineer=3374
UI/CREDITS/ROLE_8086,Lead Engine Engineer /// Lead Engine Engineer=3375
UI/CREDITS/ROLE_8087,Lead Online Engineer /// Lead Online Engineer=3376
UI/CREDITS/ROLE_8088,Lead Online Platform Engineer /// Lead Online Platform Engineer=3377
UI/CREDITS/ROLE_8089,Online Platform Engineers /// Online Platform Engineers=3378
UI/CREDITS/ROLE_8090,Additional Engineering Leadership /// Additional Engineering Leadership=3379
UI/CREDITS/ROLE_8091,Lead Automation Engineers /// Lead Automation Engineers=3380
UI/CREDITS/ROLE_8092,Automation Engineers /// Automation Engineers=3381
UI/CREDITS/ROLE_8093,Mac Producer /// Mac Producer=3382
UI/CREDITS/ROLE_8094,Game Producers /// Game Producers=3383
UI/CREDITS/ROLE_8095,Additional Production /// Additional Production=3384
UI/CREDITS/ROLE_8096,Localization Producers /// Localization Producers=3385
UI/CREDITS/ROLE_8097,Sound Producers /// Sound Producers=3386
UI/CREDITS/ROLE_8098,Voice Over Producer /// Voice Over Producer=3387
UI/CREDITS/ROLE_8099,Automation Producers /// Automation Producers=3388
UI/CREDITS/ROLE_8100,Strike Team /// Strike Team=3389
UI/CREDITS/ROLE_8101,Strike Team Lead /// Strike Team Lead=3390
UI/CREDITS/ROLE_8102,Administration /// Administration=3391
UI/CREDITS/ROLE_8103,Human Resources Manager /// Human Resources Manager=3392
UI/CREDITS/ROLE_8104,Public Relations Manager /// Public Relations Manager=3393
UI/CREDITS/ROLE_8105,Marketing Director /// Marketing Director=3394
UI/CREDITS/ROLE_8106,Community Team Manager /// Community Team Manager=3395
UI/CREDITS/ROLE_8107,Community Team /// Community Team=3396
UI/CREDITS/ROLE_8108,Test Leadership /// Test Leadership=3397
UI/CREDITS/ROLE_8109,Test Analysts /// Test Analysts=3398
UI/CREDITS/ROLE_8110,Test Lead /// Test Lead=3399
UI/CREDITS/ROLE_8111,Additional Development /// Additional Development=3400
UI/CREDITS/ROLE_8112,Sound Supervisor /// Sound Supervisor=3401
UI/CREDITS/ROLE_8113,Lead Composer /// Lead Composer=3402
UI/CREDITS/ROLE_8114,Additional Music Editing and Implementation /// Additional Music Editing and Implementation=3403
UI/CREDITS/ROLE_8115,Casting & Voice Director /// Casting & Voice Director=3404
UI/CREDITS/ROLE_8116,Sound Supervisor, Cinematics /// Sound Supervisor, Cinematics=3405
UI/CREDITS/ROLE_8117,Cinematic Sound Producer /// Cinematic Sound Producer=3406
UI/CREDITS/ROLE_8118,Sound Design /// Sound Design=3407
UI/CREDITS/ROLE_8119,Video & Post Production, Producers /// Video & Post Production, Producers=3408
UI/CREDITS/ROLE_8120,Senior Vice President, Story & Franchise Development Operations /// Senior Vice President, Story & Franchise Development Operations=3409
UI/CREDITS/ROLE_8121,Audio Team /// Audio Team=3410
UI/CREDITS/ROLE_8122,Consumer Products Team /// Consumer Products Team=3411
UI/CREDITS/ROLE_8123,Director, Video & Post Production /// Director, Video & Post Production=3412
UI/CREDITS/ROLE_8124,Production Director, Audio /// Production Director, Audio=3413
UI/CREDITS/ROLE_8125,Senior Director, Audio /// Senior Director, Audio=3414
UI/CREDITS/ROLE_8126,Vice President, Global Consumer Products /// Vice President, Global Consumer Products=3415
UI/CREDITS/ROLE_8127,Director of Production, Blizzard Animation & Creative Development /// Director of Production, Blizzard Animation & Creative Development=3416
UI/CREDITS/ROLE_8128,Blizzard Animation, Leadership /// Blizzard Animation, Leadership=3417
UI/CREDITS/ROLE_8129,Blizzard Animation, Artists /// Blizzard Animation, Artists=3418
UI/CREDITS/ROLE_8130,Blizzard Animation, Technology /// Blizzard Animation, Technology=3419
UI/CREDITS/ROLE_8131,Director of Operations, Story & Franchise Development /// Director of Operations, Story & Franchise Development=3420
UI/CREDITS/ROLE_8132,Vice President, Art and Cinematic Development /// Vice President, Art and Cinematic Development=3421
UI/CREDITS/ROLE_8133,Creative Development, Artists /// Creative Development, Artists=3422
UI/CREDITS/ROLE_8134,Creative Development, Writers /// Creative Development, Writers=3423
UI/CREDITS/ROLE_8135,Creative Development, Production /// Creative Development, Production=3424
UI/CREDITS/ROLE_8136,Director, Operations and Product Planning /// Director, Operations and Product Planning=3425
UI/CREDITS/ROLE_8137,Consumer Products, Leadership /// Consumer Products, Leadership=3426
UI/CREDITS/ROLE_8138,Blizzard Animation, Production /// Blizzard Animation, Production=3427
UI/CREDITS/ROLE_8139,VFX Supervisor /// VFX Supervisor=3428
UI/CREDITS/ROLE_8140,Director of Technology /// Director of Technology=3429
UI/CREDITS/ROLE_8141,Audio Design /// Audio Design=3430
UI/CREDITS/ROLE_8142,Show Leadership /// Show Leadership=3431
UI/CREDITS/ROLE_8143,Additional Artists, Technology, and Production /// Additional Artists, Technology, and Production=3432
UI/CREDITS/ROLE_8144,Video & Post Production, Filming & Capture /// Video & Post Production, Filming & Capture=3433
UI/CREDITS/ROLE_8145,Video & Post Production, Live Broadcast /// Video & Post Production, Live Broadcast=3434
UI/CREDITS/ROLE_8146,Video & Post Production, Editorial /// Video & Post Production, Editorial=3435
UI/CREDITS/ROLE_8147,Senior Vice President, Global Customer Service & Service Technologies /// Senior Vice President, Global Customer Service & Service Technologies=3436
UI/CREDITS/ROLE_8148,Senior Director, Customer Service Americas /// Senior Director, Customer Service Americas=3437
UI/CREDITS/ROLE_8149,Senior Manager Regional Planning and Support Services, Customer Service Americas /// Senior Manager Regional Planning and Support Services, Customer Service Americas=3438
UI/CREDITS/ROLE_8150,Learning and Development Manager, Customer Service Americas /// Learning and Development Manager, Customer Service Americas=3439
UI/CREDITS/ROLE_8151,Senior Regional Director, Customer Service Europe /// Senior Regional Director, Customer Service Europe=3440
UI/CREDITS/ROLE_8152,Customer Service Director Ireland, Customer Services Europe /// Customer Service Director Ireland, Customer Services Europe=3441
UI/CREDITS/ROLE_8153,Senior Learning and Development Manager, Customer Support Europe /// Senior Learning and Development Manager, Customer Support Europe=3442
UI/CREDITS/ROLE_8154,Regional Director, Customer Service Asia /// Regional Director, Customer Service Asia=3443
UI/CREDITS/ROLE_8155,Customer Support Americas /// Customer Support Americas=3444
UI/CREDITS/ROLE_8156,Customer Support Korea /// Customer Support Korea=3445
UI/CREDITS/ROLE_8157,Group Management, Customer Support Americas /// Group Management, Customer Support Americas=3446
UI/CREDITS/ROLE_8158,Customer Support Europe /// Customer Support Europe=3447
UI/CREDITS/ROLE_8159,Regional Planning and Support Services Management, Customer Service Americas /// Regional Planning and Support Services Management, Customer Service Americas=3448
UI/CREDITS/ROLE_8160,Regional Planning and Support Services Team, Customer Support Americas /// Regional Planning and Support Services Team, Customer Support Americas=3449
UI/CREDITS/ROLE_8161,Learning and Development Team, Customer Support Americas /// Learning and Development Team, Customer Support Americas=3450
UI/CREDITS/ROLE_8162,Group Management, Customer Support Europe /// Group Management, Customer Support Europe=3451
UI/CREDITS/ROLE_8163,Regional Planning and Support Services Management, Customer Support Europe /// Regional Planning and Support Services Management, Customer Support Europe=3452
UI/CREDITS/ROLE_8164,Regional Planning and Support Services Team, Customer Support Europe /// Regional Planning and Support Services Team, Customer Support Europe=3453
UI/CREDITS/ROLE_8165,Learning and Development Team, Customer Support Europe /// Learning and Development Team, Customer Support Europe=3454
UI/CREDITS/ROLE_8166,Group Management, Customer Support Korea /// Group Management, Customer Support Korea=3455
UI/CREDITS/ROLE_8167,Regional Planning and Support Services Manager, Customer Support Korea /// Regional Planning and Support Services Manager, Customer Support Korea=3456
UI/CREDITS/ROLE_8168,Regional Planning and Support Services Team, Customer Support Korea /// Regional Planning and Support Services Team, Customer Support Korea=3457
UI/CREDITS/ROLE_8169,Learning and Development Team, Customer Support Korea /// Learning and Development Team, Customer Support Korea=3458
UI/CREDITS/ROLE_8170,Customer Service Manager, Customer Support Taiwan /// Customer Service Manager, Customer Support Taiwan=3459
UI/CREDITS/ROLE_8171,Support Information Team, Customer Support Taiwan /// Support Information Team, Customer Support Taiwan=3460
UI/CREDITS/ROLE_8172,Customer Service Manager, Customer Support China /// Customer Service Manager, Customer Support China=3461
UI/CREDITS/ROLE_8173,Customer Service Operations Team, Customer Support China /// Customer Service Operations Team, Customer Support China=3462
UI/CREDITS/ROLE_8174,Director, Global Customer Service Operations /// Director, Global Customer Service Operations=3463
UI/CREDITS/ROLE_8175,Global Customer Service Operations Management /// Global Customer Service Operations Management=3464
UI/CREDITS/ROLE_8176,Global Customer Service Operations Team /// Global Customer Service Operations Team=3465
UI/CREDITS/ROLE_8178,Director, Service Technologies /// Director, Service Technologies=3466
UI/CREDITS/ROLE_8179,Service Technologies Team /// Service Technologies Team=3467
UI/CREDITS/ROLE_8180,Service Technologies Leadership /// Service Technologies Leadership=3468
UI/CREDITS/ROLE_8181, Service Technologies Management ///  Service Technologies Management=3469
UI/CREDITS/ROLE_8182,Finance, Accounting, & Administration Team /// Finance, Accounting, & Administration Team=3470
UI/CREDITS/ROLE_8183,Vice President, Global Finance /// Vice President, Global Finance=3471
UI/CREDITS/ROLE_8184,Finance Directors /// Finance Directors=3472
UI/CREDITS/ROLE_8185,Internal Communications Team /// Internal Communications Team=3473
UI/CREDITS/ROLE_8186,Vice President, Global Human Resources & Internal Communications  /// Vice President, Global Human Resources & Internal Communications=3474
UI/CREDITS/ROLE_8187,Human Resources Team /// Human Resources Team=3475
UI/CREDITS/ROLE_8188,Vice President, Human Resources /// Vice President, Human Resources=3476
UI/CREDITS/ROLE_8189,Senior Human Resources Director, Product Development /// Senior Human Resources Director, Product Development=3477
UI/CREDITS/ROLE_8190,Senior Director, Talent & Organizational Development /// Senior Director, Talent & Organizational Development=3478
UI/CREDITS/ROLE_8191,Director, Global Rewards /// Director, Global Rewards=3479
UI/CREDITS/ROLE_8192,Director, Global Talent Acquisition /// Director, Global Talent Acquisition=3480
UI/CREDITS/ROLE_8193,Human Resources Directors /// Human Resources Directors=3481
UI/CREDITS/ROLE_8194,Global Rewards Team /// Global Rewards Team=3482
UI/CREDITS/ROLE_8195,Talent Acquisition Team /// Talent Acquisition Team=3483
UI/CREDITS/ROLE_8196,Talent & Organizational Development Team /// Talent & Organizational Development Team=3484
UI/CREDITS/ROLE_8197,Director, Global Internal Communications /// Director, Global Internal Communications=3485
UI/CREDITS/ROLE_8198,Legal Team /// Legal Team=3486
UI/CREDITS/ROLE_8199,Vice President & General Counsel /// Vice President & General Counsel=3487
UI/CREDITS/ROLE_8200,Product Lead /// Product Lead=3488
UI/CREDITS/ROLE_8201,Vice President, Global Quality Assurance & Localization  /// Vice President, Global Quality Assurance & Localization=3489
UI/CREDITS/ROLE_8202,Director, Operations /// Director, Operations=3490
UI/CREDITS/ROLE_8203,Business Manager /// Business Manager=3491
UI/CREDITS/ROLE_8204,Director, Global Localization /// Director, Global Localization=3492
UI/CREDITS/ROLE_8205,Localization Management /// Localization Management=3493
UI/CREDITS/ROLE_8206,Quality Assurance Management /// Quality Assurance Management=3494
UI/CREDITS/ROLE_8207,Compliance Management /// Compliance Management=3495
UI/CREDITS/ROLE_8208,Compatibility Management /// Compatibility Management=3496
UI/CREDITS/ROLE_8209,Operations Team /// Operations Team=3497
UI/CREDITS/ROLE_8210,Senior Manager, Quality Assurance /// Senior Manager, Quality Assurance=3498
UI/CREDITS/ROLE_8211,Localization Team /// Localization Team=3499
UI/CREDITS/ROLE_8213,Quality Assurance Team /// Quality Assurance Team=3500
UI/CREDITS/ROLE_8214,Localization Department Management /// Localization Department Management=3501
UI/CREDITS/ROLE_8215,Director of Localization, Europe /// Director of Localization, Europe=3502
UI/CREDITS/ROLE_8216,Vice President, Global Business Development & Corporate Alliances /// Vice President, Global Business Development & Corporate Alliances=3503
UI/CREDITS/ROLE_8217,Director, Partnerships and Promotions /// Director, Partnerships and Promotions=3504
UI/CREDITS/ROLE_8218,Manager, Corporate Alliances /// Manager, Corporate Alliances=3505
UI/CREDITS/ROLE_8219,Senior Manager, Business Development /// Senior Manager, Business Development=3506
UI/CREDITS/ROLE_8220,Business Development Manager /// Business Development Manager=3507
UI/CREDITS/ROLE_8222,Coordinator /// Coordinator=3508
UI/CREDITS/ROLE_8223,International Operations, Game Project Management  /// International Operations, Game Project Management=3509
UI/CREDITS/ROLE_8224,Managing Director, Latin America /// Managing Director, Latin America=3510
UI/CREDITS/ROLE_8225,Managing Director, Australia and New Zealand /// Managing Director, Australia and New Zealand=3511
UI/CREDITS/ROLE_8226,Director of Operations, South East Asia /// Director of Operations, South East Asia=3512
UI/CREDITS/ROLE_8227,Managing Director, Taiwan /// Managing Director, Taiwan=3513
UI/CREDITS/ROLE_8229,Vice President & Managing Director, China /// Vice President & Managing Director, China=3514
UI/CREDITS/ROLE_8230,Director of Operations, Korea /// Director of Operations, Korea=3515
UI/CREDITS/ROLE_8231,Vice President & Managing Director, Asia /// Vice President & Managing Director, Asia=3516
UI/CREDITS/ROLE_8232,Vice President & Managing Director, Europe /// Vice President & Managing Director, Europe=3517
UI/CREDITS/ROLE_8233,Director of Operations, Europe /// Director of Operations, Europe=3518
UI/CREDITS/ROLE_8234,President & Chief Executive Officer /// President & Chief Executive Officer=3519
UI/CREDITS/ROLE_8235,Executive Support /// Executive Support=3520
UI/CREDITS/ROLE_8236,Chief Development Officer /// Chief Development Officer=3521
UI/CREDITS/ROLE_8237,Chief Technology Officer /// Chief Technology Officer=3522
UI/CREDITS/ROLE_8238,Executive Vice President of Corporate Operations /// Executive Vice President of Corporate Operations=3523
UI/CREDITS/ROLE_8239,Chief Financial Officer /// Chief Financial Officer=3524
UI/CREDITS/ROLE_8241,Executive Vice President of International & Customer Service Management /// Executive Vice President of International & Customer Service Management=3525
UI/CREDITS/ROLE_8244,Vice President, Global Integrated Marketing /// Vice President, Global Integrated Marketing=3526
UI/CREDITS/ROLE_8245,Vice President, Global Sales /// Vice President, Global Sales=3527
UI/CREDITS/ROLE_8246,Vice President, Global Communications /// Vice President, Global Communications=3528
UI/CREDITS/ROLE_8247,Executive Vice President, Global Marketing /// Executive Vice President, Global Marketing=3529
UI/CREDITS/ROLE_8248,Public Relations Management /// Public Relations Management=3530
UI/CREDITS/ROLE_8249,Public Relations Team /// Public Relations Team=3531
UI/CREDITS/ROLE_8250,Community Management /// Community Management=3532
UI/CREDITS/ROLE_8251,Community Team /// Community Team=3533
UI/CREDITS/ROLE_8252,Marketing Management /// Marketing Management=3534
UI/CREDITS/ROLE_8253,Marketing Team /// Marketing Team=3535
UI/CREDITS/ROLE_8254,Public Relations Directors /// Public Relations Directors=3536
UI/CREDITS/ROLE_8255,Creative Directors /// Creative Directors=3537
UI/CREDITS/ROLE_8256,Marketing Directors /// Marketing Directors=3538
UI/CREDITS/ROLE_8257,Community Directors /// Community Directors=3539
UI/CREDITS/ROLE_8258,Business Strategy & Planning Director /// Business Strategy & Planning Director=3540
UI/CREDITS/ROLE_8259,Vice President, Asia Marketing /// Vice President, Asia Marketing=3541
UI/CREDITS/ROLE_8260,Global eSports Team /// Global eSports Team=3542
UI/CREDITS/ROLE_8261,Senior Manager /// Senior Manager=3543
UI/CREDITS/ROLE_8262,Collegiate and Amateur eSports Managers /// Collegiate and Amateur eSports Managers=3544
UI/CREDITS/ROLE_8263,Collegiate and Amateur eSports Team /// Collegiate and Amateur eSports Team=3545
UI/CREDITS/ROLE_8264,Web & Mobile Team Leadership  /// Web & Mobile Team Leadership=3546
UI/CREDITS/ROLE_8265,Director of Web & Mobile /// Director of Web & Mobile=3547
UI/CREDITS/ROLE_8267,Web & Mobile Design /// Web & Mobile Design=3548
UI/CREDITS/ROLE_8268,Web & Mobile Program Management /// Web & Mobile Program Management=3549
UI/CREDITS/ROLE_8269,Web & Mobile Editorial /// Web & Mobile Editorial=3550
UI/CREDITS/ROLE_8270,Web & Mobile Engineers /// Web & Mobile Engineers=3551
UI/CREDITS/ROLE_8271,Web & Mobile Group Managers /// Web & Mobile Group Managers=3552
UI/CREDITS/ROLE_8272,Vault Archiving /// Vault Archiving=3553
UI/CREDITS/ROLE_8273,Vault Curation /// Vault Curation=3554
UI/CREDITS/ROLE_8274,Vault Production /// Vault Production=3555
UI/CREDITS/ROLE_8275,Interns & Contractors /// Interns & Contractors=3556
UI/CREDITS/ROLE_8276,Senior Director, Business Intelligence & Risk /// Senior Director, Business Intelligence & Risk=3557
UI/CREDITS/ROLE_8278,Business Intelligence Management /// Business Intelligence Management=3558
UI/CREDITS/ROLE_8279,Risk Team Management /// Risk Team Management=3559
UI/CREDITS/ROLE_8280,Engineers /// Engineers=3560
UI/CREDITS/ROLE_8281,Analysts /// Analysts=3561
UI/CREDITS/ROLE_8282,Program Management /// Program Management=3562
UI/CREDITS/ROLE_8283,Senior Director, Global Purchasing & Facility Management /// Senior Director, Global Purchasing & Facility Management=3563
UI/CREDITS/ROLE_8284,Facilities & Purchasing Team /// Facilities & Purchasing Team=3564
UI/CREDITS/ROLE_8285,Facilities & Purchasing Management /// Facilities & Purchasing Management=3565
UI/CREDITS/ROLE_8286,Vice President of Technology, Strategy, & Planning /// Vice President of Technology, Strategy, & Planning=3566
UI/CREDITS/ROLE_8287,Engineering /// Engineering=3567
UI/CREDITS/ROLE_8288,Production /// Production=3568
UI/CREDITS/ROLE_8289,Director, Engineering /// Director, Engineering=3569
UI/CREDITS/ROLE_8290,Director, Program Management /// Director, Program Management=3570
UI/CREDITS/ROLE_8291,Group Leadership /// Group Leadership=3571
UI/CREDITS/ROLE_8292,Team Leadership /// Team Leadership=3572
UI/CREDITS/ROLE_8293,Battle.net Engineering /// Battle.net Engineering=3573
UI/CREDITS/ROLE_8294,Battle.net User Experience /// Battle.net User Experience=3574
UI/CREDITS/ROLE_8295,Battle.net Administrative Support /// Battle.net Administrative Support=3575
UI/CREDITS/ROLE_8296,Battle.net Knowledge Management /// Battle.net Knowledge Management=3576
UI/CREDITS/ROLE_8297,Battle.net Program Management /// Battle.net Program Management=3577
UI/CREDITS/ROLE_8300,Senior Vice President, Global Technology Operations /// Senior Vice President, Global Technology Operations=3578
UI/CREDITS/ROLE_8301,Vice President, Global IT /// Vice President, Global IT=3579
UI/CREDITS/ROLE_8302,Information Technology Department Management /// Information Technology Department Management=3580
UI/CREDITS/ROLE_8303,IT Administrative Support /// IT Administrative Support=3581
UI/CREDITS/ROLE_8304,Director, Global Security /// Director, Global Security=3582
UI/CREDITS/ROLE_8305,Security Engineering /// Security Engineering=3583
UI/CREDITS/ROLE_8306,Security Management /// Security Management=3584
UI/CREDITS/ROLE_8307,Security Analysts /// Security Analysts=3585
UI/CREDITS/ROLE_8308,Security Administration /// Security Administration=3586
UI/CREDITS/ROLE_8310,Senior Manager, Strategy & Planning /// Senior Manager, Strategy & Planning=3587
UI/CREDITS/ROLE_8311,Technical Writing /// Technical Writing=3588
UI/CREDITS/ROLE_8312,Strategy & Planning Analysts /// Strategy & Planning Analysts=3589
UI/CREDITS/ROLE_8313,Information Systems Engineering /// Information Systems Engineering=3590
UI/CREDITS/ROLE_8314,Information Systems Technicians /// Information Systems Technicians=3591
UI/CREDITS/ROLE_8315,Information Systems Management /// Information Systems Management=3592
UI/CREDITS/ROLE_8317,Information Systems Administration /// Information Systems Administration=3593
UI/CREDITS/ROLE_8318,Senior Manager, Information Systems /// Senior Manager, Information Systems=3594
UI/CREDITS/ROLE_8319,Director, Service Engineering /// Director, Service Engineering=3595
UI/CREDITS/ROLE_8320,Service Engineers /// Service Engineers=3596
UI/CREDITS/ROLE_8322,Director, Infrastructure Engineering /// Director, Infrastructure Engineering=3597
UI/CREDITS/ROLE_8323,Data Center Management /// Data Center Management=3598
UI/CREDITS/ROLE_8324,Infrastructure Engineering /// Infrastructure Engineering=3599
UI/CREDITS/ROLE_8325,Infrastructure Engineering Management /// Infrastructure Engineering Management=3600
UI/CREDITS/ROLE_8326,Infrastructure Administration /// Infrastructure Administration=3601
UI/CREDITS/ROLE_8327,Infrastructure Technicians /// Infrastructure Technicians=3602
UI/CREDITS/ROLE_8328,Senior Manager, Operations Center /// Senior Manager, Operations Center=3603
UI/CREDITS/ROLE_8329,Process Engineering /// Process Engineering=3604
UI/CREDITS/ROLE_8330,Software Engineering /// Software Engineering=3605
UI/CREDITS/ROLE_8331,System Administration /// System Administration=3606
UI/CREDITS/ROLE_8332,Operations Center Management /// Operations Center Management=3607
UI/CREDITS/ROLE_8333,Director, Program Management /// Director, Program Management=3608
UI/CREDITS/ROLE_8334,Program Management /// Program Management=3609
UI/CREDITS/ROLE_8335,Database Administrators /// Database Administrators=3610
UI/CREDITS/ROLE_8337,Director, Database Administration /// Director, Database Administration=3611
UI/CREDITS/ROLE_8338,Director, Service Intelligence /// Director, Service Intelligence=3612
UI/CREDITS/ROLE_8339,Service Manager /// Service Manager=3613
UI/CREDITS/ROLE_8340,Project Analyst /// Project Analyst=3614
UI/CREDITS/ROLE_8341,Corporate Applications Design /// Corporate Applications Design=3615
UI/CREDITS/ROLE_8342,Corporate Applications Engineering /// Corporate Applications Engineering=3616
UI/CREDITS/ROLE_8343,Director, Corporate Applications /// Director, Corporate Applications=3617
UI/CREDITS/ROLE_8345,Corporate Applications Production /// Corporate Applications Production=3618
UI/CREDITS/ROLE_8346,Corporate Applications Management /// Corporate Applications Management=3619
UI/CREDITS/ROLE_8347,Corporate Applications Analysts /// Corporate Applications Analysts=3620
UI/CREDITS/ROLE_8349,Web & Mobile Administrative Support /// Web & Mobile Administrative Support=3621
UI/CREDITS/ROLE_8350,Vice President of Public Relations and Communications, Europe /// Vice President of Public Relations and Communications, Europe=3622
UI/CREDITS/ROLE_8352,Regional Operations Management /// Regional Operations Management=3623
UI/CREDITS/ROLE_8353,Vice President and Managing Director, Korea /// Vice President and Managing Director, Korea=3624
UI/CREDITS/SECTION_170,TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT /// TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT=3625
UI/CREDITS/SECTION_171,BLIZZARD DEVELOPMENT FAMILY /// BLIZZARD DEVELOPMENT FAMILY=3626
UI/CREDITS/SECTION_172,THIRD PARTY CREDITS /// THIRD PARTY CREDITS=3627
UI/CREDITS/SECTION_173,SPECIAL THANKS /// SPECIAL THANKS=3628
UI/CREDITS/SECTION_194,TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT /// TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT=3629
UI/CREDITS/SECTION_195,BLIZZARD DEVELOPMENT FAMILY /// BLIZZARD DEVELOPMENT FAMILY=3630
UI/CREDITS/SECTION_197,SPECIAL THANKS /// SPECIAL THANKS=3631
UI/CREDITS/SECTION_272,TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT /// TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT=3632
UI/CREDITS/SECTION_273,BLIZZARD DEVELOPMENT FAMILY /// BLIZZARD DEVELOPMENT FAMILY=3633
UI/CREDITS/SECTION_274,THIRD PARTY CREDITS /// THIRD PARTY CREDITS=3634
UI/CREDITS/SECTION_275,SPECIAL THANKS /// SPECIAL THANKS=3635
UI/CREDITS/SECTION_368,TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT /// TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT=3636
UI/CREDITS/SECTION_369,BLIZZARD DEVELOPMENT FAMILY /// BLIZZARD DEVELOPMENT FAMILY=3637
UI/CREDITS/SECTION_370,ACKNOWLEDGEMENTS /// ACKNOWLEDGEMENTS=3638
UI/CREDITS/SECTION_371,特别感谢 /// SPECIAL THANKS=3639
UI/CREDITS/SECTION_74,TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT=3640
UI/CREDITS/SECTION_75,BLIZZARD DEVELOPMENT FAMILY=3641
UI/CREDITS/SECTION_76,THIRD PARTY CREDITING=3642
UI/CREDITS/SECTION_77,SPECIAL THANKS=3643
UI/CameraFollowDisabled,镜头跟随已禁用 /// Camera Follow Disabled=3644
UI/CameraFollowEnabled,镜头跟随已启用 /// Camera Follow Enabled=3645
UI/Camera_Colon,镜头： /// Camera:=3646
UI/CampaignLoadingComplete,按任意键继续 /// Press any key to continue=3647
UI/CampaignMovieStreamingFailed,下载影片时产生问题，请稍后再试。 /// There has been a problem streaming the movie.  Please try again later.=3648
UI/CampaignMovieStreamingFailedDialogAccept,重试 /// Retry=3649
UI/CampaignMovieStreamingFailedDialogCancel,跳过 /// Skip=3650
UI/CampaignMovieStreamingFailedDialogMessage,下载影片时产生问题。您想要重试播放影片还是跳过影片直接进行战役游戏？ /// There has been a problem streaming the movie.  Would you like to retry playing the movie or skip the movie and begin playing the campaign?=3651
UI/CampaignPanelAchievementProgress,成就完成进度：%achievementPercent%% /// Achievements: %achievementPercent%%=3652
UI/CampaignPanelArchives_Control,终极档案室(<h/>M) /// <h/>MASTER ARCHIVES=3653
UI/CampaignPanelContinue_Control,继续 /// CONTINUE=3654
UI/CampaignPanelCostHeading,花费： /// Cost:=3655
UI/CampaignPanelCreditsHeading,可用军费： /// Credits Available:=3656
UI/CampaignPanelTitle,战役 /// CAMPAIGN=3657
UI/CampaignPanelTutorialDescription,在系列教程中了解游戏的基础和进阶内容。 /// A series of tutorials that will teach you basic and advanced concepts of the game.=3658
UI/CampaignPanelTutorialTitle,教学模式 /// TUTORIALS=3659
UI/CampaignPanelTutorial_Control,教学模式(<h/>T) /// <h/>TUTORIAL=3660
UI/CampaignSelectionPanelTitle,选择一个战役:   /// CHOOSE A CAMPAIGN=3661
UI/CampaignTutorialCallout,通过教学模式开始游戏 /// Get started by playing the tutorial=3662
UI/Campaign_Control,战役 /// Campaign=3663
UI/Campaign_Heading,战役 /// Campaign=3664
UI/Cancel,取消 /// Cancel=3665
UI/CancelMulti_Control,取消(<h/>A) /// C<h/>ANCEL=3666
UI/Cancel_Control,取消(<h/>C) /// <h/>CANCEL=3667
UI/ChallengePanelAchievementProgress,成就完成度：%completedAchievements% / %totalAchievements% /// Achievement Progress: %completedAchievements% / %totalAchievements%=3668
UI/ChallengePanelBack_Control,返回(<h/>B)=3669
UI/ChallengePanelPlay_Control,开始(<h/>P)=3670
UI/ChallengePanelPlay_TrialTooltip,该功能必须在升级后才能使用。点击此处查看详情。 /// You must upgrade to access this feature. Click here to learn more.=3671
UI/ChallengePanelUpgrade,升级 /// UPGRADE=3672
UI/Challenge_Control,挑战任务 /// Challenges=3673
UI/ChangeToonNameDialogAccept,更改名称 /// Change Name=3674
