UI/Hotkey/InventoryButtonUse0,NumPad7=0
Button/Hotkey/ProbeSCBW,E=500
Button/Hotkey/ProbeSCBW@Build,B=501
Button/Hotkey/ProbeSCBW@BuildAdv,V=502
Button/Hotkey/ProbeSCBW@Harvest,G=503
Button/Hotkey/ProbeSCBW@ReturnCargo,C=504
Button/Hotkey/ProtossAirArmorsSCBW,A=505
Button/Hotkey/ProtossAirArmorsSCBW@Lvl1,A=506
Button/Hotkey/ProtossAirArmorsSCBW@Lvl2,A=507
Button/Hotkey/ProtossAirArmorsSCBW@Lvl3,A=508
Button/Hotkey/ProtossAirWeaponsSCBW,E=509
Button/Hotkey/ProtossAirWeaponsSCBW@Lvl1,E=510
Button/Hotkey/ProtossAirWeaponsSCBW@Lvl2,E=511
Button/Hotkey/ProtossAirWeaponsSCBW@Lvl3,E=512
Button/Hotkey/ProtossGroundArmorsSCBW,A=513
Button/Hotkey/ProtossGroundArmorsSCBW@Lvl1,A=514
Button/Hotkey/ProtossGroundArmorsSCBW@Lvl2,A=515
Button/Hotkey/ProtossGroundArmorsSCBW@Lvl3,A=516
Button/Hotkey/ProtossGroundWeaponsSCBW,E=517
Button/Hotkey/ProtossGroundWeaponsSCBW@Lvl1,E=518
Button/Hotkey/ProtossGroundWeaponsSCBW@Lvl2,E=519
Button/Hotkey/ProtossGroundWeaponsSCBW@Lvl3,E=520
Button/Hotkey/ProtossShieldsSCBW,S=521
Button/Hotkey/ProtossShieldsSCBW@Lvl1,S=522
Button/Hotkey/ProtossShieldsSCBW@Lvl2,S=523
Button/Hotkey/ProtossShieldsSCBW@Lvl3,S=524
Button/Hotkey/PylonSCBW,E=525
Button/Hotkey/QueenSCBW,Q=526
Button/Hotkey/QueenSCBWEnergyUpgrade,G=527
Button/Hotkey/QueenSCBWEnsnare,E=528
Button/Hotkey/QueenSCBWEnsnareResearch,E=529
Button/Hotkey/QueenSCBWInfestCommandCenter,C=530
Button/Hotkey/QueenSCBWParasite,R=531
Button/Hotkey/QueenSCBWSpawnBroodlings,B=532
Button/Hotkey/QueenSCBWSpawnBroodlingsResearch,A=533
Button/Hotkey/QueensNestSCBW,Q=534
Button/Hotkey/ReaverSCBW,V=535
Button/Hotkey/ReaverSCBWHangarIncreaseUpgrade,R=536
Button/Hotkey/ReaverSCBWWeaponRangeUpgrade,R=537
Button/Hotkey/RefinerySCBW,R=538
Button/Hotkey/ReturnCargoSCBW,C=539
Button/Hotkey/RoboticsBaySCBW,B=540
Button/Hotkey/RoboticsFacilitySCBW,R=541
Button/Hotkey/SCVSCBW,S=542
Button/Hotkey/SCVSCBW@Build,B=543
Button/Hotkey/SCVSCBW@BuildAdv,V=544
Button/Hotkey/SCVSCBW@Harvest,G=545
Button/Hotkey/SCVSCBW@Repair,R=546
Button/Hotkey/SCVSCBW@ReturnCargo,C=547
Button/Hotkey/SalvageRedirect,V=548
Button/Hotkey/ScarabSCBW,C=549
Button/Hotkey/ScarabSCBWWeaponDamageUpgrade,S=550
Button/Hotkey/ScienceFacilitySCBW,C=551
Button/Hotkey/ScienceVesselSCBW,S=552
Button/Hotkey/ScienceVesselSCBWDefensiveMatrix,D=553
Button/Hotkey/ScienceVesselSCBWDefensiveMatrixResearch,D=554
Button/Hotkey/ScienceVesselSCBWEMPShockwave,E=555
Button/Hotkey/ScienceVesselSCBWEMPShockwaveResearch,E=556
Button/Hotkey/ScienceVesselSCBWEnergyUpgrade,T=557
Button/Hotkey/ScienceVesselSCBWIrradiate,R=558
Button/Hotkey/ScienceVesselSCBWIrradiateResearch,R=559
Button/Hotkey/ScourgeSCBW,S=560
Button/Hotkey/ScoutSCBW,T=561
Button/Hotkey/ScoutSCBWSightUpgrade,E=562
Button/Hotkey/ScoutSCBWSpeedUpgrade,R=563
Button/Hotkey/ShieldBatterySCBW,B=564
Button/Hotkey/ShieldBatterySCBWRecharge,R=565
Button/Hotkey/ShieldBatterySCBWRecharge@Battery,T=566
Button/Hotkey/ShuttleSCBW,S=567
Button/Hotkey/ShuttleSCBW@RedirectScarab,C=568
Button/Hotkey/ShuttleSCBW@Transport,L=569
Button/Hotkey/ShuttleSCBWSpeedUpgrade,G=570
Button/Hotkey/SiegeModeSCBWResearch,E=571
Button/Hotkey/SiegeTankSCBW,S=572
Button/Hotkey/SiegeTankSCBW@Siege,E=573
Button/Hotkey/SiegeTankSCBW@SiegeResearch,S=574
Button/Hotkey/SiegeTankSCBW@Unsiege,D=575
Button/Hotkey/SpawningPoolSCBW,S=576
Button/Hotkey/SpiderMineSCBW,E=577
Button/Hotkey/SpireSCBW,S=578
Button/Hotkey/SporeColonySCBW,A=579
Button/Hotkey/StargateSCBW,S=580
Button/Hotkey/StarportSCBW,S=581
Button/Hotkey/StimpackSCBWResearch,Y=582
Button/Hotkey/StingerSCBW,R=583
Button/Hotkey/StingerSCBWAttackMoveUpgrade,R=584
Button/Hotkey/SunkenColonySCBW,C=585
Button/Hotkey/SupplyDepotSCBW,S=586
Button/Hotkey/TemplarArchiveSCBW,T=587
Button/Hotkey/TerranInfantryArmorsSCBW,A=588
Button/Hotkey/TerranInfantryArmorsSCBW@Lvl1,A=589
Button/Hotkey/TerranInfantryArmorsSCBW@Lvl2,A=590
Button/Hotkey/TerranInfantryArmorsSCBW@Lvl3,A=591
Button/Hotkey/TerranInfantryWeaponsSCBW,E=592
Button/Hotkey/TerranInfantryWeaponsSCBW@Lvl1,E=593
Button/Hotkey/TerranInfantryWeaponsSCBW@Lvl2,E=594
Button/Hotkey/TerranInfantryWeaponsSCBW@Lvl3,E=595
Button/Hotkey/TerranShipPlatingSCBW,P=596
Button/Hotkey/TerranShipPlatingSCBW@Lvl1,P=597
Button/Hotkey/TerranShipPlatingSCBW@Lvl2,P=598
Button/Hotkey/TerranShipPlatingSCBW@Lvl3,P=599
Button/Hotkey/TerranShipWeaponsSCBW,S=600
Button/Hotkey/TerranShipWeaponsSCBW@Lvl1,S=601
Button/Hotkey/TerranShipWeaponsSCBW@Lvl2,S=602
Button/Hotkey/TerranShipWeaponsSCBW@Lvl3,S=603
Button/Hotkey/TerranVehiclePlatingSCBW,V=604
Button/Hotkey/TerranVehiclePlatingSCBW@Lvl1,V=605
Button/Hotkey/TerranVehiclePlatingSCBW@Lvl2,V=606
Button/Hotkey/TerranVehiclePlatingSCBW@Lvl3,V=607
Button/Hotkey/TerranVehicleWeaponsSCBW,E=608
Button/Hotkey/TerranVehicleWeaponsSCBW@Lvl1,E=609
Button/Hotkey/TerranVehicleWeaponsSCBW@Lvl2,E=610
Button/Hotkey/TerranVehicleWeaponsSCBW@Lvl3,E=611
Button/Hotkey/UltraliskCavernSCBW,U=612
Button/Hotkey/UltraliskSCBW,U=613
Button/Hotkey/UltraliskSCBWArmorUpgrade,R=614
Button/Hotkey/UltraliskSCBWSpeedUpgrade,A=615
Button/Hotkey/ValkyrieSCBW,V=616
Button/Hotkey/VulturePlaceSpiderMineSCBW,E=617
Button/Hotkey/VulturePlaceSpiderMineSCBWResearch,S=618
Button/Hotkey/VultureSCBW,V=619
Button/Hotkey/VultureSCBWSpeedUpgrade,T=620
Button/Hotkey/WraithSCBW,E=621
Button/Hotkey/WraithSCBWCloak,C=622
Button/Hotkey/WraithSCBWCloak@Decloak,D=623
Button/Hotkey/WraithSCBWCloakResearch,C=624
Button/Hotkey/WraithSCBWEnergyUpgrade,R=625
Button/Hotkey/ZealotSCBW,Z=626
Button/Hotkey/ZealotSCBWSpeedUpgrade,R=627
Button/Hotkey/ZergFlyerAttacksSCBW,E=628
Button/Hotkey/ZergFlyerAttacksSCBW@Lvl1,E=629
Button/Hotkey/ZergFlyerAttacksSCBW@Lvl2,E=630
Button/Hotkey/ZergFlyerAttacksSCBW@Lvl3,E=631
Button/Hotkey/ZergFlyerCarapaceSCBW,A=632
Button/Hotkey/ZergFlyerCarapaceSCBW@Lvl1,A=633
Button/Hotkey/ZergFlyerCarapaceSCBW@Lvl2,A=634
Button/Hotkey/ZergFlyerCarapaceSCBW@Lvl3,A=635
Button/Hotkey/ZergGroundCarapaceSCBW,C=636
Button/Hotkey/ZergGroundCarapaceSCBW@Lvl1,C=637
Button/Hotkey/ZergGroundCarapaceSCBW@Lvl2,C=638
Button/Hotkey/ZergGroundCarapaceSCBW@Lvl3,C=639
Button/Hotkey/ZergMeleeAttacksSCBW,E=640
Button/Hotkey/ZergMeleeAttacksSCBW@Lvl1,E=641
Button/Hotkey/ZergMeleeAttacksSCBW@Lvl2,E=642
Button/Hotkey/ZergMeleeAttacksSCBW@Lvl3,E=643
Button/Hotkey/ZergMissileAttacksSCBW,A=644
Button/Hotkey/ZergMissileAttacksSCBW@Lvl1,A=645
Button/Hotkey/ZergMissileAttacksSCBW@Lvl2,A=646
Button/Hotkey/ZergMissileAttacksSCBW@Lvl3,A=647
Button/Hotkey/ZergSCBWBurrowResearch,C=648
Button/Hotkey/ZerglingSCBW,Z=649
Button/Hotkey/ZerglingSCBWAttackSpeedUpgrade,R=650
Button/Hotkey/ZerglingSCBWSpeedUpgrade,E=651
Button/Hotkey/Arkwyrm,E=652
Button/Hotkey/ArkwyrmLoad,L=653
Button/Hotkey/ArkwyrmTerritorialDive,Q=654
Button/Hotkey/ArkwyrmUnloadAll,D=655
Button/Hotkey/AscendedVolcanicHarbinger,X=656
Button/Hotkey/AugmentDragonFireAttacksLevel1,W=657
Button/Hotkey/AugmentDragonMeleeAttacksLevel1,Q=658
Button/Hotkey/AugmentDragonPlateArmorLevel1,S=659
Button/Hotkey/AugmentDragonScaleArmorLevel1,A=660
Button/Hotkey/AugmentationPit,X=661
Button/Hotkey/AugmentationPitFrontier,X=662
Button/Hotkey/AugmentationPitGreater,X=663
Button/Hotkey/AugmentationPitTowering,X=664
Button/Hotkey/AuroraConduit,W=665
Button/Hotkey/Berserker,Q=666
Button/Hotkey/BrimstoneDemolisher,R=667
Button/Hotkey/BrimstoneDemolisherInfernalBreath,Q=668
Button/Hotkey/Coagulator,X=669
Button/Hotkey/DenizenoftheDeep,Q=670
Button/Hotkey/DenizenoftheDeepAscend,A=671
Button/Hotkey/DragonFission,Z=672
Button/Hotkey/DragonHunter,W=673
Button/Hotkey/DragonHunterActivateRegenesis,Q=674
Button/Hotkey/DragonHunterDeactivateRegenesis,W=675
Button/Hotkey/Flamespitter,Q=676
Button/Hotkey/Fleshrender,Q=677
Button/Hotkey/FrontierDeepOne,W=678
Button/Hotkey/FrontierDeepOneActivateInvigorate,Q=679
Button/Hotkey/FrontierDeepOneDragonLineage,X=680
Button/Hotkey/FrontierDeepOneMigratoryEndurance,Z=681
Button/Hotkey/GenesisPit,Z=682
Button/Hotkey/GenesisPitLesser,Z=683
Button/Hotkey/GenesisPitTowering,Z=684
Button/Hotkey/GreaterDeepOne,S=685
Button/Hotkey/GreaterDeepOneEmberCore,W=686
Button/Hotkey/GreaterDeepOneFrenzy,E=687
Button/Hotkey/GreaterDeepOneInfernalBreath,R=688
Button/Hotkey/GreaterDeepOneMadness,Q=689
Button/Hotkey/GreaterDeepOnePortal,E=690
Button/Hotkey/GrimGlider,T=691
Button/Hotkey/GrimGliderEmaciate,Q=692
Button/Hotkey/GrimGliderMortalitysEclipse,E=693
Button/Hotkey/GrimGliderNullify,W=694
Button/Hotkey/HandofPower,E=695
Button/Hotkey/HandofPowerCrushingGravity,Q=696
Button/Hotkey/HandofPowerPortalEntrance,E=697
Button/Hotkey/HandofPowerPortalExit,R=698
Button/Hotkey/HandofPowerShroud,W=699
Button/Hotkey/HornedMagus,E=700
Button/Hotkey/HornedMagusActivateInvigorate,E=701
Button/Hotkey/HornedMagusDeactivateInvigorate,R=702
Button/Hotkey/HornedMagusFireShield,Q=703
Button/Hotkey/HornedMagusFrenzy,W=704
Button/Hotkey/LesserDeepOne,A=705
Button/Hotkey/LesserDeepOneFervidReconstitution,Q=706
Button/Hotkey/LesserDeepOneProwl,R=707
Button/Hotkey/LesserDeepOneWickedBarbs,W=708
Button/Hotkey/PhlogistonGuardian,V=709
Button/Hotkey/Plodder,Q=710
Button/Hotkey/Razorback,Z=711
Button/Hotkey/Skyrazer,W=712
Button/Hotkey/SunkenGuardian,C=713
Button/Hotkey/ToweringDeepOne,D=714
Button/Hotkey/ToweringDeepOneConduction,W=715
Button/Hotkey/ToweringDeepOneMortalitysEclipse,R=716
Button/Hotkey/ToweringDeepOnePlasmaCatalyst,E=717
Button/Hotkey/ToweringDeepOneProliferation,Q=718
Button/Hotkey/UnearthDeepOne,Q=719
Button/Hotkey/UnseenBeast,R=720
Button/Hotkey/UnseenBeastActivateExploration,E=721
Button/Hotkey/UnseenBeastDeactivateExploration,R=722
Button/Hotkey/UnseenBeastProwl,W=723
Button/Hotkey/UnseenBeastTeleportAssault,Q=724
Button/Hotkey/VolcanicHarbinger,R=725
Button/Hotkey/VolcanicHarbingerOverload,Q=726
Button/Hotkey/ZHBRAcceleration,Q=727
Button/Hotkey/ZHBRAcceleration@Extended,Q=728
Button/Hotkey/ZHBRAcceleration@Research,E=729
Button/Hotkey/ZHBRAirArmorUpgradeLevel1,E=730
Button/Hotkey/ZHBRAirWeaponUpgradeLevel1,H=731
Button/Hotkey/ZHBRBrokenDNA,B=732
Button/Hotkey/ZHBRCloakedSpirit@Research,C=733
Button/Hotkey/ZHBRConfusion,F=734
Button/Hotkey/ZHBRConfusion@Extended,F=735
Button/Hotkey/ZHBRConstruct@TransformToConstructAntiAir,D=736
Button/Hotkey/ZHBRConstruct@TransformToConstructAntiGround,E=737
Button/Hotkey/ZHBRConsumeDNA,G=738
Button/Hotkey/ZHBRConsumeDNA@Extended,G=739
Button/Hotkey/ZHBRDeepTunnel,T=740
Button/Hotkey/ZHBRDeepTunnel@Extended,T=741
Button/Hotkey/ZHBRDeepTunnel@Research,D=742
Button/Hotkey/ZHBRDestructionOrb,E=743
Button/Hotkey/ZHBRDisappearance,B=744
Button/Hotkey/ZHBRDisappearance@Extended,B=745
Button/Hotkey/ZHBRDisappearance@Research,D=746
Button/Hotkey/ZHBRDisintegrator@Disintegrator,F=747
Button/Hotkey/ZHBRDisintegrator@Ionizer,D=748
Button/Hotkey/ZHBREnergation,V=749
Button/Hotkey/ZHBREnergation@Extended,V=750
Button/Hotkey/ZHBREngineResearch@GroundArmorLevel3,A=751
Button/Hotkey/ZHBREngineResearch@GroundWeaponsLevel1,G=752
Button/Hotkey/ZHBREngineResearch@GroundWeaponsLevel2,G=753
Button/Hotkey/ZHBREngineResearch@WeaponsLevel3,G=754
Button/Hotkey/ZHBREnhancedArmor@Research,E=755
Button/Hotkey/ZHBRFlayerBerserker,B=756
Button/Hotkey/ZHBRFlayerFury@Research,F=757
Button/Hotkey/ZHBRGroundArmorUpgradeLevel,A=758
Button/Hotkey/ZHBRGroundWeaponUpgradeLevel,G=759
Button/Hotkey/ZHBRIndestructible,S=760
Button/Hotkey/ZHBRInterdimensionalOverload,F=761
Button/Hotkey/ZHBRInterdimensionalOverload@Extended,F=762
Button/Hotkey/ZHBRIonicCrystalMorph@TransformToMoveableIonicCrystal,E=763
Button/Hotkey/ZHBRIonicCrystalMorph@TransformToStaticIonicCrystal,D=764
Button/Hotkey/ZHBRIonicField,F=765
Button/Hotkey/ZHBRIonicPylonMorph,E=766
Button/Hotkey/ZHBRMinionBuild@ConstructUniversal,H=767
Button/Hotkey/ZHBRMinionBuild@SummonAdvancedStructured,V=768
Button/Hotkey/ZHBRMinionBuild@SummonAmplifier,A=769
Button/Hotkey/ZHBRMinionBuild@SummonCapsule,A=770
Button/Hotkey/ZHBRMinionBuild@SummonConstructAntiAir,F=771
Button/Hotkey/ZHBRMinionBuild@SummonConstructAntiGround,G=772
Button/Hotkey/ZHBRMinionBuild@SummonCrypt,C=773
Button/Hotkey/ZHBRMinionBuild@SummonDeformer,D=774
Button/Hotkey/ZHBRMinionBuild@SummonHarvester,H=775
Button/Hotkey/ZHBRMinionBuild@SummonHoldingCell,E=776
Button/Hotkey/ZHBRMinionBuild@SummonIonicCrystal,R=777
Button/Hotkey/ZHBRMinionBuild@SummonKeystone,Y=778
Button/Hotkey/ZHBRMinionBuild@SummonProjector,R=779
Button/Hotkey/ZHBRMinionBuild@SummonStasisCell,S=780
Button/Hotkey/ZHBRMinionBuild@SummonStructure,B=781
Button/Hotkey/ZHBRMinionBuild@SummonTemple,T=782
Button/Hotkey/ZHBRMinionBuild@SummonTomb,T=783
Button/Hotkey/ZHBRMinionBuild@SummonVespeneConcentrator,N=784
Button/Hotkey/ZHBRMinionBuild@SummonVoidForge,V=785
Button/Hotkey/ZHBRMinionBuild@SummonVoidRift,V=786
Button/Hotkey/ZHBRMinionHarvest@Gather,G=787
Button/Hotkey/ZHBRMinionHarvest@Return,C=788
Button/Hotkey/ZHBRNavigation@Navigation,T=789
Button/Hotkey/ZHBRNavigatorLoad@Load,L=790
Button/Hotkey/ZHBRNavigatorLoad@UnloadAll,D=791
Button/Hotkey/ZHBRNavigatorLoad@UnloadAllExtended,D=792
Button/Hotkey/ZHBRNavigatorLoad@UnloadAllM,D=793
Button/Hotkey/ZHBRNemesisDisintegrator@Disintegrator,F=794
Button/Hotkey/ZHBRNemesisDisintegrator@DisintegratorExtended,F=795
Button/Hotkey/ZHBRNemesisDisintegrator@Ionizer,D=796
Button/Hotkey/ZHBRNemesisDisintegrator@IonizerExtended,D=797
Button/Hotkey/ZHBRPermanentPower,E=798
Button/Hotkey/ZHBRPhaseShift,E=799
Button/Hotkey/ZHBRPhaseShift@Extended,E=800
Button/Hotkey/ZHBRPhaseShift@Research,S=801
Button/Hotkey/ZHBRPlasmaticBlast,R=802
Button/Hotkey/ZHBRPlasmaticBlast@Extended,R=803
Button/Hotkey/ZHBRPlasmaticBlast@PlasmaticCharge,E=804
Button/Hotkey/ZHBRPlasmaticBlast@PlasmaticChargeExtended,E=805
Button/Hotkey/ZHBRPollinatorShadowMantle@Off,B=806
Button/Hotkey/ZHBRPollinatorShadowMantle@OffExtended,B=807
Button/Hotkey/ZHBRPollinatorShadowMantle@On,V=808
Button/Hotkey/ZHBRPollinatorShadowMantle@OnExtended,V=809
Button/Hotkey/ZHBRPowerField,R=810
Button/Hotkey/ZHBRPowerField@Cancel,T=811
Button/Hotkey/ZHBRPowerField@CancelExtended,T=812
Button/Hotkey/ZHBRPowerField@Extended,R=813
Button/Hotkey/ZHBRPrimeSummoning,V=814
Button/Hotkey/ZHBRPrimeSummoning@Research,S=815
Button/Hotkey/ZHBRProtectionJump,J=816
Button/Hotkey/ZHBRPsiOrb,D=817
Button/Hotkey/ZHBRPsiOrb@Extended,D=818
Button/Hotkey/ZHBRPsionicTornado,E=819
Button/Hotkey/ZHBRPsionicTornado@Extended,E=820
Button/Hotkey/ZHBRRaceControl@AirBattleUnitPage,C=821
Button/Hotkey/ZHBRRaceControl@AirBattleUnitPageExtended,C=822
Button/Hotkey/ZHBRRaceControl@AirBattleUnitPageVoidRift,C=823
Button/Hotkey/ZHBRRaceControl@AirSupportUnitPage,X=824
Button/Hotkey/ZHBRRaceControl@AirSupportUnitPageExtended,X=825
Button/Hotkey/ZHBRRaceControl@AirSupportUnitPageVoidRift,X=826
Button/Hotkey/ZHBRRaceControl@GroundUnitPage,Z=827
Button/Hotkey/ZHBRRaceControl@GroundUnitPageExtended,Z=828
Button/Hotkey/ZHBRRaceControl@GroundUnitPageVoidRift,Z=829
Button/Hotkey/ZHBRRaceControl@ResearchPage,R=830
Button/Hotkey/ZHBRRaceControl@SwapPage,Z=831
Button/Hotkey/ZHBRRestorationShield,R=832
Button/Hotkey/ZHBRRevealingSacrifice,Q=833
Button/Hotkey/ZHBRRevealingSacrifice@Extended,Q=834
Button/Hotkey/ZHBRSentinelJump,Q=835
Button/Hotkey/ZHBRSentinelJump@Extended,Q=836
Button/Hotkey/ZHBRShrineResearch@ExpressMantle,R=837
Button/Hotkey/ZHBRStructureTeleport,T=838
Button/Hotkey/ZHBRTempleTrain@SummonMinion,Q=839
Button/Hotkey/ZHBRTimeWarp,R=840
Button/Hotkey/ZHBRTimeWarp@Extended,R=841
Button/Hotkey/ZHBRToxicity@Research,C=842
Button/Hotkey/ZHBRUltimateUnitOfTransfusion,R=843
Button/Hotkey/ZHBRUpgradeToAdvancedBehemoth,H=844
Button/Hotkey/ZHBRUpgradeToAdvancedDominator,M=845
Button/Hotkey/ZHBRUpgradeToAdvancedNemesis@Research,N=846
Button/Hotkey/ZHBRVoidBonus@Research,B=847
Button/Hotkey/ZHBRVoidChasm,T=848
Button/Hotkey/ZHBRVoidChasm@Extended,T=849
Button/Hotkey/ZHBRVoidChasm@Research,V=850
Button/Hotkey/ZHBRVoidImmunity,D=851
Button/Hotkey/ZHBRVoidRiftTrain@SummonAdvancedNemesis,N=852
Button/Hotkey/ZHBRVoidRiftTrain@SummonBehemoth,B=853
Button/Hotkey/ZHBRVoidRiftTrain@SummonChimera,H=854
Button/Hotkey/ZHBRVoidRiftTrain@SummonConductor,D=855
Button/Hotkey/ZHBRVoidRiftTrain@SummonDominator,M=856
Button/Hotkey/ZHBRVoidRiftTrain@SummonDreadnok,D=857
Button/Hotkey/ZHBRVoidRiftTrain@SummonEnergator,E=858
Button/Hotkey/ZHBRVoidRiftTrain@SummonFlayer,F=859
Button/Hotkey/ZHBRVoidRiftTrain@SummonNavigator,T=860
Button/Hotkey/ZHBRVoidRiftTrain@SummonNemesis,N=861
Button/Hotkey/ZHBRVoidRiftTrain@SummonPollinator,R=862
Button/Hotkey/ZHBRVoidRiftTrain@SummonProteus,E=863
Button/Hotkey/ZHBRVoidRiftTrain@SummonPsyon,Q=864
Button/Hotkey/ZHBRVoidRiftTrain@SummonSentinel,S=865
Button/Hotkey/ZHBRVoidRiftTrain@SummonShapeshifter,H=866
Button/Hotkey/ZHBRVoidRiftTrain@SummonStrider,T=867
Button/Hotkey/ZHBRVoidRiftTrain@SummonWarbringer,R=868
Button/Hotkey/ZHBRVoidRiftTrain@SummonWarrior,A=869
Button/Hotkey/ZHBRVoidRiftTrain@WarpInAdvancedReaver,D=870
Button/Hotkey/ZHBRVoidShield,V=871
Button/Hotkey/ZHBRWarbringerMaceStrike,B=872
Button/Hotkey/ZHBRWarbringerMaceStrike@Extended,B=873
Button/Hotkey/ZHBRWarbringerMaceStrike@MaceCannon,V=874
Button/Hotkey/ZHBRWarbringerMaceStrike@MaceCannonExtended,V=875
Button/Hotkey/ZHBRWarbringerOrbitalGuidance,G=876
Button/Hotkey/ZHBRWarriorDeconstruction,D=877
Button/Hotkey/ACR,S=878
Button/Hotkey/ACRRepair,R=879
Button/Hotkey/ActivateShield,C=880
Button/Hotkey/AdaptiveInjection,T=881
Button/Hotkey/Aegis,A=882
Button/Hotkey/AnalysisTerminal,S=883
Button/Hotkey/AnalyzeWeakness,E=884
Button/Hotkey/AnisopteraWings,=885
Button/Hotkey/ApertureTeleport,E=886
Button/Hotkey/ApertureUnloadAll,D=887
Button/Hotkey/ApetureLoad,L=888
Button/Hotkey/AquilaNaniteEmitter,G=889
Button/Hotkey/AquilaSupercharge,R=890
Button/Hotkey/Assailant,A=891
Button/Hotkey/AssemblyArray,A=892
Button/Hotkey/Atrium,A=893
Button/Hotkey/AttackBarrage,G=894
Button/Hotkey/AvianNest,A=895
Button/Hotkey/BadgerPowershell,E=896
Button/Hotkey/Beholder,B=897
Button/Hotkey/BilePit,B=898
Button/Hotkey/BiomassCavern,C=899
Button/Hotkey/BiomassHatchery,B=900
Button/Hotkey/BirthScavenger,S=901
Button/Hotkey/BirthScavengerSpawn,C=902
Button/Hotkey/Blaze,E=903
Button/Hotkey/BlazeResearchFirewallShield,F=904
Button/Hotkey/BlindingBurst,R=905
Button/Hotkey/BlitzerDisableSuperCharger,F=906
Button/Hotkey/BlitzerOverdrive,D=907
Button/Hotkey/BlitzerSuperCharger,R=908
Button/Hotkey/BlitzerSupercharge,R=909
Button/Hotkey/BoreDrills,R=910
Button/Hotkey/BurrowDown2,E=911
Button/Hotkey/Casnolisk,A=912
Button/Hotkey/CasnoliskDen,D=913
Button/Hotkey/CatalystPit,T=914
Button/Hotkey/ChargeCitadel,C=915
Button/Hotkey/ChargeOculus,C=916
Button/Hotkey/ChemicalFirm,C=917
Button/Hotkey/Citadel,C=918
Button/Hotkey/CitadelEnergize,G=919
Button/Hotkey/CloakOff2,V=920
Button/Hotkey/CloakOffCourier,V=921
Button/Hotkey/CloakOnCourier,C=922
Button/Hotkey/Conduit,D=923
Button/Hotkey/ConstructCloakCharge,V=924
Button/Hotkey/ConstructShockCharge,C=925
Button/Hotkey/ConstructVengeanceMissile,C=926
Button/Hotkey/Converter,E=927
Button/Hotkey/CoreSystemRecharge,C=928
Button/Hotkey/CourierLoad,L=929
Button/Hotkey/CourierUnloadAll,D=930
Button/Hotkey/CoveringSpray,V=931
Button/Hotkey/CreateElytron,E=932
Button/Hotkey/CruxConvergence,E=933
Button/Hotkey/CruxLightningBolt,T=934
Button/Hotkey/Dash,D=935
Button/Hotkey/DeployCannon,E=936
Button/Hotkey/DevelopAmplifiedSphere,A=937
Button/Hotkey/DevelopAnisopteraWings,A=938
Button/Hotkey/DevelopConvergence,C=939
Button/Hotkey/DevelopDissonanceProjector,D=940
Button/Hotkey/DevelopExaltedShields,E=941
Button/Hotkey/DevelopInterlacingBond,B=942
Button/Hotkey/DevelopKeyhole,E=943
Button/Hotkey/DevelopLatentCharge,A=944
Button/Hotkey/DevelopModifiedGait,G=945
Button/Hotkey/DevelopPulsarDampener,D=946
Button/Hotkey/DevelopUmbraShieldCompulsion,C=947
Button/Hotkey/DevelopWraithChamber,W=948
Button/Hotkey/DiscordMode,E=949
Button/Hotkey/DynamicCloud,R=950
Button/Hotkey/ELORProtocol,E=951
Button/Hotkey/Edifice,E=952
Button/Hotkey/Elysium,E=953
Button/Hotkey/EmissaryOrb,E=954
Button/Hotkey/Empyrean,T=955
Button/Hotkey/Eroder,E=956
Button/Hotkey/ExplosiveGlob,E=957
Button/Hotkey/ExplosiveOrdnanceMode,E=958
Button/Hotkey/Exterminator,X=959
Button/Hotkey/FabricateAquila,A=960
Button/Hotkey/FabricateAvengerGenetron,V=961
Button/Hotkey/FabricateBadger,D=962
Button/Hotkey/FabricateBlitzer,B=963
Button/Hotkey/FabricateBoar,B=964
Button/Hotkey/FabricateCourier,E=965
Button/Hotkey/FabricateEqualizer,R=966
Button/Hotkey/FabricateFixer,F=967
Button/Hotkey/FabricateHornet,R=968
Button/Hotkey/FabricateInciter,T=969
Button/Hotkey/FabricateJupiter,T=970
Button/Hotkey/FabricateMole,E=971
Button/Hotkey/FabricateSpitfire,S=972
Button/Hotkey/FabricateTesla,S=973
Button/Hotkey/FabricateTorrent,R=974
Button/Hotkey/FabricateVirtus,V=975
Button/Hotkey/Fabricator,F=976
Button/Hotkey/FeedingPool,F=977
Button/Hotkey/Ferrion,E=978
Button/Hotkey/FighterModeEcho,D=979
Button/Hotkey/FilteringPlant,F=980
Button/Hotkey/FixerResearchFusionWelders,F=981
Button/Hotkey/FixerSpeedCloak,C=982
Button/Hotkey/FlashGrenade,R=983
Button/Hotkey/FormAdvancedStructure,V=984
Button/Hotkey/FormBasicStructure,B=985
Button/Hotkey/Formulator,F=986
Button/Hotkey/Foundry,F=987
Button/Hotkey/Fusion,F=988
Button/Hotkey/Generator,G=989
Button/Hotkey/GenetronBuild,B=990
Button/Hotkey/GenetronBuildAdvanced,V=991
Button/Hotkey/GenetronOverclockMode,C=992
Button/Hotkey/GenetronPerformanceMode,Z=993
Button/Hotkey/GenetronStandardMode,X=994
Button/Hotkey/GyreAnnex,E=995
Button/Hotkey/GyreInflux,F=996
Button/Hotkey/GyrePrison,R=997
Button/Hotkey/GyreShackle,C=998
Button/Hotkey/GyreShieldBoost,B=999
