Actor/EditorSuffix/GuideVisualQuadSplat,=0
Actor/Name/ColonistShipAbandonedAngled,Nave colona (abandonada, angulada) /// Colonist Ship (Abandoned, Angled)=2419
Actor/Name/ColonistShipWrecked,Nave colona (destroçada) /// Colonist Ship (Wrecked)=2420
Actor/Name/ColonistSupplies,Colono - Suprimentos /// Colonist Supplies=2421
Actor/Name/ColonistSupplyCrate,Colonos - Caixa de suprimentos /// Colonist Supply Crate=2422
Actor/Name/ColonistVehicle,Veículo de colono /// Colonist Vehicle=2423
Actor/Name/ColonistVehicleAbandoned,Veículo colono (abandonado) /// Colonist Vehicle (Abandoned)=2424
Actor/Name/ColonistVehicleWrecked,Veículo de colono (destroçado) /// Colonist Vehicle (Wrecked)=2425
Actor/Name/Colossus,Colosso /// Colossus=2426
Actor/Name/ColossusACGluescreenDummy,Colosso=2427
Actor/Name/ColossusAttackBeam,Feixe de ataque de Colosso /// Colossus Attack Beam=2428
Actor/Name/ColossusAttackBeamImpact,Impacto de feixe de ataque de Colosso /// Colossus Attack Beam Impact=2429
Actor/Name/ColossusAttackBeamImpactReverse,Reverter impacto de feixe de ataque de Colosso /// Colossus Attack Beam Impact Reverse=2430
Actor/Name/ColossusAttackBeamReverse,Reverter feixe de ataque de Colosso /// Colossus Attack Beam Reverse=2431
Actor/Name/ColossusAttackImpactSite,Colosso - Ataque - Impacto - Local /// Colossus Attack Impact Site=2432
Actor/Name/ColossusAttackImpactSiteReverse,Reverter local de impacto de ataque de Colosso /// Colossus Attack Impact Site Reverse=2433
Actor/Name/ColossusAttackImpactSound,Som de impacto de ataque de Colosso /// Colossus Attack Impact Sound=2434
Actor/Name/ColossusAttackLaunchSite,Colosso - Local de Ataque - Lançamento /// Colossus Attack Launch Site=2435
Actor/Name/ColossusAttackLaunchSiteReverse,Reverter local de lançamento de ataque de Colosso /// Colossus Attack Launch Site Reverse=2436
Actor/Name/ColossusAttackLaunchSound,Som de lançamento de ataque de Colosso /// Colossus Attack Launch Sound=2437
Actor/Name/ColossusAttackShieldHitter,Colosso - Ataque - Escudo - Golpeador /// Colossus Attack Shield Hitter=2438
Actor/Name/ColossusPurifierACGluescreenDummy,Colosso=2439
Actor/Name/ColossusTreeKiller,Matador de árvores Colosso /// Colossus Tree Killer=2440
Actor/Name/ColossusTurret,Colosso - Torre /// Colossus Turret=2441
Actor/Name/CombatVisibilityClearer,Visibilidade de Combate mais Clara /// Combat Visibility Clearer=2442
Actor/Name/CommandCenter,Central de comando /// Command Center=2443
Actor/Name/CommandCenterBuild,Construir Central de comando /// Command Center Build=2444
Actor/Name/CommandCenterLand,Pousar Central de comando /// Command Center Land=2445
Actor/Name/CommandCenterMorphDeath,Morte por transmutação na Central de comando /// Command Center Morph Death=2446
Actor/Name/CommandCenterSplat,Central de comando - Mancha /// Command Center Splat=2447
Actor/Name/CommandCenterWrecked,Central de comando destroçada /// Wrecked Command Center=2448
Actor/Name/CommandCenter_UpgradeCancel,Cancelar aprimoramento de Central de comando /// Command Center Upgrade Cancel=2449
Actor/Name/CommentatorBot1,Comentador Bot1 /// Commentator Bot1=2450
Actor/Name/ConstructionRefundTextAlly,Reembolso de Construção Texto Aliado /// Construction Refund Text Ally=2451
Actor/Name/ConstructionRefundTextEnemy,Reembolso de Construção Texto Inimigo /// Construction Refund Text Enemy=2452
Actor/Name/ConstructionRefundTextMover,Reembolso de Construção Texto Movedor /// Construction Refund Text Mover=2453
Actor/Name/Contaminate,Contaminar /// Contaminate=2454
Actor/Name/ContaminateEndSound,Som final de Contaminar /// Contaminate End Sound=2455
Actor/Name/ContaminateImpactSound,Som de impacto de Contaminar /// Contaminate Impact Sound=2456
Actor/Name/ContaminateLaunchSound,Som de lançamento de Contaminar /// Contaminate Launch Sound=2457
Actor/Name/ContaminateLoopSound,Som de ciclo de Contaminar /// Contaminate Loop Sound=2458
Actor/Name/ContaminateMissile,Míssil Contaminar /// Contaminate Missile=2459
Actor/Name/ContaminateModel,Modelo de Contaminar /// Contaminate Model=2460
Actor/Name/ContaminateRange,Alcance de Contaminar /// Contaminate Range=2461
Actor/Name/ConveyorBeltBridge,Esteira rolante - Ponte /// Conveyor Belt Bridge=2462
Actor/Name/CoolantTowerDoodad,Torre de líquido de resfriamento /// Coolant Tower=2463
Actor/Name/Corruption,Corrupção /// Corruption=2464
Actor/Name/CorruptionImpactSound,Som de impacto de Corrupção /// Corruption Impact Sound=2465
Actor/Name/CorruptionLaunchSound,Som de lançamento de Corrupção /// Corruption Launch Sound=2466
Actor/Name/CorruptionLoopSound,Som de ciclo de Corrupção /// Corruption Loop Sound=2467
Actor/Name/CorruptionMissile,Míssil de Corrupção /// Corruption Missile=2468
Actor/Name/CorruptionModel,Modelo de Corrupção /// Corruption Model=2469
Actor/Name/CorruptionRange,Alcance de Corrupção /// Corruption Range=2470
Actor/Name/Corruptor,Corruptor /// Corruptor=2471
Actor/Name/CorruptorACGluescreenDummy,Corruptor=2472
Actor/Name/CorruptorAttack,Corruptor - Ataque /// Corruptor Attack=2473
Actor/Name/CorruptorAttackMissile,Corruptor - Ataque - Míssil /// Corruptor Attack Missile=2474
Actor/Name/Corruptor_Death,Morte do Corruptor /// Corruptor Death=2475
Actor/Name/CorsairACGluescreenDummy,Corsário=2476
Actor/Name/CorsairMPACGluescreenDummy,Corsário=2477
Actor/Name/Cow,Vaca /// Cow=2478
Actor/Name/Crate,Caixote /// Crate=2479
Actor/Name/CreepBlocker1x1,Gosma - Bloqueio /// Creep Blocker=2480
Actor/Name/CreepBlocker1x1Doodad,Gosma - Bloqueador - 1x1 - Acessório /// Creep Blocker 1x1 Doodad=2481
Actor/Name/CreepCloud,Nuvem de gosma /// Creep Cloud=2482
Actor/Name/CreepMgr,Gosma Mgr /// Creep Mgr=2483
Actor/Name/CreepSporeEmitter,Lagarta de esporos - Emissor /// Creep Spore Emitter=2484
Actor/Name/CreepTumor,Colônia de gosma /// Creep Colony=2485
Actor/Name/CreepTumorBuildRange,Alcance da construção do Tumor gosmento /// Creep Tumor Build Range=2486
Actor/Name/CreepTumorRangeSplat,Alcance da mancha do Tumor gosmento /// Creep Tumor Range Splat=2487
Actor/Name/CritterExplosion,Explosão de criatura /// Critter Explosion=2488
Actor/Name/CritterExplosionTerrainDeform,Deformação de terreno por Explosão de criatura /// Critter Explosion Terrain Deform=2489
Actor/Name/Crow,Corvo /// Crow=2490
Actor/Name/CrystalHuge,Cristal enorme /// Crystal Huge=2491
Actor/Name/CrystalLarge,Cristal grande /// Crystal Large=2492
Actor/Name/CyberneticsCore,Núcleo cibernético /// Cybernetics Core=2493
Actor/Name/CyberneticsCoreSplat,Núcleo cibernético - Mancha /// Cybernetics Core Splat=2494
Actor/Name/CycloneACGluescreenDummy,Ciclone=2495
Actor/Name/DarkArchonACGluescreenDummy,Arconte das Trevas=2496
Actor/Name/DarkShrine,Santuário das trevas /// Dark Shrine=2497
Actor/Name/DarkShrineSplat,Santuário das trevas - Mancha /// Dark Shrine Splat=2498
Actor/Name/DarkTemplar,Templário das trevas /// Dark Templar=2499
Actor/Name/DarkTemplarAttack,Templário das trevas - Ataque /// Dark Templar Attack=2500
Actor/Name/DarkTemplarAttackLaunchSound,Lançar som Templário das trevas Ataque /// Dark Templar Attack Launch Sound=2501
Actor/Name/DarkTemplarShakurasACGluescreenDummy,Templário das trevas=2502
Actor/Name/DarkTemplar_Death,DarkTemplar_Death /// DarkTemplar_Death=2503
Actor/Name/Debris2x2NonConjoined,Destroços /// Debris=2504
Actor/Name/Decal,Logotipo /// Decal=2505
Actor/Name/DecalProtoss,Logotipo Protoss /// Decal Protoss=2506
Actor/Name/DestructibleBillboardScrollingText,Outdoor Destrutível - Texto rolante /// Destructible Billboard Scrolling Text=2507
Actor/Name/DestructibleBillboardTall,Outdoor Destrutível Alto /// Destructible Billboard Tall=2508
Actor/Name/DestructibleBullhornLights,Destrutíveis - Luzes do megafone /// Destructible Bullhorn Lights=2509
Actor/Name/DestructibleDebris4x4,Escombros destrutíveis4x4 /// Destructible Debris4x4=2510
Actor/Name/DestructibleDebris6x6,Escombros destrutíveis6x6 /// Destructible Debris6x6=2511
Actor/Name/DestructibleDebrisRampDiagonalHugeBLUR,Escombros Destrutíveis - Rampa diagonal enorme BLUR /// Destructible Debris Ramp Diagonal Huge BLUR=2512
Actor/Name/DestructibleDebrisRampDiagonalHugeULBR,Escombros Destrutíveis - Rampa diagonal enorme ULBR /// Destructible Debris Ramp Diagonal Huge ULBR=2513
Actor/Name/DestructibleGarage,Destrutíveis - Garagem /// Destructible Garage=2514
Actor/Name/DestructibleGarageLarge,Destrutíveis - Garagem grande /// Destructible Garage Large=2515
Actor/Name/DestructibleRampDiagonalHugeBLUR,Destrutíveis - Rampa diagonal enorme BLUR /// Destructible Ramp Diagonal Huge BLUR=2516
Actor/Name/DestructibleRampDiagonalHugeULBR,Destrutíveis - Rampa diagonal enorme ULBR /// Destructible Ramp Diagonal Huge ULBR=2517
Actor/Name/DestructibleRampHorizontalHuge,Enorme rampa horizontal destrutível /// Destructible Ramp Horizontal Huge=2518
Actor/Name/DestructibleRampVerticalHuge,Enorme rampa vertical destrutível /// Destructible Ramp Vertical Huge=2519
Actor/Name/DestructibleRock2x4Horizontal,Pedra destrutível 2x4 Horizontal /// Destructible Rock 2x4 Horizontal=2520
Actor/Name/DestructibleRock2x4Vertical,Destrutíveis - Rocha 2x4 vertical /// Destructible Rock 2x4 Vertical=2521
Actor/Name/DestructibleRock2x6Horizontal,Destrutíveis - Rocha 2x6 horizontal /// Destructible Rock 2x6 Horizontal=2522
Actor/Name/DestructibleRock2x6Vertical,Destrutíveis - Rocha 2x6 vertical /// Destructible Rock 2x6 Vertical=2523
Actor/Name/DestructibleRock4x4,Destrutíveis - Rocha 4x4 /// Destructible Rock 4x4=2524
Actor/Name/DestructibleRock6x6,Rocha destrutível - 6x6 /// Destructible Rock 6x6=2525
Actor/Name/DestructibleSearchlight,Destrutíveis - Holofote /// Destructible Searchlight=2526
Actor/Name/DestructibleShadowFloodLight,Destrutíveis - Sombra da luz de inundação /// Destructible Shadow Flood Light=2527
Actor/Name/DestructibleSignsConstruction,Placas de Construção Destrutíveis /// Destructible Signs Construction=2528
Actor/Name/DestructibleSignsDirectional,Placas Direcionais Destrutíveis /// Destructible Signs Directional=2529
Actor/Name/DestructibleSignsFunny,Placas Engraçadas Destrutíveis /// Destructible Signs Funny=2530
Actor/Name/DestructibleSignsIcons,Placas de Ícones Destrutíveis /// Destructible Signs Icons=2531
Actor/Name/DestructibleSignsWarning,Placas de Aviso Destrutíveis /// Destructible Signs Warning=2532
Actor/Name/DestructibleSpacePlatformBarrier,Barreira de Plataforma espacial Destrutível /// Destructible Space Platform Barrier=2533
Actor/Name/DestructibleSpacePlatformSign,Placa de Plataforma espacial Destrutível /// Destructible Space Platform Sign=2534
Actor/Name/DestructibleStoreFrontCityProps,Acessórios de fachada de loja na cidade Destrutíveis /// Destructible Store Front City Props=2535
Actor/Name/DestructibleStreetlight,Destrutíveis - Poste de iluminação /// Destructible Streetlight=2536
Actor/Name/DestructibleTrafficSignal,Destrutíveis - Semáforo /// Destructible Traffic Signal=2537
Actor/Name/DevastationTurretACGluescreenDummy,Torre Devastadora=2538
Actor/Name/Dog,Cachorro /// Dog=2539
Actor/Name/DoodadKillQuery,Matar acessório Consulta /// Doodad Kill Query=2540
Actor/Name/Doodad_NewFolsomPrisonTowerSound,Doodad_NewFolsomPrisonTowerSound /// Doodad_NewFolsomPrisonTowerSound=2541
Actor/Name/DragoonACGluescreenDummy,Dragonte=2542
Actor/Name/Drone,Zangão /// Drone=2543
Actor/Name/DroneAttack,Zangão - Ataque /// Drone Attack=2544
Actor/Name/DroneAttackLaunch,Lançamento Ataque do zangão /// Drone Attack Launch=2545
Actor/Name/DroneBurrowedSplat,Zangão - Entocado - Mancha /// Drone Burrowed Splat=2546
Actor/Name/Drone_Death,Drone_Death /// Drone_Death=2547
Actor/Name/DropPodUnload,Módulo de transporte - Descarga /// Drop Pod Unload=2548
Actor/Name/Dumpster,Caçamba /// Dumpster=2549
Actor/Name/DustLeaves,Poeira - Folhas /// Dust Leaves=2550
Actor/Name/DustStorms,Tempestades de poeira /// Dust Storms=2551
Actor/Name/EMPCursorSplat,Mancha do cursorPEM /// EMPCursor Splat=2552
Actor/Name/EMPRange,AlcancePEM /// EMPRange=2553
Actor/Name/Egg,Ovo /// Egg=2554
Actor/Name/Egg_Death,Egg_Death /// Egg_Death=2555
Actor/Name/Egg_Ready,Egg_Ready /// Egg_Ready=2556
Actor/Name/EggsplosionGeneric,Ovoxplosão genérica /// Eggsplosion Generic=2557
Actor/Name/EggsplosionGeneric0,Ovoxplosão genérica0 /// Eggsplosion Generic0=2558
Actor/Name/EggsplosionGeneric1,Ovoxplosão genérica1 /// Eggsplosion Generic1=2559
Actor/Name/EggsplosionGeneric2,Ovoxplosão genérica2 /// Eggsplosion Generic2=2560
Actor/Name/ElectricalArcs,Arcos elétricos /// Electrical Arcs=2561
Actor/Name/EnemyPathingBlocker16x16,=2562
Actor/Name/EnemyPathingBlocker1x1,=2563
Actor/Name/EnemyPathingBlocker2x2,=2564
Actor/Name/EnemyPathingBlocker4x4,=2565
Actor/Name/EnemyPathingBlocker8x8,=2566
Actor/Name/EngineeringBay,Polo de engenharia /// Engineering Bay=2567
Actor/Name/EngineeringBayBuild,Construir Polo de engenharia /// Engineering Bay Build=2568
Actor/Name/EngineeringBaySplat,Mancha do Polo de engenharia /// Engineering Bay Splat=2569
Actor/Name/EvolutionChamber,Câmara evolutiva /// Evolution Chamber=2570
Actor/Name/EvolutionChamberBuild,Construir Câmara evolutiva /// Evolution Chamber Build=2571
Actor/Name/ExhaustPipes,Canos - Descarga /// Exhaust Pipes=2572
Actor/Name/ExtractAnim,Animação de extração /// Extract Anim=2573
Actor/Name/Extractor,Extrator /// Extractor=2574
Actor/Name/ExtractorBuild,Construir Extrator /// Extractor Build=2575
Actor/Name/ExtractorBuildFacing,Construir Extrator Orientação /// Extractor Build Facing=2576
Actor/Name/Factory,Fábrica /// Factory=2577
Actor/Name/FactoryBuild,Construir Fábrica /// Factory Build=2578
Actor/Name/FactoryLand,Pousar /// Land=2579
Actor/Name/FactoryNuclearReactor,Fábrica - Reator nuclear /// Factory Nuclear Reactor=2580
Actor/Name/FactoryNuclearReactorSplat,Fábrica - Reator nuclear - Mancha /// Factory Nuclear Reactor Splat=2581
Actor/Name/FactoryReactor,Reator de Fábrica /// Factory Reactor=2582
Actor/Name/FactoryReactorBuild,Construir Reator de Fábrica /// Factory Reactor Build=2583
Actor/Name/FactoryReactorSplat,Fábrica Reator Mancha /// Factory Reactor Splat=2584
Actor/Name/FactorySplat,Mancha /// Splat=2585
Actor/Name/FactoryTechLab,Laboratório técnico /// Tech Lab=2586
Actor/Name/FactoryTechLabBuild,Construir Laboratório técnico de Fábrica /// Factory Tech Lab Build=2587
Actor/Name/FactoryTechLabSplat,Fábrica - Laboratório técnico - Mancha /// Factory Tech Lab Splat=2588
Actor/Name/FanVent,Porto da Morte - Duto de ventilação /// Deadman's Port Fan Vent=2589
Actor/Name/FanVentCliff,Repiradouros de ventilação - Penhasco /// Fan Vent Cliff=2590
Actor/Name/FeedbackImpact,Feedback de Impacto /// Feedback Impact=2591
Actor/Name/FeedbackImpactSound,Som de Feedback de Impacto /// Feedback Impact Sound=2592
Actor/Name/FeedbackLaunch,Lançar Feedback /// Feedback Launch=2593
Actor/Name/FeedbackLaunchSound,Lançar Feedback de Som /// Feedback Launch Sound=2594
Actor/Name/FeedbackRange,Alcance do Feedback /// Feedback Range=2595
Actor/Name/FighterMode,Modo Combate /// Fighter Mode=2596
Actor/Name/FighterMorphModel,Combate - Transmutação - Modelo /// Fighter Morph Model=2597
Actor/Name/FireMedium,Fogo - Médio /// Fire Medium=2598
Actor/Name/FirebatACGluescreenDummy,Morcego de Fogo=2599
Actor/Name/Fireworks,Fogos de artifício /// Fireworks=2600
Actor/Name/Fish,Peixe /// Fish=2601
Actor/Name/FishBlackFinMako,Barbatana negra Mako /// Black Fin Mako=2602
Actor/Name/FlashingLights,Luzes piscando /// Flashing Lights=2603
Actor/Name/FleetBeacon,Laboratório avançado /// Fleet Beacon=2604
Actor/Name/FleetBeaconSplat,Laboratório avançado - Mancha /// Fleet Beacon Splat=2605
Actor/Name/FloatingCreepPad,Bloco de gosma flutuante /// Floating Creep Pad=2606
Actor/Name/FloatingTextActorDefault,Ator Padrão de Texto Flutuante /// Floating Text Actor Default=2607
Actor/Name/Floodlight,Holofote /// Floodlight=2608
Actor/Name/FlySwarm,Voar - Enxame /// Fly Swarm=2609
Actor/Name/FogBlue,Neblina - Azul /// Fog Blue=2610
Actor/Name/FogGrey,Neblina - Cinza /// Fog Grey=2611
Actor/Name/FogMist,Névoa /// Fog Mist=2612
Actor/Name/FogStormDeep,Cerração profunda /// Fog Storm Deep=2613
Actor/Name/FogStormDeepWhite,Cerração branca profunda /// Fog Storm Deep White=2614
Actor/Name/FoliageFXCreepDevour,FX de Folhagem Gosma Devorando /// Foliage FX Creep Devour=2615
Actor/Name/FoliageFXFire,FX de Folhagem Fogo /// Foliage FX Fire=2616
Actor/Name/FoliageFXSpawnerFire,FX de Folhagem Gerador de Fogo /// Foliage FX Spawner Fire=2617
Actor/Name/ForceField,Campo de força /// Force Field=2618
Actor/Name/ForceFieldCursorSplat,Mancha de Cursor Campo de Força /// Force Field Cursor Splat=2619
Actor/Name/ForceFieldRange,Alcance do Campo de força /// Force Field Range=2620
Actor/Name/ForceFieldWall,Parede de Campo de força /// Force Field Wall=2621
Actor/Name/Forge,Usina /// Forge=2622
Actor/Name/ForgeSplat,Mancha de Usina /// Forge Splat=2623
Actor/Name/Frenzy,Frenesi /// Frenzy=2624
Actor/Name/FrenzyMissile,Míssil Frenesi /// Frenzy Missile=2625
Actor/Name/FrenzyRange,Alcance Frenesi /// Frenzy Range=2626
Actor/Name/Frenzy_Enable,Frenzy_Enable /// Frenzy_Enable=2627
Actor/Name/FungalGrowth,Crescimento Fúngico /// Fungal Growth=2628
Actor/Name/FungalGrowthAttack,Ataque Crescimento Fúngico /// Fungal Growth Attack=2629
Actor/Name/FungalGrowthAttackMissile,Míssil de Ataque Crescimento Fúngico /// Fungal Growth Attack Missile=2630
Actor/Name/FungalGrowthCursorSplat,Mancha do cursor Crescimento Fúngico /// Fungal Growth Cursor Splat=2631
Actor/Name/FungalGrowthImpact,Impacto de Crescimento Fúngico /// Fungal Growth Impact=2632
Actor/Name/FungalGrowthImpactSound,Som Impacto de Crescimento Fúngico /// Fungal Growth Impact Sound=2633
Actor/Name/FungalGrowthLaunchSound,Som de Lançamento de Crescimento Fúngico /// Fungal Growth Launch Sound=2634
Actor/Name/FungalGrowthRange,Alcance de Crescimento Fúngico /// Fungal Growth Range=2635
Actor/Name/FusionCore,Núcleo de fusão /// Fusion Core=2636
Actor/Name/FusionCoreBuild,Núcleo de fusão - Construir /// Fusion Core Build=2637
Actor/Name/FusionCoreSplat,Núcleo de fusão - Mancha /// Fusion Core Splat=2638
Actor/Name/Garage,Garagem /// Garage=2639
Actor/Name/GarageLarge,Garagem grande /// Garage Large=2640
Actor/Name/GasStation,Posto de combustível /// Gas Station=2641
Actor/Name/GasStationAngled,Posto de combustível /// Gas Station=2642
Actor/Name/Gateway,Portal /// Gateway=2643
Actor/Name/GatewayMorphToWarpgate,Portal Transmutar para Portal de Dobra /// Gateway Morph To Warpgate=2644
Actor/Name/GatewaySplat,Mancha de Portal /// Gateway Splat=2645
Actor/Name/GenericBurrowerStandard,Padrão Genérico de Entocador /// Generic Burrower Standard=2646
Actor/Name/GeyserBuildFinishCoverQuery,Terminar Construção de Gêiser Consulta de Cobertura /// Geyser Build Finish Cover Query=2647
Actor/Name/GeyserBuildFinishCovered,Terminar Construção de Gêiser Coberto /// Geyser Build Finish Covered=2648
Actor/Name/GeyserUncoverQuery,Consulta de Gêiser Descoberto /// Geyser Uncover Query=2649
Actor/Name/GeyserUncovered,Gêiser Descoberto /// Geyser Uncovered=2650
Actor/Name/Ghost,Fantasma /// Ghost=2651
Actor/Name/GhostAcademy,Academia fantasma /// Ghost Academy=2652
Actor/Name/GhostAcademyBuild,Construir Academia fantasma /// Ghost Academy Build=2653
Actor/Name/GhostAcademySplat,Academia fantasma - Mancha /// Ghost Academy Splat=2654
Actor/Name/GhostAttack,Fantasma - Ataque /// Ghost Attack=2655
Actor/Name/GhostEMPAttack,Fantasma - Ataque PEM /// Ghost EMP Attack=2656
Actor/Name/GhostEMPAttackImpactEffect,Área de Impacto de PEM de Fantasma /// Ghost EMP Attack Impact Effect=2657
Actor/Name/GhostEMPAttackMissile,Fantasma - PEM - Ataque - Míssil /// Ghost EMP Attack Missile=2658
Actor/Name/GhostEMPOffset,Deslocamento de PEM de Fantasma /// Ghost EMP Offset=2659
Actor/Name/GhostNukeCollateralFire,Fantasma - Arma nuclear - Fogo colateral /// Ghost Nuke Collateral Fire=2660
Actor/Name/GhostNukeDrop,Fantasma - Arma nuclear - Lançamento /// Ghost Nuke Drop=2661
Actor/Name/GhostNukeDropSound,Som de queda de Arma nuclear de Fantasma /// Ghost Nuke Drop Sound=2662
Actor/Name/GhostNukeExplode,Fantasma - Arma nuclear - Explosão /// Ghost Nuke Explode=2663
Actor/Name/GhostNukeFoliageFXSpawner,FX de Folhagem Gerador Arma nuclear de Fantasma /// Ghost Nuke Foliage FX Spawner=2664
Actor/Name/GhostNukeIndicator,Fantasma - Arma nuclear - Indicador /// Ghost Nuke Indicator=2665
Actor/Name/GhostNukeLaunch,Fantasma - Arma nuclear - Lançamento /// Ghost Nuke Launch=2666
Actor/Name/GhostNukeSeek,Fantasma - Arma nuclear - Busca /// Ghost Nuke Seek=2667
Actor/Name/GhostNukeShieldHitter,Fantasma - Arma nuclear - Escudo - Golpeador /// Ghost Nuke Shield Hitter=2668
Actor/Name/GhostNukeTarget,Fantasma - Arma nuclear - Alvo /// Ghost Nuke Target=2669
Actor/Name/GhostNukeTargetBillboard,Arma nuclear de Fantasma Alvo Outdoor /// Ghost Nuke Target Billboard=2670
Actor/Name/GhostNukeTargetBillboardBase,Arma nuclear de Fantasma Alvo Outdoor Base /// Ghost Nuke Target Billboard Base=2671
Actor/Name/GhostSnipeAttack,Fantasma - Ataque de Tiro de precisão /// Ghost Snipe Attack=2672
Actor/Name/GhostSnipeAttackBeam,GhostSnipeAttackBeam /// GhostSnipeAttackBeam=2673
Actor/Name/GhostSnipeRange,GhostSnipeRange /// GhostSnipeRange=2674
Actor/Name/Ghost_CloakOff,Ghost_CloakOff /// Ghost_CloakOff=2675
Actor/Name/Ghost_CloakOn,Ghost_CloakOn /// Ghost_CloakOn=2676
Actor/Name/Ghost_Death,Ghost_Death /// Ghost_Death=2677
Actor/Name/Ghost_HoldFire_Sound,Ghost_HoldFire_Sound /// Ghost_HoldFire_Sound=2678
Actor/Name/Ghost_WeaponsFree_Sound,Ghost_WeaponsFree_Sound /// Ghost_WeaponsFree_Sound=2679
Actor/Name/GlobeStatue,Globo - Estátua /// Globe Statue=2680
Actor/Name/GlowLizard,Lagarto brilhante /// Glow Lizard=2681
Actor/Name/GoliathACGluescreenDummy,Golias=2682
Actor/Name/GravitonBeam,Fênix - Antigravidade /// Phoenix Anti Grav=2683
Actor/Name/GravitonBeamImpact,Impacto do Feixe Graviton /// Graviton Beam Impact=2684
Actor/Name/GravitonBeamImpactDeath,Impacto do Feixe Graviton Morte /// Graviton Beam Impact Death=2685
Actor/Name/GravitonBeamLoop,Feixe graviton Ciclo /// Graviton Beam Loop=2686
Actor/Name/GravitonBeamRange,Feixe Graviton Alcance /// Graviton Beam Range=2687
Actor/Name/GravitonBeamRocker,Antigravidade - Oscilador /// Anti Grav Rocker=2688
Actor/Name/GravitonBeamRocks,Feixe graviton - Rochas /// Graviton Beam Rocks=2689
Actor/Name/GravitonBeamStart,Feixe Graviton Início /// Graviton Beam Start=2690
Actor/Name/GravitonBeamStop,Feixe Graviton Parar /// Graviton Beam Stop=2691
Actor/Name/GreaterSpire,Grande Pináculo /// Greater Spire=2692
Actor/Name/GuardianShield,Escudo guardião /// Guardian Shield=2693
Actor/Name/GuardianShieldImpact,Guardião - Escudo - Impacto /// Guardian Shield Impact=2694
Actor/Name/GuardianShieldSoundBirth,Escudo guardião Som de Nascimento /// Guardian Shield Sound Birth=2695
Actor/Name/GuardianShieldSoundDeath,Escudo guardião Som de Morte /// Guardian Shield Sound Death=2696
Actor/Name/GuardianShieldSoundLoop,Escudo guardião Som de Ciclo /// Guardian Shield Sound Loop=2697
Actor/Name/HallucinationBirth,Alucinação - Criação /// Hallucination Birth=2698
Actor/Name/HallucinationBirthSoundLarge,Som da criação de Alucinação Grande /// Hallucination Birth Sound Large=2699
Actor/Name/HallucinationBirthSoundMedium,Som da criação de Alucinação Médio /// Hallucination Birth Sound Medium=2700
Actor/Name/HallucinationBirthSoundSmall,Som da criação de Alucinação Pequeno /// Hallucination Birth Sound Small=2701
Actor/Name/HallucinationColossusBirth,Alucinação de Colosso Criação /// Hallucination Colossus Birth=2702
Actor/Name/Hatchery,Incubadora /// Hatchery=2703
Actor/Name/HatcheryBuild,Construir Incubadora /// Hatchery Build=2704
Actor/Name/HavenCurtain,Abrigus /// Haven=2705
Actor/Name/HavenDoodadsCrates,Abrigus - Caixotes /// Haven Crates=2706
Actor/Name/HavenFoliage,Folhagem /// Foliage=2707
Actor/Name/HavenPlant,Planta /// Plant=2708
Actor/Name/HavenTree,Árvore /// Tree - Haven=2709
Actor/Name/HavenTreeDeath,Abrigus - Morte de árvore /// Haven Tree Death=2710
Actor/Name/HavenUnderbrush,Arbusto /// Underbrush=2711
Actor/Name/HellbatACGluescreenDummy,Morcego Infernal=2712
Actor/Name/Hellion,Endiabrado /// Hellion=2713
Actor/Name/HellionAttack,Endiabrado - Ataque /// Hellion Attack=2714
Actor/Name/HellionAttackBase,Endiabrado Ataque Base /// Hellion Attack Base=2715
Actor/Name/HellionAttackBeam,Feixe de ataque de Endiabrado /// Hellion Attack Beam=2716
Actor/Name/HellionAttackBeamImpactSite,Endiabrado Ataque Raio Local do impacto /// Hellion Attack Beam Impact Site=2717
Actor/Name/HellionAttackDamageReaction,Endiabrado Ataque Dano Reação /// Hellion Attack Damage Reaction=2718
Actor/Name/HellionAttackDamageReactionStructure,Endiabrado Ataque Dano Reação Estrutura /// Hellion Attack Damage Reaction Structure=2719
Actor/Name/HellionAttackDamageSite,Endiabrado - Ataque - Danos - Local /// Hellion Attack Damage Site=2720
Actor/Name/HellionAttackDamageSiteOpForward,Endiabrado Ataque Dano Local Op Adiante /// Hellion Attack Damage Site Op Forward=2721
Actor/Name/HellionTreeKiller,Matador de árvores Endiabrado /// Hellion Tree Killer=2722
Actor/Name/HellionTurret,Endiabrado - Torre /// Hellion Turret=2723
Actor/Name/HellionUpgradedAttack,Endiabrado Ataque aprimorado /// Hellion Upgraded Attack=2724
Actor/Name/HellionUpgradedAttackDamageReaction,Endiabrado Aprimorado Ataque Dano Reação /// Hellion Upgraded Attack Damage Reaction=2725
Actor/Name/HellionUpgradedAttackDamageReactionStructure,Endiabrado Aprimorado Ataque Dano Reação Estrutura /// Hellion Upgraded Attack Damage Reaction Structure=2726
Actor/Name/HelperEmitterSelectionArrow,Seta de ajuda /// Helper Arrow=2727
Actor/Name/HerculesACGluescreenDummy,Hércules=2728
Actor/Name/HighTemplar,Templário supremo /// High Templar=2729
Actor/Name/HighTemplarACGluescreenDummy,Templário supremo=2730
Actor/Name/HighTemplarHallucination,Templário supremo - Alucinação /// High Templar Hallucination=2731
Actor/Name/HighTemplarPhaseShiftSound,Templário supremo - Mudança de fase - Som /// High Templar Phase Shift Sound=2732
