AUTHENTICATION_BETA_REGION,Beta /// Beta=0
Cutscenes/Property/BlendInTime,Fusão Dentro do Tempo /// Blend In Time=627
Cutscenes/Property/BlendOutTime,Fusão Fora do Tempo /// Blend Out Time=628
Cutscenes/Property/BlendTime,Fusão do Tempo /// BlendTime=629
Cutscenes/Property/BlendToTerrain,Fundir ao Terreno /// Blend To Terrain=630
Cutscenes/Property/BokehFStop,FStop /// FStop=631
Cutscenes/Property/BokehMaxCoC,Diâmetro CoC /// CoC Diameter=632
Cutscenes/Property/BookmarkName,Marcação de Nome /// Bookmark Name=633
Cutscenes/Property/CameraIndex,Índice de Câmera /// Camera Index=634
Cutscenes/Property/CameraName,Nome de câmera /// Camera Name=635
Cutscenes/Property/Cloaking,Camuflagem /// Cloaking=636
Cutscenes/Property/ColorB,Cor - Azul /// Color - Blue=637
Cutscenes/Property/ColorG,Cor - Verde /// Color - Green=638
Cutscenes/Property/ColorMultiplier,Multiplicador de cor /// Color Multiplier=639
Cutscenes/Property/ColorR,Cor - Vermelha /// Color - Red=640
Cutscenes/Property/ConversationLine,Linhas de Conversa /// Conversation Line=641
Cutscenes/Property/ConversationLink,Ligação de Conversa /// Conversation Link=642
Cutscenes/Property/CurveData,Bezier Dados /// Bezier Data=643
Cutscenes/Property/CurveInType,Tipos de Tangente de Entrada /// In Tangent Type=644
Cutscenes/Property/CurveInValue,Dados de Tangente de Entrada /// In Tangent Data=645
Cutscenes/Property/CurveOutType,Tipos de Tangente de Saída /// Out Tangent Type=646
Cutscenes/Property/CurveOutValue,Dados de Tangente de Saída /// Out Tangent Data=647
Cutscenes/Property/CycleLength,Duração do ciclo /// Cycle Length=648
Cutscenes/Property/DOFType,Tipo DoF /// DoF Type=649
Cutscenes/Property/DebugModelLink,Vínculo de modelo Editor /// Editor Model Link=650
Cutscenes/Property/DepthOfField,Profundidade de campo /// Depth Of Field=651
Cutscenes/Property/Distance,Distância /// Distance=652
Cutscenes/Property/Duration,Duração /// Duration=653
Cutscenes/Property/DurationOffset,Duração deslocada /// Duration Offset=654
Cutscenes/Property/EnableModelEvents,Eventos /// Events=655
Cutscenes/Property/EnablePhysics,Ativar Física /// Enable Physics=656
Cutscenes/Property/Enabled,Ativado /// Enabled=657
Cutscenes/Property/EndBufferTime,Tempo do Buffer Final /// End Buffer Time=658
Cutscenes/Property/EndLinkAttachToPoint,Elo Final Para o Ponto /// End Link To Point=659
Cutscenes/Property/EndLinkDistance,Elo Final Distância /// End Link Distance=660
Cutscenes/Property/EndLinkID,Ligação Final ao GUID /// End Linked To GUID=661
Cutscenes/Property/EnvironmentLight/AmbientColorBlue,Cor Ambiente Azul /// Ambient Color Blue=662
Cutscenes/Property/EnvironmentLight/AmbientColorGreen,Cor Ambiente Verde /// Ambient Color Green=663
Cutscenes/Property/EnvironmentLight/AmbientColorRed,Cor Ambiente Vermelha /// Ambient Color Red=664
Cutscenes/Property/EnvironmentLight/BackColorMultiplier,Multiplicador de Cores Difusas /// Diffuse Color Multiplier=665
Cutscenes/Property/EnvironmentLight/BackDiffuseColorBlue,Cor Difusa Azul /// Diffuse Color Blue=666
Cutscenes/Property/EnvironmentLight/BackDiffuseColorGreen,Cor Difusa Verde /// Diffuse Color Green=667
Cutscenes/Property/EnvironmentLight/BackDiffuseColorRed,Cor Difusa Vermelha /// Diffuse Color Red=668
Cutscenes/Property/EnvironmentLight/BackDirectionX,Direção X /// Direction X=669
Cutscenes/Property/EnvironmentLight/BackDirectionY,Direção Y /// Direction Y=670
Cutscenes/Property/EnvironmentLight/BackDirectionZ,Direção Z /// Direction Z=671
Cutscenes/Property/EnvironmentLight/BackUseAmbientOcclusion,Usar oclusão ambiente /// Use Ambient Occlusion=672
Cutscenes/Property/EnvironmentLight/ColorizationBlend,Mescla /// Blend=673
Cutscenes/Property/EnvironmentLight/ColorizationBrightness,Brilho /// Brightness=674
Cutscenes/Property/EnvironmentLight/ColorizationContrast,Contraste /// Contrast=675
Cutscenes/Property/EnvironmentLight/ColorizationHue,Tonalidade /// Hue=676
Cutscenes/Property/EnvironmentLight/ColorizationInputGamma,Entrada - Gama /// Input Gamma=677
Cutscenes/Property/EnvironmentLight/ColorizationInputHigh,Entrada - Alta /// Input High=678
Cutscenes/Property/EnvironmentLight/ColorizationInputLow,Entrada - Baixa /// Input Low=679
Cutscenes/Property/EnvironmentLight/ColorizationLightness,Claridade /// Lightness=680
Cutscenes/Property/EnvironmentLight/ColorizationOutputHigh,Saída - Alta /// Output High=681
Cutscenes/Property/EnvironmentLight/ColorizationOutputLow,Saída - Baixa /// Output Low=682
Cutscenes/Property/EnvironmentLight/ColorizationSaturation,Saturação /// Saturation=683
Cutscenes/Property/EnvironmentLight/Colorize,Colorir /// Colorize=684
Cutscenes/Property/EnvironmentLight/CorrectGamma,Corrigir gama /// Correct Gamma=685
Cutscenes/Property/EnvironmentLight/CreepHDRDiffuseMultiplier,Gosma - HDR - Difuso - Multiplicador /// Creep HDR Diffuse Multiplier=686
Cutscenes/Property/EnvironmentLight/CreepHDREmisMultiplier,Gosma - HDR - Emissivo - Multiplicador /// Creep HDR Emissive Multiplier=687
Cutscenes/Property/EnvironmentLight/CreepHDRSpecMultiplier,Gosma - HDR - Especular - Multiplicador /// Creep HDR Specular Multiplier=688
Cutscenes/Property/EnvironmentLight/CreepSpecularExp,Gosma - Especular - Expoente /// Creep Specular Exponent=689
Cutscenes/Property/EnvironmentLight/FillColorMultiplier,Multiplicador de Cores Difusas /// Diffuse Color Multiplier=690
Cutscenes/Property/EnvironmentLight/FillDiffuseColorBlue,Cor Difusa Azul /// Diffuse Color Blue=691
Cutscenes/Property/EnvironmentLight/FillDiffuseColorGreen,Cor Difusa Verde /// Diffuse Color Green=692
Cutscenes/Property/EnvironmentLight/FillDiffuseColorRed,Cor Difusa Vermelha /// Diffuse Color Red=693
Cutscenes/Property/EnvironmentLight/FillDirectionX,Direção X /// Direction X=694
Cutscenes/Property/EnvironmentLight/FillDirectionY,Direção Y /// Direction Y=695
Cutscenes/Property/EnvironmentLight/FillDirectionZ,Direção Z /// Direction Z=696
Cutscenes/Property/EnvironmentLight/FillUseAmbientOcclusion,Usar oclusão ambiente /// Use Ambient Occlusion=697
Cutscenes/Property/EnvironmentLight/HDRAmbientMultiplier,Multiplicador de ambiente /// Ambient Multiplier=698
Cutscenes/Property/EnvironmentLight/HDRBloomThreshold,Limite de incandescência /// Bloom Threshold=699
Cutscenes/Property/EnvironmentLight/HDRDiffuseMultiplier,Multiplicador difuso /// Diffuse Multiplier=700
Cutscenes/Property/EnvironmentLight/HDREmisMultiplier,Multiplicador emissivo /// Emissive Multiplier=701
Cutscenes/Property/EnvironmentLight/HDRExposure,Exposição /// Exposure=702
Cutscenes/Property/EnvironmentLight/HDRGain,Ganho /// Gain=703
Cutscenes/Property/EnvironmentLight/HDRScale,Escala /// Scale=704
Cutscenes/Property/EnvironmentLight/HDRSpecMultiplier,Multiplicador especular /// Specular Multiplier=705
Cutscenes/Property/EnvironmentLight/HDRWhitePoint,Ponto branco /// White Point=706
Cutscenes/Property/EnvironmentLight/KeyColorMultiplier,Multiplicador de Cores Difusas /// Diffuse Color Multiplier=707
Cutscenes/Property/EnvironmentLight/KeyDiffuseColorBlue,Cor Difusa Azul /// Diffuse Color Blue=708
Cutscenes/Property/EnvironmentLight/KeyDiffuseColorGreen,Cor Difusa Verde /// Diffuse Color Green=709
Cutscenes/Property/EnvironmentLight/KeyDiffuseColorRed,Cor Difusa Vermelha /// Diffuse Color Red=710
Cutscenes/Property/EnvironmentLight/KeyDirectionX,Direção X /// Direction X=711
Cutscenes/Property/EnvironmentLight/KeyDirectionY,Direção Y /// Direction Y=712
Cutscenes/Property/EnvironmentLight/KeyDirectionZ,Direção Z /// Direction Z=713
Cutscenes/Property/EnvironmentLight/KeySpecularColorBlue,Cor Especular Azul /// Specular Color Blue=714
Cutscenes/Property/EnvironmentLight/KeySpecularColorGreen,Cor Especular Verde /// Specular Color Green=715
Cutscenes/Property/EnvironmentLight/KeySpecularColorMultiplier,Especular - Cor - Multiplicador /// Specular Color Multiplier=716
Cutscenes/Property/EnvironmentLight/KeySpecularColorRed,Cor Especular Vermelha /// Specular Color Red=717
Cutscenes/Property/EnvironmentLight/KeyUseAmbientOcclusion,Usar oclusão ambiente /// Use Ambient Occlusion=718
Cutscenes/Property/EnvironmentLight/OperatorHDR,Operador de HDR /// Operator HDR=719
Cutscenes/Property/EnvironmentLight/SSAODetailFullOcclusion,Detalhe - Oclusão Total /// Detail Full Occlusion=720
Cutscenes/Property/EnvironmentLight/SSAODetailNoOcclusion,Detalhe - Nenhuma Oclusão /// Detail No Occlusion=721
Cutscenes/Property/EnvironmentLight/SSAODetailOcclusionPower,Detalhe - Poder de Oclusão /// Detail Occlusion Power=722
Cutscenes/Property/EnvironmentLight/SSAODetailOcclusionRadius,Detalhe - Raio de Oclusão /// Detail Occlusion Radius=723
Cutscenes/Property/EnvironmentLight/SSAOFullOcclusion,Oclusão Total /// Full Occlusion=724
Cutscenes/Property/EnvironmentLight/SSAONoOcclusion,Nenhuma Oclusão /// No Occlusion=725
Cutscenes/Property/EnvironmentLight/SSAOOcclusionPower,Poder de Oclusão /// Occlusion Power=726
Cutscenes/Property/EnvironmentLight/SSAOOcclusionRadius,Raio /// Radius=727
Cutscenes/Property/EnvironmentLight/TerrainHDRDiffuse,Terreno - HDR - Multiplicador difuso /// Terrain HDR Diffuse Multiplier=728
Cutscenes/Property/EnvironmentLight/TerrainHDRSpecular,Terreno - HDR - Especular - Multiplicador /// Terrain HDR Specular Multiplier=729
Cutscenes/Property/EnvironmentLight/TerrainSpecularExp,Terreno - Especular - Expoente /// Terrain Specular Exponent=730
Cutscenes/Property/EnvironmentLight/TerrainUseBackLight,Usar Luz de Fundo /// Use BackLight=731
Cutscenes/Property/EnvironmentLight/TimeOfDay,Hora do dia /// Time Of Day=732
Cutscenes/Property/EnvironmentLight/UseSeparateDetailSSAO,Usar detalhe separado de SSAO /// Use Separate Detail SSAO=733
Cutscenes/Property/EyePositionX,Posição do Olho X /// Eye Position X=734
Cutscenes/Property/EyePositionY,Posição do Olho Y /// Eye Position Y=735
Cutscenes/Property/EyePositionZ,Posição do Olho Z /// Eye Position Z=736
Cutscenes/Property/FOV,Campo de visão /// Field of View=737
Cutscenes/Property/FXAOverridePath,Caminho de Substituição FXA /// FXA Override Path=738
Cutscenes/Property/FacialAnim,Anim Facial /// Facial Anim=739
Cutscenes/Property/FacialGroup,Grupo facial /// Facial Group=740
Cutscenes/Property/FadeAmount,Quantidade - Desvanecido /// Amount - Faded=741
Cutscenes/Property/FadeIn,Aparecimento gradual /// Fade In=742
Cutscenes/Property/Falloff,Declínio /// Falloff=743
Cutscenes/Property/FalloffEnd,Fim do declínio /// Falloff End=744
Cutscenes/Property/FalloffEndNear,Perto do fim do declínio /// Near Falloff End=745
Cutscenes/Property/FalloffStart,Declínio - Início /// Falloff Start=746
Cutscenes/Property/FalloffStartNear,Perto do início do declínio /// Near Falloff Start=747
Cutscenes/Property/FarClip,Corte de distância /// Far Clip=748
Cutscenes/Property/FilePath,Caminho do arquivo /// File Path=749
Cutscenes/Property/Filter,Filtro /// Filter=750
Cutscenes/Property/FilterTest,Teste de filtro /// Filter Test=751
Cutscenes/Property/FinderTag,Tag do descobridor /// Finder Tag=752
Cutscenes/Property/FireAndForget,Disparar e Esquecer /// Fire And Forget=753
Cutscenes/Property/FocalDepth,Distância focal /// Focal Depth=754
Cutscenes/Property/FogColorB,Cor da Neblina Azul /// Fog Color Blue=755
Cutscenes/Property/FogColorG,Cor da Neblina Verde /// Fog Color Green=756
Cutscenes/Property/FogColorR,Cor da Neblina Vermelha /// Fog Color Red=757
Cutscenes/Property/FogDensity,Densidade da neblina /// Fog Density=758
Cutscenes/Property/FogFalloff,Neblina - Declínio /// Fog Falloff=759
Cutscenes/Property/FogStartHeight,Altura Inicial da Neblina /// Fog Start Height=760
Cutscenes/Property/FogVisibility,Neblina - Visibilidade /// Fog Visibility=761
Cutscenes/Property/FollowTerrainOffset,Deslocamento de altura /// Height Offset=762
Cutscenes/Property/FullMatchLegacy,Comportamento de Legado de Correspondência Total /// Full Match Legacy Behavior=763
Cutscenes/Property/GUID,ID /// ID=764
Cutscenes/Property/Guide,Guia /// Guide=765
Cutscenes/Property/HDRMultiplierDiffuseBlue,HDR Difuso - Azul /// Diffuse HDR - Blue=766
Cutscenes/Property/HDRMultiplierDiffuseGreen,HDR Difuso - Verde /// Diffuse HDR - Green=767
Cutscenes/Property/HDRMultiplierDiffuseRed,HDR Difuso - Vermelho /// Diffuse HDR - Red=768
Cutscenes/Property/HDRMultiplierEmissiveBlue,HDR Emissivo - Azul /// Emissive HDR - Blue=769
Cutscenes/Property/HDRMultiplierEmissiveGreen,HDR Emissivo - Verde /// Emissive HDR - Green=770
Cutscenes/Property/HDRMultiplierEmissiveRed,HDR Emissivo - Vermelho /// Emissive HDR - Red=771
Cutscenes/Property/Halo,Halo /// Halo=772
Cutscenes/Property/HaloEmission,Emissão de halo /// Halo Emission=773
Cutscenes/Property/HaloWidth,Largura de Halo /// Halo Width=774
Cutscenes/Property/HeightOffset,Deslocamento de altura /// Height Offset=775
Cutscenes/Property/HideActorAlias,Esconder Apelido do Agente /// Actor Alias Hide=776
Cutscenes/Property/HighlightColorA,Destacar cor - Alfa /// Highlight Color - Alpha=777
Cutscenes/Property/HighlightColorB,Destacar cor - Azul /// Highlight Color - Blue=778
Cutscenes/Property/HighlightColorG,Destacar cor - Verde /// Highlight Color - Green=779
Cutscenes/Property/HighlightColorR,Destacar cor - Vermelho /// Highlight Color - Red=780
Cutscenes/Property/HitTest,Acerto - Teste /// Hit Test=781
Cutscenes/Property/HoldFade,Manter o Fade /// Hold Fade=782
Cutscenes/Property/Hotspot,Pontos de atividade /// Hotspot=783
Cutscenes/Property/Index,Índice /// Index=784
Cutscenes/Property/InheritScale,Herdar Escala /// Inherit Scale=785
Cutscenes/Property/InheritVisibility,Herdar Visibilidade /// Inherit Visibility=786
Cutscenes/Property/InteractiveMode,Modo Interativo /// Interactive Mode=787
Cutscenes/Property/JumpToBookmarkWhenHit,Saltar para marcação quando atingido /// Jump to bookmark when hit=788
Cutscenes/Property/LensFlaresStartVisible,Estado de início de brilho de lente /// Lensflare start state=789
Cutscenes/Property/LightGUID,GUID de Luz /// Light GUID=790
Cutscenes/Property/LightID,ID de Luz /// Light ID=791
Cutscenes/Property/LightIndex,Índice de Luz /// Light Index=792
Cutscenes/Property/LightOpaque,Luz em Objetos Opacos /// Light Opaque Objects=793
Cutscenes/Property/LightTransparent,Luz em Objetos Transparentes /// Light Transparent Objects=794
Cutscenes/Property/LineID,ID de Linha /// Line ID=795
Cutscenes/Property/Locked,Travado /// Locked=796
Cutscenes/Property/LockedToEnd,Travado no Fim /// Locked to End=797
Cutscenes/Property/LookAtAttach,Anexo /// Attachment=798
Cutscenes/Property/LookAtGUID,GUID Alvo /// Target GUID=799
Cutscenes/Property/LookAtIgnoreEyes,Ignorar Olhos /// Ignore Eyes=800
Cutscenes/Property/LookAtType,Tipo /// Type=801
Cutscenes/Property/Looping,Em ciclo /// Looping=802
Cutscenes/Property/MaximumLightLevel,Nível máximo de luz /// Maximum Light Level=803
Cutscenes/Property/Message,Mensagem /// Message=804
Cutscenes/Property/MinimumLightLevel,Nível Mínimo de Luz /// Minimum Light Level=805
Cutscenes/Property/Mode,Modo /// Mode=806
Cutscenes/Property/ModelLink,Vínculo de modelo /// Model Link=807
Cutscenes/Property/ModelMaterialActorName,Matéria-prima do Modelo - Nome de Ator /// Model Material Actor Name=808
Cutscenes/Property/ModelMaterialAutomatesGlobalLoops,Matéria-prima do Modelo Automatiza Ciclos Globais /// Model Material Automates Global Loops=809
Cutscenes/Property/ModelMaterialModelName,Matéria-prima do Modelo - Nome do Modelo /// Model Material Model Name=810
Cutscenes/Property/ModelMaterialType,Matéria-prima do Modelo - Tipo /// Model Material Type=811
Cutscenes/Property/ModelPath,Modelo - Trajetória /// Model Path=812
Cutscenes/Property/Movespeed,Velocidade de Movimento /// Movespeed=813
Cutscenes/Property/Name,Nome /// Name=814
Cutscenes/Property/NearClip,Corte de proximidade /// Near Clip=815
Cutscenes/Property/NonSeeking,Não Guiado /// Non-Seeking=816
Cutscenes/Property/ObjectGUID,GUID do Objeto /// Object GUID=817
Cutscenes/Property/ObjectID,ID do Objeto /// Object ID=818
Cutscenes/Property/OffsetX,Deslocamento X /// Offset X=819
Cutscenes/Property/OffsetY,Deslocamento Y /// Offset Y=820
Cutscenes/Property/OffsetZ,Deslocamento Z /// Offset Z=821
Cutscenes/Property/Opacity,Opacidade /// Opacity=822
Cutscenes/Property/OriginalDuration,Duração Original /// Original Duration=823
Cutscenes/Property/OriginalMoveSpeed,Velocidade de Movimento Original /// Original Movement Speed=824
Cutscenes/Property/Overriding,Substituição /// Overriding=825
Cutscenes/Property/OwnerID,ID do Proprietário /// Owner ID=826
Cutscenes/Property/Pan,Panorâmica /// Pan=827
Cutscenes/Property/ParentID,ID do Pai /// Parent ID=828
Cutscenes/Property/PauseWhenHit,Pausar quando atingido /// Pause When Hit=829
Cutscenes/Property/PeakMultiplierB,Multiplicador de Pico - Azul /// Peak Multiplier - Blue=830
Cutscenes/Property/PeakMultiplierG,Multiplicador de Pico - Verde /// Peak Multiplier - Green=831
Cutscenes/Property/PeakMultiplierR,Multiplicador de Pico - Vermelho /// Peak Multiplier - Red=832
Cutscenes/Property/Pitch,Tom /// Pitch=833
Cutscenes/Property/PlayForever,Reproduzir continuamente /// Play Forever=834
Cutscenes/Property/PlayOnce,Reproduzir uma vez /// Play Once=835
Cutscenes/Property/PositionX,Posição X /// Position X=836
Cutscenes/Property/PositionY,Posição Y /// Position Y=837
Cutscenes/Property/PositionZ,Posição Z /// Position Z=838
Cutscenes/Property/Priority,Prioridade /// Priority=839
Cutscenes/Property/Property,Propriedade /// Property=840
Cutscenes/Property/RTTChannel,Canal RTT /// RTT Channel=841
Cutscenes/Property/RandomOffsetMax,Deslocamento Inicial - Aleatório Max (Percentual) /// Start Offset - Random Max (Percent)=842
Cutscenes/Property/RandomOffsetMin,Deslocamento Inicial - Aleatório Min (Percentual) /// Start Offset - Random Min (Percent)=843
Cutscenes/Property/ReferenceFile,Arquivo de Referência /// Reference File=844
Cutscenes/Property/ReferenceGUID,GUID de Referência /// Reference GUID=845
Cutscenes/Property/RemoveFilterWhenHit,Remover filtro ao atingir /// Remove Filter When Hit=846
Cutscenes/Property/Reverb,Reverberação Ambiente ID /// Ambient Reverb ID=847
Cutscenes/Property/RightAligned,Alinhado à direita /// Right-Aligned=848
Cutscenes/Property/Roll,Rolagem /// Roll=849
Cutscenes/Property/RotForwardX,Rotação Para a Frente X /// Rotation Forward X=850
Cutscenes/Property/RotForwardY,Rotação Para a Frente Y /// Rotation Forward Y=851
Cutscenes/Property/RotForwardZ,Rotação Para a Frente Z /// Rotation Forward Z=852
Cutscenes/Property/RotUpX,Rotação Para Cima X /// Rotation Up X=853
Cutscenes/Property/RotUpY,Rotação Para Cima Y /// Rotation Up Y=854
Cutscenes/Property/RotUpZ,Rotação Para Cima Z /// Rotation Up Z=855
Cutscenes/Property/Rotation,Rotação /// Rotation=856
Cutscenes/Property/RotationX,Rotação X /// Rotation X=857
Cutscenes/Property/RotationY,Rotação Y /// Rotation Y=858
Cutscenes/Property/RotationZ,Rotação Z (Orientação) /// Rotation Z (Facing)=859
Cutscenes/Property/ScaleX,Escala X /// Scale X=860
Cutscenes/Property/ScaleY,Escala Y /// Scale Y=861
Cutscenes/Property/ScaleZ,Escala Z /// Scale Z=862
Cutscenes/Property/ShadowBox,Caixa de sombra /// Shadow Box=863
Cutscenes/Property/ShadowCasting,Projeção de Sombra /// Shadow Casting=864
Cutscenes/Property/ShadowClip,Corte de sombra /// Shadow Clip=865
Cutscenes/Property/SkinOverride,Sobrescrever Visual /// Skin Override=866
Cutscenes/Property/SortIndex,Ordenar Índice /// Sort Index=867
Cutscenes/Property/SoundIndex,Variação /// Variation=868
Cutscenes/Property/SoundLink,Link de som /// Sound Link=869
Cutscenes/Property/SpeakerMix/BackLeft,Mixagem dos alto-falantes - Traseiro esquerdo /// Speaker Mix - Back Left=870
Cutscenes/Property/SpeakerMix/BackRight,Mixagem dos alto-falantes - Traseiro direito /// Speaker Mix - Back Right=871
Cutscenes/Property/SpeakerMix/Center,Mixagem dos alto-falantes - Centro /// Speaker Mix - Center=872
Cutscenes/Property/SpeakerMix/FrontLeft,Mixagem dos alto-falantes - Frontal Esquerdo /// Speaker Mix - Front Left=873
Cutscenes/Property/SpeakerMix/FrontRight,Mixagem dos alto-falantes - Frontal direito /// Speaker Mix - Front Right=874
Cutscenes/Property/SpeakerMix/LFE,Mixagem dos alto-falantes - LFE /// Speaker Mix - LFE=875
Cutscenes/Property/SpeakerMix/SideLeft,Mixagem dos alto-falantes - Lateral esquerdo /// Speaker Mix - Side Left=876
Cutscenes/Property/SpeakerMix/SideRight,Mixagem dos alto-falantes - Lateral direito /// Speaker Mix - Side Right=877
Cutscenes/Property/SpeakerTag,Tag do Alto-falante /// Speaker Tag=878
Cutscenes/Property/Specular,Especular /// Specular=879
Cutscenes/Property/SpecularColorB,Cor - Especular - Azul /// Color - Specular - Blue=880
Cutscenes/Property/SpecularColorG,Cor - Especular - Verde /// Color - Specular - Green=881
Cutscenes/Property/SpecularColorMultiplier,Multiplicador de Cor - Especular /// Color Multiplier - Specular=882
Cutscenes/Property/SpecularColorR,Cor - Especular - Vermelha /// Color - Specular - Red=883
Cutscenes/Property/Start,Tempo de início /// Start Time=884
Cutscenes/Property/StartLinkAttachToPoint,Elo Inicial Para o Ponto /// Start Link To Point=885
Cutscenes/Property/StartLinkDistance,Elo Inicial Distância /// Start Link Distance=886
Cutscenes/Property/StartLinkID,Ligação Inicial ao GUID /// Start Linked To GUID=887
Cutscenes/Property/StartMultiplierB,Multiplicador Inicial - Azul /// Start Multiplier - Blue=888
Cutscenes/Property/StartMultiplierG,Multiplicador Inicial - Verde /// Start Multiplier - Green=889
Cutscenes/Property/StartMultiplierR,Multiplicador Inicial - Vermelho /// Start Multiplier - Red=890
Cutscenes/Property/StartOffset,Deslocamento Inicial /// Start Offset=891
Cutscenes/Property/StrobeFalloff,Declínio do Estroboscópio /// Strobe Falloff=892
Cutscenes/Property/StrobeHalfHeight,Estroboscópio Meia Altura /// Strobe Halfheight=893
Cutscenes/Property/TargetPositionX,Posição do Alvo X /// Target Position X=894
Cutscenes/Property/TargetPositionY,Posição do Alvo Y /// Target Position Y=895
Cutscenes/Property/TargetPositionZ,Posição do Alvo Z /// Target Position Z=896
Cutscenes/Property/TeamColorDiffuseBlue,Difusa - Azul /// Diffuse - Blue=897
Cutscenes/Property/TeamColorDiffuseGreen,Difusa - Verde /// Diffuse - Green=898
Cutscenes/Property/TeamColorDiffuseRed,Difusa - Vermelha /// Diffuse - Red=899
Cutscenes/Property/TeamColorEmissiveBlue,Emissiva - Azul /// Emissive - Blue=900
Cutscenes/Property/TeamColorEmissiveGreen,Emissiva - Verde /// Emissive - Green=901
Cutscenes/Property/TeamColorEmissiveRed,Emissiva - Vermelha /// Emissive - Red=902
Cutscenes/Property/Text,Texto /// Text=903
Cutscenes/Property/TextureQuality,Qualidade da textura /// Texture Quality=904
Cutscenes/Property/Time,Tempo /// Time=905
Cutscenes/Property/TimeScale,Escala de tempo /// Time Scale=906
Cutscenes/Property/TintColorBlue,Tonalidade de cor - Azul /// Tint Color - Blue=907
Cutscenes/Property/TintColorGreen,Tonalidade de cor - Verde /// Tint Color - Green=908
Cutscenes/Property/TintColorRed,Tonalidade de cor - Vermelho /// Tint Color - Red=909
Cutscenes/Property/Type,Tipo /// Type=910
Cutscenes/Property/UnfadedAmount,Quantidade - Reaparecido /// Amount - Unfaded=911
Cutscenes/Property/UnitLink,Link de unidade /// Unit Link=912
Cutscenes/Property/UseAnimMovespeed,Usar Velocidade de Movimento de Animação /// Use Anim Movespeed=913
Cutscenes/Property/UseGUID,UsarGUID /// UseGUID=914
Cutscenes/Property/UseSceneRotation,Usar rotação de cena /// Use Scene Rotation=915
Cutscenes/Property/Value,Valor /// Value=916
Cutscenes/Property/Variant,Variante /// Variant=917
Cutscenes/Property/Variation,Variação /// Variation=918
Cutscenes/Property/VerticalFOV,FOV Vertical /// Vertical FOV=919
Cutscenes/Property/Visible,Visível /// Visible=920
Cutscenes/Property/Volume,Volume /// Volume=921
Cutscenes/Property/VolumeAbsolute,Volume absoluto /// Absolute Volume=922
Cutscenes/Property/WaitForResources,Aguardar Recursos /// Wait for Resources=923
Cutscenes/Property/Walk,Andar /// Walk=924
Cutscenes/Property/Weight,Peso /// Weight=925
Cutscenes/Property/Yaw,Desvio /// Yaw=926
Cutscenes/Property/onlyPlayIfLocal,Só jogar partidas regionais /// Only Play If Local=927
Cutscenes/Validation/VariationClamped,Variação %1 limitada ao máximo para modelo "%2" (contagem de variação é %3) /// Variation %1 clamped to the maximum for model '%2' (variation count is %3)=928
Cutscenes/Validation/VariationNotAllowed,Variação %1 não existe em modelo "%2" (contagem de variação é %3) /// Variation %1 does not exist in model '%2' (variation count is %3)=929
Cutscenes/Value/Cloaking/Ally,Aliado /// Ally=930
Cutscenes/Value/Cloaking/Detected,Detectado /// Detected=931
Cutscenes/Value/Cloaking/Enemy,Inimigo /// Enemy=932
Cutscenes/Value/Cloaking/None,Nenhum /// None=933
Cutscenes/Value/Default,Padrão /// Default=934
Cutscenes/Value/Disabled,Desativado /// Disabled=935
Cutscenes/Value/Enabled,Ativado /// Enabled=936
Cutscenes/Value/False,Falso /// False=937
Cutscenes/Value/FogVisibility/Dimmed,Apagado /// Dimmed=938
Cutscenes/Value/FogVisibility/Hidden,Oculto /// Hidden=939
Cutscenes/Value/FogVisibility/Snapshot,Foto instantânea /// Snapshot=940
Cutscenes/Value/FogVisibility/Visible,Visível /// Visible=941
Cutscenes/Value/HDROperator/Exponential,Exponencial /// Exponential=942
Cutscenes/Value/HDROperator/Filmic,Filmic /// Filmic=943
Cutscenes/Value/HDROperator/Linear,Linear /// Linear=944
Cutscenes/Value/HDROperator/Logarithmic,Logarítmico /// Logarithmic=945
Cutscenes/Value/HDROperator/Reinhard,Reinhard /// Reinhard=946
Cutscenes/Value/Hidden,Oculto /// Hidden=947
Cutscenes/Value/LightLevel/Extreme,Extremo /// Extreme=948
Cutscenes/Value/LightLevel/High,Alto /// High=949
Cutscenes/Value/LightLevel/Low,Baixo /// Low=950
Cutscenes/Value/LightLevel/Medium,Médio /// Medium=951
Cutscenes/Value/LightLevel/None,Nenhum /// None=952
Cutscenes/Value/LightLevel/Ultra,Ultra /// Ultra=953
Cutscenes/Value/ModelMaterialType/Glaze,Cobertura /// Glaze=954
Cutscenes/Value/ModelMaterialType/Replacement,Substituição /// Replacement=955
Cutscenes/Value/No,Não /// No=956
Cutscenes/Value/None,Nenhum /// None=957
Cutscenes/Value/Off,Desligado /// Off=958
Cutscenes/Value/On,Ligado /// On=959
Cutscenes/Value/Quality/Extreme,Extremo /// Extreme=960
Cutscenes/Value/Quality/High,Alto /// High=961
Cutscenes/Value/Quality/Low,Baixo /// Low=962
Cutscenes/Value/Quality/Medium,Médio /// Medium=963
Cutscenes/Value/Quality/Ultra,Ultra /// Ultra=964
Cutscenes/Value/SoundMode/2D,2D /// 2D=965
Cutscenes/Value/SoundMode/3DHead,3DCabeça /// 3DHead=966
Cutscenes/Value/SoundMode/3DWorld,3DMundo /// 3DWorld=967
Cutscenes/Value/TangentType/Auto,Automático /// Auto=968
Cutscenes/Value/TangentType/Custom,Personalizado /// Custom=969
Cutscenes/Value/TangentType/Fast,Rápido /// Fast=970
