AUTHENTICATION_BETA_REGION,Beta=0
UI/HelpControl_BlockCommunication_Name,Kommunikation blockieren (/blockieren) /// Block Communication (/block)=5756
UI/HelpControl_CameraLock_Description,Should we have this? /// Should we have this?=5757
UI/HelpControl_CameraLock_Name,Feste Kamera (TBD) /// Toggle Camera Lock (TBD)=5758
UI/HelpControl_CenterCamera_Description,Positioniert die Kamera so, dass sich der Held in der Bildmitte befindet.=5759
UI/HelpControl_CenterCamera_Name,Kamera auf Helden zentrieren (Leertaste)=5760
UI/HelpControl_CycleRecipients_Description,Nachdem Sie den Chat geöffnet haben, drücken Sie die Tabulatortaste, um durch eine Liste der Empfänger zu gehen. /// After initiating chat, press tab to cycle through recipients.=5761
UI/HelpControl_CycleRecipients_Name,Empfängerliste durchgehen <s val="@@HelpControlsPanelHeaderHighlight">(Enter, dann Tab)</s> /// Cycle Recipients <s val="@@HelpControlsPanelHeaderHighlight">(Enter, then Tab)</s>=5762
UI/HelpControl_Hearthstone_Description,Bringt den Helden zurück an den Startort.=5763
UI/HelpControl_Hearthstone_Name,Ruhestein (B)=5764
UI/HelpControl_InitiateChat_Description,Öffnet die Chatleiste. In einem Spiel mit Verbündeten sind Ihre Verbündeten standardmäßig als Empfänger eingestellt. Andernfalls senden Sie standardmäßig an alle Spieler. Nachdem Sie die Nachricht eingetippt haben, drücken Sie Enter, um sie abzusenden. Um die Nachricht abzubrechen, drücken Sie Escape. /// Opens the chat bar. In a game with allied players, the default chat recipients are your allies. Otherwise, the default recipients will be all players. After typing a message, press enter to send it. To cancel a message, press escape.=5765
UI/HelpControl_InitiateChat_Name,Chat öffnen <s val="@@HelpControlsPanelHeaderHighlight">(Enter)</s> /// Initiate Chat <s val="@@HelpControlsPanelHeaderHighlight">(Enter)</s>=5766
UI/HelpControl_Mount_Description,Steigt auf, um schneller voranzukommen. Um abzusitzen, kann man Gegner angreifen oder Y drücken. Wenn der Held beim Reiten getroffen wird, sitzt er automatisch ab.=5767
UI/HelpControl_Mount_Name,Aufsitzen (Y) /// Mount (Z)=5768
UI/HelpControl_MoveCamera_Description,Scrollt auf der Karte, indem die Maus zum Bildschirmrand bewegt wird, mittels gedrückter mittlerer Maustaste und Bewegung der Maus oder mittels der Pfeiltasten.=5769
UI/HelpControl_MoveCamera_Name,Kamera bewegen (Mauszeiger an den Bildschirmrand bewegen oder mittlere Maustaste drücken oder Pfeiltasten benutzen)=5770
UI/HelpControl_Move_Description,Befiehlt ausgewählten Einheiten, sich zum Zielort zu begeben, ohne Gegner auf dem Weg anzugreifen.<n/>Hinweis: Dieser Befehl wird am besten für den Rückzug benutzt. /// Orders selected units to move to the targeted area without engaging enemies along the way.<n/>Note: This command is best used to retreat=5771
UI/HelpControl_Move_Name,Bewegen <s val="@@HelpControlsPanelHeaderHighlight">(Rechtsklick auf den Boden)</s> /// Move <s val="@@HelpControlsPanelHeaderHighlight">(Right-click on ground)</s>=5772
UI/HelpControl_PartyChat_Description,Erstellt eine Chatnachricht, die nur von Ihren Gruppenmitgliedern gesehen werden kann. /// Initiates a chat that can be viewed only by members of your party.=5773
UI/HelpControl_PartyChat_Name,Gruppenchat <s val="@@HelpControlsPanelHeaderHighlight">(/p)</s> /// Party Chat <s val="@@HelpControlsPanelHeaderHighlight">(/p)</s>=5774
UI/HelpControl_Ping_Description,Zeigt für Verbündete auf der Minikarte ein Signal an und spielt einen Signalton ab. /// Displays a visual indicator on the minimap and plays an audio tone to allies.=5775
UI/HelpControl_Ping_Name,Ping <s val="@@HelpControlsPanelHeaderHighlight">(Alt + G, dann Linksklick auf die Minikarte oder auf die Karte)</s> /// Ping <s val="@@HelpControlsPanelHeaderHighlight">(Alt + G, then Left-click ground or minimap)</s>=5776
UI/HelpControl_QueuingCommands_Description,Erteilt eine Serie von Befehlen, die nacheinander ausgeführt werden. <n/>Beispiel: Umschalt-Taste drücken und halten, Y zum Aufsitzen drücken, Rechtsklick auf den Boden, Umschalt-Taste loslassen. Der Held begibt sich dadurch sofort nach dem Aufsitzen an den angegebenen Ort.=5777
UI/HelpControl_QueuingCommands_Name,Befehle einreihen (Umschalt + <mehrere Befehle>)=5778
UI/HelpControl_Reply_Description,Antwortet auf die letzte empfangene Blizzard-Nachricht.=5779
UI/HelpControl_Reply_Name,Antworten <s val="@@HelpControlsPanelHeaderHighlight">(/r)</s> /// Reply <s val="@@HelpControlsPanelHeaderHighlight">(/r)</s>=5780
UI/HelpControl_Scoreboard_Description,Zeigt die Punkteübersicht an.=5781
UI/HelpControl_Scoreboard_Name,Punkteübersicht einsehen (Tabulator-Taste gedrückt halten)=5782
UI/HelpControl_StopChanneling_Description,Beendet das Kanalisieren einer Fähigkeit.=5783
UI/HelpControl_StopChanneling_Name,Kanalisieren einstellen (Escape oder Rechtsklick)=5784
UI/HelpControl_Stop_Description,Befiehlt den Einheiten, alle Befehle abzubrechen und die Bewegung zu stoppen. /// Orders your units to cancel all commands and stop moving=5785
UI/HelpControl_Stop_Name,Stopp <s val="@@HelpControlsPanelHeaderHighlight">(S)</s> /// Stop <s val="@@HelpControlsPanelHeaderHighlight">(S)</s>=5786
UI/HelpControl_Talents_Description,Zeigt die Statistiken des eigenen Helden sowie seine Talente an.=5787
UI/HelpControl_Talents_Name,Heldenstatistiken und Talente anzeigen (N)=5788
UI/HelpControlsPanel_Pulldown_Basic,EINFACHE STEUERUNG /// BASIC CONTROLS=5789
UI/HelpControlsPanel_Pulldown_Full,KOMPLETTE STEUERUNG=5790
UI/HelpGameMechanic_BruiserMinions_Description,<ul indent="2" text="•"><li>[ph]Super strong minions</li><li>[ph]Spawns in the lane where the fortification closest to the Palace is destroyed.</li></ul>=5791
UI/HelpGameMechanic_BruiserMinions_Name,Frontbrecher /// Bruiser Minions=5792
UI/HelpGameMechanic_Bushes_Description,<ul indent="2" text="•"><li>Diese Sichtblockierungen verbergen alles, das sich darin oder dahinter befindet, von bodengebundenen Helden.</li><li>Bodengebundene Helden müssen sich innerhalb der Sichtblockierung befinden oder diese durchqueren, um auf die andere Seite blicken zu können.</li><li>Fliegende Helden sind davon nicht betroffen und können als Aufklärer fungieren, um Sicht auf die andere Seite zu gewähren.</li></ul> /// <ul indent="2" text="•"><li>These sight blockers hide whatever is in and behind them from heroes on the ground.</li><li>Heroes on the ground must stand inside or walk through sight blockers to see what is on the other side.</li><li>Flying heroes are not affected and can act as spotters to see into or through sight blockers.</li></ul>=5793
UI/HelpGameMechanic_Bushes_Name,Sicht einschränkende Hindernisse /// Line of Sight Blockers=5794
UI/HelpGameMechanic_Experience_Description,<ul indent="2" text="•"><li>Erfahrung wird gewährt, wenn sich ein Teammitglied in der Nähe befindet, wenn ein gegnerischer Diener oder Held stirbt oder gegnerische Befestigungsanlagen zerstört werden.</li><li>Die erhaltene Erfahrung wird mit dem gesamten Team geteilt.</li><li>Durch den Stufenaufstieg erhalten Helden weitere Talente und bessere Attribute.</li></ul> /// <ul indent="2" text="•"><li>Experience is earned when a teammate is close to an enemy minion when it dies, when an enemy hero dies, or when an enemy fortification is destroyed.</li><li>Experience earned is shared across the team.</li><li>Leveling up gives you talents and better hero stats.</li></ul>=5795
UI/HelpGameMechanic_Experience_Name,Erfahrung und Stufen des Teams /// Team Experience & Levels=5796
UI/HelpGameMechanic_FogofWar_Description,<ul indent="2" text="•"><li>Der Nebel des Krieges begrenzt die Sicht eines Teams auf den direkten Sichtbereich der Helden und Diener.</li></ul> /// <ul indent="2" text="•"><li>Fog of War limits a team's vision to what its members and minions can see.</li></ul>=5797
UI/HelpGameMechanic_FogofWar_Name,Nebel des Krieges /// Fog of War=5798
UI/HelpGameMechanic_Gates_Description,<ul indent="2" text="•"><li>Tore können von Verbündeten durchquert werden, jedoch nicht von Gegnern.</li><li>Tore können angegriffen und zerstört werden.</li></ul> /// <ul indent="2" text="•"><li>Allies can pass through but enemies cannot.</li><li>Attack gates to destroy them.</li></ul>=5799
UI/HelpGameMechanic_Gates_Name,Tore /// Gates=5800
UI/HelpGameMechanic_HealthGlobes_Description,<ul indent="2" text="•"><li>Diese Kugeln entstehen beim Tod bestimmter gegnerischer Diener.</li><li>Nach dem Aufsammeln werden Trefferpunkte und Mana regeneriert.</li><li>Jeder Held profitiert vom vollen Wert der Kugel, wenn sie aufgesammelt wird.</li></ul>=5801
UI/HelpGameMechanic_HealthGlobes_Name,Regenerationskugeln /// Regeneration Globes=5802
UI/HelpGameMechanic_MercenaryCamps_Description,<ul indent="2" text="•"><li>[ph]Defeat these camps and they will fight for you or drop map mechanic stuff</li></ul>=5803
UI/HelpGameMechanic_MercenaryCamps_Name,Söldnerlager /// Mercenary Camps=5804
UI/HelpGameMechanic_Moonwells_Description,<ul indent="2" text="•"><li>Right-click a friendly moonwell to regain health and mana.</li><li>[ph]Wait to use it again.</li></ul>=5805
UI/HelpGameMechanic_Moonwells_Name,Heilbrunnen /// Healing Fountains=5806
UI/HelpGameMechanic_TowerAmmunition_Description,<ul indent="2" text="•"><li>Türme visieren immer zuerst Diener an, bevor sie auf Helden übergehen.</li><li>Einige Türme verfügen nur über einen begrenzten Munitionsvorrat und stellen das Feuer ein, wenn ihnen die Munition ausgeht.</li><li>Die Munition füllt sich mit der Zeit von selbst wieder auf.</li></ul> /// <ul indent="2" text="•"><li>Towers always target minions first and then heroes.</li><li>Some towers have limited ammunition and will stop firing when the ammunition is used up.</li><li>Ammunition replenishes itself over time.</li></ul>=5807
UI/HelpGameMechanic_TowerAmmunition_Name,Türme /// Towers=5808
UI/HelpGameMechanic_VisionTowers_Description,<ul indent="2" text="•"><li>Diese Türme gewähren Sicht auf einen großen Bereich, wenn sie von einem Helden erobert wurden.</li><li>Wenn sich ein gegnerischer Held nähert, gilt der Turm als umkämpft und gewährt keine Sicht mehr, bis ihn wieder nur ein Team allein kontrolliert.</li></ul> /// <ul indent="2" text="•"><li>These towers provide a large sight radius when secured by a hero</li><li>If an enemy hero approaches, the tower becomes contested and will not provide vision until it is under a single team's control again.</li></ul>=5809
UI/HelpGameMechanic_VisionTowers_Name,Beobachtungspunkte=5810
UI/HelpMenuDialogGeneral,ALLGEMEIN /// GENERAL=5811
UI/HelpMenuDialogNavButton_Controls,Steuerung /// Controls=5812
UI/HelpMenuDialogNavButton_GameMechanics,Spielmechaniken /// Game Mechanics=5813
UI/HelpMenuDialogNavButton_Welcome,Willkommen /// Welcome=5814
UI/HelpMenuDialogTips_Control,Tipps /// Tips=5815
UI/HelpMenuDialogTitle,HILFE /// HELP=5816
UI/HelpMenuDialogTutorials_Control,Tutorials /// Tutorials=5817
UI/HelpPanel,<h/>Hilfe /// <h/>Help=5818
UI/HelpReturnPanel_Options,OPTIONEN /// GO TO OPTIONS=5819
UI/HelpReturnPanel_Options_Hotkey,=5820
UI/HelpReturnPanel_Text,<s val="HelpReturnPanelHeader">Neue Optionen</s><n/>Untenstehend sehen Sie neue Einstellungen, die Sie jetzt im Optionsmenü finden.<n/>Einfaches Befehlsfeld: Verändert das Befehlsfeld, um wichtige Befehle hervorzuheben.<n/> Auswahl gegnerischer Einheiten: Ermöglicht die Auswahl gegnerischer sowie neutraler Einheiten.<n/>Erfahrungspunkte anzeigen: Zeigt erhaltene Erfahrungspunkte über den Einheiten an.<n/> Startsammelpunkt für Arbeiter: Anfängliche Arbeiter beginnen sofort mit dem Mineralienabbau. <n/><n/><s val="HelpReturnPanelHeader">Weitere Änderungen</s><n/>Untenstehend sehen Sie eine Liste von Schaltflächen, die hinzugefügt oder geändert wurden.<n/><n/>Eine Schaltfläche zur Auswahl aller Armeeeinheiten wurde über der Minikarte hinzugefügt.<n/>Die Schaltflächen "Menü" und "Hilfe" befinden sich jetzt über dem Befehlsfeld.<n/>Die Schaltflächen "Erfolge" und "Nachrichtenlog" befinden sich jetzt im Menü.=5821
UI/HelpReturnPanel_Text_1,Das Befehlsfeld hebt wichtige Befehle hervor. /// Command card now emphasizes key commands=5822
UI/HelpReturnPanel_Text_3,Erlangte Erfahrungspunkte werden über Einheiten angezeigt. /// Experience points gained are displayed over units=5823
UI/HelpReturnPanel_Text_4,Anfangsarbeiter beginnen automatisch mit dem Abbau von Mineralien. /// Starting workers automatically gather materials=5824
UI/HelpReturnPanel_Text_5,Und mehr ... /// And more...=5825
UI/HelpReturnPanel_Text_6,Wählen Sie Ihre Armeeeinheiten mittels der Schaltfläche über der Minikarte aus. /// Select your army using the Army button above the minimap=5826
UI/HelpReturnPanel_Text_7,Die Schaltflächen für das Menü und die Hilfe befinden sich jetzt über dem Befehlsfeld. /// Menu and Help are now above the command card=5827
UI/HelpReturnPanel_Text_8,Die Schaltflächen für Erfolge und das Nachrichtenlog befinden sich jetzt im Menü. /// Achievements and Message Log are now in Menu=5828
UI/HelpReturnPanel_Text_9,Über das Optionsmenü können Sie Ihre Einstellungen ändern.=5829
UI/HelpReturnPanel_Text_NewOptions,NEUE STANDARDMÄSSIGE GAMEPLAY-OPTIONEN /// NEW DEFAULT GAMEPLAY OPTIONS=5830
UI/HelpReturnPanel_Text_OtherChanges,ANDERE ÄNDERUNGEN /// OTHER CHANGES=5831
UI/HelpWelcomePanel_FindFriendsHeader,GRUPPIERUNG BEITRETEN=5832
UI/HelpWelcomePanel_FindGroups,GRUPPIERUNG SUCHEN /// FIND GROUPS=5833
UI/HelpWelcomePanel_FindGroupsHeader,GRUPPIERUNG BEITRETEN /// JOIN A GROUP=5834
UI/HelpWelcomePanel_GoToOnlineGuide,ZUM ONLINE-GUIDE /// GO TO ONLINE GUIDE=5835
UI/HelpWelcomePanel_GoToSupportSite,ZUR SUPPORT-SEITE /// GO TO SUPPORT SITE=5836
UI/HelpWelcomePanel_LearningToPlayHeader,SPIELANLEITUNG /// HOW TO PLAY=5837
UI/HelpWelcomePanel_LearningToPlayText,Erfahre mehr über das grundlegende Konzept des Spiels=5838
UI/HelpWelcomePanel_ManageAccount,ACCOUNTVERWALTUNG /// MANAGE ACCOUNT=5839
UI/HelpWelcomePanel_NeedHelpHeader,HILFE BENÖTIGT? /// NEED HELP?=5840
UI/HelpWelcomePanel_NeedHelpText,Finde Hilfe auf der Support-Seite von Heroes of the Storm=5841
UI/HelpWelcomePanel_PlayTutorial,TUTORIAL STARTEN /// LAUNCH TUTORIAL=5842
UI/HelpWelcomePanel_WelcomeHeader,WILLKOMMEN /// WELCOME=5843
UI/Help_Control,Hilfe /// Help=5844
UI/HeroBasicSlotFrame/EmptySlot,Leerer Platz /// Empty Slot=5845
UI/HeroBasicSlotFrame/HeroUserFormat,%hero% | %user% /// %hero% | %user%=5846
UI/HeroCharacterSheetPanel/AbilityPower,Bonusfähigkeitsstärke /// Bonus Ability Power=5847
UI/HeroCharacterSheetPanel/ArtifactEmpty,Leer=5848
UI/HeroCharacterSheetPanel/ArtifactLocked,Gesperrt=5849
UI/HeroCharacterSheetPanel/Artifacts,ARTEFAKTE=5850
UI/HeroCharacterSheetPanel/AttackDamage,Angriffsschaden /// Attack Damage=5851
UI/HeroCharacterSheetPanel/AttackRange,Angriffsreichweite /// Attack Range=5852
UI/HeroCharacterSheetPanel/AttackSpeed,Angriffe pro Sekunde /// Attacks Per Second=5853
UI/HeroCharacterSheetPanel/CooldownReduction,Abklingzeitreduktion /// Cooldown Reduction=5854
UI/HeroCharacterSheetPanel/EnergyPoints,Mana=5855
UI/HeroCharacterSheetPanel/EnergyRegen,Regeneration (pro Sekunde) /// Regen (per second)=5856
UI/HeroCharacterSheetPanel/HealthPoints,Trefferpunkte=5857
UI/HeroCharacterSheetPanel/HealthRegen,Regeneration (pro Sekunde) /// Regen (per second)=5858
UI/HeroCharacterSheetPanel/LifeSteal,Lebensentzug /// Life Steal=5859
UI/HeroCharacterSheetPanel/MoveSpeed,Bewegungsgeschwindigkeit /// Move Speed=5860
UI/HeroCharacterSheetPanel/StructureDamage,Belagerungsschaden=5861
UI/HeroCharacterSheetPanel/Title,GESAMTÜBERSICHT=5862
UI/HeroCustomizationConfirm,Schließen=5863
UI/HeroCustomizationKitButtonActivate,SCHWERPUNKT AKTIVIEREN /// ACTIVATE FOCUS=5864
UI/HeroCustomizationKitButtonName1,ZERSTÖRUNG /// DESTRUCTION=5865
UI/HeroCustomizationKitButtonName2,SCHWARMKÖNIGIN /// HIVE QUEEN=5866
UI/HeroCustomizationKitButtonName3,SCHWARMKÖNIGIN /// SWARM QUEEN=5867
UI/HeroCustomizationKitButtonName4,URKÖNIGIN /// PRIMAL QUEEN=5868
UI/HeroCustomizationKitSelect,SCHWERPUNKT WÄHLEN /// SELECT FOCUS=5869
UI/HeroCustomizationNewAbility,Neu! /// New!=5870
UI/HeroDraftPanel/Picking,Wählt ... /// Picking...=5871
UI/HeroDraftPanel/ReadyButton,BESTÄTIGEN /// LOCK IN=5872
UI/HeroDraftPanel/ReadyButtonWaiting,Warte ... /// Waiting...=5873
UI/HeroDraftPanel/ReadyButtonWaitingForEnemy,Warte auf Gegner ... /// Waiting for Enemy...=5874
UI/HeroDraftPanel/ReadyButtonWaitingForTeam,Warte auf Teamkameraden ... /// Waiting for Teammates...=5875
UI/HeroDraftPanel/Versus,VS. /// VS=5876
UI/HeroDraftTeamReadyPanel/EnemyTeam,Das gegnerische Team=5877
UI/HeroDraftTeamReadyPanel/PicksFirst,wählt zuerst /// Picks First=5878
UI/HeroDraftTeamReadyPanel/Team0,Blaues Team /// Blue Team=5879
UI/HeroDraftTeamReadyPanel/Team1,Rotes Team /// Red Team=5880
UI/HeroDraftTeamReadyPanel/TeamCount,%playerCount% Spieler können in dieser Runde noch wählen=5881
UI/HeroDraftTeamReadyPanel/YourTeam,Ihr Team=5882
UI/HeroExperienceTooltip,%currentXP% / %totalXP% EP /// %currentXP% / %totalXP% XP=5883
UI/HeroExperienceTooltip/MaxLevel,Maximale Heldenstufe erreicht=5884
UI/HeroIncapacitated,(Handlungsunfähig) /// (Incapacitated)=5885
UI/HeroInfoPanel/Abilities,Fähigkeiten /// Abilities=5886
UI/HeroInfoPanel/Backstory,Geschichte /// Backstory=5887
UI/HeroInfoPanel/HeroicAbilities,Heroisch /// Heroics=5888
UI/HeroInfoPanel/Passive,Eigenschaft /// Trait=5889
UI/HeroInfoPanel/SelectSkin,Skins und Skinvarianten /// Preview a Skin and Variation=5890
UI/HeroInfoPanel/SelectVariation,Skinvarianten /// Preview a Skin Variation=5891
UI/HeroInfoPanel/SkinFeature,Features <lang rule="declension" case="g">%skinName%</lang> /// %skinName% Features=5892
UI/HeroInfoPanel/VariationsLocked,(Zum Freischalten neue Heldenstufen erreichen) /// (Level Up Hero to Unlock)=5893
UI/HeroLevel,Stufe %level% /// Level %level%=5894
UI/HeroRevive,Wird in %1 wiederbelebt. /// Revives in %1.=5895
UI/HeroSelectPanel/Abilities,Fähigkeiten /// Abilities=5896
UI/HeroSelectPanel/Artifacts,Artefakte=5897
UI/HeroSelectPanel/ArtifactsPanelClearSlot,Zurücksetzen=5898
UI/HeroSelectPanel/ArtifactsPanelEmptySlot,Leer=5899
UI/HeroSelectPanel/ArtifactsPanelTitle,ARTEFAKT AUSWÄHLEN=5900
UI/HeroSelectPanel/ChangeHero,Held wechseln /// Change Hero=5901
UI/HeroSelectPanel/Computer,K.I. (%difficulty%) /// %difficulty% A.I.=5902
UI/HeroSelectPanel/EditButton,PLATZ BEARBEITEN=5903
UI/HeroSelectPanel/FilterAssassinButton,Assassine=5904
UI/HeroSelectPanel/FilterAssassinButton/Tooltip,Assassinen verursachen viel Schaden in kurzer Zeit, um gegnerische Helden auszuschalten.=5905
UI/HeroSelectPanel/FilterNoneButton,Alle Rollen /// All Roles=5906
UI/HeroSelectPanel/FilterNoneButton/Tooltip,Alle Rollen anzeigen=5907
UI/HeroSelectPanel/FilterSiegeButton,Spezialist=5908
UI/HeroSelectPanel/FilterSiegeButton/Tooltip,Spezialisten leisten einzigartige Beiträge.=5909
UI/HeroSelectPanel/FilterSupportButton,Unterstützung /// Support=5910
UI/HeroSelectPanel/FilterSupportButton/Tooltip,Unterstützungshelden helfen anderen Teammitgliedern, ihr volles Potenzial auszuschöpfen.=5911
UI/HeroSelectPanel/FilterTankButton,Krieger /// Warriors=5912
UI/HeroSelectPanel/FilterTankButton/Tooltip,Krieger verfügen über mehr Trefferpunkte und helfen dabei, den Verlauf der Schlacht zu steuern.=5913
UI/HeroSelectPanel/HostName,<IMG path="Assets\Textures\storm_heroselect_hostIcon.dds" height="18" width="18" alignment="absolutemiddle"/> <s val="HeroSelectPlayerNameHost">%playerName%</s>=5914
UI/HeroSelectPanel/Kick,Entfernen=5915
UI/HeroSelectPanel/MakeHost,Zum Host ernennen /// Make Host=5916
UI/HeroSelectPanel/MakeObserver,Zum Beobachter ernennen /// Make Observer=5917
UI/HeroSelectPanel/MakePlayer,Zum Spieler ernennen /// Make Player=5918
UI/HeroSelectPanel/MountTileListItemLabel,Reittier=5919
UI/HeroSelectPanel/Mounts,Reittiere /// Mounts=5920
UI/HeroSelectPanel/MountsPanelSelect,Wählen Sie ein Reittier=5921
UI/HeroSelectPanel/MountsPanelSelectVariation,Wählen Sie eine Variante=5922
UI/HeroSelectPanel/MountsPanelTitle,WÄHLEN SIE EIN REITTIER=5923
UI/HeroSelectPanel/PlayerName,<s val="HeroSelectPlayerName">%playerName%</s> /// <s val="HeroSelectPlayerName">%playerName%</s>=5924
UI/HeroSelectPanel/SelectMode,Wählen Sie einen Modus=5925
UI/HeroSelectPanel/SetDifficulty,Schwierigkeit: %difficulty% /// Set Difficulty: %difficulty%=5926
UI/HeroSelectPanel/SetReferee,Zum Schiedsrichter ernennen /// Set Referee=5927
UI/HeroSelectPanel/SetSpectator,Zum Zuschauer ernennen /// Set Spectator=5928
UI/HeroSelectPanel/SkinTileListItemLabel,Skin=5929
UI/HeroSelectPanel/Skins,Skins /// Skins=5930
UI/HeroSelectPanel/SkinsPanelSelect,Wählen Sie einen Skin=5931
UI/HeroSelectPanel/SkinsPanelSelectVariation,Wählen Sie eine Variante=5932
UI/HeroSelectPanel/SlotLocked,Gesperrt=5933
UI/HeroSelectPanel/Suggest,VORSCHLAGEN=5934
UI/HeroSelectPanel/SwapPlayer,Team mit %playerName% tauschen=5935
UI/HeroSelectPanel/SwapTeam,Team tauschen /// Swap Team=5936
UI/HeroSelectPanel/Talents,Talente /// Talents=5937
UI/HeroTalentButton/Locked,Gesperrt /// Locked=5938
UI/HeroTalentButton/Tooltip/Locked,Gesperrt=5939
UI/HeroTalentButton/Tooltip/PrerequisitesNotMet,Anforderungen nicht erfüllt /// Prerequisites not met.=5940
UI/HeroTalentPanel/Level,STUFE=5941
UI/HeroTalentPanel/TalentSelection,TALENTE=5942
UI/HeroUtil/Difficulty/Easy,Leicht /// Easy=5943
UI/HeroUtil/Difficulty/Hard,Schwer /// Hard=5944
UI/HeroUtil/Difficulty/Medium,Mittel /// Medium=5945
UI/HeroUtil/Difficulty/VeryHard,Extrem /// Very Hard=5946
UI/HeroUtil/EligibleQuests,Verfügbare Quests (%eligibleQuestsCount%/%allQuestsCount%) /// Eligible Quests (%eligibleQuestsCount%/%allQuestsCount%)=5947
UI/HeroUtil/InteractionDistance/Melee,Nahkampf /// Melee=5948
UI/HeroUtil/InteractionDistance/Ranged,Fernkampf /// Ranged=5949
UI/HeroUtil/RangeRole,%role% (%range%) /// %range% %role%=5950
UI/HeroUtil/RangeRoleDifficulty,%role% (%roleType%) | Schwierigkeit: %difficulty% /// %roleType% %role% | Difficulty: %difficulty%=5951
UI/HeroUtil/Role/Damage,Assassine /// Assassin=5952
UI/HeroUtil/Role/Damage_Plural,Assassine /// Assassins=5953
UI/HeroUtil/Role/Specialist,Spezialist /// Specialist=5954
UI/HeroUtil/Role/Specialist_Plural,Spezialist /// Specialists=5955
UI/HeroUtil/Role/Support,Unterstützung /// Support=5956
UI/HeroUtil/Role/Support_Plural,Unterstützung /// Support=5957
UI/HeroUtil/Role/Warrior,Krieger /// Warrior=5958
UI/HeroUtil/Role/Warrior_Plural,Krieger /// Warriors=5959
UI/HeroUtil/SortMethod/Alphabetical,Alphabetisch /// Alphabetical=5960
UI/HeroUtil/SortMethod/Cost,Preis: aufsteigend /// Price Ascending=5961
UI/HeroUtil/SortMethod/CostReverse,Preis: absteigend /// Price Descending=5962
UI/HeroUtil/SortMethod/Featured,Empfohlen=5963
UI/HeroUtil/SortMethod/Free,Kostenlos spielbar /// Free to Play=5964
UI/HeroUtil/SortMethod/Purchased,Erworben /// Purchased=5965
UI/HeroUtil/SortMethod/ReleaseDate,Neueste=5966
UI/HeroUtil/Universe/Diablo,Diablo=5967
UI/HeroUtil/Universe/Heroes,Heroes of the Storm=5968
UI/HeroUtil/Universe/Retro,Retro=5969
UI/HeroUtil/Universe/StarCraft,StarCraft=5970
UI/HeroUtil/Universe/Warcraft,Warcraft=5971
UI/HeroesMapName/BlackheartsBay,Schwarzherzbucht /// Blackheart's Bay=5972
UI/HeroesMapName/CursedHollow,Verfluchtes Tal /// Cursed Hollow=5973
UI/HeroesMapName/DragonShire,Drachengärten /// Dragon Shire=5974
UI/HeroesMapName/HauntedMines,Geisterminen /// Haunted Mines=5975
UI/Hide,Ausblenden /// Hide=5976
UI/HideTipNotifications,Tipp-Benachrichtigungen deaktivieren /// Disable Tip Notifications=5977
UI/HideTutorialNotifications,Tutorial-Nachrichten deaktivieren /// Disable Tutorial Notifications=5978
UI/HighSensitivity,Hoch /// High Sensitivity=5979
UI/HijackPlayerMessage,%userName% hat die Kontrolle über %playerName% übernommen /// %userName% took command of %playerName%.=5980
UI/HijackPlayerSameMessage,%userName% hat das Spiel fortgesetzt.=5981
UI/HijackRecoverMessage,Das Spiel wurde durch ein Replay wiederhergestellt /// The game has been recovered from a replay.=5982
UI/Hints,Tutorials /// Tutorials=5983
UI/History,Verlauf /// History=5984
UI/Hitpoints_Colon,Trefferpunkte:=5985
UI/Hotkey/Name/01/ChatDefault,Chat öffnen=5986
UI/Hotkey/Name/01/CommanderAbility0,Fähigkeit 1=5987
UI/Hotkey/Name/01/MenuAchievements,Erfolgsmenü /// Achievements Menu=5988
UI/Hotkey/Name/01/ObserveStatusBars,Trefferpunkteleisten EIN/AUS=5989
UI/Hotkey/Name/01/ReplayPlayPause,Abspielen/Pause /// Play/Pause=5990
UI/Hotkey/Name/01/UIEditorToggle,UI-Editor EIN/AUS /// Toggle UI Editor=5991
UI/Hotkey/Name/02/ChatSend,Senden /// Send=5992
UI/Hotkey/Name/02/CommanderAbility1,Fähigkeit 2=5993
UI/Hotkey/Name/02/MenuGame,Hauptmenü /// Main Menu=5994
UI/Hotkey/Name/02/ReplaySpeedInc,Replay-Geschwindigkeit erhöhen /// Increase Replay Speed=5995
UI/Hotkey/Name/02/UIEditorReload,UI neu laden /// Reload UI=5996
UI/Hotkey/Name/03/ChatCancel,Abbrechen /// Cancel=5997
UI/Hotkey/Name/03/CommanderAbility2,Fähigkeit 3=5998
UI/Hotkey/Name/03/MenuMessages,Nachrichtenlog /// Message Log Menu=5999
UI/Hotkey/Name/03/ReplaySpeedDec,Replay-Geschwindigkeit verringern /// Decrease Replay Speed=6000
UI/Hotkey/Name/03/UIEditorBreakToDebugger,Break to Debugger=6001
UI/Hotkey/Name/03/UIEditorSaveSelected,Ausgewählte Rahmen speichern /// Save Selected Frames=6002
UI/Hotkey/Name/04/ChatAll,Chat öffnen (alle)=6003
UI/Hotkey/Name/04/CommanderAbility3,Fähigkeit 4=6004
UI/Hotkey/Name/04/MenuHelp,Hilfemenü /// Help Menu=6005
UI/Hotkey/Name/04/ReplaySkipNext,Vorwärts springen /// Skip Forward=6006
UI/Hotkey/Name/04/UIEditorSaveAll,Alle Layouts speichern /// Save All Layouts=6007
UI/Hotkey/Name/05/ChatAllies,Chat öffnen (Verbündete)=6008
