Actor/Name/IndicatorMissilePhaseChange,Indicator Missile Phase Change=0
Actor/Name/ThorBarrageVariance,Thor Barrage Variance=2287
Actor/Name/ThorCargoSOpOffset,Thor Cargo SOp Offset=2288
Actor/Name/ThorFootprint,Thor Footprint=2289
Actor/Name/ThorLeftCheerSquib,Thor Left Cheer Squib=2290
Actor/Name/ThorLeftCheerSquibSound,Thor Left Cheer Squib Sound=2291
Actor/Name/ThorRightCheerSquib,Thor Right Cheer Squib=2292
Actor/Name/ThorRightCheerSquibSound,Thor Right Cheer Squib Sound=2293
Actor/Name/ThorTransit,Thor Transit=2294
Actor/Name/ThorTransitDeath,Thor Transit Death=2295
Actor/Name/ThornLizard,Thorn Lizard=2296
Actor/Name/ThunderLightning,Thunder & Lightning=2297
Actor/Name/TimeWarpImpactSound,Time Warp Impact Sound=2298
Actor/Name/TimeWarpLaunch,Time Warp Launch=2299
Actor/Name/TimeWarpLaunchSound,Time Warp Launch Sound=2300
Actor/Name/TimeWarpRange,Time Warp Range=2301
Actor/Name/TorrasqueACGluescreenDummy,Torrasque=2302
Actor/Name/TrafficSignal,Traffic Signal=2303
Actor/Name/TrafficSignalBroken,Traffic Signal (Broken)=2304
Actor/Name/TrainDockingDoor,Train Docking Door=2305
Actor/Name/TransfusionRange,Transfusion Range=2306
Actor/Name/TransfusionSound,Transfusion Sound=2307
Actor/Name/TransportMode,Transport Mode=2308
Actor/Name/TreeBurnQuery,Tree Burn Query=2309
Actor/Name/TrenchDiagonalDoodad,Trench Diagonal (Terrain Object)=2310
Actor/Name/TrenchHorizontalDoodad,Trench Horizontal (Terrain Object)=2311
Actor/Name/TrenchVerticalDoodad,Trench Vertical (Terrain Object)=2312
Actor/Name/TriggeredExplosion,Triggered Explosion=2313
Actor/Name/TriggeredExplosionSoundProtLargeLow,Triggered Explosion Sound Prot Large Low=2314
Actor/Name/TriggeredExplosionSoundProtSmallLow,Triggered Explosion Sound Prot Small Low=2315
Actor/Name/TriggeredExplosionSoundTerrLargeLow,Triggered Explosion Sound Terr Large Low=2316
Actor/Name/TriggeredExplosionSoundTerrSmallLow,Triggered Explosion Sound Terr Small Low=2317
Actor/Name/TriggeredExplosionSoundZergLargeLow,Triggered Explosion Sound Zerg Large Low=2318
Actor/Name/TriggeredExplosionSoundZergSmallLow,Triggered Explosion Sound Zerg Small Low=2319
Actor/Name/TruckDump,Truck - DumpTruck=2320
Actor/Name/TruckFlatbed,Truck - Flatbed=2321
Actor/Name/TruckFlatbedConstruction,Truck - Flatbed Construction=2322
Actor/Name/TruckSemi,Truck - Semi=2323
Actor/Name/TruckTanker,Truck - Tanker=2324
Actor/Name/TruckUtility,Truck - Utility=2325
Actor/Name/TrucksDestroyed,Truck - Destroyed=2326
Actor/Name/Tumbleweeds,Tumbleweeds=2327
Actor/Name/TwilightCouncil,Twilight Council=2328
Actor/Name/TwilightCouncilSplat,Twilight Council Splat=2329
Actor/Name/TyphonCurtain,Typhon=2330
Actor/Name/TyphonRock,Rock - Typhon=2331
Actor/Name/TyphonTree,Tree - Typhon=2332
Actor/Name/UI_MP_Tourny_NextRoundSound,=2333
Actor/Name/UlaanCurtain,Curtain (LOS BLOCKER) -=2334
Actor/Name/UlaanDestructibleBridge,Ulaan Destructible Bridge=2335
Actor/Name/UlaanTemple,Ulaan Temple=2336
Actor/Name/UlnarCurtain,Curtain (LOS BLOCKER) -=2337
Actor/Name/Ultralisk,Ultralisk=2338
Actor/Name/UltraliskACGluescreenDummy,Ultralisk=2339
Actor/Name/UltraliskAttack,Ultralisk Attack=2340
Actor/Name/UltraliskAttackImpact,Ultralisk Attack Impact=2341
Actor/Name/UltraliskBurrowedSplat,Ultralisk Burrowed Splat=2342
Actor/Name/UltraliskCavern,Ultralisk Cavern=2343
Actor/Name/UltraliskCavernBuild,Ultralisk Cavern Build=2344
Actor/Name/UltraliskHeadAttack,Ultralisk Head Attack=2345
Actor/Name/UnbuildableBricksDestructible,Unbuildable Bricks=2346
Actor/Name/UnbuildablePlatesDestructible,Unbuildable Plates=2347
Actor/Name/UnbuildableRocksDestructible,Unbuildable Rocks=2348
Actor/Name/UnitPointsTextAll,Unit Points Text All=2349
Actor/Name/UnitPointsTextKilled,Unit Points Text Killed=2350
Actor/Name/UnitPointsTextMade,Unit Points Text Made=2351
Actor/Name/UnitPointsTextMover,Unit Points Text Mover=2352
Actor/Name/UnitPointsTextTech,Unit Points Text Tech=2353
Actor/Name/UnloadDropAnim,Unload Drop Anim=2354
Actor/Name/UnloadFX,Unload =2355
Actor/Name/UnpoweredAnim,Unpowered Anim=2356
Actor/Name/UnpoweredVisualLow,Unpowered Visual Low=2357
Actor/Name/UpgradeToPlanetaryFortress,Upgrade To Planetary Fortress=2358
Actor/Name/UpgradeToSurveillance,Upgrade To Surveillance=2359
Actor/Name/UrsadakCalf,Ursadak Calf=2360
Actor/Name/UrsadakFemale,Ursadak Female=2361
Actor/Name/UrsadakFemaleExotic,Ursadak Female Exotic=2362
Actor/Name/UrsadakMale,Ursadak Male=2363
Actor/Name/UrsadakMaleExotic,Ursadak Male Exotic=2364
Actor/Name/UtilityBot,Utility Bot=2365
Actor/Name/ValhallaBaseDoorDoodad,Valhalla Base Door=2366
Actor/Name/ValhallaCabinet,Valhalla Cabinet=2367
Actor/Name/ValhallaCurtain,Curtain (LOS BLOCKER)=2368
Actor/Name/ValhallaGenerator,Valhalla Generator=2369
Actor/Name/ValhallaThorConstruction,Valhalla Thor Construction=2370
Actor/Name/ValhallaWindowLarge,Valhalla Window Large=2371
Actor/Name/VespeneGeyser,Vespene Geyser=2372
Actor/Name/VespeneGeyserAdditionFacing,Vespene Geyser Addition Facing=2373
Actor/Name/VespeneGeyserSplat,Vespene Geyser Splat=2374
Actor/Name/VespeneTank,Vespene Tank=2375
Actor/Name/VikingACGluescreenDummy,Viking=2376
Actor/Name/VikingAssault,Viking Assault=2377
Actor/Name/VikingAssaultAttack,Viking Assault Attack=2378
Actor/Name/VikingFighter,Viking Fighter=2379
Actor/Name/VikingFighterAttack,Viking Fighter Attack=2380
Actor/Name/VikingFighterAttackBase,Viking Fighter Attack Base=2381
Actor/Name/VikingFighterAttackMissile,Viking Fighter Attack Missile=2382
Actor/Name/Vines,Vines=2383
Actor/Name/VoidRay,Void Ray=2384
Actor/Name/VoidRayACGluescreenDummy,Phasengleiter=2385
Actor/Name/VoidRayAttack,Void Ray Attack=2386
Actor/Name/VoidRayAttackBeam,Void Ray Attack Beam=2387
Actor/Name/VoidRayChargeBase,Void Ray Charge Base=2388
Actor/Name/VoidRayChargeX01,Void Ray Charge X01=2389
Actor/Name/VoidRayChargeX02,Void Ray Charge X02=2390
Actor/Name/VoidRayChargeX03,Void Ray Charge X03=2391
Actor/Name/VoidRaySOpForwardLaunch,Void Ray SOp Forward Launch=2392
Actor/Name/VoidRayShakurasACGluescreenDummy,Phasengleiter=2393
Actor/Name/VoidRaySound1,Void Ray Sound 1=2394
Actor/Name/VoidRaySound2,Void Ray Sound 2=2395
Actor/Name/VoidRaySound3,Void Ray Sound 3=2396
Actor/Name/VoidRaySoundEnd,Void Ray Sound End=2397
Actor/Name/VoidRaySoundStart,Void Ray Sound Start=2398
Actor/Name/VoidRayWarpInStargate,Void Ray Warp In Stargate=2399
Actor/Name/VortexBirthSound,Vortex Birth Sound=2400
Actor/Name/VortexCursorSplat,Vortex Cursor Splat=2401
Actor/Name/VortexDeathSound,Vortex Death Sound=2402
Actor/Name/VortexLoopSound,Vortex Loop Sound=2403
Actor/Name/VortexModel,Vortex Model=2404
Actor/Name/VortexRange,Vortex Range=2405
Actor/Name/VultureACGluescreenDummy,Adler=2406
Actor/Name/WallDockingBay,Wall Docking Bay=2407
Actor/Name/WarpGate,Warp Gate=2408
Actor/Name/WarpGateWarpCast,Warp Gate Warp Cast=2409
Actor/Name/WarpPrism,Warp Prism=2410
Actor/Name/WarpPrismPhasing,Warp Prism Phasing=2411
Actor/Name/WarpPrismPhasingRotateTurret,Warp Prism Phasing Rotate Turret=2412
Actor/Name/WarpPrismPower,Warp Prism Power=2413
Actor/Name/WarpPrismPowerLow,Warp Prism Power Low=2414
Actor/Name/WarpPrismPowerVisual,Warp Prism Power Visual=2415
Actor/Name/WarpPrismPowerVisualLow,Warp Prism Power Visual Low=2416
Actor/Name/WarpPrismUnpoweredVisual,Warp Prism Unpowered Visual=2417
Actor/Name/WarpPrismUnpoweredVisualLow,Warp Prism Unpowered Visual Low=2418
Actor/Name/WarpTrainLoop,Warp Train Loop=2419
Actor/Name/WarpTrainModel,Warp Train Model=2420
Actor/Name/WarpTrainStart,Warp Train Start=2421
Actor/Name/WarpTrainStop,Warp Train Stop=2422
Actor/Name/WarpgateMorphToGateway,Warpgate Morph To Gateway=2423
Actor/Name/WaterRegion,Water Region=2424
Actor/Name/WaterSound,Water Sound=2425
Actor/Name/WaterTank,Water Tank=2426
Actor/Name/WaterTankTall,Water Tank Tall=2427
Actor/Name/Waterfall,Waterfall=2428
Actor/Name/WindEmitterBrownMedium,Wind Emitter Brown Medium=2429
Actor/Name/WindEmitterBrownSmall,Wind Emitter Brown Small=2430
Actor/Name/WindEmitterMedium,Wind Emitter Medium=2431
Actor/Name/WindRough,Wind Rough=2432
Actor/Name/WindTurbine,Wind Turbine=2433
Actor/Name/WindowBoards,Window Boards=2434
Actor/Name/WindyAsh,Windy Ash=2435
Actor/Name/WolfStatue,Wolf Statue (Unit)=2436
Actor/Name/WolfStatueDoodad,Wolf Statue (Doodad)=2437
Actor/Name/Worker_CloakFieldOff,Worker_CloakFieldOff=2438
Actor/Name/Worker_CloakFieldOn,Worker_CloakFieldOn=2439
Actor/Name/WormholeTransitEndSound,Wormhole Transit End Sound=2440
Actor/Name/WormholeTransitSound,Wormhole Transit Sound=2441
Actor/Name/WraithACGluescreenDummy,Raumjäger=2442
Actor/Name/WreckedBattlecruiser,Wrecked Battlecruiser=2443
Actor/Name/WreckedCargoTruck,Truck - Wrecked Cargo=2444
Actor/Name/WreckedCargoTruckCorpse,Wrecked Cargo Truck Corpse=2445
Actor/Name/WreckedJackal,Wrecked Jackal=2446
Actor/Name/WreckedMule,Wrecked Mule=2447
Actor/Name/WreckedNomad,Wrecked Nomad=2448
Actor/Name/WreckedSandbags,Wrecked Sand bags=2449
Actor/Name/WreckedVehicles,Wrecked Vehicle=2450
Actor/Name/XelNagaArtifactShrineDoodad,Xel'Naga Artifact Shrine=2451
Actor/Name/XelNagaCliffWallRuins,Xel'Naga Cliff Wall Ruins=2452
Actor/Name/XelNagaCliffWallSpires,Xel'Naga Cliff Wall Spires=2453
Actor/Name/XelNagaColumn,Xel'Naga Column=2454
Actor/Name/XelNagaDebris,Xel'Naga Debris=2455
Actor/Name/XelNagaDockingbay,Xel'Naga Dockingbay=2456
Actor/Name/XelNagaEngine,Xel'Naga Engine=2457
Actor/Name/XelNagaHalo,Xel'Naga Halo=2458
Actor/Name/XelNagaHullCliffWalls,Xel'Naga Hull Cliff Walls=2459
Actor/Name/XelNagaHullGirderBack,Xel'Naga Hull Girder Back=2460
Actor/Name/XelNagaHullGirderFront,Xel'Naga Hull Girder Front=2461
Actor/Name/XelNagaHullPlate,Xel'Naga Hull Plate=2462
Actor/Name/XelNagaHullReactorConduit,Xel'Naga Hull Reactor Conduit=2463
Actor/Name/XelNagaHullReactorSmall,Xel'Naga Hull Reactor Small=2464
Actor/Name/XelNagaHullWalls,Xel'Naga Hull Walls=2465
Actor/Name/XelNagaLargePlate,Xel'Naga Large Plate=2466
Actor/Name/XelNagaLargePlateAsteroidDamage,Xel'Naga Large Plate Asteroid Damage=2467
Actor/Name/XelNagaObelisk,Xel'Naga Obelisk=2468
Actor/Name/XelNagaObeliskBroken,Xel'Naga Obelisk Broken=2469
Actor/Name/XelNagaShrineDoodad,Xel'Naga Shrine=2470
Actor/Name/XelNagaTempleDirt,Xel'Naga Temple Dirt=2471
Actor/Name/XelNagaTornPlates,Xel'Naga Torn Plates=2472
Actor/Name/XelNagaTower,Xel Naga Tower=2473
Actor/Name/XelNagaTowerRange,Xel Naga Tower Range=2474
Actor/Name/XelNagaTowerSmall,Xel'Naga Tower Small=2475
Actor/Name/XelNagaTower_PowerDown,XelNagaTower_PowerDown=2476
Actor/Name/XelNagaTower_PowerUp,XelNagaTower_PowerUp=2477
Actor/Name/XelNagaTurret,Xel'Naga Turret=2478
Actor/Name/XilCreature,Xil Creature=2479
Actor/Name/XilCurtain,Curtain (LOS BLOCKER)=2480
Actor/Name/XilFoliage,Foliage - Xil -=2481
Actor/Name/XilFossils,Xil Fossils=2482
Actor/Name/XilSpire,Xil Spire=2483
Actor/Name/XilSpireLarge,Xil Spire Large=2484
Actor/Name/XilTree,Tree=2485
Actor/Name/YamatoRange,Yamato Range=2486
Actor/Name/Zealot,Zealot=2487
Actor/Name/ZealotACGluescreenDummy,Berserker=2488
Actor/Name/ZealotAiurACGluescreenDummy,Berserker=2489
Actor/Name/ZealotAttack,Zealot Attack=2490
Actor/Name/ZealotPurifierACGluescreenDummy,Vollstrecker=2491
Actor/Name/ZealotShakurasACGluescreenDummy,Zenturio=2492
Actor/Name/Zealot_Death,Zealot_Death=2493
Actor/Name/ZergBlood,Zerg Blood=2494
Actor/Name/ZergBloodLargeBuilding,Zerg Blood Large Building=2495
Actor/Name/ZergBloodMediumBuilding,Zerg Blood Medium Building=2496
Actor/Name/ZergBloodModel,Zerg Blood Model=2497
Actor/Name/ZergBloodSet,Zerg Blood Set=2498
Actor/Name/ZergBloodSetBleedHeavy,Zerg Blood Set Bleed Heavy=2499
Actor/Name/ZergBloodSetBleedProfusely,Zerg Blood Set Bleed Profusely=2500
Actor/Name/ZergBloodSetBleedSmall,Zerg Blood Set Bleed Small=2501
Actor/Name/ZergBloodSetBleedTinyHeavy,Zerg Blood Set Bleed Tiny Heavy=2502
Actor/Name/ZergBloodSetBleedTinyProfusely,Zerg Blood Set Bleed Tiny Profusely=2503
Actor/Name/ZergBloodSetBleedTinySmall,Zerg Blood Set Bleed Tiny Small=2504
Actor/Name/ZergBloodSetBleedTinyTransitionHeavy,Zerg Blood Set Bleed Tiny Transition Heavy=2505
Actor/Name/ZergBloodSetBleedTinyTransitionProfusely,Zerg Blood Set Bleed Tiny Transition Profusely=2506
Actor/Name/ZergBloodSetBleedTinyTransitionSmall,Zerg Blood Set Bleed Tiny Transition Small=2507
Actor/Name/ZergBloodSetBleedTransitionHeavy,Zerg Blood Set Bleed Transition Heavy=2508
Actor/Name/ZergBloodSetBleedTransitionProfusely,Zerg Blood Set Bleed Transition Profusely=2509
Actor/Name/ZergBloodSetBleedTransitionSmall,Zerg Blood Set Bleed Transition Small=2510
Actor/Name/ZergBloodSetTransition,Zerg Blood Set Transition=2511
Actor/Name/ZergBloodSmallBuilding,Zerg Blood Small Building=2512
Actor/Name/ZergBloodTinyBuilding,Zerg Blood Tiny Building=2513
Actor/Name/ZergBuilding,Zerg Building=2514
Actor/Name/ZergBuildingBloodHeavy,Zerg Building Blood Heavy=2515
Actor/Name/ZergBuildingBloodLight,Zerg Building Blood Light=2516
Actor/Name/ZergBuildingBloodProfuse,Zerg Building Blood Profuse=2517
Actor/Name/ZergBuildingBloodTinyHeavy,Zerg Building Blood Tiny Heavy=2518
Actor/Name/ZergBuildingBloodTinyLight,Zerg Building Blood Tiny Light=2519
Actor/Name/ZergBuildingBloodTinyProfuse,Zerg Building Blood Tiny Profuse=2520
Actor/Name/ZergBuildingBuild,Zerg Building Build=2521
Actor/Name/ZergBuildingFacing,Zerg Building Facing=2522
Actor/Name/ZergBuildingMorphCancel,Zerg Building Morph Cancel=2523
Actor/Name/ZergBuildingStopSound,Zerg Building Stop Sound=2524
Actor/Name/ZergBurrowLoopSound,Zerg Burrow Loop Sound=2525
Actor/Name/ZergBurrowMobileAnimMacro,Zerg Burrow Mobile Anim Macro=2526
Actor/Name/ZergBurrowStandardAnimMacro,Zerg Burrow Standard Anim Macro=2527
Actor/Name/ZergClanFlag,=2528
Actor/Name/ZergClanFlagForward,=2529
Actor/Name/ZergClanFlagForwardOffset,=2530
Actor/Name/ZergClanFlagRotation,=2531
Actor/Name/ZergCliffWeb,Zerg Cliff Web=2532
Actor/Name/ZergCliffWebLarge,Zerg Cliff Web Large=2533
Actor/Name/ZergConstruction,Zerg Construction Progress=2534
Actor/Name/ZergConstructionAttached,Zerg Construction Attached Progress=2535
Actor/Name/ZergConstructionSoundLevel2,Zerg Construction Sound Level 2=2536
Actor/Name/ZergConstructionSoundLevel4,Zerg Construction Sound Level 4=2537
Actor/Name/ZergCursorSplat,Zerg Cursor Splat=2538
Actor/Name/ZergHarvest,Zerg Harvest=2539
Actor/Name/ZergHatcheryToLair,Zerg Hatchery To Lair Progress=2540
Actor/Name/ZergLairToHive,Zerg Lair To Hive Progress=2541
Actor/Name/ZergLargeBurrowEffects,Zerg Large Burrow Effects=2542
Actor/Name/ZergMediumBurrowEffects,Zerg Medium Burrow Effects=2543
Actor/Name/ZergPlacementModelCreepTumor,Zerg Placement Model Creep Tumor=2544
Actor/Name/ZergPlayerTrophy,=2545
Actor/Name/ZergPlayerTrophyForward,=2546
Actor/Name/ZergPlayerTrophyForwardOffset,=2547
Actor/Name/ZergSmallBurrowEffects,Zerg Small Burrow Effects=2548
Actor/Name/ZergSpire,Char Spire=2549
Actor/Name/ZergSpireDead,Char Spire Dead=2550
Actor/Name/ZergSpireLarge,Char Spire Large=2551
Actor/Name/ZergThornSpire,Char Thorn Spire=2552
Actor/Name/Zerg_BuildingMorphEnd,Zerg_BuildingMorphEnd=2553
Actor/Name/Zerg_BuildingMorphStart,Zerg_Building Morph Start=2554
Actor/Name/ZergedCombs,Char Combs=2555
Actor/Name/Zergling,Zergling=2556
Actor/Name/ZerglingACGluescreenDummy,Zergling=2557
Actor/Name/ZerglingAttack,Zergling Attack=2558
Actor/Name/ZerglingAttackStart,Zergling Attack Start=2559
Actor/Name/ZerglingBurrowedSplat,Zergling Burrowed Splat=2560
Actor/Name/ZerglingKerriganACGluescreenDummy,Zergling=2561
Actor/Name/ZerglingZagaraACGluescreenDummy,Zergling=2562
Actor/Name/Zergling_Death,Zergling_Death=2563
Actor/Name/ZhakulDasCurtain,Zhakul Das=2564
Actor/Name/ZhakulDasFoliage,Foliage=2565
Actor/Name/ZhakulDasLibrary,Zhakul'Das Library=2566
Actor/Name/ZhakulDasLibraryDisk,Zhakul'Das Library Disk=2567
Actor/Name/ZhakulDasObelisk,Zhakul'Das Obelisk=2568
Actor/Name/ZhakulDasShrine,Zhakul'Das Shrine=2569
Actor/Name/ZhakulDasTree,Tree=2570
Actor/Name/ZhakulLibraryLarge,Zhakul'Das Library Large=2571
Actor/Name/ZukarGiantEel,Zukar Giant Eel=2572
Actor/Name/awrpSound,awrp Sound=2573
Actor/Name/nukeCursorSplat,Nuke Cursor Splat=2574
Actor/Name/nukeRange,Nuke Range=2575
Alert/EditorPrefix/DefensiveMatrixSpecializeComplete,Battlecruiser -=2576
Alert/EditorPrefix/MissilePodsSpecializeComplete,Battlecruiser -=2577
Alert/EditorPrefix/RebornComplete,Thor -=2578
Alert/EditorPrefix/YamatoSpecializeComplete,Battlecruiser -=2579
Alert/Name/AICommArmy,AICommArmy=2580
Alert/Name/AICommAssault,AICommAssault=2581
Alert/Name/AICommAttackAck,AICommAttackAck=2582
Alert/Name/AICommAttackAck_Protoss,AICommAttackAck_Protoss=2583
Alert/Name/AICommAttackAck_Terran,AICommAttackAck_Terran=2584
Alert/Name/AICommAttackAck_Zerg,AICommAttackAck_Zerg=2585
Alert/Name/AICommAttackFail,AICommAttackFail=2586
Alert/Name/AICommAttackFail_Protoss,AICommAttackFail_Protoss=2587
Alert/Name/AICommAttackFail_Terran,AICommAttackFail_Terran=2588
Alert/Name/AICommAttackFail_Zerg,AICommAttackFail_Zerg=2589
Alert/Name/AICommAutoAI,AICommAutoAI=2590
Alert/Name/AICommAutoAck,AICommAutoAck=2591
Alert/Name/AICommAutoAck_Protoss,AICommAutoAck_Protoss=2592
Alert/Name/AICommAutoAck_Terran,AICommAutoAck_Terran=2593
Alert/Name/AICommAutoAck_Zerg,AICommAutoAck_Zerg=2594
Alert/Name/AICommAutoDone,AICommAutoDone=2595
Alert/Name/AICommAutoDone_Protoss,AICommAutoDone_Protoss=2596
Alert/Name/AICommAutoDone_Terran,AICommAutoDone_Terran=2597
Alert/Name/AICommAutoDone_Zerg,AICommAutoDone_Zerg=2598
Alert/Name/AICommAutoRetry,AICommAutoRetry=2599
Alert/Name/AICommAutoRetry_Protoss,AICommAutoRetry_Protoss=2600
Alert/Name/AICommAutoRetry_Terran,AICommAutoRetry_Terran=2601
Alert/Name/AICommAutoRetry_Zerg,AICommAutoRetry_Zerg=2602
Alert/Name/AICommClaim,AICommClaim=2603
Alert/Name/AICommClaimAck,AICommClaimAck=2604
Alert/Name/AICommClaimAck_Protoss,AICommClaimAck_Protoss=2605
Alert/Name/AICommClaimAck_Terran,AICommClaimAck_Terran=2606
Alert/Name/AICommClaimAck_Zerg,AICommClaimAck_Zerg=2607
Alert/Name/AICommClaimEnd,AICommClaimEnd=2608
Alert/Name/AICommClaimEnd_Protoss,AICommClaimEnd_Protoss=2609
Alert/Name/AICommClaimEnd_Terran,AICommClaimEnd_Terran=2610
Alert/Name/AICommClaimEnd_Zerg,AICommClaimEnd_Zerg=2611
Alert/Name/AICommClaimFail,AICommClaimFail=2612
Alert/Name/AICommClaimFail_Protoss,AICommClaimFail_Protoss=2613
Alert/Name/AICommClaimFail_Terran,AICommClaimFail_Terran=2614
Alert/Name/AICommClaimFail_Zerg,AICommClaimFail_Zerg=2615
Alert/Name/AICommClaimRetry,AICommClaimRetry=2616
Alert/Name/AICommClaimRetry_Protoss,AICommClaimRetry_Protoss=2617
Alert/Name/AICommClaimRetry_Terran,AICommClaimRetry_Terran=2618
Alert/Name/AICommClaimRetry_Zerg,AICommClaimRetry_Zerg=2619
Alert/Name/AICommCustom,AICommCustom=2620
Alert/Name/AICommDefend,AICommDefend=2621
Alert/Name/AICommDefenseAck,AICommDefenseAck=2622
Alert/Name/AICommDefenseAck_Protoss,AICommDefenseAck_Protoss=2623
Alert/Name/AICommDefenseAck_Terran,AICommDefenseAck_Terran=2624
Alert/Name/AICommDefenseAck_Zerg,AICommDefenseAck_Zerg=2625
Alert/Name/AICommDefenseFail,AICommDefenseFail=2626
Alert/Name/AICommDefenseFail_Protoss,AICommDefenseFail_Protoss=2627
Alert/Name/AICommDefenseFail_Terran,AICommDefenseFail_Terran=2628
Alert/Name/AICommDefenseFail_Zerg,AICommDefenseFail_Zerg=2629
Alert/Name/AICommDetect,AICommDetect=2630
Alert/Name/AICommDetectAck,AICommDetectAck=2631
Alert/Name/AICommDetectAck_Protoss,AICommDetectAck_Protoss=2632
Alert/Name/AICommDetectAck_Terran,AICommDetectAck_Terran=2633
Alert/Name/AICommDetectAck_Zerg,AICommDetectAck_Zerg=2634
Alert/Name/AICommDetectEnd,AICommDetectEnd=2635
Alert/Name/AICommDetectEnd_Protoss,AICommDetectEnd_Protoss=2636
Alert/Name/AICommDetectEnd_Terran,AICommDetectEnd_Terran=2637
Alert/Name/AICommDetectEnd_Zerg,AICommDetectEnd_Zerg=2638
Alert/Name/AICommDetectFail,AICommDetectFail=2639
Alert/Name/AICommDetectFail_Protoss,AICommDetectFail_Protoss=2640
Alert/Name/AICommDetectFail_Terran,AICommDetectFail_Terran=2641
Alert/Name/AICommDetectFail_Zerg,AICommDetectFail_Zerg=2642
Alert/Name/AICommDetectRetry,AICommDetectRetry=2643
Alert/Name/AICommDetectRetry_Protoss,AICommDetectRetry_Protoss=2644
Alert/Name/AICommDetectRetry_Terran,AICommDetectRetry_Terran=2645
Alert/Name/AICommDetectRetry_Zerg,AICommDetectRetry_Zerg=2646
Alert/Name/AICommEarlyBuildingFoundProtoss,AICommEarlyBuildingFoundProtoss=2647
Alert/Name/AICommEarlyBuildingFoundProtoss_Protoss,AICommEarlyBuildingFoundProtoss_Protoss=2648
Alert/Name/AICommEarlyBuildingFoundProtoss_Terran,AICommEarlyBuildingFoundProtoss_Terran=2649
Alert/Name/AICommEarlyBuildingFoundProtoss_Zerg,AICommEarlyBuildingFoundProtoss_Zerg=2650
Alert/Name/AICommEarlyBuildingFoundTerran,AICommEarlyBuildingFoundTerran=2651
Alert/Name/AICommEarlyBuildingFoundTerran_Protoss,AICommEarlyBuildingFoundTerran_Protoss=2652
Alert/Name/AICommEarlyBuildingFoundTerran_Terran,AICommEarlyBuildingFoundTerran_Terran=2653
Alert/Name/AICommEarlyBuildingFoundTerran_Zerg,AICommEarlyBuildingFoundTerran_Zerg=2654
Alert/Name/AICommEarlyBuildingFoundUnknown,AICommEarlyBuildingFoundUnknown=2655
Alert/Name/AICommEarlyBuildingFoundUnknown_Protoss,AICommEarlyBuildingFoundUnknown_Protoss=2656
Alert/Name/AICommEarlyBuildingFoundUnknown_Terran,AICommEarlyBuildingFoundUnknown_Terran=2657
Alert/Name/AICommEarlyBuildingFoundUnknown_Zerg,AICommEarlyBuildingFoundUnknown_Zerg=2658
Alert/Name/AICommEarlyBuildingFoundZerg,AICommEarlyBuildingFoundZerg=2659
Alert/Name/AICommEarlyBuildingFoundZerg_Protoss,AICommEarlyBuildingFoundZerg_Protoss=2660
Alert/Name/AICommEarlyBuildingFoundZerg_Terran,AICommEarlyBuildingFoundZerg_Terran=2661
Alert/Name/AICommEarlyBuildingFoundZerg_Zerg,AICommEarlyBuildingFoundZerg_Zerg=2662
Alert/Name/AICommEarlyForce,AICommEarlyForce=2663
Alert/Name/AICommEarlyForce_Protoss,AICommEarlyForce_Protoss=2664
Alert/Name/AICommEarlyForce_Terran,AICommEarlyForce_Terran=2665
Alert/Name/AICommEarlyForce_Zerg,AICommEarlyForce_Zerg=2666
Alert/Name/AICommEarlyProxy,AICommEarlyProxy=2667
Alert/Name/AICommEarlyProxy_Protoss,AICommEarlyProxy_Protoss=2668
Alert/Name/AICommEarlyProxy_Terran,AICommEarlyProxy_Terran=2669
Alert/Name/AICommEarlyProxy_Zerg,AICommEarlyProxy_Zerg=2670
Alert/Name/AICommEarlyRaceFoundProtoss,AICommEarlyRaceFoundProtoss=2671
Alert/Name/AICommEarlyRaceFoundProtoss_Protoss,AICommEarlyRaceFoundProtoss_Protoss=2672
Alert/Name/AICommEarlyRaceFoundProtoss_Terran,AICommEarlyRaceFoundProtoss_Terran=2673
Alert/Name/AICommEarlyRaceFoundProtoss_Zerg,AICommEarlyRaceFoundProtoss_Zerg=2674
Alert/Name/AICommEarlyRaceFoundTerran,AICommEarlyRaceFoundTerran=2675
Alert/Name/AICommEarlyRaceFoundTerran_Protoss,AICommEarlyRaceFoundTerran_Protoss=2676
Alert/Name/AICommEarlyRaceFoundTerran_Terran,AICommEarlyRaceFoundTerran_Terran=2677
Alert/Name/AICommEarlyRaceFoundTerran_Zerg,AICommEarlyRaceFoundTerran_Zerg=2678
Alert/Name/AICommEarlyRaceFoundZerg,AICommEarlyRaceFoundZerg=2679
Alert/Name/AICommEarlyRaceFoundZerg_Protoss,AICommEarlyRaceFoundZerg_Protoss=2680
Alert/Name/AICommEarlyRaceFoundZerg_Terran,AICommEarlyRaceFoundZerg_Terran=2681
Alert/Name/AICommEarlyRaceFoundZerg_Zerg,AICommEarlyRaceFoundZerg_Zerg=2682
Alert/Name/AICommEnemyAir,AICommEnemyAir=2683
Alert/Name/AICommEnemyCloak,AICommEnemyCloak=2684
Alert/Name/AICommEnemyTownHall,AICommEnemyTownHall=2685
Alert/Name/AICommEnemyTownHall_Protoss,AICommEnemyTownHall_Protoss=2686
Alert/Name/AICommEnemyTownHall_Terran,AICommEnemyTownHall_Terran=2687
