Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Model/Name/UrsadakFemale,우르사다크 암컷 /// Ursadak Female=8076
Model/Name/UrsadakFemaleDeath,우르사다크 암컷 소멸 /// Ursadak Female Death=8077
Model/Name/UrsadakFemaleExotic,우르사다크 암컷 열대 /// Ursadak Female Exotic=8078
Model/Name/UrsadakFemaleExoticDeath,우르사다크 암컷 열대 소멸 /// Ursadak Female Exotic Death=8079
Model/Name/UrsadakMale,우르사다크 수컷 /// Ursadak Male=8080
Model/Name/UrsadakMaleDeath,우르사다크 수컷 소멸 /// Ursadak Male Death=8081
Model/Name/UrsadakMaleExotic,우르사다크 수컷 열대 /// Ursadak Male Exotic=8082
Model/Name/UrsadakMaleExoticDeath,우르사다크 수컷 열대 소멸 /// Ursadak Male Exotic Death=8083
Model/Name/UrsadakPortrait,우르사다크 초상화 /// Ursadak Portrait=8084
Model/Name/UtilityBot,만능로봇 /// Utility Bot=8085
Model/Name/UtilityBotDeath,만능로봇 소멸 /// Utility Bot Death=8086
Model/Name/UtilityBotPortrait,만능로봇 초상화 /// Utility Bot Portrait=8087
Model/Name/ValhallaBaseDoorDoodad,발할라 기지 문 /// Valhalla Base Door=8088
Model/Name/ValhallaCabinet,발할라 장식장 /// Valhalla Cabinet=8089
Model/Name/ValhallaCurtain,발할라 칸막이 /// Valhalla Curtain=8090
Model/Name/ValhallaGenerator,발할라 발전기 /// Valhalla Generator=8091
Model/Name/ValhallaThorConstruction,발할라 토르 건설 /// Valhalla Thor Construction=8092
Model/Name/ValhallaWindowLarge,발할라 창 대형 /// Valhalla Window Large=8093
Model/Name/VespeneGeyser,베스핀 간헐천 /// Vespene Geyser=8094
Model/Name/VespeneGeyserAddition,베스핀 간헐천 추가 /// Vespene Geyser Addition=8095
Model/Name/VespeneGeyserHigh,베스핀 간헐천 높음 /// Vespene Geyser High=8096
Model/Name/VespeneGeyserSplat,베스핀 간헐천 평면 /// Vespene Geyser Splat=8097
Model/Name/VespeneTank,베스핀 저장고 /// Vespene Tank=8098
Model/Name/VespeneTankDeath,베스핀 저장고 소멸 /// Vespene Tank Death=8099
Model/Name/VikingAssault,바이킹 돌격 /// Viking Assault=8100
Model/Name/VikingAssaultAttackImpact,바이킹 돌격 공격 충격 /// Viking Assault Attack Impact=8101
Model/Name/VikingAssaultAttackLaunch,바이킹 돌격 공격 발사 /// Viking Assault Attack Launch=8102
Model/Name/VikingAssaultDeath,바이킹 돌격 소멸 /// Viking Assault Death=8103
Model/Name/VikingAssaultPortrait,바이킹 돌격 초상화 /// Viking Assault Portrait=8104
Model/Name/VikingFighter,바이킹 전투기 /// Viking Fighter=8105
Model/Name/VikingFighterAttackImpact,바이킹 전투기 공격 충격 /// Viking Fighter Attack Impact=8106
Model/Name/VikingFighterAttackLaunch,바이킹 전투기 공격 발사 /// Viking Fighter Attack Launch=8107
Model/Name/VikingFighterDeath,바이킹 전투기 소멸 /// Viking Fighter Death=8108
Model/Name/VikingFighterPortrait,바이킹 전투기 초상화 /// Viking Fighter Portrait=8109
Model/Name/VikingFighterWeapon,바이킹 전투기 무기 /// Viking Fighter Weapon=8110
Model/Name/VikingMorph,바이킹 변형 /// Viking Morph=8111
Model/Name/Vines,덩굴 식물 /// Vines=8112
Model/Name/VoidRay,공허 포격기 /// Void Ray=8113
Model/Name/VoidRayAttackBeam,공허 포격기 공격 광선 /// Void Ray Attack Beam=8114
Model/Name/VoidRayAttackBeamLow,공허 포격기 공격 광선 낮음 /// Void Ray Attack Beam Low=8115
Model/Name/VoidRayChargeBase,공허 포격기 충전 기지 /// Void Ray Charge Base=8116
Model/Name/VoidRayDeath,공허 포격기 소멸 /// Void Ray Death=8117
Model/Name/VoidRayPortrait,공허 포격기 /// Void Ray=8118
Model/Name/VoidRayWarpIn,공허 포격기 소환 /// Void Ray Warp In=8119
Model/Name/VoidRayWarpInStargate,공허 포격기 우주관문 소환 /// Void Ray Warp In Stargate=8120
Model/Name/VortexModel,소용돌이 모델 /// Vortex Model=8121
Model/Name/WallDockingBay,벽 정차 구획 /// Wall Docking Bay=8122
Model/Name/WarpGateWarpCast,차원 관문 소환 시전 /// Warp Gate Warp Cast=8123
Model/Name/WarpPrism,차원 분광기 /// Warp Prism=8124
Model/Name/WarpPrismDeath,차원 분광기 소멸 /// Warp Prism Death=8125
Model/Name/WarpPrismOpenDeath,차원 분광기 열림 소멸 /// Warp Prism Open Death=8126
Model/Name/WarpPrismPhasing,차원 분광기 위상 /// Warp Prism Phasing=8127
Model/Name/WarpPrismPortrait,차원 분광기 /// Warp Prism=8128
Model/Name/WarpPrismPowerVisual,차원 분광기 동력 시각 효과 /// Warp Prism Power Visual=8129
Model/Name/WarpPrismUnpoweredVisual,차원 분광기 동력 끊김 시각 효과 /// Warp Prism Unpowered Visual=8130
Model/Name/WarpPrismWarpIn,차원 분광기 소환 /// Warp Prism Warp In=8131
Model/Name/WarpTrainModel,소환 훈련 모델 /// Warp Train Model=8132
Model/Name/WarpgateDeath,차원 관문 소멸 /// Warpgate Death=8133
Model/Name/WaterTank,수조 /// Water Tank=8134
Model/Name/WaterTankTall,수조 큼 /// Water Tank Tall=8135
Model/Name/Waterfall,폭포 /// Waterfall=8136
Model/Name/WayPointAttack_TeamColor,이동 지점 공격 팀 색상 /// WayPointAttack_TeamColor=8137
Model/Name/WayPointConfirmation_TeamColor,이동 지점 확인 팀 색상 /// WayPointConfirmation_TeamColor=8138
Model/Name/WayPointMove_TeamColor,이동 지점 이동 팀 색상 /// WayPointMove_TeamColor=8139
Model/Name/WayPointRally_TeamColor,이동 지점 집결 팀 색상 /// WayPointRally_TeamColor=8140
Model/Name/WeatherHelper,날씨 도우미 /// Weather Helper=8141
Model/Name/WindEmitterBrownMedium,바람 방출기 갈색 중형 /// Wind Emitter Brown Medium=8142
Model/Name/WindEmitterBrownSmall,바람 방출기 갈색 소형 /// Wind Emitter Brown Small=8143
Model/Name/WindEmitterMedium,바람 방출기 중형 /// Wind Emitter Medium=8144
Model/Name/WindRough,강풍 /// Wind Rough=8145
Model/Name/WindTurbine,풍력 원동기 /// Wind Turbine=8146
Model/Name/Wind_Dusty1,바람 먼지 1 /// Wind_Dusty1=8147
Model/Name/Windmill1,풍차 1 /// Windmill1=8148
Model/Name/WindowBoards,창 널판지 /// Window Boards=8149
Model/Name/WindyAsh,날리는 재 /// Windy Ash=8150
Model/Name/WolfStatue,늑대 동상 /// Wolf Statue=8151
Model/Name/WolfStatueDeath,늑대 동상 소멸 /// Wolf Statue Death=8152
Model/Name/WolfStatueDoodad,늑대 동상 장식물 /// Wolf Statue Doodad=8153
Model/Name/WreckedBattlecruiser,전투순양함 잔해 /// Wrecked Battlecruiser=8154
Model/Name/WreckedCargoTruck,화물 트럭 잔해 /// Wrecked Cargo Truck=8155
Model/Name/WreckedCargoTruckCorpse,파괴된 화물 트럭 잔해 /// Wrecked Cargo Truck Corpse=8156
Model/Name/WreckedJackal,자칼 잔해 /// Wrecked Jackal=8157
Model/Name/WreckedMule,지게로봇 잔해 /// Wrecked Mule=8158
Model/Name/WreckedNomad,유랑선 잔해 /// Wrecked Nomad=8159
Model/Name/WreckedSandbags,모래 부대 잔해 /// Wrecked Sandbags=8160
Model/Name/WreckedVehicles,차량 잔해 /// Wrecked Vehicle=8161
Model/Name/XelNagaArtifactShrineDoodad,젤나가 유물 성소 /// XelNaga Artifact Shrine=8162
Model/Name/XelNagaCliffWallRuins,젤나가 언덕 벽 폐허 /// Xel'Naga Cliff Wall Ruins=8163
Model/Name/XelNagaCliffWallSpires,젤나가 언덕 벽 첨탑 /// Xel'Naga Cliff Wall Spires=8164
Model/Name/XelNagaColumn,젤나가 기둥 /// Xel Naga Column=8165
Model/Name/XelNagaDebris,젤나가 잔해 /// Xel'Naga Debris=8166
Model/Name/XelNagaDockingbay,젤나가 격실 /// Xel'Naga Dockingbay=8167
Model/Name/XelNagaEngine,젤나가 엔진 /// Xel'Naga Engine=8168
Model/Name/XelNagaHalo,젤나가 광륜 /// Xel'Naga Halo=8169
Model/Name/XelNagaHullCliffWalls,젤나가 선체 언덕 벽 /// Xel'Naga Hull Cliff Walls=8170
Model/Name/XelNagaHullGirderBack,젤나가 선체 지지대 후방 /// Xel'Naga Hull Girder Back=8171
Model/Name/XelNagaHullGirderFront,젤나가 선체 지지대 전방 /// Xel'Naga Hull Girder Front=8172
Model/Name/XelNagaHullPlate,젤나가 선체 금속판 /// Xel'Naga Hull Plate=8173
Model/Name/XelNagaHullReactorConduit,젤나가 선체 반응로 도관 /// Xel'Naga Hull Reactor Conduit=8174
Model/Name/XelNagaHullReactorSmall,젤나가 선체 반응로 소형 /// Xel'Naga Hull Reactor Small=8175
Model/Name/XelNagaHullWalls,젤나가 선체 벽 /// Xel'Naga Hull Walls=8176
Model/Name/XelNagaLargePlate,젤나가 대형 금속판 /// Xel'Naga Large Plate=8177
Model/Name/XelNagaLargePlateAsteroidDamage,젤나가 대형 금속판 소행성 피해 /// Xel'Naga Large Plate Asteroid Damage=8178
Model/Name/XelNagaObelisk,젤나가 방첨탑 /// Xel'Naga Obelisk=8179
Model/Name/XelNagaObeliskBroken,젤나가 방첨탑 파괴됨 /// Xel'Naga Obelisk Broken=8180
Model/Name/XelNagaShrineDoodad,젤나가 성소 /// Xel Naga Shrine=8181
Model/Name/XelNagaTempleDirt,젤나가 사원 흙 /// Xel'Naga Temple Dirt=8182
Model/Name/XelNagaTornPlates,젤나가 찢긴 금속판 /// Xel'Naga Torn Plates=8183
Model/Name/XelNagaTower,젤나가 감시탑 /// Xel Naga Tower=8184
Model/Name/XelNagaTowerSmall,젤나가 감시탑 소형 /// Xel'Naga Tower Small=8185
Model/Name/XelNagaTurret,젤나가 포탑 /// Xel'Naga Turret=8186
Model/Name/XilCreature,질 생명체 /// Xil Creature=8187
Model/Name/XilCurtain,질 칸막이 /// Xil Curtain=8188
Model/Name/XilFoliage,질 초목 /// Xil Foliage=8189
Model/Name/XilFossils,질 화석 /// Xil Fossils=8190
Model/Name/XilSkybox,질 하늘 상자 /// Xil Skybox=8191
Model/Name/XilSpire,질 첨탑 /// Xil Spire=8192
Model/Name/XilSpireLarge,질 첨탑 대형 /// Xil Spire Large=8193
Model/Name/XilTree,질 나무 /// Xil Tree=8194
Model/Name/YamatoWeapon,야마토 무기 /// Yamato Weapon=8195
Model/Name/Zealot,광전사 /// Zealot=8196
Model/Name/ZealotDeath,광전사 소멸 /// Zealot Death=8197
Model/Name/ZealotPlacement,광전사 배치 /// Zealot Placement=8198
Model/Name/ZealotPortrait,광전사 /// Zealot=8199
Model/Name/ZealotWarpIn,광전사 소환 /// Zealot Warp In=8200
Model/Name/ZergAOECursorModel,저그 영역공격 커서 모델 /// Zerg AOE Cursor Model=8201
Model/Name/ZergAOECursorSplat,저그 영역공격 커서 평면 /// Zerg AOE Cursor Splat=8202
Model/Name/ZergBuildingBirth,저그 건물 생성 /// Zerg Building Birth=8203
Model/Name/ZergBuildingBirthBigger,저그 건물 생성 중형 대형 /// Zerg Building Birth Medium-Large=8204
Model/Name/ZergBuildingBirthMedium,저그 건물 생성 중형 /// Zerg Building Birth Medium=8205
Model/Name/ZergBuildingBirthMediumHigh,저그 건물 생성 중형 큼 /// Zerg Building Birth Medium Tall=8206
Model/Name/ZergBuildingBirthSmall,저그 건물 생성 소형 /// Zerg Building Birth Small=8207
Model/Name/ZergBuildingBirthTiny,저그 건물 생성 아주 작음 /// Zerg Building Birth Tiny=8208
Model/Name/ZergBuildingBloodHeavy,저그 건물 피 많음 /// Zerg Building Blood Heavy=8209
Model/Name/ZergBuildingBloodLight,저그 건물 피 적음 /// Zerg Building Blood Light=8210
Model/Name/ZergBuildingBloodProfuse,저그 건물 피 대량 /// Zerg Building Blood Profuse=8211
Model/Name/ZergBuildingBloodTinyHeavy,저그 건물 피 아주 작음 많음 /// Zerg Building Blood Tiny Heavy=8212
Model/Name/ZergBuildingBloodTinyLight,저그 건물 피 아주 작음 적음 /// Zerg Building Blood Tiny Light=8213
Model/Name/ZergBuildingBloodTinyProfuse,저그 건물 피 아주 작음 대량 /// Zerg Building Blood Tiny Profuse=8214
Model/Name/ZergBuildingBuild,저그 건물 건설 /// Zerg Building Build=8215
Model/Name/ZergBuildingBuild1x1,저그 건물 건설 1x1 /// Zerg Building Build1x1=8216
Model/Name/ZergBuildingBuild2x2,저그 건물 건설 2x2 /// Zerg Building Build2x2=8217
Model/Name/ZergBuildingBuild2x2Tall,저그 건물 건설 2x2 높음 /// Zerg Building Build2x2 Tall=8218
Model/Name/ZergBuildingBuild3x3,저그 건물 건설 3x3 /// Zerg Building Build3x3=8219
Model/Name/ZergBuildingDeath,저그 건물 소멸 /// Zerg Building Death=8220
Model/Name/ZergBuildingDeathLow,저그 건물 소멸 낮은 품질 /// Zerg Building Death Low=8221
Model/Name/ZergCliffWeb,저그 언덕 망 /// Zerg Cliff Web=8222
Model/Name/ZergCliffWebLarge,저그 언덕 그물 대형 /// Zerg Cliff Web Large=8223
Model/Name/ZergLargeBuildingDeath,저그 대형 건물 소멸 /// Zerg Large Building Death=8224
Model/Name/ZergLargeBuildingDeathLow,저그 대형 건물 소멸 낮은 품질 /// Zerg Large Building Death Low=8225
Model/Name/ZergLargeTriggeredExplosion,저그 대형 폭발 발동 /// Zerg Large Triggered Explosion=8226
Model/Name/ZergLargeUnitDeath,저그 대형 유닛 소멸 /// Zerg Large Unit Death=8227
Model/Name/ZergLargeUnitDeathLow,저그 대형 유닛 소멸 낮은 품질 /// Zerg Large Unit Death Low=8228
Model/Name/ZergMediumUnitDeath,저그 중형 유닛 소멸 /// Zerg Medium Unit Death=8229
Model/Name/ZergMediumUnitDeathLow,저그 중형 유닛 소멸 낮은 품질 /// Zerg Medium Unit Death Low=8230
Model/Name/ZergSmallBuildingDeath,저그 소형 건물 소멸 /// Zerg Small Building Death=8231
Model/Name/ZergSmallTriggeredExplosion,저그 소형 폭발 발동 /// Zerg Small Triggered Explosion=8232
Model/Name/ZergSmallUnitDeath,저그 소형 유닛 소멸 /// Zerg Small Unit Death=8233
Model/Name/ZergSmallUnitDeathLow,저그 소형 유닛 소멸 낮은 품질 /// Zerg Small Unit Death Low=8234
Model/Name/ZergSpire,저그 둥지탑 /// Zerg Spire=8235
Model/Name/ZergSpireDead,저그 둥지탑 파괴 /// Zerg Spire Dead=8236
Model/Name/ZergSpireLarge,저그 첨탑 대형 /// Zerg Spire Large=8237
Model/Name/ZergThornSpire,저그 가시 둥지탑 /// Zerg Thorn Spire=8238
Model/Name/ZergUnloadLaunch,저그 내리기 발사 /// Zerg Unload Launch=8239
Model/Name/ZergedCombs,차 저그 감염물 /// Char Combs=8240
Model/Name/Zergling,저글링 /// Zergling=8241
Model/Name/ZerglingDeath,저글링 소멸 /// Zergling Death=8242
Model/Name/ZerglingDeathAcid,저글링 소멸 산 /// Zergling Death Acid=8243
Model/Name/ZerglingDeathEviscerate,저글링 소멸 절단 /// Zergling Death Eviscerate=8244
Model/Name/ZerglingDeathFire,저글링 소멸 화염 /// Zergling Death Fire=8245
Model/Name/ZerglingPortrait,저글링 /// Zergling=8246
Model/Name/ZerglingUpgrade,저글링 업그레이드 /// Zergling Upgrade=8247
Model/Name/ZerglingUpgradeDeath,저글링 업그레이드 소멸 /// Zergling Upgrade Death=8248
Model/Name/ZerglingUpgradeDeathEviscerate,저글링 업그레이드 소멸 절단 /// Zergling Upgrade Death Eviscerate=8249
Model/Name/ZerglingUpgradeDeathFire,저글링 업그레이드 소멸 불 /// Zergling Upgrade Death Fire=8250
Model/Name/ZhakulDasCurtain,자쿨다스 칸막이 /// Zhakul Das Curtain=8251
Model/Name/ZhakulDasFoliage,자쿨다스 초목 /// Zhakul Das Foliage=8252
Model/Name/ZhakulDasFoliageDeath,자쿨다스 초목 소멸 /// Zhakul Das Foliage Death=8253
Model/Name/ZhakulDasLibrary,자쿨다스 기록소 /// Zhakul'Das Library=8254
Model/Name/ZhakulDasLibraryDisk,자쿨다스 기록소 디스크 /// Zhakul'Das Library Disk=8255
Model/Name/ZhakulDasObelisk,자쿨다스 방첨탑 /// Zhakul'Das Obelisk=8256
Model/Name/ZhakulDasShrine,자쿨다스 성소 /// Zhakul Das Shrine=8257
Model/Name/ZhakulDasTree,자쿨다스 나무 /// Zhakul Das Tree=8258
Model/Name/ZhakulDasTreeDeath,자쿨다스 나무 소멸 /// Zhakul Das Tree Death=8259
Model/Name/ZhakulLibraryLarge,자쿨 기록보관소 대형 /// Zhakul Library Large=8260
Model/Name/droppodDropModel,낙하기 투하 모델 /// Droppod Drop Model=8261
Model/Name/nukeCursorSplat,핵 커서 평면 /// Nuke Cursor Splat=8262
Model/Variation/Decal_01,건설 선 (곡선) /// Construction Line (Curved)=8263
Model/Variation/Decal_02,건설 선 (직선) /// Construction Line (Straight)=8264
Model/Variation/Decal_03,흰 선 (곡선) /// White Line (Curved)=8265
Model/Variation/Decal_04,흰 선 (직선) /// White Line (Straight)=8266
Model/Variation/Decal_05,숫자 0 /// Number 0=8267
Model/Variation/Decal_06,숫자 1 /// Number 1=8268
Model/Variation/Decal_07,숫자 2 /// Number 2=8269
Model/Variation/Decal_08,숫자 3 /// Number 3=8270
Model/Variation/Decal_09,숫자 4 /// Number 4=8271
Model/Variation/Decal_10,숫자 5 /// Number 5=8272
Model/Variation/Decal_11,숫자 6 /// Number 6=8273
Model/Variation/Decal_12,숫자 7 /// Number 7=8274
Model/Variation/Decal_13,숫자 8 /// Number 8=8275
Model/Variation/Decal_14,숫자 9 /// Number 9=8276
Model/Variation/Decal_15,방사능 표시 /// Radioactive Symbol=8277
Model/Variation/Decal_16,생물학적 위험 표시 /// Biohazard Symbol=8278
Model/Variation/Decal_17,독극물 표시 /// Poison Symbol=8279
Model/Variation/Decal_18,일방 화살표 /// Single Arrow=8280
Model/Variation/Decal_19,양방 화살표 /// Double Arrow=8281
Model/Variation/Decal_20,곡선 화살표 (왼쪽) /// Curved Arrow (Left)=8282
Model/Variation/Decal_21,곡선 화살표 (오른쪽) /// Curved Arrow (Right)=8283
Model/Variation/Decal_22,점선 (직선) /// Dashed Line (Straight)=8284
Model/Variation/Decal_23,주의 표시 /// Caution Symbol=8285
Model/Variation/Decal_24,제한됨 /// Restricted=8286
Model/Variation/Decal_25,주의 /// Caution=8287
Model/Variation/Decal_26,연산 /// Operations=8288
Model/Variation/Decal_27,주의 (지워짐) /// Caution (Faded)=8289
Model/Variation/Decal_28,출입 금지 /// Do Not Enter=8290
Model/Variation/Decal_29,주차 금지 /// No Parking=8291
Mover/EditorPrefix/SiphonTentacle,감염충 - /// Infestor -=8292
Mover/Name/ATALaserBatteryLMWeapon,공대공 레이저 포대 경미사일 무기 /// ATALaser Battery LMWeapon=8293
Mover/Name/ATSLaserBatteryLMWeapon,공대공 레이저 포대 경미사일 무기 /// ATSLaser Battery LMWeapon=8294
Mover/Name/AcidSalivaWeapon,산성 타액 무기 /// Acid Saliva Weapon=8295
Mover/Name/AcidSpinesWeapon,산성 가시뼈 무기 /// Acid Spines Weapon=8296
Mover/Name/AcidSporesWeapon,산성 포자 무기 /// Acid Spores Weapon=8297
Mover/Name/AutoTurretReleaseWeapon,자동 포탑 무기 풀어놓기 /// Release Auto Turret Weapon=8298
Mover/Name/BacklashRocketsLMWeapon,반동 로켓포 경미사일 무기 /// Backlash Rockets LMWeapon=8299
Mover/Name/BansheeLMWeapon,밴시 경미사일 무기 /// Banshee LM Weapon=8300
Mover/Name/BattlecruiserALMWeapon,전투순양함 공중 경미사일 무기 /// Battlecruiser ALM Weapon=8301
Mover/Name/BattlecruiserGLMWeapon,전투순양함 지상 경미사일 무기 /// Battlecruiser GLM Weapon=8302
Mover/Name/BroodLordBWeapon,무리 군주 B무기 /// Brood Lord BWeapon=8303
Mover/Name/BroodLordWeaponLeft,무리 군주 무기 왼쪽 /// Brood Lord Weapon Left=8304
Mover/Name/BroodLordWeaponRight,무리 군주 무기 오른쪽 /// Brood Lord Weapon Right=8305
Mover/Name/Burrowed,잠복 상태 /// Burrowed=8306
Mover/Name/CliffJumper,언덕 도약기 /// Cliff Jumper=8307
Mover/Name/Colossus,거신 /// Colossus=8308
Mover/Name/Construction,건설 /// Construction=8309
Mover/Name/Contaminate,오염 /// Contaminate=8310
Mover/Name/Corruption,타락 /// Corruption=8311
Mover/Name/Creep,점막 /// Creep=8312
Mover/Name/D8Charge,D8 폭탄 /// D8 Charge=8313
Mover/Name/EMP2Weapon,EMP2 무기 /// EMP2 Weapon=8314
Mover/Name/Fly,비행 /// Fly=8315
Mover/Name/Frenzy,광란 /// Frenzy=8316
Mover/Name/FungalGrowthWeapon,진균 번식 무기 /// FungalGrowthWeapon=8317
Mover/Name/GlaiveWurmBounceMissile,쐐기 벌레 튕김 미사일 /// Glaive Wurm Bounce Missile=8318
Mover/Name/GlaiveWurmMissile,쐐기 벌레 미사일 /// Glaive Wurm Missile=8319
Mover/Name/HunterSeekerMissile,추적 미사일 /// Seeker Missile=8320
Mover/Name/HydraliskAirWeapon,히드라리스크 공중 무기 /// Hydralisk Air Weapon=8321
Mover/Name/HydraliskGroundWeapon,히드라리스크 지상 무기 /// Hydralisk Ground Weapon=8322
Mover/Name/InfestedTerransLayEggWeapon,감염된 테란 알 낳기 무기 /// Infested Terrans Lay Egg Weapon=8323
Mover/Name/InfestedTerransWeapon,감염된 테란 무기 /// Infested Terrans Weapon=8324
Mover/Name/InfestorNeuralParasite,감염충 신경 기생충 /// Infestor Neural Parasite=8325
Mover/Name/InfestorSwarm,감염충 감염된 테란 /// Infestor Infested Terrans=8326
Mover/Name/InterceptorWeapon,요격기 무기 /// Interceptor Weapon=8327
Mover/Name/IonCannonsWeapon,이온포 무기 /// Ion Cannons Weapon=8328
Mover/Name/IonCannonsWeaponLeft,이온포 무기 왼쪽 /// Ion Cannons Weapon Left=8329
Mover/Name/IonCannonsWeaponRight,이온포 무기 오른쪽 /// Ion Cannons Weapon Right=8330
Mover/Name/LarvaReleaseMissile,애벌레 풀어놓기 미사일 /// Larva Release Missile=8331
Mover/Name/LongboltMissileWeapon,장거리 미사일 무기 /// Longbolt Missile Weapon=8332
Mover/Name/MarauderWeapon,불곰 무기 /// Marauder Weapon=8333
Mover/Name/MissileTurretWeapon,미사일 포탑 무기 /// Missile Turret Weapon=8334
Mover/Name/MothershipBeamWeapon,모선 광선 무기 /// Mothership Beam Weapon=8335
Mover/Name/NeedleSpinesWeapon,바늘 가시뼈 무기 /// Needle Spines Weapon=8336
Mover/Name/NoxiousTurret,독성 포탑 /// Noxious Turret=8337
Mover/Name/PhoenixAirWeapon,불사조 공중 무기 /// Phoenix Air Weapon=8338
Mover/Name/PhoenixAirWeaponLeft,불사조 공중 무기 왼쪽 /// Phoenix Air Weapon Left=8339
Mover/Name/PhoenixAirWeaponRight,불사조 공중 무기 오른쪽 /// Phoenix Air Weapon Right=8340
Mover/Name/PhotonCannonWeapon,광자포 무기 /// Photon Cannon Weapon=8341
Mover/Name/PunisherGrenadesWeapon,응징자 유탄 무기 /// Punisher Grenades Weapon=8342
Mover/Name/ReaperJumpDown,사신 뛰어내리기 /// Reaper Jump Down=8343
Mover/Name/ReaperJumpUp,사신 뛰어오르기 /// Reaper Jump Up=8344
Mover/Name/RoachWeapon,바퀴 무기 /// Roach Weapon=8345
Mover/Name/SiphonTentacle,빨아들이기 촉수 /// Siphon Tentacle=8346
Mover/Name/SpineCrawlerTentacleExtendLong,가시 촉수 촉수 연장 긺 /// Spine Crawler Tentacle Extend Long=8347
Mover/Name/SpineCrawlerTentacleExtendShort,가시 촉수 촉수 연장 짧음 /// Spine Crawler Tentacle Extend Short=8348
Mover/Name/SpineCrawlerTentacleRetractLong,가시 촉수 촉수 들어감 긺 /// Spine Crawler Tentacle Retract Long=8349
Mover/Name/SpineCrawlerTentacleRetractShort,가시 촉수 촉수 들어감 짧음 /// Spine Crawler Tentacle Retract Short=8350
Mover/Name/StalkerWeapon,추적자 무기 /// Stalker Weapon=8351
Mover/Name/ThorAA,토르 대공 /// Thor AA=8352
Mover/Name/UnitKnockbackMover2,Unit Knockback Mover2=8353
Mover/Name/UnitKnockbackMover3,Unit Knockback Mover3=8354
Mover/Name/UnitKnockbackMover4,Unit Knockback Mover4=8355
Mover/Name/UnitKnockbackMover5,Unit Knockback Mover5=8356
Mover/Name/UnitKnockbackMover6,Unit Knockback Mover6=8357
Mover/Name/UnitKnockbackMover7,Unit Knockback Mover7=8358
Mover/Name/VikingFighterMissile,바이킹 전투기 미사일 /// Viking Fighter Missile=8359
Mover/Name/YamatoWeapon,야마토 무기 /// Yamato Weapon=8360
Requirement/Name/ArmBroodlingEscort,무리 군주 무장 호위 /// Arm Broodling Escort=8361
Requirement/Name/ArmInterceptor,요격기 무장 /// Arm Interceptor=8362
Requirement/Name/GhostHoldingFire,유령 공격 중지 상태 /// Ghost Holding Fire=8363
Requirement/Name/GhostNotHoldingFire,유령 공격 중지 상태 아님 /// Ghost Not Holding Fire=8364
Requirement/Name/HatcherySpawnLarva,부화장 애벌레 생성 /// Hatchery Spawn Larva=8365
Requirement/Name/HatcherySpawnMutantLarva,부화장 돌연변이 애벌레 생성 /// Hatchery Spawn Mutant Larva=8366
Requirement/Name/HaveArmory,무기고 있음 /// Have Armory=8367
Requirement/Name/HaveArmoryAndAttachedTechLab,무기고와 부착된 기술실 있음 /// Have Armory And Attached Tech Lab=8368
Requirement/Name/HaveAttachedBarrTechLabAndShadowOps,부착된 병영 기술실과 특수 작전실 있음 /// Have Attached Barr Tech Lab And Shadow Ops=8369
Requirement/Name/HaveAttachedNuclearReactor,부착된 핵 반응로 있음 /// Have Attached Nuclear Reactor=8370
Requirement/Name/HaveAttachedStarportTechLabAndFusionCore,부착된 우주공항 기술실과 융합로 있음 /// Have Attached Starport Tech Lab And Fusion Core=8371
Requirement/Name/HaveAttachedTechLab,부착된 기술실 있음 /// Have Attached Tech Lab=8372
Requirement/Name/HaveBanelingNest,맹독충 둥지 있음 /// Have Baneling Nest=8373
Requirement/Name/HaveBanelingNest2,맹독충 둥지 있음2=8374
Requirement/Name/HaveBarracks,병영 있음 /// Have Barracks=8375
Requirement/Name/HaveCentrificalHooks,원심 고리 있음 /// Have Centrifugal Hooks=8376
Requirement/Name/HaveCommandCenter,사령부 있음 /// Have Command Center=8377
Requirement/Name/HaveCyberneticsCore,인공제어소 있음=8378
Requirement/Name/HaveDarkShrine,암흑 성소 있음 /// Have Dark Shrine=8379
Requirement/Name/HaveEngineeringBay,공학 연구소 있음 /// Have Engineering Bay=8380
Requirement/Name/HaveEvolutionChamber,진화장 있음 /// Have Evolution Chamber=8381
Requirement/Name/HaveFactory,군수공장 있음 /// Have Factory=8382
Requirement/Name/HaveFactoryOrStarport,군수공장 또는 우주공항 있음 /// Have Factory Or Starport=8383
Requirement/Name/HaveFleetBeacon,함대 신호소 있음 /// Have Fleet Beacon=8384
Requirement/Name/HaveForge,제련소 있음 /// Have Forge=8385
Requirement/Name/HaveGateway,관문 있음 /// Have Gateway=8386
Requirement/Name/HaveGreaterSpire,거대 둥지탑 있음 /// Have Greater Spire=8387
Requirement/Name/HaveHatchery,부화장 있음 /// Have Hatchery=8388
Requirement/Name/HaveHive,군락 있음 /// Have Hive=8389
Requirement/Name/HaveHydraliskDen,히드라리스크 굴 있음 /// Have Hydralisk Den=8390
Requirement/Name/HaveInfestationPit,감염 구덩이 있음 /// Have Infestation Pit=8391
Requirement/Name/HaveLair,번식지 있음 /// Have Lair=8392
Requirement/Name/HaveLurkerDen,가시지옥 굴 있음 /// Have Lurker Den=8393
Requirement/Name/HaveMetabolicBoost,대사 촉진 있음 /// Have Metabolic Boost=8394
