AUTHENTICATION_BETA_REGION,베타 /// Beta=0
UI/BattleChat/ClubTeamMessageFormat,<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s> /// <s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>=1940
UI/BattleChat/CurrentEventStarted,%clubName% 클럽에서 %eventName% 이벤트가 시작되었습니다. <a name="ChannelName" href="%channelName%">[이벤트 대화 참가]</a>. /// Event %eventName% has begun for %clubName% <a name="ChannelName" href="%channelName%">[Join Event Chat]</a>.=1941
UI/BattleChat/CustomMessageName,단체 알림 메시지 /// Broadcast=1942
UI/BattleChat/EmoticonFormat,<IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/> /// <IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/>=1943
UI/BattleChat/ErrorChannelNameLength,대화 채널에 참가할 수 없습니다. 입력한 이름이 최대 글자수 제한을 초과합니다. /// Unable to join chat channel. The name entered exceeds the character limit.=1944
UI/BattleChat/FriendOffline,<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 접속을 종료했습니다.</s> /// <s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> has gone offline</s>=1945
UI/BattleChat/FriendOnline,<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 접속했습니다. <a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[파티 초대]</c></a></s> /// <s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> has come online <a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[Invite to Party]</c></a></s>=1946
UI/BattleChat/FriendOnlineNoInvite,<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 접속했습니다.</s> /// <s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> has come online</s>=1947
UI/BattleChat/FriendsNewInvite,친구 요청을 받았습니다. /// You received a new friend request=1948
UI/BattleChat/FriendsRequestSent,친구 요청을 보냈습니다. /// Your friend request has been sent=1949
UI/BattleChat/JoinMessage,일반 대화에 참가하려면 <a name="ChannelName" href="General Chat">[여기]</a>를 클릭하세요. /// Click <a name="ChannelName" href="General Chat">[here]</a> to join General Chat=1950
UI/BattleChat/KrNGLMessage,게임을 플레이한 지 %hours%시간 %minutes%분 지났습니다. 과도한 게임 이용은 정상적인 일상생활에 지장을 줄 수 있습니다. /// You have been playing for %hours% <lang rule="plural">hour,hours</lang> %minutes% <lang rule="plural">minute,minutes</lang>. Excessive gameplay can interfere with your daily life.=1951
UI/BattleChat/LobbyCreated,선택한 모드의 게임 정원이 모두 찼습니다. 플레이어들이 참가할 수 있는 새로운 대기실이 생성되었습니다. /// All games are currently full for the selected mode. A new lobby has been created for you that others may join.=1952
UI/BattleChat/LobbyDestroyBail,대전 상대 플레이어가 게임을 나갔거나 연결이 끊겼습니다. /// A player you were matched with has left the game or disconnected from the service.=1953
UI/BattleChat/LobbyDestroyDisconnect,게임과 연결이 끊겼습니다. /// You have disconnected from the game.=1954
UI/BattleChat/LobbyDraftName,선발전 동맹 /// Draft Allied=1955
UI/BattleChat/LobbyInvite,<s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 대기실로 초대했습니다.</s> /// <s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a> invited you to a lobby</s>=1956
UI/BattleChat/LobbyInviteCanceled,<s val="BattleChatLobby">대기실 초대가 취소되었습니다.</s> /// <s val="BattleChatLobby">The lobby invite was canceled</s>=1957
UI/BattleChat/LobbyJoined,<s val="BattleChatLobbyUnhighlighted"><a name="Lobby" href="Lobby">[%chatName%]</a></s> 대화방에 입장했습니다. /// <s val="BattleChatLobbyUnhighlighted">You joined <a name="Lobby" href="Lobby">[%chatName%]</a></s>=1958
UI/BattleChat/LobbyKicked,<s val="BattleChatLobbyUnhighlighted">대기실에서 추방되었습니다.</s> /// <s val="BattleChatLobbyUnhighlighted">You were kicked from the lobby</s>=1959
UI/BattleChat/LobbyLeft,<s val="BattleChatLobbyUnhighlighted">대기실에서 나왔습니다.</s> /// <s val="BattleChatLobbyUnhighlighted">You left the lobby</s>=1960
UI/BattleChat/LobbyMessageFormat,<s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s> /// <s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>=1961
UI/BattleChat/LobbyName,대기실 /// Lobby=1962
UI/BattleChat/LobbyNoAvailablePremiumHost,<s val="BattleChatLobbyUnhighlighted">프리미엄 콘텐츠 보유자가 없어서 대기실이 닫혔습니다.</s> /// <s val="BattleChatLobbyUnhighlighted">Lobby was closed due to no premium content holders</s>=1963
UI/BattleChat/LobbyPlayerDeclined,<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 대기실 참가를 거절했습니다. /// <s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> has elected not to join the lobby=1964
UI/BattleChat/LobbyPlayerDisconnected,<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 <a name="Lobby" href="Lobby">대기실</a>에서 연결이 끊겼습니다.</s> /// <s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> has disconnected from the <a name="Lobby" href="Lobby">lobby</a></s>=1965
UI/BattleChat/LobbyPlayerJoined,<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 대기실에 입장했습니다.</s> /// <s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> has joined the lobby</s>=1966
UI/BattleChat/LobbyPlayerKicked,<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 방장에 의해 대기실에서 추방되었습니다.</s> /// <s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> has been removed from the lobby by the host</s>=1967
UI/BattleChat/LobbyPlayerLeft,<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 대기실을 떠났습니다.</s> /// <s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> has left the lobby</s>=1968
UI/BattleChat/LobbyPlayerPromoted,<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 방장으로 승급되었습니다.</s> /// <s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> has been promoted to lobby host</s>=1969
UI/BattleChat/LobbyPromotedYou,<s val="BattleChatLobbyUnhighlighted">방장으로 승급되었습니다.</s> /// <s val="BattleChatLobbyUnhighlighted">You have been promoted to lobby host</s>=1970
UI/BattleChat/LobbySuggestion,<s val="BattleChatLobby"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a> 님이 당신에게 <a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> 님을 대기실로 초대할 것을 제안했습니다.=1971
UI/BattleChat/LookingForMore,파티원 찾기를 시작합니다. /// You are now looking for more.=1972
UI/BattleChat/LookingForMoreOff,파티원 찾기를 중지합니다. /// You are no longer looking for more.=1973
UI/BattleChat/LookingForMoreOffFromAFK,자리 비움 상태로 설정되어 파티원 찾기를 중지합니다.=1974
UI/BattleChat/LookingForParty,파티 찾기를 시작합니다. /// You are now looking for party.=1975
UI/BattleChat/LookingForPartyOff,파티 찾기를 중지합니다. /// You are no longer looking for party.=1976
UI/BattleChat/LookingForPartyOffFromAFK,자리 비움 상태로 설정되어 파티 찾기를 중지합니다.=1977
UI/BattleChat/MatchingCanceled,<a name="PresenceId" href="%presenceId%">%userName%</a> 님에 의해 경기 검색이 취소되었습니다. /// Match search canceled by <a name="PresenceId" href="%presenceId%">%userName%</a>=1978
UI/BattleChat/PartyInvite,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 파티로 초대했습니다.</s> /// <s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> invited you to a party</s>=1979
UI/BattleChat/PartyInviteCanceled,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 파티로 초대했습니다.</s> /// <s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> invited you to a party</s>=1980
UI/BattleChat/PartyInviteSuccess,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님에게 파티 초대를 보냈습니다.</s> /// <s val="BattleChatParty">Party invite sent to <a name="PresenceId" href="%presenceId%">%userName%</a></s>=1981
UI/BattleChat/PartyJoined,<s val="BattleChatParty"><a name="Party" href="Party">파티</a></s>에 참가했습니다. /// <s val="BattleChatParty">You have joined a <a name="Party" href="Party">party</a></s>=1982
UI/BattleChat/PartyLeft,<s val="BattleChatParty">파티를 떠났습니다.</s> /// <s val="BattleChatParty">You have left the party</s>=1983
UI/BattleChat/PartyMemberDisconnect,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 파티에서 연결이 끊겼습니다.</s>=1984
UI/BattleChat/PartyMemberJoined,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 파티에 참가했습니다.</s> /// <s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> joined the party</s>=1985
UI/BattleChat/PartyMemberKicked,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 파티에서 추방되었습니다.</s> /// <s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> was kicked from the party</s>=1986
UI/BattleChat/PartyMemberLeft,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 파티를 떠났습니다.</s> /// <s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> left the party</s>=1987
UI/BattleChat/PartyMemberPromoted,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 파티장이 되었습니다.</s> /// <s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> has become party leader</s>=1988
UI/BattleChat/PartyMemberReconnect,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님이 다시 연결되었습니다.</s>=1989
UI/BattleChat/PartyMessageFormat,<s val="BattleChatParty"><a name="Party" href="Party">[파티]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s> /// <s val="BattleChatParty"><a name="Party" href="Party">[Party]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>=1990
UI/BattleChat/PartyName,파티 /// Party=1991
UI/BattleChat/PartyPromotedYou,<s val="BattleChatParty">이제 당신이 파티장입니다.</s> /// <s val="BattleChatParty">You are now the party leader</s>=1992
UI/BattleChat/PartyReadyCanceled,<a name="PresenceId" href="%presenceId%">%userName%</a> 님이 준비 과정을 중단했습니다. /// <a name="PresenceId" href="%presenceId%">%userName%</a> declined the ready process=1993
UI/BattleChat/PartyReadyFailed,파티 상태가 변경되어 준비가 취소되었습니다. /// Ready process canceled due to change in party status=1994
UI/BattleChat/PartyRequestSuccess,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님의 파티에 참가 요청을 보냈습니다.</s> /// <s val="BattleChatParty">Requested to join <a name="PresenceId" href="%presenceId%">%userName%</a>'s party</s>=1995
UI/BattleChat/PartyRequestToJoin,<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> 님이 파티 참가를 요청했습니다. /// <s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> requests to join the party=1996
UI/BattleChat/PartyRequestToJoinSender,<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> 님이 <a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a> 님을 통해 파티 참가를 요청했습니다. /// <s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> requests to join the party through <a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>=1997
UI/BattleChat/PartySuggestion,<s val="BattleChatParty"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a> 님이 당신에게 <a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> 님을 파티로 초대할 것을 제안했습니다. /// <s val="BattleChatParty"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a> suggested that you invite <a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> to the party=1998
UI/BattleChat/PartySuggestionSuccess,<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> 님을 <a name="Party" href="Party">파티</a>에 초대할 것을 제안했습니다.</s> /// <s val="BattleChatParty">You suggested <a name="PresenceId" href="%presenceId%">%userName%</a> be invited to the <a name="Party" href="Party">party</a></s>=1999
UI/BattleChat/PartySystemErrorMessageFormat,<s val="BattleChatParty">%message% <a name="Block" href="%presenceId%"><c val="57b4ff">[플레이어 차단]</c></a></s> /// <s val="BattleChatParty">%message% <a name="Block" href="%presenceId%"><c val="57b4ff">[Block Player]</c></a></s>=2000
UI/BattleChat/PartySystemMessageFormat,<s val="BattleChatParty">%message%</s> /// <s val="BattleChatParty">%message%</s>=2001
UI/BattleChat/PublicChannelName,%name% %locale% /// %name% %locale%=2002
UI/BattleChat/ReportConfirmationMessage,신고가 접수되었습니다. 고객지원을 이용해주셔서 감사합니다. /// Your report has been sent. Thank you for contacting Customer Support.=2003
UI/BattleChat/ServiceFloodingError,입력 한도를 초과했습니다. 잠시 후 다시 시도해 주시기 바랍니다. /// Input limit reached. Please wait to perform more actions.=2004
UI/BattleChat/StatisticChat,총 대화 채널 인원: %num%명 /// There are %num% players in chat channels.=2005
UI/BattleChat/StatisticUsers,블리자드 서비스에 접속 중인 사용자: 약 %num%명 /// There are about %num% players on Blizzard services.=2006
UI/BattleChat/StatusAway,자리 비움 상태로 설정되었습니다. /// You are now Away.=2007
UI/BattleChat/StatusBusy,다른 용무 중 상태로 설정되었습니다. /// You are now Busy.=2008
UI/BattleChat/StatusNotAway,이제 자리 비움 상태가 아닙니다. /// You are no longer Away.=2009
UI/BattleChat/StatusNotBusy,이제 다른 용무 중 상태가 아닙니다. /// You are no longer Busy.=2010
UI/BattleChat/StatusNotSilenced,채팅 금지 상태가 해제되었습니다. /// You are no longer silenced.=2011
UI/BattleChat/StatusSilenced,채팅 금지 상태가 되었습니다. /// You have been silenced.=2012
UI/BattleChat/SystemMessageFormat,<s val="BattleChatSystem">%message%</s> /// <s val="BattleChatSystem">%message%</s>=2013
UI/BattleChat/TournamentJoined,<s val="BattleChatTournament"><a name="Tournament" href="">채널 입장: [%chatName%]</a></s> /// <s val="BattleChatTournament"><a name="Tournament" href="">Joined Channel: [%chatName%]</a></s>=2014
UI/BattleChat/TournamentLeft,<s val="BattleChatTournament"><a name="Tournament" href="">채널 퇴장: [%chatName%]</a></s> /// <s val="BattleChatTournament"><a name="Tournament" href="">Left Channel: [%chatName%]</a></s>=2015
UI/BattleChat/TournamentMessageFormat,<s val="BattleChatTournament"><a name="Tournament" href="">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s> /// <s val="BattleChatTournament"><a name="Tournament" href="">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>=2016
UI/BattleChat/TournamentName,토너먼트 /// Tournament=2017
UI/BattleChat/UserName,<a name="PresenceId" href="%presenceId%">[%userName%]</a> /// <a name="PresenceId" href="%presenceId%">%userName%</a>=2018
UI/BattleChat/WhisperFromMessageFormat,<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">[%chatName%] 님의 귓속말:</a> %message%</s> /// <s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">[%chatName%] whispers:</a> %message%</s>=2019
UI/BattleChat/WhisperToMessageFormat,<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">[%chatName%] 님에게 귓속말:</a> %message%</s> /// <s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">To [%chatName%]:</a> %message%</s>=2020
UI/BattleClubContextLeaveClanOwnerText,</n>당신이 클랜의 마지막 회원이 아니라면, 나가기 전에 먼저 다른 회원에게 소유권을 넘겨야 합니다. /// </n>If you are not the last member of the clan, you must transfer ownership before leaving clan.=2021
UI/BattleClubContextLeaveClanText,%clubname%에서 나가시겠습니까? /// Are you sure you want to leave %clubname%?=2022
UI/BattleClubContextLeaveClubTitle,정말 나가시겠습니까? /// Are You Sure?=2023
UI/BattleClubContextLeaveGroupText,%clubname%에서 나가시겠습니까?</n>당신이 그룹의 마지막 회원이라면, 그룹을 떠남과 동시에 그룹이 사라집니다. /// Are you sure you want to leave %clubname%?</n>If you are the last member of the group, leaving will destroy the group.=2024
UI/BattleClubContextMenuCopyLink,링크 복사 /// Copy Link=2025
UI/BattleClubContextMenuInviteClub,클랜 초대 /// Invite to Clan=2026
UI/BattleClubContextMenuInviteGroup,그룹 초대 /// Invite to Group=2027
UI/BattleClubContextMenuInviteSuggest,클랜 초대/초대 제안 /// Invite/Suggest to Clan=2028
UI/BattleClubContextMenuJoinChat,대화 참가 /// Join Chat=2029
UI/BattleClubContextMenuLeaveChat,대화 퇴장 /// Leave Chat=2030
UI/BattleClubContextMenuLeaveClub,클랜 탈퇴 /// Leave Clan=2031
UI/BattleClubContextMenuLeaveGroup,그룹 탈퇴 /// Leave Group=2032
UI/BattleClubContextMenuLineBreak,=2033
UI/BattleClubContextMenuOpenEventsTab,이벤트 탭 열기 /// Open Events tab=2034
UI/BattleClubContextMenuOpenInfoTab,정보 탭 열기 /// Open Info tab=2035
UI/BattleClubContextMenuOpenMembersTab,회원 탭 열기 /// Open Members tab=2036
UI/BattleClubContextMenuOpenNewsTab,새 소식 탭 열기 /// Open News tab=2037
UI/BattleClubContextMenuReportClub,클랜 신고 /// Report Clan=2038
UI/BattleClubContextMenuReportGroup,그룹 신고 /// Report Group=2039
UI/BattleClubContextMenuViewProfileClan,클랜 프로필 보기 /// View Clan Profile=2040
UI/BattleClubContextMenuViewProfileGroup,그룹 프로필 보기 /// View Group Profile=2041
UI/BattleLobbyPanel/AddComputerButton,인공지능 추가 /// Add A.I.=2042
UI/BattleLobbyPanel/GameAttributesTitle,사용자 지정 게임 설정 /// Custom game settings=2043
UI/BattleLobbyPanel/InviteButton,초대 /// Invite=2044
UI/BattleLobbyPanel/LeaveGameButton,게임 나가기 /// Leave Game=2045
UI/BattleLobbyPanel/ReplayInformation,리플레이 정보 /// Replay Information=2046
UI/BattleLobbyPanel/StartGameButton,게임 시작 /// Start Game=2047
UI/BattleLobbyPanel/StartGameButton/Countdown,게임이 이미 시작 중입니다. /// The game is already starting=2048
UI/BattleLobbyPanel/StartGameButton/DraftTeamsNotValid,선발전 모드를 시작하려면 플레이어 또는 컴퓨터 인공지능이 합쳐서 10명이 되어야 합니다. /// You must have ten players or computers to start draft mode=2049
UI/BattleLobbyPanel/StartGameButton/NotHost,방장만 게임을 시작할 수 있습니다. /// Only the host may start the game=2050
UI/BattleLobbyPanel/StartGameButton/PendingUsers,대기 중인 플레이어가 있으면 게임을 시작할 수 없습니다. /// You may not start the game while there are pending players=2051
UI/BattleLobbyPanel/StartGameButton/RequirementsUnmet,대기실의 플레이어들이 이 플레이 모드의 요구 조건을 충족하지 못합니다: /// Players in the lobby do not meet the requirements for this play mode:=2052
UI/BattleLobbyPlayerFrame/Computer,인공지능 (%difficulty%) /// A.I. (%difficulty%)=2053
UI/BattleLobbyPlayerFrame/Empty,빈 칸 /// Empty Slot=2054
UI/BattleLobbyPlayerFrame/Host,%playerName% (방장) /// %playerName% (Host)=2055
UI/BattleLobbyPlayerFrame/Pending,%playerName% (대기 중...) /// %playerName% (Pending...)=2056
UI/BattleLobbyResumePanel/ResumeEvent_EndOfReplayFile,%time% - 리플레이 종료=2057
UI/BattleLobbyResumePanel/ResumeEvent_GameEnded,%time% - 게임 종료=2058
UI/BattleLobbyResumePanel/ResumeEvent_PlayerLeft,%time% - %name% 님의 입력 오류=2059
UI/BattleLobbyResumePanel/ResumeEvent_PlayerPaused,%time% - %name% 님이 게임 일시 정지=2060
UI/BattleLobbyResumePanel/ResumeEvent_PlayerUnresponsive,%time% - %name% 님의 연결 끊김=2061
UI/BattleLobbyResumePanel/ResumeEvent_UnknownPlayer,알 수 없는 플레이어=2062
UI/BattleLobbyResumePanel/SelectedTimeFormat,%currentTime% / %maxTime%=2063
UI/BattleLobbyResumePanel/Title,게임 시간 선택:=2064
UI/BattleLobbyTeamPanel/EnemyTeam,상대 팀 /// Enemy Team=2065
UI/BattleLobbyTeamPanel/Observers,관전자 /// Observers=2066
UI/BattleLobbyTeamPanel/Participants,참가자 /// Participants=2067
UI/BattleLobbyTeamPanel/Rank,%rank% 등급 /// Rank %rank%=2068
UI/BattleLobbyTeamPanel/Team0,파랑팀 /// Blue Team=2069
UI/BattleLobbyTeamPanel/Team1,빨강팀 /// Red Team=2070
UI/BattleLobbyTeamPanel/YourTeam,우리 팀 /// Your Team=2071
UI/BattleMap/BlizzardAuthor,Blizzard /// Blizzard=2072
UI/BattleMap/CategoriesFormat,%categories%, %category% /// %categories%, %category%=2073
UI/BattleMap/MapWithVersion,%name% v%major%.%minor% /// %name% v%major%.%minor%=2074
UI/BattleMap/ModeWithCategory,%category%: %mode% /// %category%: %mode%=2075
UI/BattleMap/ModeWithSpeed,%mode% (%speed%) /// %mode% (%speed%)=2076
UI/BattleMap/PlayerCount,플레이어 %count%명 /// %count% <lang rule="plural" value="%count%">player,players</lang>=2077
UI/BattleMap/RatingsCount,별점 %0%개 /// %0% <lang rule="plural" value="%0%">rating,ratings</lang>=2078
UI/BattleMap/WebsiteUrl,<a name="WebsiteUrl" href="%href%">%url%</a> /// <a name="WebsiteUrl" href="%href%">%url%</a>=2079
UI/BattleNetCachePrePopulateConfirmationDescription,이 도구는 PC방 관리자가 인기 있는 지도를 PC방 컴퓨터에 배포할 수 있도록 도와 줍니다. /// This tool helps game room administrators distribute popular maps to computers in a game room.=2080
UI/BattleNetCachePrePopulateConfirmationQuery,스타크래프트 II 설치 폴더 안의 로컬 "Blizzard\Cache" 폴더에 파일을 다운로드하시겠습니까? /// Would you like to download files into a local "Blizzard\Cache" folder within your StarCraft II installation folder?=2081
UI/BattleNetCachePrePopulateConfirmationWarning,경고: 로컬 캐시 폴더에 파일을 다운로드하면 스타크래프트 II의 기본 블리자드 캐시 경로에 있는 파일은 사용할 수 없습니다. /// Warning: Downloading to the local cache folder will prevent StarCraft II from using files in the standard Blizzard cache location.=2082
UI/BattleNetCachePrePopulateDirectoryCreateFailed,"Blizzard\Cache" 폴더를 생성할 수 없습니다. 관리자를 통해 이 폴더를 생성한 다음, 이 프로그램을 다시 실행하십시오. /// Could not create the "Blizzard\Cache" folder. Please have an administrator create this folder and restart this program.=2083
UI/BattleNetCachePrePopulateMessage,블리자드 캐시 파일을 다운로드하는 중입니다. /// Downloading Blizzard cache files.=2084
UI/BattleNetCachePrePopulateProgressDownloading,다운로드 중:  /// Downloading:=2085
UI/BattleNetCachePrePopulateProgressError,오류 /// Error=2086
UI/BattleNetCachePrePopulateProgressStarting,시작하는 중... /// Starting...=2087
UI/BattleNetCachePrePopulateTitle,스타크래프트 II /// StarCraft II=2088
UI/BattleNetChatFailed,지금은 그 플레이어와 대화할 수 없습니다. /// Unable to chat with that player at this time.=2089
UI/BattleNetErrorDialog/Error_AuthUnknown,로그인하는 중에 알 수 없는 오류가 발생했습니다. /// There was an unknown error loggin in.=2090
UI/BattleNetErrorDialog/Error_GameServer,게임에 접속하는 도중 문제가 발생했습니다. 나중에 다시 시도해 주십시오. /// A problem occurred while connecting to the game. Please try again later.=2091
UI/BattleNetErrorDialog/Error_NoParams,로그인 도중 내부 오류가 발생했습니다. [매개 변수 없음] /// There was an internal error logging in. [No Parameters]=2092
UI/BattleNetErrorDialog/Error_PreLobby,필요한 지도 데이터 스트리밍에 실패했습니다. /// Failed to stream necessary map data.=2093
UI/BattleNetErrorDialog/Error_ServiceLost,블리자드 서비스 연결이 끊겼습니다. /// You were disconnected from Blizzard services.=2094
UI/BattleNetErrorDialogTitle,오류 /// Error=2095
UI/BattleNetErrorDialogTitleMapToMapTransitionFailed,지도 전환에 실패했습니다.=2096
UI/BattleNetErrorDialogTitleNGDPPatchFailure,버전 불일치 /// Version Mismatch=2097
UI/BattleNetErrorNGDPVersionMismatchMessage,새로운 버전 사용 가능!<n/>게임을 종료하고 런처에서 패치를 설치하시기 바랍니다. /// New version available!<n/>Please exit and patch from the Launcher.=2098
UI/BattleNetPlayerBlocked,대화하려는 플레이어가 당신을 차단 중입니다. /// The player you are attempting to chat with is ignoring you.=2099
UI/BattleNet_Control,블리자드 /// Blizzard=2100
UI/BattleNet_Control_Caps,블리자드 /// BLIZZARD=2101
UI/BattleReportNoneCompleted,없음 /// None=2102
UI/BattleReportPanelHardestDifficultyCompleted,완료한 가장 어려운 난이도: /// Hardest Difficulty Completed:=2103
UI/BattleReportPanelMissionsCompleted,%completedMissons% / %totalMissions% /// %completedMissons% / %totalMissions%=2104
UI/BattleReportPanelMissionsCompletedHeading,완료한 임무: /// MISSIONS COMPLETED:=2105
UI/BattleReportPanelPlayCinematic,동영상 재생 /// PLAY CINEMATIC=2106
UI/BattleReportPanelPlayDifficulty,%difficultyLevel% 플레이하기 /// Play %difficultyLevel%=2107
UI/BattleReportPanelReplayDifficulty,%difficultyLevel% 다시 플레이하기 /// Replay %difficultyLevel%=2108
UI/BattleReportPanelSelectHeading,임무 선택: /// SELECT A MISSION:=2109
UI/BattleReportPanelTitle,임무 보고서 /// MISSION ARCHIVES=2110
UI/BattleReportPanelTypeMission,임무 /// Mission=2111
UI/BattleReportPanelTypeMissionCaps,임무 /// MISSION=2112
UI/BattleReportPanelTypeScene,동영상 /// Cinematic=2113
UI/BattleReportPanelTypeSceneCaps,동영상 /// CINEMATIC=2114
UI/BattleTradeShow/Campaign,캠페인 /// Campaign=2115
UI/BattleTradeShow/Connected,접속 중 /// Connected=2116
UI/BattleTradeShow/CoopCampaign,협동전 임무 /// Co-op Missions=2117
UI/BattleTradeShow/CoopCampaign/DifficultyDisabled,파티장만 할 수 있습니다. /// Only available to the party leader.=2118
UI/BattleTradeShow/CoopCampaign/MapDisabled,지도 선택은 지원되지 않습니다. /// Map selection not available.=2119
UI/BattleTradeShow/Countdown,게임 시작: %1 /// Game Starts in %1=2120
UI/BattleTradeShow/CreatingGame,게임 생성 중 /// CREATING GAME=2121
UI/BattleTradeShow/Local,지역 /// Local=2122
UI/BattleTradeShow/Searching,플레이어를 찾는 중 /// Searching For Players=2123
UI/BattleTradeShow/SelectionCountdown,남은 선택 시간: %1 /// SELECTION TIME REMAINING: %1=2124
UI/BattleTradeShow/SinglePlayer,싱글플레이어 /// Single Player=2125
UI/BattleTradeShow/Tandem,집정관 모드 /// Archon Mode=2126
UI/BattleUser/FriendNoteFormat,%friendNote% /// %friendNote%=2127
