Button/Hotkey/Taunt,T=0
UI/Hotkey/ObserveAllPlayers,E=530
UI/Hotkey/ObserveAllPlayers_USD,E=531
UI/Hotkey/ObserveAllPlayers_USDL,E=532
UI/Hotkey/ObserveAutoCamera,C=533
UI/Hotkey/ObserveAutoCamera_USD,C=534
UI/Hotkey/ObserveAutoCamera_USDL,C=535
UI/Hotkey/ObserveClearSelection,Escape=536
UI/Hotkey/ObserveClearSelection_GRS,F12,Escape=537
UI/Hotkey/ObserveClearSelection_NRS,F12,Escape=538
UI/Hotkey/ObserveClearSelection_USD,Escape=539
UI/Hotkey/ObserveClearSelection_USDL,F12,Escape=540
UI/Hotkey/ObserveCommentator,O=541
UI/Hotkey/ObserveCommentator_USD,O=542
UI/Hotkey/ObserveCommentator_USDL,O=543
UI/Hotkey/ObservePlayer0,1=544
UI/Hotkey/ObservePlayer0_GRS,1=545
UI/Hotkey/ObservePlayer0_NRS,1=546
UI/Hotkey/ObservePlayer0_USD,1=547
UI/Hotkey/ObservePlayer0_USDL,1=548
UI/Hotkey/ObservePlayer1,2=549
UI/Hotkey/ObservePlayer10,Control+3=550
UI/Hotkey/ObservePlayer10_GRS,Control+3=551
UI/Hotkey/ObservePlayer10_NRS,Control+3=552
UI/Hotkey/ObservePlayer10_USD,Control+3=553
UI/Hotkey/ObservePlayer10_USDL,Control+3=554
UI/Hotkey/ObservePlayer11,Control+4=555
UI/Hotkey/ObservePlayer11_GRS,Control+4=556
UI/Hotkey/ObservePlayer11_NRS,Control+4=557
UI/Hotkey/ObservePlayer11_USD,Control+4=558
UI/Hotkey/ObservePlayer11_USDL,Control+4=559
UI/Hotkey/ObservePlayer12,Control+5=560
UI/Hotkey/ObservePlayer12_GRS,Control+5=561
UI/Hotkey/ObservePlayer12_NRS,Control+5=562
UI/Hotkey/ObservePlayer12_USD,Control+5=563
UI/Hotkey/ObservePlayer12_USDL,Control+5=564
UI/Hotkey/ObservePlayer13,Control+6=565
UI/Hotkey/ObservePlayer13_GRS,Control+6=566
UI/Hotkey/ObservePlayer13_NRS,Control+6=567
UI/Hotkey/ObservePlayer13_USD,Control+6=568
UI/Hotkey/ObservePlayer13_USDL,Control+6=569
UI/Hotkey/ObservePlayer14,Control+7=570
UI/Hotkey/ObservePlayer14_GRS,Control+7=571
UI/Hotkey/ObservePlayer14_NRS,Control+7=572
UI/Hotkey/ObservePlayer14_USD,Control+7=573
UI/Hotkey/ObservePlayer14_USDL,Control+7=574
UI/Hotkey/ObservePlayer15,Control+8=575
UI/Hotkey/ObservePlayer15_GRS,Control+8=576
UI/Hotkey/ObservePlayer15_NRS,Control+8=577
UI/Hotkey/ObservePlayer15_USD,Control+8=578
UI/Hotkey/ObservePlayer15_USDL,Control+8=579
UI/Hotkey/ObservePlayer1_GRS,2=580
UI/Hotkey/ObservePlayer1_NRS,2=581
UI/Hotkey/ObservePlayer1_USD,2=582
UI/Hotkey/ObservePlayer1_USDL,2=583
UI/Hotkey/ObservePlayer2,3=584
UI/Hotkey/ObservePlayer2_GRS,3=585
UI/Hotkey/ObservePlayer2_NRS,3=586
UI/Hotkey/ObservePlayer2_USD,3=587
UI/Hotkey/ObservePlayer2_USDL,3=588
UI/Hotkey/ObservePlayer3,4=589
UI/Hotkey/ObservePlayer3_GRS,4=590
UI/Hotkey/ObservePlayer3_NRS,4=591
UI/Hotkey/ObservePlayer3_USD,4=592
UI/Hotkey/ObservePlayer3_USDL,4=593
UI/Hotkey/ObservePlayer4,5=594
UI/Hotkey/ObservePlayer4_GRS,5=595
UI/Hotkey/ObservePlayer4_NRS,5=596
UI/Hotkey/ObservePlayer4_USD,5=597
UI/Hotkey/ObservePlayer4_USDL,5=598
UI/Hotkey/ObservePlayer5,6=599
UI/Hotkey/ObservePlayer5_GRS,6=600
UI/Hotkey/ObservePlayer5_NRS,6=601
UI/Hotkey/ObservePlayer5_USD,6=602
UI/Hotkey/ObservePlayer5_USDL,6=603
UI/Hotkey/ObservePlayer6,7=604
UI/Hotkey/ObservePlayer6_GRS,7=605
UI/Hotkey/ObservePlayer6_NRS,7=606
UI/Hotkey/ObservePlayer6_USD,7=607
UI/Hotkey/ObservePlayer6_USDL,7=608
UI/Hotkey/ObservePlayer7,8=609
UI/Hotkey/ObservePlayer7_GRS,8=610
UI/Hotkey/ObservePlayer7_NRS,8=611
UI/Hotkey/ObservePlayer7_USD,8=612
UI/Hotkey/ObservePlayer7_USDL,8=613
UI/Hotkey/ObservePlayer8,Control+1=614
UI/Hotkey/ObservePlayer8_GRS,Control+1=615
UI/Hotkey/ObservePlayer8_NRS,Control+1=616
UI/Hotkey/ObservePlayer8_USD,Control+1=617
UI/Hotkey/ObservePlayer8_USDL,Control+1=618
UI/Hotkey/ObservePlayer9,Control+2=619
UI/Hotkey/ObservePlayer9_GRS,Control+2=620
UI/Hotkey/ObservePlayer9_NRS,Control+2=621
UI/Hotkey/ObservePlayer9_USD,Control+2=622
UI/Hotkey/ObservePlayer9_USDL,Control+2=623
UI/Hotkey/ObservePreview,V=624
UI/Hotkey/ObservePreview_USD,V=625
UI/Hotkey/ObservePreview_USDL,V=626
UI/Hotkey/ObserveSelected,W=627
UI/Hotkey/ObserveSelected_USD,W=628
UI/Hotkey/ObserveSelected_USDL,W=629
UI/Hotkey/ObserveStatusBars,H=630
UI/Hotkey/ObserveStatusBars_USD,H=631
UI/Hotkey/ObserveStatusBars_USDL,H=632
UI/Hotkey/ObserveZoomCameraLevel1,Z=633
UI/Hotkey/ObserveZoomCameraLevel2,Shift+Z=634
UI/Hotkey/PTT,Grave=635
UI/Hotkey/PTT_USD,Grave=636
UI/Hotkey/PTT_USDL,Grave=637
UI/Hotkey/PauseGame,Pause=638
UI/Hotkey/PauseGame_USD,Pause=639
UI/Hotkey/PauseGame_USDL,Pause=640
UI/Hotkey/Ping,LeftMouseButton=641
UI/Hotkey/QuickPing,Alt+LeftMouseButton=642
UI/Hotkey/QuickPing_USD,Control+Alt+LeftMouseButton=643
UI/Hotkey/QuickPing_USDL,Control+Alt+LeftMouseButton=644
UI/Hotkey/QuickSave,Control+Q=645
UI/Hotkey/QuickSave_USD,Control+Q=646
UI/Hotkey/QuickSave_USDL,Control+Q=647
UI/Hotkey/ReplayHide,Control+T=648
UI/Hotkey/ReplayHide_USD,Control+T=649
UI/Hotkey/ReplayHide_USDL,Control+T=650
UI/Hotkey/ReplayPlayPause,P,MediaPlay,MediaPause,MediaPlayPause=651
UI/Hotkey/ReplayPlayPause_USD,P,MediaPlay,MediaPause,MediaPlayPause=652
UI/Hotkey/ReplayPlayPause_USDL,P,MediaPlay,MediaPause,MediaPlayPause=653
UI/Hotkey/ReplayRestart,Control+E=654
UI/Hotkey/ReplayRestart_USD,Control+E=655
UI/Hotkey/ReplayRestart_USDL,Control+E=656
UI/Hotkey/ReplaySkipBack,B,MediaPrevTrack=657
UI/Hotkey/ReplaySkipBack_USD,B,MediaPrevTrack=658
UI/Hotkey/ReplaySkipBack_USDL,B,MediaPrevTrack=659
UI/Hotkey/ReplaySkipNext,F,MediaNextTrack=660
UI/Hotkey/ReplaySkipNext_USD,F,MediaNextTrack=661
UI/Hotkey/ReplaySkipNext_USDL,F,MediaNextTrack=662
UI/Hotkey/ReplaySpeedDec,Minus,NumPadMinus=663
UI/Hotkey/ReplaySpeedDec_GRS,Minus,NumPadMinus=664
UI/Hotkey/ReplaySpeedDec_NRS,Minus,NumPadMinus=665
UI/Hotkey/ReplaySpeedDec_USD,Minus,NumPadMinus=666
UI/Hotkey/ReplaySpeedDec_USDL,Minus,NumPadMinus=667
UI/Hotkey/ReplaySpeedInc,Equals,NumPadPlus=668
UI/Hotkey/ReplaySpeedInc_GRS,Equals,NumPadPlus=669
UI/Hotkey/ReplaySpeedInc_NRS,Equals,NumPadPlus=670
UI/Hotkey/ReplaySpeedInc_USD,Equals,NumPadPlus=671
UI/Hotkey/ReplaySpeedInc_USDL,Equals,NumPadPlus=672
UI/Hotkey/ReplayStop,MediaStop=673
UI/Hotkey/ReplayStop_USD,MediaStop=674
UI/Hotkey/ReplayStop_USDL,MediaStop=675
UI/Hotkey/Screenshot,PrintScreen=676
UI/Hotkey/Screenshot_USD,PrintScreen=677
UI/Hotkey/Screenshot_USDL,PrintScreen=678
UI/Hotkey/Selection,LeftMouseButton=679
UI/Hotkey/SelectionCancelDrag,Escape=680
UI/Hotkey/SelectionCancelDrag_GRS,F12,Escape=681
UI/Hotkey/SelectionCancelDrag_NRS,F12,Escape=682
UI/Hotkey/SelectionCancelDrag_USD,Escape=683
UI/Hotkey/SelectionCancelDrag_USDL,F12,Escape=684
UI/Hotkey/SmartCommand,RightMouseButton=685
UI/Hotkey/Sound,Control+S=686
UI/Hotkey/Sound_USD,Control+S=687
UI/Hotkey/Sound_USDL,Control+S=688
UI/Hotkey/StatPanelAPM,Control+C=689
UI/Hotkey/StatPanelAPM_GRS,Control+C=690
UI/Hotkey/StatPanelAPM_NRS,Control+C=691
UI/Hotkey/StatPanelAPM_USDL,Control+C=692
UI/Hotkey/StatPanelArmySupply,Control+A=693
UI/Hotkey/StatPanelArmySupply_GRS,Control+A=694
UI/Hotkey/StatPanelArmySupply_NRS,Control+A=695
UI/Hotkey/StatPanelArmySupply_USD,Control+A=696
UI/Hotkey/StatPanelArmySupply_USDL,Control+A=697
UI/Hotkey/StatPanelCPM,Control+V=698
UI/Hotkey/StatPanelCPM_GRS,Control+V=699
UI/Hotkey/StatPanelCPM_NRS,Control+V=700
UI/Hotkey/StatPanelCPM_USDL,Control+V=701
UI/Hotkey/StatPanelResources,Control+I=702
UI/Hotkey/StatPanelResources_GRS,Control+I=703
UI/Hotkey/StatPanelResources_NRS,Control+I=704
UI/Hotkey/StatPanelResources_USDL,Control+I=705
UI/Hotkey/StatPanelUnitsLost,Control+R=706
UI/Hotkey/StatPanelUnitsLost_GRS,Control+R=707
UI/Hotkey/StatPanelUnitsLost_NRS,Control+R=708
UI/Hotkey/StatPanelUnitsLost_USDL,Control+R=709
UI/Hotkey/StatusAll_USD,Alt=710
UI/Hotkey/StatusAll_USDL,Alt=711
UI/Hotkey/StatusAlly_USD,BracketOpen=712
UI/Hotkey/StatusAlly_USDL,Shift+E=713
UI/Hotkey/StatusEnemy_USD,BracketClose=714
UI/Hotkey/StatusEnemy_USDL,Shift+W=715
UI/Hotkey/StatusOwner_USD,BackSlash=716
UI/Hotkey/StatusOwner_USDL,Shift+Q=717
UI/Hotkey/SubgroupNext_USDL,BackSlash=718
UI/Hotkey/SubgroupPrev_USDL,Shift+BackSlash=719
UI/Hotkey/TargetCancel,RightMouseButton=720
UI/Hotkey/TargetChoose,LeftMouseButton=721
UI/Hotkey/TeamResources,Control+F12=722
UI/Hotkey/TeamResources_USD,Control+F12=723
UI/Hotkey/TeamResources_USDL,Control+F12=724
UI/Hotkey/ToggleVersusModeSides,Control+X=725
UI/Hotkey/ToggleVersusModeSides_GRS,Control+X=726
UI/Hotkey/ToggleVersusModeSides_NRS,Control+X=727
UI/Hotkey/ToggleVersusModeSides_USDL,Control+X=728
UI/Hotkey/ToggleWorldPanel,Control+W=729
UI/Hotkey/ToggleWorldPanel_GRS,Control+W=730
UI/Hotkey/ToggleWorldPanel_NRS,Control+W=731
UI/Hotkey/ToggleWorldPanel_USDL,Control+W=732
UI/Hotkey/TownCamera,Backspace=733
UI/Hotkey/TownCamera_GRS,BracketClose=734
UI/Hotkey/TownCamera_NRS,BracketClose=735
UI/Hotkey/TownCamera_USDL,BracketClose=736
UI/Hotkey/UIEditorBreakToDebugger,Pause=737
UI/Hotkey/UIEditorDecreaseGridSpacing,BracketClose=738
UI/Hotkey/UIEditorDeselect,Escape=739
UI/Hotkey/UIEditorHoverControls,F9=740
UI/Hotkey/UIEditorIncreaseGridSpacing,BracketOpen=741
UI/Hotkey/UIEditorLockInfoTooltip,F10=742
UI/Hotkey/UIEditorOutlineAnchors,F11=743
UI/Hotkey/UIEditorRedo,Control+Shift+Z=744
UI/Hotkey/UIEditorReload,Control+Alt+F11=745
UI/Hotkey/UIEditorSaveAll,Control+Shift+O=746
UI/Hotkey/UIEditorSaveSelected,Control+O=747
UI/Hotkey/UIEditorShowInfoTooltip,NumPadMinus=748
UI/Hotkey/UIEditorSize1024x768,F2=749
UI/Hotkey/UIEditorSize1280x1024,Control+Shift+F3=750
UI/Hotkey/UIEditorSize1280x720,Control+F3=751
UI/Hotkey/UIEditorSize1280x960,F3=752
UI/Hotkey/UIEditorSize1400x1050,F4=753
UI/Hotkey/UIEditorSize1600x1200,F5=754
UI/Hotkey/UIEditorSize1680x1050,Shift+F4=755
UI/Hotkey/UIEditorSize1920x1080,Control+F5=756
UI/Hotkey/UIEditorSize1920x1200,Shift+F5=757
UI/Hotkey/UIEditorSize2048x1536,F6=758
UI/Hotkey/UIEditorSize2560x1600,Shift+F7=759
UI/Hotkey/UIEditorSize2560x2048,Control+Shift+F7=760
UI/Hotkey/UIEditorSize4096x2304,Control+F8=761
UI/Hotkey/UIEditorSize4096x2560,Shift+F8=762
UI/Hotkey/UIEditorSize4096x3072,F8=763
UI/Hotkey/UIEditorSize720x406,Control+F1=764
UI/Hotkey/UIEditorSize800x600,F1=765
UI/Hotkey/UIEditorToggle,Control+Alt+F12=766
UI/Hotkey/UIEditorToggleStateGroupOverlay,Alt+Shift+F11=767
UI/Hotkey/UIEditorToggleVisible,Space=768
UI/Hotkey/UIEditorUndo,Control+Z=769
UI/Hotkey/VideoRecord,Control+F11=770
UI/Hotkey/VideoRecord_GRS,Control+Shift+V=771
UI/Hotkey/VideoRecord_NRS,Control+Shift+V=772
UI/Hotkey/VideoRecord_USD,Control+F11=773
UI/Hotkey/VideoRecord_USDL,Control+Shift+V=774
UI/HotkeyConflictDialogIgnore_Hotkey,I=775
UI/HotkeyConflictDialogResolve_Hotkey,R=776
UI/Hotkeys_Hotkey,H=777
UI/Hotkeys_Hotkey_USD,H=778
UI/Hotkeys_Hotkey_USDL,H=779
UI/JoinGame_Hotkey,J=780
UI/JoinGame_Hotkey_USD,J=781
UI/JoinGame_Hotkey_USDL,J=782
UI/Ladder_Hotkey,L=783
UI/Ladder_Hotkey_USD,L=784
UI/Ladder_Hotkey_USDL,L=785
UI/LeavingPublishQuitDialog/Hotkey,E=786
UI/Load_Hotkey,C=787
UI/Load_Hotkey_USD,L=788
UI/Load_Hotkey_USDL,L=789
UI/Login_Hotkey,L=790
UI/Login_Hotkey_USD,L=791
UI/Login_Hotkey_USDL,L=792
UI/Mail_Hotkey,M=793
UI/Mail_Hotkey_USD,M=794
UI/Mail_Hotkey_USDL,M=795
UI/MercenaryPanelClose_Hotkey,C=796
UI/MercenaryPanelClose_Hotkey_USD,C=797
UI/MercenaryPanelClose_Hotkey_USDL,C=798
UI/Multiplayer_Hotkey,M=799
UI/Multiplayer_Hotkey_USD,M=800
UI/Multiplayer_Hotkey_USDL,M=801
UI/New_Hotkey,N=802
UI/New_Hotkey_USD,N=803
UI/New_Hotkey_USDL,N=804
UI/News_Hotkey,N=805
UI/News_Hotkey_USD,N=806
UI/News_Hotkey_USDL,N=807
UI/Observer_Hotkey,O=808
UI/Ok_Hotkey,O=809
UI/Ok_Hotkey_USD,O=810
UI/Ok_Hotkey_USDL,O=811
UI/Options_Hotkey,O=812
UI/Options_Hotkey_USD,O=813
UI/Options_Hotkey_USDL,O=814
UI/Overview_Hotkey,O=815
UI/Overview_Hotkey_USD,O=816
UI/Overview_Hotkey_USDL,O=817
UI/PatchRequiredDialogCancel_Hotkey,C=818
UI/PatchRequiredDialogRestart_Hotkey,R=819
UI/PlanetPanelLaunch_Hotkey,V=820
UI/PlanetPanelLaunch_Hotkey_USD,L=821
UI/PlanetPanelLaunch_Hotkey_USDL,L=822
UI/PlanetPanelPlay_Hotkey,P=823
UI/PlanetPanelTravel_Hotkey,V=824
UI/PlanetPanelTravel_Hotkey_USD,V=825
UI/PlanetPanelTravel_Hotkey_USDL,V=826
UI/PlayGame_Hotkey,P=827
UI/PlayGame_Hotkey_USD,P=828
UI/PlayGame_Hotkey_USDL,P=829
UI/Play_Hotkey,P=830
UI/Play_Hotkey_USD,P=831
UI/Play_Hotkey_USDL,P=832
UI/Profile_Hotkey,O=833
UI/Profile_Hotkey_USD,O=834
UI/Profile_Hotkey_USDL,O=835
UI/Quit_Hotkey,B=836
UI/Quit_Hotkey_USD,B=837
UI/Quit_Hotkey_USDL,B=838
UI/Ready_Hotkey,R=839
UI/Ready_Hotkey_USD,R=840
UI/Ready_Hotkey_USDL,R=841
UI/Replay_Hotkey,R=842
UI/Replay_Hotkey_USD,R=843
UI/Replay_Hotkey_USDL,R=844
UI/Resources_Hotkey,R=845
UI/Resources_Hotkey_USD,R=846
UI/Resources_Hotkey_USDL,R=847
UI/SaveReplay_Hotkey,S=848
UI/SaveReplay_Hotkey_USD,S=849
UI/SaveReplay_Hotkey_USDL,S=850
UI/Save_Hotkey,S=851
UI/Save_Hotkey_USD,S=852
UI/Save_Hotkey_USDL,S=853
UI/ScreenForegroundToggleClubAlternate_Hotkey,Alt+C=854
UI/ScreenForegroundToggleClub_Hotkey,G=855
UI/ScreenForegroundToggleMenuAlternate_Hotkey,F10=856
UI/ScreenForegroundToggleMenu_Hotkey,Escape=857
UI/ScreenForegroundToggleSocial_Hotkey,O=858
UI/ScreenNavigation1_Hotkey,F1=859
UI/ScreenNavigation2_Hotkey,F2=860
UI/ScreenNavigation3_Hotkey,F3=861
UI/ScreenNavigation4_Hotkey,F4=862
UI/ScreenNavigation5_Hotkey,F5=863
UI/ScreenNavigation6_Hotkey,F6=864
UI/ScreenNavigation7_Hotkey,F7=865
UI/ScreenNavigation8_Hotkey,F8=866
UI/ScreenNavigationBack_Hotkey,Escape=867
UI/ScreenNavigationLeft_Hotkey,Left=868
UI/ScreenNavigationRight_Hotkey,Right=869
UI/ScreenSingleChallenge_Hotkey,H=870
UI/ScreenSingleChallenge_Hotkey_USD,H=871
UI/ScreenSingleChallenge_Hotkey_USDL,H=872
UI/ScreenSingleCustomGame_Hotkey,U=873
UI/ScreenSingleCustomGame_Hotkey_USD,U=874
UI/ScreenSingleCustomGame_Hotkey_USDL,U=875
UI/SendChat_Hotkey,S=876
UI/SendChat_Hotkey_USD,S=877
UI/SendChat_Hotkey_USDL,S=878
UI/Singleplayer_Hotkey,S=879
UI/Singleplayer_Hotkey_USD,S=880
UI/Singleplayer_Hotkey_USDL,S=881
UI/Skirmish_Hotkey,K=882
UI/Skirmish_Hotkey_USD,K=883
UI/Skirmish_Hotkey_USDL,K=884
UI/Social_Hotkey,I=885
UI/Social_Hotkey_USD,B=886
UI/Social_Hotkey_USDL,B=887
UI/Sound_Hotkey,S=888
UI/Sound_Hotkey_USD,S=889
UI/Sound_Hotkey_USDL,S=890
UI/StandardDialog_Cancel_Hotkey,C=891
UI/StandardDialog_Cancel_Hotkey_USD,C=892
UI/StandardDialog_Cancel_Hotkey_USDL,C=893
UI/StandardDialog_Enter_Hotkey,Enter=894
UI/StandardDialog_No_Hotkey,N=895
UI/StandardDialog_No_Hotkey_USD,N=896
UI/StandardDialog_No_Hotkey_USDL,N=897
UI/StandardDialog_Ok_Hotkey,O=898
UI/StandardDialog_Ok_Hotkey_USD,O=899
UI/StandardDialog_Ok_Hotkey_USDL,O=900
UI/StandardDialog_Yes_Hotkey,S=901
UI/StandardDialog_Yes_Hotkey_USD,S=902
UI/StandardDialog_Yes_Hotkey_USDL,S=903
UI/StartGame_Hotkey,S=904
UI/StartGame_Hotkey_USD,S=905
UI/StartGame_Hotkey_USDL,S=906
UI/Stereoscopic_Hotkey,O=907
UI/Stereoscopic_Hotkey_USD,O=908
UI/Stereoscopic_Hotkey_USDL,O=909
UI/Structures_Hotkey,S=910
UI/Structures_Hotkey_USD,S=911
UI/Structures_Hotkey_USDL,S=912
UI/Table_Hotkey,T=913
UI/Table_Hotkey_USD,T=914
UI/Table_Hotkey_USDL,T=915
UI/Units_Hotkey,U=916
UI/Units_Hotkey_USD,U=917
UI/Units_Hotkey_USDL,U=918
UI/VictoryPanelContinue_Hotkey,C=919
UI/VictoryPanelContinue_Hotkey_USD,C=920
UI/VictoryPanelContinue_Hotkey_USDL,C=921
UI/VictoryPanelPlay_Again_Hotkey,P=922
UI/VictoryPanelPlay_Again_Hotkey_USD,P=923
UI/VictoryPanelPlay_Again_Hotkey_USDL,P=924
UI/Video_Hotkey,R=925
UI/Video_Hotkey_USD,R=926
UI/Video_Hotkey_USDL,R=927
UI/ViewReplay_Hotkey,V=928
UI/ViewReplay_Hotkey_USD,V=929
UI/ViewReplay_Hotkey_USDL,V=930
UI/Voice_Hotkey,V=931
UI/Voice_Hotkey_USD,V=932
UI/Voice_Hotkey_USDL,V=933
UI/WaitingForServerSurrender_Hotkey,S=934
UI/WaitingForServerSurrender_Hotkey_USD,S=935
UI/WaitingForServerSurrender_Hotkey_USDL,S=936
UI/WatchReplay_Hotkey,R=937
Button/Hotkey/250mmStrikeCannons,C=938
Button/Hotkey/250mmStrikeCannons_NRS,I=939
Button/Hotkey/250mmStrikeCannons_USD,C=940
Button/Hotkey/250mmStrikeCannons_USDL,I=941
Button/Hotkey/AWrp,C=942
Button/Hotkey/AWrp_NRS,N=943
Button/Hotkey/AWrp_USD,C=944
Button/Hotkey/AWrp_USDL,N=945
Button/Hotkey/AcquireMove,A=946
Button/Hotkey/AcquireMove_NRS,K=947
Button/Hotkey/AcquireMove_USD,A=948
Button/Hotkey/AcquireMove_USDL,K=949
Button/Hotkey/Archon,N=950
Button/Hotkey/ArchonHallucination,N=951
Button/Hotkey/ArchonHallucination_SC1,R=952
Button/Hotkey/ArchonHallucination_USD,N=953
Button/Hotkey/ArchonHallucination_USDL,N=954
Button/Hotkey/ArchonWarpTarget,C=955
Button/Hotkey/ArchonWarpTarget_USD,C=956
Button/Hotkey/ArchonWarpTarget_USDL,C=957
Button/Hotkey/Archon_USD,N=958
Button/Hotkey/Archon_USDL,N=959
Button/Hotkey/Armory,A=960
Button/Hotkey/Armory_NRS,M=961
Button/Hotkey/Armory_USD,A=962
Button/Hotkey/Armory_USDL,M=963
Button/Hotkey/AssaultMode,D=964
Button/Hotkey/AssaultMode_NRS,U=965
Button/Hotkey/AssaultMode_USD,D=966
Button/Hotkey/AssaultMode_USDL,U=967
Button/Hotkey/Assimilator,A=968
Button/Hotkey/Assimilator_NRS,I=969
Button/Hotkey/Assimilator_USD,A=970
Button/Hotkey/Assimilator_USDL,I=971
Button/Hotkey/Attack,A=972
Button/Hotkey/AttackBuilding,A=973
Button/Hotkey/AttackBuilding_NRS,K=974
Button/Hotkey/AttackBuilding_USD,A=975
Button/Hotkey/AttackBuilding_USDL,K=976
Button/Hotkey/AttackWarpPrism,A=977
Button/Hotkey/AttackWarpPrism_NRS,K=978
Button/Hotkey/AttackWarpPrism_USD,A=979
Button/Hotkey/AttackWarpPrism_USDL,K=980
Button/Hotkey/Attack_NRS,K=981
Button/Hotkey/Attack_USD,A=982
Button/Hotkey/Attack_USDL,K=983
Button/Hotkey/AutoTurret,T=984
Button/Hotkey/AutoTurret_NRS,U=985
Button/Hotkey/AutoTurret_USD,T=986
Button/Hotkey/AutoTurret_USDL,U=987
Button/Hotkey/Baneling,E=988
Button/Hotkey/BanelingFromZerglingBurrowed,E=989
Button/Hotkey/BanelingFromZerglingBurrowed_NRS,B=990
Button/Hotkey/BanelingFromZerglingBurrowed_SC1,B=991
Button/Hotkey/BanelingFromZerglingBurrowed_USD,E=992
Button/Hotkey/BanelingFromZerglingBurrowed_USDL,B=993
Button/Hotkey/BanelingNest,B=994
Button/Hotkey/BanelingNest_USD,B=995
Button/Hotkey/BanelingNest_USDL,B=996
Button/Hotkey/Baneling_NRS,B=997
Button/Hotkey/Baneling_SC1,B=998
Button/Hotkey/Baneling_USD,E=999
Button/Hotkey/Baneling_USDL,B=1000
Button/Hotkey/Banshee,E=1001
Button/Hotkey/Banshee_NRS,N=1002
Button/Hotkey/Banshee_USD,E=1003
Button/Hotkey/Banshee_USDL,N=1004
Button/Hotkey/Barracks,B=1005
Button/Hotkey/Barracks_USD,B=1006
Button/Hotkey/Barracks_USDL,B=1007
Button/Hotkey/Battlecruiser,B=1008
Button/Hotkey/Battlecruiser_USD,B=1009
Button/Hotkey/Battlecruiser_USDL,B=1010
Button/Hotkey/Blink,B=1011
Button/Hotkey/Blink_USD,B=1012
Button/Hotkey/Blink_USDL,B=1013
Button/Hotkey/BroodLord,B=1014
Button/Hotkey/BroodLord_SC1,G=1015
Button/Hotkey/BroodLord_USD,B=1016
Button/Hotkey/BroodLord_USDL,B=1017
Button/Hotkey/BuildCreepTumor,C=1018
Button/Hotkey/BuildCreepTumorPropagate,C=1019
Button/Hotkey/BuildCreepTumorPropagate_NRS,I=1020
Button/Hotkey/BuildCreepTumorPropagate_USD,C=1021
Button/Hotkey/BuildCreepTumorPropagate_USDL,I=1022
Button/Hotkey/BuildCreepTumor_NRS,I=1023
Button/Hotkey/BuildCreepTumor_USD,C=1024
Button/Hotkey/BuildCreepTumor_USDL,I=1025
Button/Hotkey/BuildTechLabBarracks,X=1026
Button/Hotkey/BuildTechLabBarracks_NRS,L=1027
Button/Hotkey/BuildTechLabBarracks_SC1,Z=1028
Button/Hotkey/BuildTechLabBarracks_USD,X=1029
Button/Hotkey/BuildTechLabBarracks_USDL,L=1030
Button/Hotkey/BuildTechLabFactory,X=1031
Button/Hotkey/BuildTechLabFactory_NRS,L=1032
Button/Hotkey/BuildTechLabFactory_SC1,Z=1033
Button/Hotkey/BuildTechLabFactory_USD,X=1034
Button/Hotkey/BuildTechLabFactory_USDL,L=1035
Button/Hotkey/BuildTechLabStarport,X=1036
Button/Hotkey/BuildTechLabStarport_NRS,L=1037
Button/Hotkey/BuildTechLabStarport_SC1,Z=1038
Button/Hotkey/BuildTechLabStarport_USD,X=1039
Button/Hotkey/BuildTechLabStarport_USDL,L=1040
Button/Hotkey/Bunker,U=1041
Button/Hotkey/BunkerLoad,L=1042
Button/Hotkey/BunkerLoad_NRS,A=1043
Button/Hotkey/BunkerLoad_USD,L=1044
Button/Hotkey/BunkerLoad_USDL,A=1045
Button/Hotkey/BunkerUnloadAll,D=1046
Button/Hotkey/BunkerUnloadAll_SC1,U=1047
Button/Hotkey/BunkerUnloadAll_USD,D=1048
Button/Hotkey/BunkerUnloadAll_USDL,D=1049
Button/Hotkey/Bunker_USD,U=1050
Button/Hotkey/Bunker_USDL,U=1051
Button/Hotkey/BurrowDown,D=1052
Button/Hotkey/BurrowDown_NRS,D=1053
Button/Hotkey/BurrowDown_SC1,D=1054
Button/Hotkey/BurrowDown_USD,D=1055
Button/Hotkey/BurrowDown_USDL,D=1056
Button/Hotkey/BurrowUp,R=1057
Button/Hotkey/BurrowUp_NRS,U=1058
Button/Hotkey/BurrowUp_SC1,U=1059
Button/Hotkey/BurrowUp_USD,R=1060
Button/Hotkey/BurrowUp_USDL,U=1061
Button/Hotkey/CalldownMULE,E=1062
Button/Hotkey/CalldownMULE_NRS,U=1063
Button/Hotkey/CalldownMULE_USD,E=1064
Button/Hotkey/CalldownMULE_USDL,U=1065
Button/Hotkey/Cancel,Escape=1066
Button/Hotkey/CancelBuilding,Escape=1067
Button/Hotkey/CancelBuilding_GLS,B,Escape=1068
Button/Hotkey/CancelBuilding_GRS,Slash,F12,Escape=1069
Button/Hotkey/CancelBuilding_NRS,F12,Escape=1070
Button/Hotkey/CancelBuilding_USD,Escape=1071
Button/Hotkey/CancelBuilding_USDL,F12,Escape=1072
Button/Hotkey/CancelCocoon,Escape=1073
Button/Hotkey/CancelCocoonMorph,Escape=1074
Button/Hotkey/CancelMutateMorph,Escape=1075
Button/Hotkey/CancelSlot,Escape=1076
Button/Hotkey/CancelSlot_GLS,B,Escape=1077
